,0
0,0.0845657169939376
1,0.682069204218077
2,1.47608692619101e-12
3,2.10897102849851e-12
4,0.0939500772272378
5,
6,2.82517748153469e-09
7,
8,0.752635190100009
9,1.3513036760955303e-11
10,0.297903086401938
11,
12,
13,1.45594831521382e-09
14,
15,
16,4.03137023992511e-23
17,1.0
18,0.0572351520472444
19,0.962140765947375
20,0.419249758845186
21,9.60572731385955e-05
22,0.144370680728252
23,0.0284885650707199
24,0.0437521182371833
25,1.0644190820784396e-32
26,0.6221645240096391
27,0.6629150563817969
28,
29,0.930394343232444
30,0.0224777943816755
31,6.049676291516996e-63
32,0.003947248358420171
33,1.6324974830459902e-13
34,1.0
35,0.18849144907929305
36,2.1462909944916397e-11
37,0.18015973363421894
38,0.247102466573936
39,0.14079215181067
40,0.6763004446204419
41,0.0438753078851567
42,2.48422059292261e-06
43,0.479519943010954
44,0.5201861430503789
45,0.431699871135298
46,0.4836999770435539
47,0.116239505112881
48,6.352876212910119e-14
49,9.04319143603502e-09
50,0.998633492089833
51,0.977568976429468
52,0.00929823528234519
53,
54,
55,0.0014991209735992698
56,1.3701345520014099e-06
57,0.0757512455298486
58,0.948593270075766
59,0.9200189386893548
60,0.376005482012746
61,0.124947842891062
62,0.621395873832895
63,0.397513228465438
64,0.706635690984501
65,0.863142893564896
66,7.68157478479002e-06
67,0.0006408315386306242
68,1.50824625421397e-07
69,0.0484260483370704
70,0.4111224291994871
71,0.110442334624687
72,0.972985286571816
73,0.926834362015404
74,0.7721243124980242
75,1.75579997237923e-06
76,0.7450019141088341
77,
78,
79,
80,
81,0.0008990587321008561
82,0.666668792175121
83,0.0117172810354797
84,0.001097792645226
85,0.00023826138687222404
86,
87,
88,
89,0.0317456385956575
90,3.76590245794379e-10
91,0.125981992071149
92,0.000241303507576675
93,0.588807663188105
94,0.545507454309328
95,0.25240793012136103
96,0.00166088060254896
97,0.0391421094946248
98,6.06027341436768e-07
99,1.19642545897609e-05
100,0.0532505270031889
101,0.0776946313307906
102,
103,0.0947421310356882
104,0.5212552222742071
105,0.569376893488302
106,
107,0.40180345104589904
108,0.984671401688798
109,0.284437455743664
110,
111,
112,
113,
114,
115,
116,0.12528635898300694
117,0.334629839564067
118,0.0718569275972326
119,0.4168898662802771
120,0.359315802505994
121,1.3017983358357e-08
122,0.8311991118931541
123,0.8604017568237949
124,0.924298718810829
125,0.7825903168255809
126,0.00134896492558971
127,0.0609755686758765
128,0.23102369069344894
129,0.39331394704579903
130,0.329559160332148
131,4.36554036192145e-05
132,0.50538797801559
133,0.000114996111861473
134,0.733668359238607
135,0.16246031177881
136,
137,0.000198729287475469
138,0.36627330272590897
139,
140,0.845501364010895
141,0.459515896058784
142,0.00224734901880895
143,0.000414642907235666
144,0.180731980784293
145,0.763428006886194
146,0.0861824037899816
147,0.8954690856915009
148,4.6424946511322995e-05
149,0.166395943030662
150,0.147340452254034
151,0.650461474351184
152,0.2835959803714749
153,9.799207062787658e-07
154,0.473977343411517
155,3.3212772674869395e-29
156,6.10563401818188e-10
157,0.836871610405228
158,2.0297261312848e-07
159,0.0202312183098837
160,0.0011461809975597
161,0.0527726308846679
162,0.782353474061822
163,0.10837445837490302
164,0.0242122484714728
165,0.608873990584045
166,7.07358153460236e-05
167,
168,0.306112207154328
169,3.65917491340929e-15
170,0.297977183087689
171,
172,
173,0.0582859821464974
174,0.304287399380077
175,0.634765958946723
176,0.596564759119167
177,0.176050950528058
178,0.96913530174494
179,0.0068877885323496
180,0.0740167365030801
181,0.0470112772502673
182,0.621270855234014
183,0.0326732697167226
