,0
0,0.00015549636333639
1,0.264222860253695
2,0.176570396195145
3,0.0006013955968015571
4,0.541081799726556
5,0.0553236312245564
6,2.31973739028042e-09
7,2.132139206636829e-113
8,0.00906323595018381
9,0.934950074907272
10,0.661556271952191
11,4.27551702495492e-14
12,
13,
14,0.8497476476731091
15,
16,6.028141273595071e-05
17,7.83193435445063e-07
18,
19,0.00722981507847502
20,0.00497058757481594
21,2.04065369685677e-11
22,0.00397299009550475
23,
24,0.0356781720770076
25,3.45349239414981e-10
26,0.246223054679804
27,1.67263971800757e-09
28,0.981410409647212
29,2.90892114448604e-25
30,
31,
32,0.547916197200157
33,
34,
35,
36,7.66965048759038e-11
37,0.0203547885147619
38,0.00026760343181526697
39,0.6001148703085041
40,0.0660631460807111
41,7.460040658327059e-24
42,0.7453909988394491
43,0.134695339075366
44,0.6413709698876969
45,0.6836791173614821
46,
47,
48,4.1746369433805606e-06
49,2.21387553616906e-20
50,0.000421168402211441
51,
52,
53,
54,
55,9.241093872132902e-08
56,0.545161332645178
57,1.8479534129512494e-13
58,0.00287610034052163
59,8.47089216404562e-05
60,0.74810384468822
61,2.7673012386488797e-55
62,0.38052500162626
63,0.00514171721290892
64,0.7267231732408391
65,0.105897624755854
66,
67,
68,
69,2.08258880156416e-11
70,9.88083068056533e-08
71,
72,1.45370837198111e-06
73,0.9258214541902712
74,0.903636569599527
75,0.141981259462129
76,
77,1.27653461256498e-06
78,0.11202796414912
79,1.22052138560198e-05
80,0.7200792577608549
81,0.0290217998977655
82,0.243808031597226
83,
84,0.0155047719584717
85,0.000361295788995277
86,
87,
88,
89,0.00278470349760067
90,0.0009927086722415893
91,1.0940417823735002e-14
92,0.32765714189083195
93,0.0623894216482612
94,0.0485136392963809
95,0.3766021848628429
96,0.23281194578863695
97,1.9626174507352903e-06
98,0.336867981739511
99,0.007361211127386629
100,0.0388751229341637
101,0.144518928498491
102,0.0804733470982964
103,2.54301169636877e-16
104,
105,
106,0.0178985596129874
107,0.000792034811742212
108,2.7329161149314897e-11
109,3.15343684049693e-12
110,
111,0.332165734868909
112,9.5270122196883e-35
113,0.930714168601772
114,0.0696451565475886
115,0.7976909892649069
116,
117,2.47276477748595e-06
118,8.12429412373152e-07
119,
120,0.0847766162089273
121,
122,0.0139066622879141
123,0.459083543796108
124,0.116203613881471
125,
126,0.829560212377616
127,0.00024035516028993197
128,
129,2.3347142888196696e-23
130,
131,
132,2.65793651239883e-06
133,0.6556822503266021
134,
135,0.304602266722004
136,
137,1.84390169211725e-08
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,0.000771918472385527
149,0.00177597285451432
150,0.246653039628464
151,1.31373374668129e-06
152,0.0619657087329415
153,0.25928382369248604
154,
155,0.93486886153148
156,0.814907048052116
157,
158,
159,
160,0.0519890286201099
161,0.0392876550046176
162,6.52378125652698e-14
163,1.07381248605444e-10
164,0.00365407117714973
165,1.18531565224877e-06
166,7.28989837159846e-12
167,0.35232108268572204
168,0.6219771525375439
169,0.650490642088357
170,0.000358088879873214
171,
172,0.37690495690906894
173,0.007289857016591641
174,0.7144553915739742
175,1.58827026012013e-14
176,8.69678567975538e-18
177,0.07889644771404901
178,0.3144251356985689
179,0.9315795190699508
180,0.0020728611175694
181,0.304829308806546
182,6.383205306125612e-05
183,0.6506205712507901
184,0.0733622113972776
185,0.4093591580322321
186,3.0750699094498e-14
187,0.000306441652190564
188,1.43243448752823e-05
189,
190,
191,
192,0.298904724056847
193,5.82748600212913e-16
194,7.5231864609286884e-06
195,0.15176281161236
196,0.0623894216482612
197,0.431223135973079
198,0.366463843901555
199,
200,
201,
202,1.43532413712655e-06
203,8.081781440335821e-05
204,0.0162816681817298
205,0.152386873611066
206,0.390974197423408
207,2.4627249516175503e-10
208,0.166839058111975
209,0.782383405359109
210,2.83887066619488e-38
211,0.231849555947147
212,
213,
214,
215,1.14924445492605e-21
216,9.43914166103268e-08
217,
218,
219,
220,
221,
222,0.00134241977339262
223,7.719702540309977e-37
224,3.771988763771e-09
225,7.084391364127087e-88
226,3.8823768367166785e-88
227,0.0368042100912443
228,0.682498638812494
229,
230,
231,
232,
233,
234,0.0951294737293642
235,
236,
237,0.299149533567762
238,
239,0.703221940615045
240,0.636915967216546
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,0.0205262211159303
252,
253,
254,0.240409591679179
255,0.517652585755358
256,0.230196955599219
257,0.17685731439538896
258,0.7572152821004641
259,
260,
261,0.00290411018884947
262,
263,0.0512508071313542
264,6.05886102614976e-06
265,
266,0.0196130524842325
267,0.0311860068694487
268,0.17444662995879198
269,
270,9.300492871766248e-21
271,
272,0.295335580445205
273,0.130699684187745
274,
275,
276,
277,
278,0.36942324925417697
279,
280,0.0049870080001485715
281,0.931466335178913
282,
283,
284,
285,0.39719491038053295
286,3.1923267007856202e-09
287,0.703441473682955
288,
289,0.9177537531907428
290,
291,0.7307416302594691
292,0.021402180996171003
293,0.5109604949300539
294,
295,0.0009072724083095072
296,0.6678131396625939
297,
298,4.081601006422e-06
299,9.3769547291758e-19
300,8.1233789386137e-05
301,0.14356129616673902
302,1.66317179026991e-10
303,0.9880502993146372
304,0.0448016301866216
305,3.32170671505545e-06
306,0.00243058367415465
307,
308,
309,
310,
311,
312,
313,0.00020317784601973799
314,0.9939031724767132
315,0.24567968093600895
316,0.21176336211869695
317,0.896739213667202
318,8.62739833170556e-06
319,0.0703800333762869
320,
321,
322,0.786195992206223
323,0.227965044654354
324,
325,0.696885720412937
326,
327,
328,
329,
330,0.4953841017633111
331,
332,0.7972067220604271
333,5.00566341425619e-14
334,
335,0.54442490224381
336,3.69498124001086e-12
337,0.16067164063474498
338,0.351036985849969
339,0.8811351261022529
340,
341,0.00037982741082389
342,1.51908902815034e-09
343,1.1386718654865401e-15
344,0.0101148122827988
345,0.7893578844352509
346,
347,1.1335234537286799e-13
348,0.0757044834116565
349,0.381389021418382
350,0.000514684034247717
351,1.2823735383414098e-24
352,0.65516497517702
353,4.2122159998018293e-45
354,
355,
356,
357,0.3428690316244651
358,
359,
360,
361,0.093834207436706
362,0.406434526831815
363,0.361200614747988
364,
365,
366,0.0213845394003601
367,0.5677684723504489
368,
369,2.10820164661568e-06
370,
371,
372,0.3637977785959671
373,
374,
375,0.318955825699654
376,0.000520027413585753
377,0.34469288196521203
378,
379,
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,
399,
400,
401,0.5830118001546329
402,0.162368015352248
403,1.0236715437482001e-06
404,0.752901411727731
405,
406,
407,
408,
409,7.08908893907919e-16
410,0.278999942448375
411,4.60246325391004e-05
412,0.21660627250330605
413,0.922375680182918
414,
415,
416,9.352813689292821e-32
417,0.4417017233345921
418,0.15958498785257
419,0.0282562677593805
420,0.566383275740822
421,0.8508757842286301
422,3.24695459509042e-06
423,2.2747566240750295e-41
424,0.442685401006952
425,
426,
427,
428,
429,
430,
431,
432,0.17269668323574405
433,
434,0.000254539815805928
435,0.0253544367615117
436,1.10109698397798e-18
437,0.0417454535445476
438,7.67817689571407e-44
439,1.74980577615862e-20
440,6.43996257060045e-15
441,0.00124791504307369
442,0.0021200667141134
443,
444,0.219612124891222
