,0
0,1.18796568894655e-05
1,8.83174505196611e-05
2,0.0254742615809429
3,4.33864954167685e-07
4,0.577942962889028
5,0.5068336834592481
6,2.12131624213334e-24
7,7.700724158705476e-87
8,0.20789841763928
9,0.780690232338522
10,0.931567117590358
11,3.44056857725816e-20
12,
13,
14,0.000318931866542842
15,
16,9.537612024619813e-12
17,1.64329399855103e-19
18,
19,0.000121039939638446
20,7.082207183252829e-09
21,0.000142239389007956
22,7.87249982669091e-06
23,
24,0.125828139429391
25,1.7480749891667701e-22
26,0.338921700633538
27,2.9687389727175997e-11
28,0.21530875995915305
29,2.53228312949426e-27
30,
31,
32,0.9885221944107242
33,
34,
35,
36,2.71951280393178e-09
37,8.66926632824329e-06
38,1.47871980703522e-13
39,0.418590829837031
40,0.0192204455449268
41,6.665023853198599e-28
42,0.814249809075131
43,0.0016789733128181
44,0.5040726819673145
45,0.7802319738524429
46,
47,
48,3.21723618277945e-05
49,1.3999619926356193e-63
50,0.000454776152381457
51,
52,
53,
54,
55,2.64905522883897e-17
56,0.110360011408717
57,2.97307267670893e-17
58,4.0997573780727205e-13
59,0.008758627211320879
60,0.28750651374791497
61,3.239148824132368e-77
62,0.19056814163581606
63,0.133313005720862
64,0.753062508196777
65,0.0163401510812714
66,
67,
68,
69,0.000733863141004629
70,5.3480903601673886e-08
71,
72,1.01846387792701e-05
73,0.875781464001422
74,0.925512019065292
75,0.28523498860776697
76,
77,9.73649142144901e-16
78,0.00696065254566554
79,9.22871641977877e-08
80,0.434685239189569
81,0.0008823793227610599
82,0.009382084554451673
83,
84,0.13977538795113198
85,2.17031826783917e-13
86,
87,
88,
89,0.6200398899790109
90,8.68744872037185e-06
91,0.0031384732972265803
92,0.8397091525917729
93,0.0032233610148551897
94,0.000523107142328019
95,0.152828683451823
96,0.0264439238406313
97,4.16982721187149e-12
98,0.190518151142892
99,6.21368253770209e-05
100,0.0135647662344419
101,2.52223670748078e-06
102,0.000219588363921397
103,5.0817009316720794e-17
104,0.21339526522054694
105,
106,2.09496386528718e-06
107,0.000630429066074512
108,1.99250653254029e-13
109,1.10748901092113e-31
110,0.26733014908384
111,0.00519700496231812
112,2.0273327738204e-34
113,0.406756795092443
114,0.000138613482365914
115,0.824246702490766
116,0.637908874541527
117,1.27324453818012e-06
118,8.779579840760029e-21
119,
120,0.00437321924954765
121,
122,0.00312843659169657
123,0.0330013238731062
124,0.0733814775431893
125,
126,0.6784547104145681
127,7.87213052645736e-16
128,
129,4.031522057991649e-35
130,
131,
132,1.8408185670712804e-05
133,0.948939787551252
134,
135,4.31081600051235e-05
136,
137,1.94669754628962e-13
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,0.154031611259387
148,0.0041070573324355
149,0.000193185552248453
150,0.2720743688756
151,1.0839800784538e-10
152,7.521798597696421e-07
153,0.34035517645851193
154,
155,0.712680003994478
156,0.075117041161716
157,
158,
159,
160,0.0424864513329327
161,0.0318638322145612
162,6.17162728565051e-18
163,3.89606103627909e-43
164,4.598121662074511e-07
165,0.00053927306173842
166,2.54954797371185e-20
167,0.161992199456677
168,0.4229069942155769
169,0.863654007075409
170,0.0216835052139028
171,
172,
173,0.0793831763330092
174,0.930128339862246
175,1.0008118347991698e-06
176,1.65978409235561e-08
177,0.8702949286783
178,0.000265542237862419
179,0.00137109530946454
180,9.26847989454968e-06
181,0.121499506431867
182,5.32368817654584e-09
183,0.00343062696586392
184,0.0217859080074343
185,0.0066821470410448
186,9.289878979668007e-21
187,7.998247934090571e-11
188,0.000219138024051401
189,
190,
191,
192,0.0302632939277605
193,3.68520293902784e-16
194,1.91777634873062e-12
195,0.0924023965915245
196,8.32505096306183e-07
197,0.979956411511728
198,0.6916152438954929
199,
200,
201,
202,1.91805051301755e-06
203,2.18052737363392e-05
204,0.000236726541848898
205,0.872346030847848
206,0.00182895443149
207,3.5592402916261398e-06
208,0.137640238217281
209,0.874419274941375
210,6.3120263577984e-42
211,0.0696000947113826
212,
213,
214,
215,1.64011819098605e-34
216,7.04967915119504e-08
217,
218,
219,
220,
221,
222,2.54945519136274e-06
223,1.70315936476021e-25
224,8.185591446090609e-11
225,1.26996292301734e-75
226,6.027216913104886e-127
227,0.00111057222238945
228,0.822538841144045
229,
230,
231,
232,
233,
234,0.01001454916185
235,
236,
237,0.5262443346137009
238,
239,0.18258914436702695
240,0.0791045756845859
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,0.177332171922224
252,
253,
254,0.0463954392376903
255,0.35116852097601503
256,0.0112522694007602
257,0.00246751838977705
258,0.98998084133778
259,
260,
261,1.0151807319722299e-08
262,0.243913779337587
263,0.0187275337672069
264,8.3276103207688e-12
265,0.22057857186875895
266,0.568573358055135
267,0.00341477051777904
268,0.00700392529646516
269,
270,2.1073195457064894e-27
271,
272,0.00876855197827435
273,3.22340649207647e-07
274,
275,
276,
277,
278,0.443570576087104
279,0.7359128057680009
280,0.0119774438612047
281,0.6359258290163089
282,
283,
284,
285,2.70790245946547e-05
286,1.22825873045128e-28
287,0.00710579877554615
288,
289,0.794628434125024
290,
291,0.5317235345020039
292,0.0148137952060843
293,0.25170382523537194
294,
295,0.106626528024934
296,0.0182495211558987
297,
298,1.60520923847119e-07
299,3.9113463246469395e-72
300,0.00693973728007414
301,0.00138664945734312
302,3.94160686349921e-37
303,0.7573994450827791
304,4.08116601956541e-05
305,1.75482125835861e-16
306,0.0241073850500569
307,
308,0.6081849936141159
309,
310,
311,
312,
313,4.5115431500820096e-13
314,0.813590051916866
315,0.0495145634149551
316,0.464461915325861
317,0.665875795360192
318,0.0247555598824549
319,5.79318210587512e-06
320,
321,
322,0.0858456191402833
323,0.0163166635388737
324,
325,
326,0.55573049833288
327,
328,
329,
330,0.19487910004835995
331,
332,
333,2.18938639227656e-11
334,
335,0.532214262511721
336,6.922599802175792e-14
337,0.749560810636239
338,0.240465811153074
339,0.873319428713343
340,
341,1.5889822022127e-09
342,1.2374690524662597e-11
343,7.34416421941478e-15
344,5.61578770842855e-06
345,0.5665981846398411
346,0.6272771025789621
347,0.00317576995500647
348,0.3165230327806789
349,0.000348261391980061
350,2.577903583222411e-07
351,7.573723673520038e-51
352,0.8759421715883459
353,3.11603400155073e-44
354,
355,
356,
357,0.583566249276218
358,0.000127571263066526
359,
360,
361,0.00220985824625817
362,0.0463954392376903
363,0.233192469463028
364,
365,
366,0.17342586380518302
367,0.15161761845321695
368,
369,3.11753600060325e-09
370,
371,
372,0.12555489843516598
373,
374,
375,0.0627903213449461
376,0.124941887667748
377,0.385182354422247
378,
379,
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,
399,
400,
401,0.146082566441166
402,0.0189295156342823
403,2.4403819986814e-10
404,0.0662719461349469
405,
406,
407,
408,
409,5.66353223002547e-25
410,0.711309881755109
411,0.19294483101053
412,0.37453888513795
413,0.334818388672713
414,
415,0.506836736345272
416,5.826470792685437e-53
417,0.119708136851566
