,0
0,0.16806892946071494
1,0.8462622741392709
2,0.9962304482867692
3,0.133745436206179
4,0.998022855576687
5,0.7728116224144108
6,0.117997434746131
7,0.9074683052661991
8,
9,0.81966140906125
10,0.848525631244933
11,0.963363836855945
12,
13,
14,
15,
16,0.979750650953025
17,
18,
19,0.9911876852828928
20,0.450081051304278
21,0.6746062871290579
22,0.963363836855945
23,
24,0.9122560918036
25,0.38181935821432106
26,0.823117238838693
27,
28,0.9536451106417192
29,0.334294644838559
30,
31,
32,
33,
34,
35,
36,0.955712492302164
37,0.36093040271683097
38,0.9962304482867692
39,0.5031222237675179
40,0.947458925568455
41,0.949928964412303
42,0.977021038314768
43,0.99190518018282
44,
45,0.9012471822989808
46,
47,
48,
49,0.532458810193808
50,0.949928964412303
51,
52,
53,
54,
55,0.990268128897365
56,
57,0.6116207226803331
58,0.9689308554890492
59,0.988631548742142
60,0.959535006275664
61,0.972842311621999
62,0.0162668090307931
63,0.7823021604206759
64,
65,
66,
67,
68,
69,0.0542021931215263
70,
71,
72,
73,
74,0.949928964412303
75,0.817579312256494
76,
77,0.972842311621999
78,0.972842311621999
79,0.999120506611932
80,0.167231717786605
81,
82,0.946215416836891
83,
84,0.970898484017322
85,0.931231219989246
86,
87,
88,
89,
90,0.9945322105255292
91,
92,
93,0.944692942555017
94,0.9241678259914572
95,
96,0.950248270442428
97,0.983866115029307
98,0.97597761574399
99,0.532458810193808
100,0.926064474429943
101,0.776410763875678
102,0.8884686389366571
103,0.651001246800718
104,
105,
106,0.5894136656667149
107,0.9797309193675692
108,
109,0.7013292430986451
110,
111,0.99190518018282
112,
113,0.857904744400841
114,0.80763787854956
115,0.0649322979244022
116,
117,0.699016994012943
118,0.950796197098395
119,
120,0.985040543628672
121,
122,0.972842311621999
123,
124,0.949928964412303
125,
126,
127,
128,
129,0.987861057181509
130,
131,
132,0.9675934433355892
133,0.999120506611932
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,0.978323497379165
149,0.9689308554890492
150,0.944892101923224
151,0.87731374778527
152,
153,0.0166054067395812
154,
155,0.9689308554890492
156,0.947299387028808
157,
158,
159,
160,
161,0.750410196050036
162,0.711761473547547
163,0.0108924623337077
164,0.9797309193675692
165,0.999745805181841
166,0.999120506611932
167,0.998022855576687
168,0.35034471153367697
169,0.949928964412303
170,
171,
172,
173,
174,0.558826545123595
175,1.46041473848532e-09
176,1.03846128493047e-05
177,0.949847701590208
178,
179,
180,0.9794831437143272
181,0.944892101923224
182,
183,0.8949632121979191
184,
185,0.904776225927604
186,0.333446450834563
187,0.5455787867097179
188,
189,
190,
191,
192,0.949928964412303
193,0.17122035568436902
194,0.9536451106417192
195,
196,0.8884686389366571
197,0.984352289032944
198,0.966890508206775
199,
200,
201,
202,0.0359789897503254
203,3.3564040914016405e-09
204,
205,
206,0.972952216598882
207,
208,
209,0.4569153149025579
210,0.4595788523717079
211,0.8757883806933879
212,
213,
214,
215,0.7823021604206759
216,0.86642362018186
217,
218,
219,
220,
221,
222,0.883386851551069
223,0.835052068726664
224,0.989096830766668
225,0.00958336776453766
226,0.78286608503939
227,0.93407296291222
228,0.7013292430986451
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,
254,
255,0.970274977102872
256,0.7512565748514021
257,0.8758081267429928
258,0.834471470960163
259,
260,
261,0.573755153893654
262,
263,0.7620783781300509
264,0.853832863018609
265,
266,0.0061801264111170295
267,0.979434364442744
268,0.927527423837511
269,
270,0.884910612428235
271,
272,0.4749216347782779
273,0.4086994072752079
274,
275,
276,
277,
278,0.924239685482374
279,
280,
281,0.7116765868204759
282,
283,
284,
285,0.911720401842812
286,0.955378697625577
287,
288,
289,
290,
291,0.598904189857109
292,
293,
294,
295,
296,
297,
298,
299,
300,0.994565439576305
301,0.825940371481898
302,0.852374464716446
303,0.9324128380513058
304,0.8136822144604542
305,0.999745805181841
306,0.382735197652508
307,
308,
309,
310,
311,
312,
313,0.986946028598999
314,0.288021832451408
315,0.823178106201828
316,
317,
318,0.42947386651737296
319,0.652114839822453
320,
321,
322,0.99380114852133
323,0.937440614188268
324,
325,
326,
327,
328,
329,
330,0.972842311621999
331,
332,
333,
334,
335,
336,
337,0.956729038044718
338,0.8400241724052009
339,0.362826312638209
340,
341,0.834471470960163
342,0.00177168160524304
343,0.99816284526367
344,0.998022855576687
345,0.999120506611932
346,0.288021832451408
347,
348,0.835052068726664
349,0.979920655951899
350,0.93407296291222
351,0.8757883806933879
352,
353,0.9794265466779308
354,
355,
356,
357,
358,
359,
360,
361,0.8657185774287041
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,0.515644695630765
376,
377,0.693437037772209
378,
379,
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,
399,
400,
401,0.944892101923224
402,0.595501006286016
403,
404,0.9012471822989808
405,
406,
407,
408,
409,0.931646328158128
410,0.00160663079810745
411,0.29101794573718204
412,0.587604012047936
413,0.952226051732976
414,7.98484533616216e-10
415,
416,0.0236761104438885
417,0.8595392523520049
418,0.972952216598882
419,0.00427434817926338
420,0.9863701159326992
421,
422,0.9012471822989808
423,0.0573240054966032
424,0.949928964412303
425,
426,
427,
428,
429,
430,
431,
432,
433,
434,0.652114839822453
435,
436,0.780529796649269
437,0.90789500671036
438,0.21160406069016
439,0.8379801616658991
440,0.706273887146289
441,0.883190149266977
442,0.978323497379165
443,
444,0.9241678259914572
445,0.8095821455394121
446,0.8647494131232719
447,0.931231219989246
448,
449,2.40714698678947e-06
450,0.947619779133524
451,0.362803095352142
452,0.288021832451408
453,
454,
455,0.92269743746743
456,
457,0.9012471822989808
458,0.9955689472447148
459,
460,0.00937739467391699
461,3.87089127224501e-10
462,0.4086994072752079
463,0.937440614188268
464,0.0438066390332693
465,0.042208934673656
466,0.834471470960163
467,0.9911876852828928
468,0.9419813966916
469,
470,
471,
472,0.922340262337487
473,0.977021038314768
474,0.972842311621999
475,
476,
477,
478,
479,0.955712492302164
480,
481,
482,
483,
484,
485,
486,0.239548839198253
487,
488,
489,
490,
491,3.86777626379962e-05
492,
493,
494,0.963363836855945
495,0.8962153075463809
496,0.9724040274245948
497,0.8616598126985849
498,0.981000803163634
