,0
0,
1,
2,0.9877060680094608
3,
4,
5,
6,
7,
8,0.9241678259914572
9,0.137832749847918
10,
11,
12,
13,
14,
15,
16,
17,1.0
18,0.794529136984355
19,0.630867154654065
20,
21,0.995945200918544
22,
23,0.949847701590208
24,
25,0.99380114852133
26,0.9446195650720528
27,0.9899938999347908
28,
29,0.875291092838968
30,0.957830104937428
31,0.78286608503939
32,0.986946028598999
33,
34,1.0
35,0.780529796649269
36,4.0494954211089e-08
37,
38,
39,
40,
41,
42,0.9921865139029028
43,0.922439620862588
44,
45,0.96448661638491
46,
47,0.7082306124628371
48,
49,
50,0.000107276219157838
51,0.0149232920398644
52,
53,
54,
55,
56,
57,
58,0.927935184497118
59,0.9892981708529128
60,0.849601444796547
61,
62,0.944692942555017
63,0.7458093517784721
64,
65,
66,
67,0.97126459847378
68,
69,0.786553336187755
70,0.986946028598999
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,0.977021038314768
82,0.949847701590208
83,0.998022855576687
84,0.89960089372621
85,0.6537957325823051
86,
87,
88,
89,0.9074683052661991
90,0.8884686389366571
91,0.9012471822989808
92,
93,
94,
95,0.9839407195532528
96,0.995945200918544
97,0.972980332321508
98,0.9886397744590492
99,
100,0.99767970126644
101,0.9892981708529128
102,
103,0.944692942555017
104,0.261469339978289
105,0.995715062616511
106,
107,0.8884686389366571
108,
109,
110,
111,
112,
113,
114,
115,
116,0.6817686373956899
117,0.9689308554890492
118,0.999472559810629
119,0.233162221499955
120,0.5394746633498879
121,0.9536451106417192
122,0.9787865730204592
123,0.910479189688524
124,
125,0.7826803038122
126,0.944692942555017
127,0.908529147520194
128,0.99816284526367
129,0.9648310781731392
130,0.34376570840918297
131,0.9945322105255292
132,
133,
134,
135,0.90379026783851
136,
137,0.908037750701887
138,0.940827924090987
139,
140,
141,0.19722948876859306
142,0.947372731960418
143,0.736610914833431
144,0.931279944944761
145,0.7217766142817429
146,0.7501807234362121
147,
148,0.982261365855908
149,0.994163876229326
150,
151,0.930774477081687
152,0.995136283733168
153,0.583038604962516
154,0.73108218351192
155,
156,0.98548354418499
157,0.8643819957047639
158,0.947372731960418
159,0.9635719288770648
160,0.834471470960163
161,0.978547604990239
162,0.987861057181509
163,0.304737307008329
164,0.907812047450677
165,
166,
167,
168,0.950248270442428
169,
170,
171,
172,
173,0.949928964412303
174,0.780309230883775
175,
176,0.963516494015204
177,
178,
179,
180,
181,0.9966413132245092
182,
183,0.998022855576687
184,0.908529147520194
185,
186,
187,
188,
189,0.963363836855945
190,0.922079653066436
191,0.7620783781300509
192,
193,0.9570565944127322
194,0.7620783781300509
195,0.706273887146289
196,0.95474705125995
197,
198,0.9443549088769642
199,
200,0.965205344814092
201,0.979434364442744
202,
203,0.935787021006528
204,
205,
206,1.0
207,
208,
209,1.0
210,
211,0.976259374057501
212,
