,0
0,
1,
2,0.141310238781082
3,
4,0.226683258919648
5,
6,
7,
8,0.182358435024514
9,0.659290617687202
10,
11,
12,
13,
14,
15,
16,
17,1.0
18,0.00934438753328334
19,0.9330711524020572
20,0.658456392211997
21,0.29401577668404805
22,0.8213202104978621
23,0.5392861562404361
24,
25,0.93660079922087
26,0.2716506745557289
27,0.703286727746844
28,
29,0.7847348944474151
30,0.905840591729923
31,0.0763921957341804
32,0.601928234552597
33,0.19966840408297695
34,1.0
35,0.4265675078644989
36,0.259962696533851
37,0.6502865199732349
38,0.73077686641353
39,
40,0.691203300748177
41,0.512337444945289
42,0.0371016328365899
43,0.385820729987173
44,
45,0.946070234680034
46,0.32670267184230795
47,0.946427113535497
48,
49,0.932529434229672
50,0.853776006205202
51,0.15619092935672402
52,
53,
54,
55,
56,0.9223922779294772
57,
58,0.7762072129833401
59,0.8995531664568291
60,0.8517327022027099
61,0.995115771193412
62,0.7013622343883361
63,0.899751019647871
64,
65,
66,
67,0.43798983579105294
68,0.4934732411676861
69,0.205101370937542
70,0.0926844677985829
71,0.299088062106472
72,
73,
74,
75,
76,0.29895496793768395
77,
78,
79,
80,
81,0.451231608836625
82,0.843639938036493
83,0.8950097517903599
84,0.581673007602167
85,0.0154928542580647
86,
87,
88,
89,0.741344589951402
90,0.725393194151268
91,0.9169196767858472
92,
93,
94,
95,0.642577515151501
96,0.0643360051495404
97,0.388034704891756
98,0.7104820219439619
99,0.341146696112022
100,0.29445446028085
101,0.4437819832071761
102,
103,0.52821858740364
104,0.960832638480985
105,0.8116813270109542
106,
107,0.60588168272427
108,
109,
110,
111,
112,
113,
114,
115,
116,0.5612935667581861
117,0.7604195705889201
118,0.3052721565963
119,0.0143669632024514
120,0.734488574741645
121,0.760947210301884
122,0.2924260533248481
123,0.915058002503345
124,0.0444618929541676
125,0.98059708542864
126,0.8996911801469201
127,0.395720674833548
128,0.9614620399775552
129,0.462603869587576
130,0.8078217543399421
131,0.309690053501531
132,0.914082936360193
133,0.00752169594429022
134,0.5297850558039929
135,0.0479594995462167
136,0.7119882750279442
137,0.9693496786540308
138,0.19966840408297695
139,
140,0.888788586988504
141,0.5332284588177439
142,0.10125718226959303
143,0.6571456006043039
144,0.0251614493725964
145,0.6617091530327359
146,0.7046467389941609
147,0.94165200090975
148,0.198412640732999
149,0.118098236597314
150,
151,0.8986141414386909
152,0.83983303463963
153,0.8503536791574641
154,0.494881816249067
155,0.5843989626614929
156,0.00205409859485762
157,0.206162778938215
158,0.933846701310892
159,0.71039768065592
160,0.575443793029255
161,0.0492857695971872
162,0.04888330564454401
163,0.241567841872411
164,0.346892421475369
165,
166,0.5631975813793629
167,
168,0.670482501768752
169,0.966883713884265
170,
171,
172,0.584540815639399
173,0.920342654708818
174,0.0148267657435033
175,
176,0.567533298270282
177,
178,0.852289843660458
