,0
0,0.930747823361457
1,0.966251188472174
2,0.6356742027344761
3,0.998085173902156
4,0.538969216648588
5,0.912127629857462
6,0.883062279452627
7,
8,0.847868919421487
9,0.9532640640660328
10,
11,
12,
13,
14,
15,0.953823949516317
16,0.937548773482924
17,1.0
18,0.919671660945467
19,0.540885522553021
20,0.613344452476353
21,0.662839882018239
22,0.7664404283138571
23,0.679199858355531
24,
25,0.76056501760964
26,0.747571812918693
27,0.893822793002297
28,
29,0.894843577245778
30,0.645916858767479
31,0.492295091536804
32,0.703701419252119
33,0.9870731047438492
34,1.0
35,0.8372973778125571
36,0.938125600960282
37,0.8853213463564159
38,0.813895872754678
39,
40,0.799845531450917
41,0.642693386059316
42,0.968600251880226
43,0.747380679479041
44,0.954519354343182
45,0.749485086449578
46,0.91562749281945
47,0.993690874016001
48,0.7146416161245459
49,0.8547079067259051
50,0.324596396706334
51,0.698784352026552
52,
53,
54,
55,0.911024734659618
56,0.535263242107012
57,0.6758068344054429
58,0.896139664560608
59,0.838574271788961
60,0.923740359226425
61,0.912438067389521
62,0.993690874016001
63,0.88637612329478
64,0.990434628916601
65,0.7542158493195641
66,
67,0.938328947274718
68,0.530715333402598
69,0.8119762255778841
70,0.996816887924287
71,0.912127629857462
72,
73,
74,0.912127629857462
75,0.6085386704748461
76,0.789849965466606
77,
78,
79,
80,
81,0.72910359901786
82,0.6420037007885551
83,0.91568012066659
84,0.7699208900708291
85,0.767788096368739
86,
87,
88,
89,0.899308568798317
90,0.938328947274718
91,0.906226600306898
92,0.9870731047438492
93,0.965837907405457
94,
95,0.663782909289715
96,0.821505695217962
97,0.712868003763268
98,0.710890540494778
99,0.999098029424552
100,0.8018259074575992
101,0.666421941777507
102,0.9039794369465972
103,0.878808744419029
104,0.856534829999691
105,0.987464194850477
106,
107,0.783964151222434
108,
109,
110,
111,
112,
113,
114,
115,
116,0.8117374355029209
117,0.522672575444471
118,0.8569645945622891
119,0.298849780968659
120,0.825733752865104
121,0.9476594557018748
122,0.954263217194823
123,0.855454225791768
124,0.8110267328889251
125,0.744925768398869
126,0.6420037007885551
127,0.642693386059316
128,0.630285517176611
129,0.882068671755475
130,0.8682195602896041
131,0.9784640899793532
132,0.675855163151805
133,0.675855163151805
134,0.9197253367679432
135,0.8906599308986101
136,0.847144048074621
137,0.9245775836772072
138,0.7810755763999571
139,
140,0.938328947274718
141,0.7664404283138571
142,0.7762143017918292
143,0.7031984364541609
144,0.927822877078216
145,0.729547523528731
146,0.900920410533011
147,0.574450362036663
148,0.952012890859575
149,0.7859625777107919
150,0.6420037007885551
151,0.657723517561921
152,0.671693643590235
153,0.540885522553021
154,0.6420037007885551
155,0.4948360555103449
156,0.39768568423289
157,0.7243001283532271
158,0.909228868415543
159,0.880899912659159
160,0.8245057054172992
161,0.6627236325917671
162,0.7579273448806091
163,0.458449649219662
164,0.7018414041618749
165,
166,0.9600666978643492
167,
168,0.483144553509915
169,0.863089873042745
170,0.864656146920708
171,
172,
173,0.909228868415543
174,0.777482173765537
175,0.909228868415543
176,0.920918486551598
177,2.4664557576349802e-08
178,0.8441295328730251
179,0.8547516910746379
180,0.13845354588518302
181,0.893284887320726
182,0.938328947274718
183,0.99212089068937
184,0.888237179610693
185,
186,0.955095353819075
187,0.9270773908363392
188,
189,0.9886823231495028
190,0.771360458163323
191,0.7474000005433891
192,0.9709295109323292
193,0.924215020485563
194,0.925513665445024
195,0.8894907626891551
196,0.978850443053197
197,0.8238306766905831
198,0.960328804726392
199,0.7593764236185458
200,0.931757335471333
201,0.670293190106317
202,0.0800090891626905
203,0.985362304533193
204,
205,0.745658910516772
206,1.0
207,0.9908974944845572
208,0.7372639482595579
209,1.0
210,
211,0.7769743214911279
212,0.9713192231410942
213,0.7810755763999571
214,0.848336041843871
215,0.8115771814574281
216,0.799845531450917
217,0.7538675138947929
218,0.800641030392672
219,0.977391525958056
220,0.906226600306898
221,
222,
223,0.735085957015516
224,0.540885522553021
225,0.681392580684948
226,
227,
228,0.307347965829924
229,0.909001330979952
230,0.598305187884448
231,0.951967960146534
232,0.855989428977666
233,0.6735912578203149
234,
235,
236,
237,
238,
239,
240,0.87480669479091
241,
242,
243,
244,
245,0.7811396001403109
246,0.7216493888150459
247,0.9886823231495028
248,0.6516080252066241
249,
250,
251,
252,
253,0.823610676753506
254,
255,0.824261027678245
256,
257,
258,
259,0.966429051531217
260,
261,
262,0.783819606071977
263,
264,0.9588133656353128
265,
266,
267,0.8314462659010551
268,0.791691698167791
269,0.921688885585102
270,
271,
272,
273,
274,
275,0.8864498308665579
276,0.805044625887052
277,0.580228443316401
278,0.9458100914771792
279,0.925137620976254
280,
281,
282,0.9038342926195112
283,0.755049406517155
284,0.8396450492254999
285,0.696225667809222
286,0.732317573914645
287,0.6420037007885551
288,
289,
290,
291,
292,
293,
294,0.938328947274718
295,0.9861964189341792
296,
297,0.597105932365736
298,0.8405244200368349
299,
300,0.9196964429586272
301,
302,
303,0.656606201662707
304,0.95496495689474
305,0.7458035763876251
306,0.5940856590645329
307,0.8084491248180621
308,0.8153802056023269
309,0.802455023273848
310,0.750661062548614
311,
312,0.883798203663614
313,0.8853213463564159
314,0.97445051326943
315,
316,
317,0.899489993334862
318,0.7977759531779809
319,0.678442999220542
320,0.6682070804616579
321,0.9583491299091652
322,0.663782909289715
323,0.6776482727403571
324,0.541507100820245
325,0.799845531450917
326,
327,0.555504648539521
328,
329,0.837426451669275
330,0.771360458163323
331,
332,
333,0.8174052536566341
334,
335,0.898638815070469
336,0.8210116556192729
337,
338,0.797305907910953
339,
340,
341,0.746049602206116
342,0.8361766667634409
343,
344,
345,
346,1.0
347,
348,
349,0.8589230797516141
350,0.501249883657886
351,
352,0.8570191386146758
353,0.955060796760292
354,0.752713090568158
355,0.857820441258357
356,0.8709921900275079
357,0.929458922147125
358,0.786208924084843
359,0.21314542810193104
360,
361,0.327902895607154
362,0.979732497308241
363,
364,0.8139385916959742
365,0.539617226987699
366,0.7593764236185458
367,0.7275187926159961
368,0.144250407570318
369,0.854927995618622
370,0.7831853626876158
371,0.911771590255434
372,
373,0.7889985319727941
374,0.7720481014940709
375,0.655068229945584
376,0.533487434742129
377,0.8893583344313051
378,0.921688885585102
379,0.687547934903396
