,0
0,0.955260546109097
1,0.987858357799358
2,
3,0.893089610264689
4,0.981094826339605
5,0.844486033303478
6,0.980420616091374
7,
8,0.8803490700134928
9,0.844486033303478
10,0.29561735519027804
11,0.976484473379478
12,
13,
14,
15,
16,0.7265064742350901
17,
18,
19,0.42236466647661103
20,0.741396001643478
21,0.771026287541728
22,0.5727450516161441
23,
24,0.465520724160658
25,0.753456526318939
26,0.99357216293741
27,
28,0.901124274441046
29,0.881096896696275
30,
31,
32,
33,
34,
35,
36,0.954088764641982
37,0.9295731393720807
38,0.276681137265671
39,0.275208590261988
40,0.138533896311332
41,0.68721001054093
42,0.981094826339605
43,0.789429573048306
44,
45,0.740633677023162
46,
47,
48,
49,0.970479771951876
50,0.922550575724868
51,
52,
53,
54,
55,0.9766762013272652
56,
57,
58,0.678068502489621
59,0.45883895737337
60,0.908972164369889
61,
62,0.239459609879177
63,0.929210269126694
64,
65,
66,
67,
68,
69,0.0306644120882995
70,
71,
72,
73,
74,0.5551606924309029
75,0.999276948189436
76,
77,0.915518621880004
78,0.241133868980964
79,0.9956309904188532
80,0.9572821923960292
81,
82,0.7094328898959901
83,
84,0.98289731237618
85,0.7755719885427942
86,
87,
88,
89,
90,0.0555223476303078
91,0.519672019818991
92,
93,0.970959728278709
94,0.9452635588656558
95,
96,0.171009741720014
97,0.898680163492494
98,0.810870635830639
99,0.951635883890848
100,0.0958292403329595
101,0.922916495994188
102,0.958465885144362
103,0.93754445167037
104,
105,
106,0.8747908625799409
107,0.405974380348576
108,
109,0.256432563013842
110,
111,0.959037123349145
112,
113,0.9312489253099928
114,0.970549348985534
115,0.29263440916979805
116,0.889831665437887
117,0.51438104093043
118,0.753456526318939
119,
120,0.116432712468033
121,0.866511655291515
122,0.98494523493386
123,
124,0.53684677333055
125,
126,0.977345908207503
127,
128,
129,0.502663993303231
130,
131,
132,0.881975723769294
133,0.049542120056765
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,0.9174157458372142
149,0.8712903697656059
150,0.7884628224437629
151,0.933471579380046
152,
153,
154,
155,0.30684921831551804
156,0.8070827635350841
157,
158,
159,
160,
161,0.622808630291073
162,0.7180430168157671
163,0.9340095225314158
164,0.8236257911154
165,0.956950318991903
166,0.99888858997662
167,
168,
169,0.99771093802587
170,
171,
172,
173,
174,0.93313623914172
175,0.6102150366838521
176,0.587639066151823
177,
178,
179,
180,0.99270771066876
181,0.7884628224437629
182,0.318601666048492
183,0.986594462731952
184,
185,0.4081581225897421
186,0.7347704214316569
187,0.869294755664289
188,
189,
190,
191,
192,0.9840731605311772
193,
194,0.970549348985534
195,
196,0.948771000328922
197,0.0101542021679818
198,0.975453835439876
199,
200,
201,
202,0.6379154131218621
203,0.7288948000455141
204,
205,
206,0.33612976574795195
207,
208,
209,
210,0.42236466647661103
211,0.751536836578279
212,
213,
214,
215,0.943285228782006
216,
217,
218,
219,
220,
221,
222,
223,0.901544992712173
224,0.944485171493951
225,0.451450939992276
226,0.844486033303478
227,
228,0.16542362852822
229,
230,
231,
232,0.5551606924309029
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,
254,
255,0.53684677333055
256,0.463457851022324
257,0.907159597730678
258,0.985845531317424
259,
260,
