,0
0,0.937723766967416
1,
2,0.0905776021948167
3,0.647701552748311
4,0.275208590261988
5,
6,
7,
8,0.991310397973616
9,0.5847542724648579
10,
11,
12,
13,
14,
15,
16,
17,1.0
18,0.6953368098414661
19,0.696281496733973
20,0.994981103797498
21,0.987408122069103
22,
23,0.924721718614936
24,
25,0.870816315774131
26,0.9956309904188532
27,0.93754445167037
28,
29,0.968767138118364
30,0.709950362751525
31,0.991432482913628
32,0.569475730714459
33,
34,1.0
35,0.988953221940044
36,0.3830159863744621
37,0.88302387967862
38,
39,
40,0.370659235554222
41,
42,0.983116801448111
43,0.799532041664048
44,
45,0.984513973581416
46,0.960854057996165
47,0.998391750224756
48,
49,0.922283918312996
50,0.985007008472777
51,0.985443890443806
52,
53,
54,
55,
56,
57,
58,
59,0.813314910219045
60,0.780466779949146
61,0.985331087373142
62,0.24117364663075305
63,0.8957398093408091
64,
65,
66,
67,0.643524250033938
68,0.9759538707594472
69,0.9930260540488
70,0.9650582725718708
71,0.907159597730678
72,
73,
74,
75,0.922550575724868
76,0.918753861354182
77,
78,
79,
80,
81,0.922283918312996
82,0.81689394121963
83,0.6498325207626441
84,0.949497921206838
85,0.9250664449158608
86,0.7381654616971159
87,
88,
89,0.9306730051338408
90,0.4020371437205521
91,
92,
93,
94,
95,0.994671819284658
96,0.8158046491262908
97,0.9781618402775468
98,0.999735932446497
99,
100,0.698317075132162
101,0.977345908207503
102,
103,0.978653859868294
104,0.404880435597986
105,0.728215685496985
106,
107,0.273391357202177
108,
109,
110,
111,
112,
113,
114,
115,
116,0.342643594235228
117,0.9482768234053393
118,0.962180208408624
119,0.754343707635355
120,0.7278713789567509
121,0.9602937219651708
122,0.795620357128718
123,0.985254644466208
124,0.8504164486243639
125,0.88302387967862
126,0.6241275733164621
127,0.904203276732192
128,0.7883837349838041
129,0.705370242601504
130,0.9620272868566452
131,0.825122136164193
132,0.984513973581416
133,
134,0.41177436967101
135,0.876047582986011
136,0.93158304466357
137,0.338093405167342
138,0.998391750224756
139,
140,0.8762073827877759
141,
142,0.6622963485358431
143,0.987858357799358
144,0.99888858997662
145,0.987749365276244
146,0.68721001054093
147,
148,0.6297361205960171
149,0.569939265346251
150,
151,0.9781618402775468
152,0.9616440701504592
153,0.988900890773286
154,0.91788660243619
155,0.983592477651538
156,0.910621188131555
157,0.745971973642101
158,0.322746523529932
159,0.7490634680211529
160,0.4126609105710421
161,0.9783585844878993
162,0.8380439075044399
163,0.992467603288718
164,0.929580029753634
165,
166,0.739265153587075
167,
168,0.9505474798224508
169,0.99896515390543
170,
171,
172,0.755987130738471
173,
174,0.9571520085863808
175,
176,0.346359929733447
177,
178,0.42121337571444506
179,
180,
181,0.7179960872553051
182,
183,0.647701552748311
184,0.9871952194617192
185,
186,
187,0.769612247507499
188,
189,0.15695268813975302
190,0.9985561678518192
191,0.833662858893934
192,
193,0.9710897042181228
194,0.804876605308132
195,0.784505655401712
196,0.949497921206838
197,
198,0.94609318587446
199,
200,0.8380439075044399
201,0.870816315774131
202,0.977345908207503
203,0.991310397973616
204,0.985443890443806
205,
206,1.0
207,
208,
209,1.0
210,
211,0.99677527810077
212,
213,0.385758141833374
214,0.6779002668922349
