,0
0,0.9487958625078392
1,0.0769022196158943
2,0.7755474131444371
3,0.4995896082917021
4,0.237432858954352
5,0.8623683637389471
6,0.38242911508323
7,
8,0.9351626511649292
9,0.5810335970928221
10,0.429618605600076
11,0.79634776949558
12,
13,
14,
15,
16,0.64386402830434
17,
18,
19,0.979420689093648
20,0.90507129225142
21,0.791010787909722
22,0.984216604730578
23,
24,0.0017179473315581699
25,0.4483559046223661
26,0.98571159816044
27,
28,0.301619712663802
29,0.9788337528265332
30,
31,
32,
33,
34,
35,
36,0.9134241106384822
37,0.209963894765401
38,0.855103949865489
39,0.0215786485530174
40,0.6678303164152559
41,0.13402329787412598
42,0.6236090438535999
43,0.143652162610159
44,
45,0.5248943799422721
46,
47,
48,
49,0.134978836881414
50,0.361056489360932
51,
52,
53,
54,
55,0.881641418508649
56,
57,
58,0.6137403857588211
59,0.206669913798406
60,0.7399671146704409
61,
62,0.0342965041042566
63,0.181043585161891
64,
65,
66,
67,
68,
69,1.70268765901253e-06
70,
71,
72,
73,
74,0.554916557145364
75,0.917490987568927
76,
77,0.9134241106384822
78,0.422750686228978
79,0.8185911709432561
80,0.289278683096276
81,
82,0.995902576765159
83,
84,0.880565560688377
85,0.65205843396606
86,
87,
88,
89,
90,0.0273375367361381
91,0.6706455988248521
92,
93,0.3551570992188029
94,0.0147857664150315
95,
96,0.28943903312631497
97,0.927253380912014
98,0.553666490852899
99,0.7133079442634059
100,0.337864653633101
101,0.42244200422970296
102,0.7372252442880441
103,0.843501889803868
104,
105,
106,0.714928305227966
107,0.0379014529967856
108,
109,0.5433808631932151
110,
111,0.8828785890685409
112,
113,0.173033323552161
114,0.934924453250687
115,0.00734732048597392
116,0.935187601251609
117,5.773298384669089e-05
118,0.8268938945801608
119,
120,0.109047093394695
121,0.836734122419888
122,0.6935942338825071
123,
124,0.8144228860649559
125,
126,0.731791399033754
127,
128,
129,0.965895981732994
130,
131,
132,0.0374083441894031
133,0.17322732934962898
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,0.6447994623133471
149,0.411372451754316
150,0.759252482083751
151,0.7094871036637571
152,
153,
154,
155,0.212398042371733
156,0.9812552578902
157,
158,
159,
160,
161,0.188728950128855
162,0.901594531448814
163,0.700656136440508
164,0.9807060231978372
165,0.8272055391088531
166,0.939130802929099
167,
168,
169,0.940648686722106
170,
171,
172,
173,
174,0.33437289948191
175,0.99615932178194
176,0.0639833548772474
177,
178,
179,
180,0.0416257359197823
181,0.9177253188033128
182,
183,0.693150081385485
184,
185,0.781135203255728
186,0.904640960543211
187,0.7940050732858679
188,
189,
190,
191,
192,0.9724537600904092
193,
