,0
0,0.199060820401351
1,
2,0.6294295532545179
3,0.8534888951039201
4,0.8104364927993379
5,
6,
7,
8,0.4512573328158139
9,0.689037636600003
10,
11,
12,
13,
14,
15,
16,
17,1.0
18,0.338588109489533
19,0.840566553593635
20,0.45885629734594
21,0.260819527133468
22,
23,0.3862107530835969
24,
25,0.186051380144936
26,0.147570911169362
27,0.721438122075237
28,
29,0.995902576765159
30,0.7748481028856609
31,0.9769144357262228
32,0.151175091676551
33,
34,1.0
35,0.972298185928441
36,0.15225377603578902
37,0.9581637027623028
38,
39,
40,0.7263638890923199
41,
42,0.9788337528265332
43,0.65051346252688
44,
45,0.9612089901230492
46,0.906591124377957
47,0.9466910158230232
48,
49,0.344189293965201
50,0.809562354687797
51,0.707289856717987
52,
53,
54,
55,
56,
57,
58,
59,0.493237050024471
60,0.953213005447032
61,0.924100714283458
62,0.047833507000388
63,0.511683209851318
64,
65,
66,
67,0.417850696526594
68,0.7840950265721841
69,0.599289068953384
70,0.7252199851230592
71,0.7072546146093579
72,
73,
74,
75,0.910360602015765
76,0.786272791147855
77,
78,
79,
80,
81,0.5182362059226471
82,0.84733229069113
83,0.152779236873703
84,0.7039155792445931
85,0.721235142620764
86,0.0167311574318419
87,
88,
89,0.909086172347625
90,0.00481356805956633
91,
92,
93,
94,
95,0.425073056762049
96,0.9773026964805348
97,0.805364752070082
98,0.9835823359303628
99,
100,0.9337416524537858
101,0.191405015221382
102,
103,0.517647966425026
104,0.516016853683556
105,0.6236090438535999
106,
107,0.0175742826633754
108,
109,
110,
111,
112,
113,
114,
115,
116,0.0639833548772474
117,0.73444237603476
118,0.755485958380813
119,0.7772054484061
120,0.361056489360932
121,0.982822964971688
122,0.919532974171128
123,0.414419233597919
124,0.6471748720959001
125,0.5433808631932151
126,0.4006171412806029
127,0.82040583405942
128,0.8964100360606191
129,0.470423226085981
130,0.611326959556516
131,0.538517737061059
132,0.886196833173843
133,
134,0.985430626441224
135,0.7459771832036279
136,0.336977037264395
137,0.00734732048597392
138,0.9536557405228492
139,
140,0.978812137049584
141,
142,0.146709858504998
143,0.12841086043501
144,0.611800965197101
145,0.933770612590768
146,0.911370698255952
147,
148,0.0375445922138073
149,0.3528008532682589
150,
151,0.853876252615499
152,0.657630949031653
153,0.9353555771703872
154,0.6620414822646129
155,0.917665864292314
156,0.477408729554905
157,0.39136211256168296
158,0.0319138332194743
159,0.36093367164713
160,0.6632472652008039
161,0.8418459639277021
162,0.394301584809809
163,0.534058149779353
164,0.36513059154787897
165,
166,0.541601728679927
167,
168,0.984216604730578
169,0.983282484139156
170,
171,
172,0.8548982841585592
173,
174,0.4703518900124301
175,
176,0.940408256088227
177,
178,0.3984266678512221
179,
180,
181,0.17530247736617002
182,
183,0.247794323310653
184,0.771867033180071
185,
186,
187,0.990395286703154
188,
189,0.7307760608940519
190,0.9954204395832992
191,0.675812083662301
192,
193,0.3549058080726679
194,0.995325115205251
195,0.850655521153076
196,0.980525154724894
197,
198,0.5909898540190289
199,
200,0.802048052528801
201,0.628845306252762
202,0.554941884358413
203,0.697892093573266
204,0.460750957325224
205,
206,1.0
207,
208,
209,1.0
210,
211,0.9769144357262228
212,
213,0.628845306252762
214,0.668871685811261
215,0.9313319346950908
216,0.00426036342739221
217,0.4630628598722271
218,0.022892650591768
219,0.23772075000198606
220,
221,
222,
223,0.8999929702219192
224,
225,
226,
227,
228,0.6236090438535999
229,0.9963227825791172
230,
231,
232,0.5952508304445839
233,0.628845306252762
234,
235,
236,0.616544733092804
237,
238,
239,
240,0.30344115731736204
241,
242,
243,
244,
245,
246,0.942746801581909
247,
248,0.919874172480413
249,
250,
251,
252,0.4328944808068701
253,
254,
255,0.851048388463162
256,
257,
258,
259,
260,
261,
262,
263,
264,
265,
266,0.8999203691401109
267,
268,0.96733790520107
269,0.11431600871641197
270,
271,
272,
273,
274,
275,0.556564823720601
276,
277,
278,0.220552715154048
279,
280,
281,
282,0.153170187397917
283,0.62293984085316
284,0.7262016417415419
285,0.8171951237826299
286,0.233627693769208
287,0.91277440933045
288,
289,
290,
291,
292,
293,
294,0.8138085660605171
295,
296,
297,0.454632389501938
298,0.6934732414498229
299,
300,0.9860129630183772
301,
302,
303,
304,0.27666485383774
305,0.0258276219165699
306,0.9507222861016108
307,0.742957735572212
308,0.8980043885105601
309,
310,0.8605169892001021
311,
312,0.123281081284191
313,0.887020597895828
314,0.7153664351167281
315,
316,
317,
318,0.442315920788816
319,0.7683906885466429
320,
321,0.658740843386875
322,0.74133165891413
323,0.7583321055064809
324,
325,0.16108185756496898
326,
327,0.0722879582943172
328,
329,
330,
331,
332,
333,
334,
335,0.940648686722106
336,0.8794682638780591
337,
338,
339,
340,
341,0.777123187110648
342,
343,
344,
345,
346,1.0
347,
348,
349,0.802048052528801
350,0.485132695817929
351,
352,
353,0.850655521153076
354,
355,
356,
357,
358,
359,0.934924453250687
360,
361,
362,
363,
364,
365,0.9379191627922472
366,
367,0.8010689926582231
368,
369,
370,
371,0.916005053455752
372,
373,
374,
375,
376,0.561041393488901
377,0.33399074979180204
378,0.650606934996415
379,0.940648686722106
380,
381,0.573376871487405
382,0.9074850023169408
383,0.858342736292986
384,0.630640558161499
385,0.323349691901041
386,0.459884771511444
387,0.7185918639646139
388,0.905570716786389
389,1.0
390,1.0
391,0.646578379667677
392,
393,
394,0.85902762072698
395,0.5763052138336899
396,0.684562276658245
397,0.905366113819582
398,
399,
400,0.786272791147855
401,
402,0.972003312838999
403,
404,
405,0.980858001590478
406,
407,0.412540739382141
408,
409,
410,
411,
412,
413,
414,
415,0.530715142598688
416,0.972298185928441
417,0.0015469071165545199
418,0.969678793780487
419,
420,0.8548982841585592
421,0.7423014044189592
422,0.41294862193198
423,
424,0.984216604730578
425,
426,
427,
428,
429,0.9675962878167
430,0.662679178724284
431,
432,
433,0.7330565334156209
434,
435,
436,0.935187601251609
437,
438,
439,
440,0.30390179232688
441,
442,
443,
444,
445,0.0797423284720318
446,
447,
448,
449,
450,
451,0.988398585887229
452,0.2914350613192669
453,
454,
455,0.9225833821286932
456,
457,
458,0.9313319346950908
459,
460,0.836587327807139
461,
462,
463,
464,0.0279433016313426
465,
466,0.0702496054103869
467,
468,
469,1.0
470,0.937674211615644
471,0.875562223199451
472,
473,0.9807060231978372
474,0.9963227825791172
475,
476,
477,
478,
479,
480,
481,
482,0.836734122419888
483,
484,0.7664858413935078
485,0.631453614331265
486,0.688999365664255
487,0.7349616095500191
488,0.9487958625078392
489,0.0765595029647162
490,0.672148938000443
491,0.982007670216362
492,
493,0.970628212967843
494,0.937674211615644
495,
496,0.937674211615644
497,0.789364889836723
498,0.7757101242217621
499,0.78275114147163
500,
501,
502,0.464266309305898
503,
504,0.958781336644352
505,0.409309536355507
506,0.600181158483672
507,
508,
509,
510,
511,0.0345672642521916
512,0.6265509140238779
513,0.907293363793486
514,
515,0.9347001731380408
516,
517,
518,
519,0.9784534958712968
520,0.756240966151001
521,
522,0.792161272777192
523,0.929583533078745
524,0.3810701680355611
525,0.764385673534977
526,0.7930421902503809
527,
528,1.0
529,
530,
531,
532,
533,
534,
535,
536,
537,0.478870154299352
538,
539,0.132830953700122
540,0.732857723579662
541,
542,0.596860263890444
543,0.488296590886574
544,0.760471928873779
545,0.983019329355746
546,0.9532755807966428
547,0.47928516164156
548,0.9719564400414732
549,0.812353020961601
550,0.589674669239758
551,
552,0.693150081385485
553,
554,
555,
556,
557,
558,0.958354162203227
559,
560,
561,0.10360120759787
562,0.7195578316164399
563,
564,0.847621400692332
565,0.8765825590384151
566,0.4328944808068701
567,
568,
569,
570,
571,
572,
573,0.9818130664700648
574,0.75323312378569
575,
576,0.158223323165339
577,1.0
578,
579,
580,
581,0.782368310225479
582,0.612074693361602
583,
584,0.399131682539824
585,
586,0.644236521116368
587,
588,0.9171524542507392
589,
590,1.0
591,1.0
592,0.647063389144446
593,0.7951841051471479
594,
595,
596,0.650623782103612
597,0.6295326308915171
598,
599,
600,
601,0.725087722962486
602,0.22171125074697
603,
604,0.714928305227966
605,
606,
607,
608,0.479223365394264
609,0.9860129630183772
610,
611,
612,
613,
614,
615,
616,0.937659261570318
617,0.7819364255454491
618,
619,
620,
621,
622,0.8968842303418979
623,
624,0.8147121667711121
625,0.248294813194564
626,0.7536824474337191
627,0.9963227825791172
628,0.35334609527213
629,
630,0.319966735830787
631,
632,0.35690281957384296
633,
634,
635,0.248294813194564
636,0.871414308065981
637,0.981287898106515
638,
639,0.630955508615049
640,0.105894738091389
641,0.6403353342755439
642,
643,
644,0.9835823359303628
645,
646,
647,0.5102692295471121
648,0.84411037690296
649,
650,
651,
652,0.626726262749713
653,
654,
655,
656,
657,
658,
659,
660,
661,0.80631896199885
662,
663,
664,
665,0.0416191198432053
666,
667,
668,
669,0.68896577073515
670,0.473573305047063
671,
672,
673,
674,0.229676930701611
675,0.438319749874581
676,0.076622749225735
677,0.481094808402831
678,0.7742046032911191
679,0.004154607566299561
680,0.599190480285535
681,
682,
683,0.813219134682331
684,0.7690372136598879
685,0.233627693769208
686,
687,
688,
689,0.9678687359935028
690,0.40693778229137706
691,
692,0.935964153021674
693,
694,0.985371729008078
695,0.8834917419235749
696,
697,
698,0.474876664697553
699,0.6423932571452471
700,0.9496494612065748
701,
702,
703,
704,
705,0.926487130456121
706,0.80311578305458
707,0.5245302631288781
708,
709,
710,
711,0.8000871600155899
712,0.9963227825791172
713,0.252589325559184
714,0.984216604730578
715,0.813219134682331
716,0.868743518746092
717,0.0693813375800289
718,0.27826577800487
719,
720,
721,
722,
723,
724,
725,
726,
727,
728,
729,
730,
731,
732,
733,0.8809842532749592
734,0.49830740091362
735,
736,0.7868088498507491
737,0.37482988206644696
738,0.618326538701949
739,0.9487849544901872
740,
741,0.980490580412902
742,0.965895981732994
743,0.6580862434475301
744,0.6602915853637429
745,0.7702608796282192
746,0.202754677297882
747,0.77797575885898
748,0.571139781656537
749,
750,0.52633443563529
751,
752,0.81272423379208
753,
754,
755,0.5381800582997129
756,
757,
758,
759,0.9313319346950908
760,0.494442507436971
761,
762,
763,0.543724331947385
764,
765,
766,
767,
768,1.0
769,0.8978444513780509
770,0.318207057896386
771,1.0
772,0.995902576765159
773,0.4262734650689389
774,
775,
776,
777,0.610362045915787
778,0.682515547950433
779,
780,
781,
782,0.594789657006089
783,
784,0.12085426943603697
785,
786,
787,0.7894727815723191
788,
789,0.86542668886812
790,0.8548982841585592
791,
792,
793,0.68896915055288
794,0.75323312378569
795,
796,0.8031012097656429
797,0.0381368414387826
798,
799,
800,0.376660661833089
801,0.416029801085336
802,0.34704325298002897
803,
804,
805,0.553666490852899
806,0.8110469171183551
807,0.693254832809515
808,0.8894547331268821
809,
810,
811,
812,
813,
814,0.554263146008444
815,
816,
817,0.695927386625533
818,0.7343871356545909
819,
820,0.229676930701611
821,0.264419492659246
822,
823,0.712704875094083
824,0.880624559459868
825,0.8548982841585592
826,0.6357270641500861
827,
828,0.285588100427195
829,0.969640142211455
830,0.91277440933045
831,0.0137618852273649
832,
833,0.0751120218030124
834,0.758637648621638
835,
836,0.5857719364671939
837,
838,
839,
840,
841,
842,
843,
844,
845,
846,0.950393081950488
847,
848,0.9774481637973228
849,0.498206817791978
850,0.952205663997668
851,0.7958026780763591
852,0.693201912141026
853,
854,0.62720072507363
855,0.7826082444154449
856,0.676069411349515
857,0.117707792019439
858,0.76864432838954
859,
860,0.9082188547655842
861,0.517503493791306
862,0.849138669896746
863,0.5440421471580089
864,0.917825440861073
865,
866,0.0145232311826839
867,0.640494815196084
868,0.8707170060254631
869,0.400932125630949
870,
871,0.9957027408724152
872,0.969640142211455
873,0.957126043823454
874,0.790825089991803
875,0.807877301334465
876,
877,
878,
879,0.860647952711679
880,0.703740951619925
881,
882,
883,
884,
885,
886,
887,
888,
889,
890,
891,0.6749316879612641
892,
893,
894,
895,
896,0.590096133405703
897,
898,0.6158890391969051
899,
900,
901,
902,
903,0.9612089901230492
904,0.937727144233467
905,0.262487141985842
906,0.8790817837052249
907,
908,0.8706797913491321
909,
910,
911,
912,0.990314072039573
913,
914,
915,
916,
917,
918,
919,0.438319749874581
920,0.935187601251609
921,
922,0.958958916664254
923,0.73864531516579
924,
925,0.0814552555774418
926,0.353659074575689
927,0.895552786017193
928,0.814330295433014
929,0.841713117828072
930,
931,0.9905660691542548
932,0.4877032900113811
933,
934,0.9977200720750572
935,
936,0.208547934271258
937,
938,0.821315628578124
939,0.8548385762126791
940,
941,
942,0.329179640913338
943,
944,
945,
946,
947,
948,0.0168668763594831
949,0.7904493745360001
950,0.565284326986344
951,0.0498775528249331
952,0.8303487449623091
953,0.6853700288099019
954,
955,
956,
957,0.6581767454321321
958,
959,
960,
961,
962,0.9889337775854448
963,
964,1.0
965,0.907844082139875
966,0.5752247684916739
967,
968,
969,0.571139781656537
970,
971,0.8548982841585592
972,
973,
974,
975,
976,
977,0.99615932178194
978,
979,
980,0.590100972822432
981,
982,0.7951841051471479
983,0.726264877248216
984,
985,0.582059307212052
986,
987,0.641797396921786
988,
989,
990,
991,0.857974328832167
992,0.975649733502858
993,0.259883464143545
994,0.8000871600155899
995,0.184873821594408
996,0.905570716786389
997,
998,
999,
1000,0.78275114147163
1001,
1002,
1003,
1004,
1005,
1006,
1007,
1008,0.95501149309702
1009,0.34266255897018105
1010,
1011,
1012,0.6236090438535999
1013,0.678389245133034
1014,0.22997552594587806
1015,
1016,0.9886561297600692
1017,0.760471928873779
1018,
1019,0.935964153021674
1020,0.9774481637973228
1021,0.520288011063679
1022,0.46123003373203
1023,0.6923215382066679
1024,0.934406930369923
1025,0.427813528467266
1026,0.8629362375985921
1027,0.80311578305458
1028,0.446131172942438
1029,0.25773798165006195
1030,0.8471817141078409
1031,0.207381415016802
1032,0.282156192908062
1033,0.906300377233765
1034,0.411372451754316
1035,0.7002608454977061
1036,0.7757101242217621
1037,0.96733790520107
1038,0.095099579808721
1039,0.507888812978202
1040,0.8887451587254479
1041,0.934406930369923
1042,0.9471628935380292
1043,0.9957027408724152
1044,0.893025896334181
1045,0.20961970926304105
1046,
1047,0.6580862434475301
1048,0.3549058080726679
1049,
1050,
1051,
1052,
1053,0.0894026954094751
1054,
1055,0.819321754572223
1056,0.910511745897207
1057,0.898002468158611
1058,0.6794804623815539
1059,0.555598848742615
1060,
1061,
1062,0.3792647045686201
1063,1.0
1064,1.0
1065,0.85902762072698
1066,
1067,
1068,
1069,0.33336830391909195
1070,0.258784407231379
1071,
1072,
1073,
1074,
1075,
1076,
1077,0.592996044853135
1078,
1079,
1080,
1081,0.364030129122008
1082,0.184592238460101
1083,0.0299810797259773
1084,0.144951740385987
1085,0.641936582655849
1086,
1087,0.288576977276532
1088,
1089,
1090,
1091,
1092,
1093,
1094,
1095,
1096,
1097,
1098,0.0390456355804108
1099,0.057449389532003
1100,0.38625217100266
1101,0.8711553056936351
1102,
1103,0.0769022196158943
1104,0.927342907430537
1105,0.941040126056647
1106,0.839314758238488
1107,0.629683479288317
1108,
1109,
1110,
1111,
1112,
1113,0.0293278992441407
1114,0.937674211615644
1115,0.906396462865432
1116,0.484521090388135
1117,0.5275041980789521
1118,0.850655521153076
1119,0.3857484160151
1120,
1121,
1122,0.658880967145005
1123,
1124,
1125,
1126,0.6194977177815401
1127,
1128,
1129,
1130,
1131,
1132,
1133,
1134,
1135,
1136,
1137,
1138,0.6407975474972359
1139,0.669120288059363
1140,
1141,
1142,
1143,0.630955508615049
1144,0.284466943053221
1145,
1146,
1147,0.683941956634331
1148,0.00019235756091473002
1149,0.420860476945194
1150,0.8907007029621519
1151,
1152,
1153,
1154,0.656782979745364
1155,0.8033261395198059
1156,
1157,
1158,
1159,
1160,0.573825441339324
1161,0.336977037264395
1162,0.678058919278706
1163,0.763744013069369
