,0
0,0.3895915078540321
1,0.270241447309584
2,0.0233331115295706
3,0.0215456537742909
4,0.000423666030978056
5,0.562279603951814
6,4.05183961230341e-05
7,0.71675699919239
8,0.00958711166613962
9,0.0381226990282528
10,0.164195276284507
11,0.840624260046106
12,
13,
14,
15,
16,0.214702879420279
17,0.0124911152522875
18,
19,0.0484332609512772
20,0.8020432900284208
21,0.183583048593858
22,0.942755248539946
23,
24,0.0109034619077996
25,0.18018915376103606
26,0.0480044341772303
27,
28,0.16028668923283598
29,0.000332080403858898
30,
31,
32,0.0034890667772252896
33,
34,
35,0.785298357130713
36,0.54090175030953
37,0.130720209525258
38,0.5895882717568549
39,0.0490936086434217
40,0.8141438797767628
41,0.135048030530609
42,1.47100854125267e-05
43,0.0170566047931106
44,0.014177047445300446
45,0.975357094736508
46,
47,
48,0.0925778797447108
49,0.00557473918377256
50,0.000779849779940114
51,
52,
53,
54,
55,0.0016229751472750802
56,1.2401427977463499e-05
57,0.7272485158797242
58,0.879976068522193
59,0.131177917232981
60,0.691699047074189
61,2.72148071020623e-05
62,0.0743035012369301
63,0.932547075437032
64,
65,0.93980814575797
66,
67,
68,
69,0.207284130950948
70,0.0498107276390111
71,
72,0.581362349150908
73,0.0745428781517373
74,0.398869308830585
75,0.963017123116595
76,
77,0.0185132998051768
78,0.408325496521432
79,0.0813032035466009
80,1.54302991395302e-05
81,0.559542778215152
82,0.0369976710939117
83,
84,0.29906602569752505
85,0.10524803872879697
86,
87,
88,
89,0.11140383182954304
90,0.03829132862921
91,0.00501053753325246
92,0.6339308595220621
93,0.787071456352056
94,0.627789137234794
95,0.000752721683811651
96,0.770921672315617
97,0.126670687439513
98,0.0037118653496237
99,0.141635072822008
100,0.242897719308575
101,0.7904668321341229
102,0.00995294582496805
103,0.717412964451595
104,0.48359287819632
105,
106,0.0146777506154993
107,0.398412621857932
108,
109,0.447877486865594
110,0.276913680009325
111,0.553892132829557
112,0.487892410356621
113,0.594222835748693
114,0.0371934693153563
115,0.8714312003984921
116,
117,0.000472862889981625
118,0.0282650162245987
119,
120,0.108923729815213
121,
122,0.000429485574871356
123,0.0368439651925132
124,0.0038725203215242213
125,0.0908478581408575
126,0.000141765557159167
127,0.0230566940605598
128,
129,0.332390411451276
130,
131,
132,0.044599845445402006
133,0.31050952014450395
134,
135,
136,
137,0.916666191455709
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,0.159279434394837
148,0.0239299672846403
149,0.00280407817882474
150,0.0780091627515359
151,0.00017021802376393898
152,
153,0.390695389591074
154,
155,0.994248741975414
156,0.3965162135367771
157,
158,
159,
160,
161,0.0371934693153563
162,0.000721011199115869
163,0.211774427613902
164,0.280107217283318
165,0.50532102859283
166,0.6779603641086751
167,0.000141765557159167
168,2.2943731096598897e-05
169,0.117298762455138
170,0.0174595841115088
171,
172,
173,0.0015904814999497
174,0.19500846020945495
175,0.229389893453368
176,2.6397912551215398e-05
177,0.284596218766367
178,
179,0.7947902799228929
180,0.16420855423329098
181,0.0130956245407465
182,0.44858281470304495
183,0.033994868980514
184,
185,0.6248979082385879
186,0.0366101191151771
187,0.015812425626021
188,
189,
190,
191,
192,2.11210067291492e-09
193,0.40750287957933895
194,0.00497500091744854
195,0.4612512585759029
196,0.664974208121328
197,0.9404905378095808
198,0.264449166785537
199,
200,
201,
202,0.54415747025351
203,2.72148071020623e-05
204,
205,0.7209399855393891
206,0.0575751516498035
207,
208,
209,0.242082265948059
210,0.8302447619812791
211,5.31339107815631e-07
212,
213,
214,
215,0.680983943182128
216,0.0150132808042174
217,
218,
219,
220,
221,
222,0.32794552379855296
223,0.0011409664883859
224,0.8333202309267891
225,4.38468843216076e-05
226,0.0824586885374433
227,0.0655960708258649
228,0.0354579058189591
229,
230,
231,
232,
233,
234,0.927074989010008
235,
236,0.0366101191151771
237,6.568561308852609e-05
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,
254,0.0057567302493454
255,0.410596621894887
256,0.0708084806712611
257,0.993234693406252
258,0.561405782127641
259,
260,
261,5.84495503124274e-08
262,
263,0.986463003171722
264,0.0122349798055537
265,
266,0.000123664474127575
267,0.009942853992835921
268,0.324169556048797
269,
270,0.0020996483968573803
271,
272,0.3071720543450689
273,0.0963118012528415
274,
275,
276,
277,
278,0.239875321528649
279,0.450533426711492
280,0.0968465054733803
281,0.7974994022137621
282,
283,
284,8.50542141696237e-05
285,0.7884087456767971
286,0.448973760210906
287,
288,
289,0.23465759039948805
290,
291,5.792694920442929e-15
292,0.0163577605837858
293,0.549345330927484
294,
295,0.00392754291431302
296,0.14626924634260402
297,
298,0.0831230354671259
299,7.50772348931404e-05
300,0.573426357243522
301,0.396192849222281
302,0.443370312395935
303,0.695928210693748
304,0.499063977014544
305,0.566996757229092
306,0.180523469326555
307,
308,
309,0.406439957794413
310,
311,
312,
313,0.020581335629334
314,0.8733916320111831
315,0.176328533793879
316,0.15810440337033
317,0.17946066396385
318,0.395382836528584
319,0.8980273677075051
320,
321,
322,0.172681375759907
323,0.813204424236093
324,
325,0.00270271463198049
326,
327,
328,0.7094180599402891
329,
330,0.9903568681192478
331,0.0788427433702429
332,0.8716622566397629
333,0.416929931130641
334,0.444855775283974
335,0.338365350825145
336,0.34624798315403604
337,0.000507195024004424
338,0.408325496521432
339,0.29453532941462
340,
341,0.0025271774607925897
342,0.0267096342762359
343,0.264921245476413
344,0.00189787766239154
345,0.610638615690031
346,0.621899980428946
347,0.0118189080875411
348,0.181898673045475
349,0.917894370339825
350,0.89674121183355
351,0.31721419851974497
352,
353,0.823941720348077
354,
355,
356,
357,
358,
359,
360,
361,0.360829609503336
362,0.122362140931808
363,0.85620131655028
364,
365,
366,0.797588578412538
367,0.762778983286255
368,
369,0.8212197328730799
370,
371,
372,0.31044601930444204
373,
374,
375,0.064092661103502
376,1.51002686707336e-05
377,3.356657458462491e-07
378,
379,
380,0.00161385512142319
381,
382,0.00652066951291848
383,
384,
385,
386,
387,0.0119247868944896
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,
399,
400,
401,0.7048069977139642
402,0.275621207492543
403,0.0293145368575366
404,0.402825211477256
405,
406,
407,
408,
409,0.35779879644001394
410,0.935150299031382
411,8.966605895537401e-08
412,0.860162844554652
413,0.969840034266052
414,
415,
416,0.0016721630724041599
417,0.96571062458788
418,3.0967085440291803e-07
419,0.216457856564701
420,0.981349021160639
421,0.513583617488829
422,0.107948050459963
423,3.5074053118597198e-06
424,0.00059641764775762
425,
426,
427,0.7470905005081869
428,
429,
430,
431,
432,0.0366101191151771
433,
434,0.0151271092817755
435,0.00981359747919249
436,0.0722174132123047
437,0.231838937221354
438,0.236631891940986
439,0.14104058144074402
440,0.0182790964442264
441,0.7181582579550401
442,0.15652886846949898
443,
444,0.7896971622417142
445,0.102387416333856
446,0.0011191811155118
447,0.699468032484522
448,0.507115269052371
449,0.153559365140761
450,0.08637808664101901
451,0.9548898981476228
452,0.18368126241442695
453,
454,
455,0.00455437093980947
456,
457,0.10023858107754
458,0.00961242031590976
459,0.235360243729932
460,0.421553431925166
461,0.00020347271232304498
462,0.00177434406997612
463,0.1042063120194
464,0.00823272093012876
465,0.118491644596991
466,0.5625925626040171
467,0.380067727435314
468,0.8714312003984921
469,0.0008792727476711112
470,
471,0.0600394576653941
472,0.727384030946707
473,0.719060390734882
474,0.00310493476958122
475,
476,
477,
478,
479,0.614948859765389
480,
481,
482,
483,
484,
485,
486,0.487649051280081
487,
488,
489,0.00947435695314939
490,0.325250320064698
491,0.00110122500183481
492,0.118607743502026
493,0.7194919165920579
494,0.172681910305609
495,0.792377111360177
496,0.8277058641469741
497,0.582833164195376
498,0.807244234330768
499,0.0428967511814254
500,0.255987386619492
501,0.5620694221954771
502,0.0250757280849276
503,0.457153638356715
504,0.0793325889487394
505,0.678726170234597
506,0.89407961443861
507,0.38838087570596
508,0.6739558010942189
509,1.83930357732883e-06
510,0.580134931803426
511,0.0295143724504135
512,0.98907077395128
513,
514,0.84012961370397
515,
516,0.495702468304392
517,
518,0.880960594761402
519,0.17971222060478306
520,0.6431413761466421
521,
522,0.0266944686467205
523,0.0029997216471932
524,
525,0.469710543242095
526,
527,0.0757014999851617
528,0.450934329485305
529,0.20419121570725304
530,0.00414387324400707
531,
532,
533,
534,0.8426837052417611
535,0.6498381946543871
536,0.0046375025360452715
537,0.7993067784733221
538,0.31112395843175605
539,0.16864056023072
540,0.111577266496546
541,0.6229744933973229
542,0.0212825540682792
543,0.17135172300187698
544,0.390167112576835
545,0.129353984928945
546,0.00337555907557399
547,8.39689856900236e-05
548,0.185736929174478
549,0.8350668037789941
550,
551,
552,0.5220911588060391
553,
554,
555,0.0179835226165426
556,7.87128810959241e-08
557,
558,0.140063533013248
559,
560,0.274621810915327
561,0.0736646446290421
562,0.00908606475687548
563,0.443248750597836
564,
565,
566,
567,0.00166189080876514
568,0.2938111500759911
569,0.616386306508957
570,
571,
572,
573,
574,
575,
576,
577,0.6722790278568039
578,0.350075862900353
579,6.85337806838387e-08
580,0.428854137896006
581,0.391045752278165
582,0.0955864094655739
583,0.877453069480285
584,0.0290955807720806
585,0.0220624182893789
586,0.15444641849368498
587,0.629318462297995
588,0.00348179596082607
589,0.0188245974235943
590,0.6801716660023449
591,0.00528600645806395
592,0.450934329485305
593,0.0217249929928431
594,0.568476850848658
595,0.0907562255437606
596,0.1982918384985
597,0.106972268678732
598,0.124010134723299
599,
600,0.14949552737805802
601,
602,
603,
604,
605,
606,
607,
608,
609,
610,8.62934191063627e-05
611,
612,
613,
614,0.198710740112901
615,0.911189990826024
616,
617,
618,0.9156810863217808
619,0.471079923833902
620,
621,
622,
623,0.0480286126277954
624,0.18013859769103305
625,0.6604928189267031
626,9.58561203624339e-06
627,
628,0.9213937483736608
629,0.0813032035466009
630,0.00851415390399786
631,0.9373862804906752
632,
633,
634,
635,
636,0.493902640085229
637,0.0025817560468167607
638,0.0011463109124678
639,0.529954935571718
640,0.598755649452167
641,0.946576395177063
642,0.739002992258193
643,
644,0.2982953517070661
645,0.900458977917766
646,0.226906235865318
647,0.126213337935846
648,0.45468557464628
649,
650,
651,
652,
653,
654,
655,
656,0.0428100121782423
657,
658,
659,
660,
661,0.927386797246068
662,0.7538147691105451
663,
664,
665,
666,
667,0.0027763982541743107
668,
669,
670,0.320733200776748
671,0.0141783023702526
672,0.0355049632924601
673,0.17346826347826194
674,0.736407440399934
675,0.007957763732024909
676,0.34262262379592
677,0.3839902982730529
678,
679,
680,
681,0.934011253056804
682,4.91291924427705e-06
683,0.8612811521812651
684,
685,
686,0.00806163570954529
687,0.00280407817882474
688,
689,
690,0.00411572793700404
691,
692,0.0199611732831038
693,0.949169323068796
694,0.63548999188578
695,0.264921245476413
696,0.615470798474873
697,
698,0.0941014138083537
699,0.33674444292320305
700,0.420844033707718
701,
702,
703,
704,
705,
706,0.0284513547482723
707,
708,
709,0.94334712671437
710,0.16455172703546694
711,0.12822671400085098
712,1.0
713,
714,0.365750473278717
715,0.0248934548690129
716,0.34253178982790905
717,0.203774067775935
718,0.881546750378422
719,
720,
721,
722,0.7659365010921291
723,0.480422642502145
724,0.298760891341099
725,0.155944368114855
726,0.8535724894020409
727,
728,0.733215742028739
729,
730,0.0077873783918879
731,0.43224872151952
732,
733,
734,0.715282165406654
735,0.447478040403052
736,
737,
738,
739,0.953776008123414
740,0.0342262848415831
741,
742,0.4191298560590129
743,0.0143331100981952
744,0.0930569664696085
745,0.8277058641469741
746,
747,
748,0.597984449214569
749,0.0017173873435253901
750,0.00015924647894432
751,
752,0.723492557891107
753,0.8278656852947329
754,0.583522491137048
755,0.6268298387903001
756,0.0300472135132055
757,0.889750249160308
758,0.7837128817766179
759,0.526179377074612
760,3.7397182761482205e-05
761,0.8129675719649609
762,
763,3.6380891889527903e-09
764,
765,0.0846345340852945
766,0.20932367910297894
767,0.233930843526261
768,
769,
770,0.209935650667134
771,6.95011798191617e-07
772,0.6288250253252641
773,0.7677555111294301
774,0.288781962347502
775,6.510425221065692e-08
776,0.00011880132516636599
777,0.00013180369856031102
778,0.00268354361772863
779,0.23202255478114706
780,
781,0.5998760108903289
782,0.8465525287746879
783,
784,0.169521388325302
785,
786,0.7921834692543159
787,0.515382235932377
788,0.16132909563990802
789,0.124627953310886
790,0.00571136823413274
791,
792,0.1497049330536
793,0.700991557398204
794,
795,0.451114879591096
796,0.586939667440312
797,0.0115491656867262
798,0.787320730406609
799,
800,
801,
802,0.0187107042264451
803,
804,
805,
806,
807,0.6288250253252641
808,
809,0.00919040514583452
810,0.7832041330050009
811,0.0253900516559155
812,
813,0.23614271911385
814,0.965622724429516
815,0.0005912765313658492
816,0.0340225385602537
817,0.676865596294467
818,0.00211397422495358
819,0.814594447165128
820,0.734672303010088
821,
822,0.0171442636614349
823,0.8043055064842349
824,0.130149767964718
825,0.619855530147994
826,
827,
828,0.7341523260016608
829,
830,0.9535592329060308
831,
832,0.790023565049118
833,0.790532397794446
834,
835,0.8146513833628101
836,
837,
838,
839,
840,
841,0.7121326120132551
842,0.000338233560759451
843,0.36798701205918105
844,0.7941208187468259
845,0.0775909025273729
846,0.133319562792184
847,
848,0.130728198240629
849,0.850564559873796
850,0.775602944611514
851,1.52682430293547e-06
852,2.44761346806237e-05
853,0.928479658108039
854,0.0166133421445209
855,0.0012215598186909
856,
857,
858,1.0
859,
860,
861,
862,0.00695489672911388
863,0.0595913100980337
864,2.02368725961754e-05
865,
866,
867,0.165304667108901
868,0.29215152111340803
869,0.039033434945268
870,0.89232539136831
871,
872,
873,6.8395139512204e-07
874,0.0001963548770274
875,0.3140687983904329
876,4.66907204615536e-07
877,0.6493784495131589
878,0.040856882200962015
879,0.0214755073162613
880,1.0
881,0.336503572028533
882,
883,0.0572247307973774
884,0.977178062785653
885,
886,
887,
888,
889,
890,
891,2.72148071020623e-05
892,
893,
894,2.63294992658653e-09
895,
896,
897,
898,
899,0.7141579684523269
900,0.5674842030306539
901,
902,0.126556800903802
903,
904,
905,
906,0.27403738741999106
907,0.208216720081775
908,0.141010812222962
909,0.207750762033013
910,0.6604928189267031
911,0.00231604858086602
912,
913,0.105255026088799
914,0.209877569708603
915,
916,0.452474490482533
917,
918,0.719060390734882
919,0.491782410235208
920,0.0617924238715102
921,0.0032428781764157607
922,0.156781157767015
923,
924,
925,
926,
927,0.0010453096510940304
928,0.435973664596948
929,0.8948178116439709
930,0.008802768139002859
931,0.620454786774057
932,0.0135871298200165
933,
934,0.398996623936247
935,0.0158495837912837
936,0.0211522851621688
937,0.597823417098839
938,0.12116500411220403
939,
940,
941,0.0957451688171573
942,0.7799943607593142
943,0.261989328576545
944,0.47769283717888
945,0.808547962476587
946,0.381686467623628
947,0.924514403407979
948,0.000650861245880078
949,0.93104180841924
950,0.597732347090034
951,0.6641790692524691
952,0.9347985013853009
953,0.000224696925026529
954,0.00669161758827528
955,0.205261750678992
956,0.206566923026019
957,0.9115695822345108
958,0.000552899623038767
959,0.4939645488993
960,0.471114628098783
961,0.10927548872229302
962,0.839939176925072
963,
964,
965,
966,0.565102158365067
967,0.00968640356056192
968,0.162077414660938
969,0.79847345481042
970,0.8752566052158991
971,
972,0.0041352800313252894
973,0.48359287819632
974,0.787795171419689
975,0.12521914937680198
976,0.36617832236047904
977,0.0985330147160863
978,0.163280151912443
979,0.0016991622194538099
980,
981,0.6889561265772529
982,0.0782261402852304
983,
984,0.0452039410590375
985,0.14912912068879
986,0.997291451559293
987,
988,
989,0.00387232333583787
990,0.0790159900619118
991,0.608555726639276
992,
993,
994,0.0113585553026807
995,
996,0.3649771107799079
997,0.660548058568536
998,0.624938860279545
999,
1000,0.9761242057891272
1001,6.198313412510129e-05
1002,0.3702112943984339
1003,0.20194814758973895
1004,0.319685057056562
1005,3.97941361803796e-05
1006,0.32550271549301
1007,0.7719495750751608
1008,0.941581495379953
1009,
1010,0.00706752841950757
1011,0.122813361397285
1012,0.451298940122414
1013,0.966754932300835
1014,0.0803271807652569
1015,0.125103107899045
1016,0.0196446480182668
1017,0.0020878165148055607
1018,0.13895598167009804
1019,0.6085508462766179
1020,0.400324086265386
1021,0.8903682428616999
1022,0.562279603951814
1023,0.143251917627104
1024,0.0234134514259956
1025,0.7921834692543159
1026,0.0243041922590025
1027,0.449842237806966
1028,0.0401753835383507
1029,0.5773819166390071
1030,0.00233692555141657
1031,0.828534249012595
1032,0.652380703345122
1033,0.9988047872065048
1034,0.7928006503612021
1035,1.0
1036,0.616503068694854
1037,0.8277058641469741
1038,0.84012961370397
1039,0.8227384677336229
1040,0.0552134405954145
1041,0.8738063314986501
1042,0.0578681153208653
1043,0.802345000722873
1044,0.547129563036691
1045,0.22296396364215695
1046,0.6892000929776969
1047,0.0210923201027964
1048,0.382162743047298
1049,
1050,
1051,0.974200029552269
1052,0.02444945677516
1053,0.5655372704788559
1054,2.03710494169549e-05
1055,0.965910229865437
1056,0.000353335810532219
1057,
1058,0.996129399049703
1059,0.29397704235625705
1060,0.21471437323150105
1061,0.00171654109581511
1062,0.346547297294778
1063,0.188483720168104
1064,0.553344543634817
1065,0.274708699500586
1066,
1067,0.6196740626049799
1068,0.537292319415894
1069,0.9353238616099
1070,0.5135538347062341
1071,0.499526924362017
1072,0.5713013213409119
1073,0.139751526250799
1074,0.196620921149863
1075,0.537361305151178
1076,0.934011253056804
1077,
1078,0.0622920291381863
1079,0.4870774753893471
1080,0.6085508462766179
1081,0.00439584448216956
1082,0.9503450057339448
1083,0.360934726835849
1084,0.0460677119490614
1085,
1086,
1087,
1088,
1089,
1090,0.0156645702308932
1091,
1092,
