,0
0,0.8038827371978501
1,0.11029761986297196
2,3.3893315563390597e-06
3,0.7825665242211249
4,0.274921139683948
5,0.325664390393425
6,0.0422480389939434
7,0.277930120785352
8,
9,0.9636039150553892
10,0.872640069745067
11,0.71362258341703
12,
13,
14,
15,
16,0.6132235426453431
17,0.29876668969735304
18,
19,0.19585450206839106
20,0.0823229057584507
21,0.00596104883587529
22,0.15659059701258898
23,
24,0.623008994518604
25,0.676823028047677
26,0.4114391588134771
27,0.603120431849154
28,0.5219169331592249
29,2.5300505750666603e-17
30,
31,
32,
33,
34,
35,
36,0.865203949547717
37,0.22775467325469606
38,0.966310559370317
39,2.12491605216589e-05
40,0.26963141380542105
41,0.0491711817906725
42,0.784581086156831
43,0.00893229236241875
44,
45,0.8152068107930369
46,
47,
48,
49,0.0845651184613624
50,1.61686361520814e-06
51,
52,
53,
54,
55,0.657563198049895
56,
57,0.785277544010507
58,0.306575510642387
59,0.331060012742064
60,0.282263049430198
61,0.384819481065094
62,0.0906683488158562
63,0.317988970476602
64,
65,
66,
67,
68,
69,0.717562905493215
70,
71,
72,0.528397561168411
73,
74,0.6925457766951629
75,0.575218672629058
76,
77,0.746139712588592
78,0.68535910853266
79,0.8040934210314371
80,0.96109873835235
81,
82,0.909956692086838
83,
84,0.482941695893871
85,0.8247807891200609
86,
87,
88,
89,
90,0.8889987115850679
91,0.0937414412872422
92,
93,0.273124848142242
94,0.0756193107037655
95,
96,0.8582369931579721
97,0.992572672551874
98,0.9476173218057108
99,0.960919191626029
100,0.9041052103336372
101,0.102004809990843
102,0.7264142897383851
103,0.488515638760195
104,
105,
106,0.8823303338678691
107,0.7989532509827242
108,
109,0.123755934769001
110,
111,0.979656748904112
112,0.00617528861609045
113,0.692213204681903
114,0.467417134150222
115,0.22683266841508
116,0.496798348483773
117,0.9248711259976508
118,0.8554623399810072
119,0.224338324039548
120,0.7956513262949342
121,
122,0.6132235426453431
123,
124,0.9625308022386948
125,
126,0.13495892265496098
127,
128,
129,0.434393732194639
130,
131,
132,0.895513936791072
133,0.8359634595590291
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,0.21490924399518505
149,0.106477632291748
150,0.8535601801819709
151,0.4408129146638
152,0.146587695054261
153,0.91821932663159
154,
155,0.9368315222301729
156,0.990697591095814
157,
158,
159,
160,
161,0.9816073292696592
162,0.9816073292696592
163,0.808004033145647
164,0.9030838000782232
165,0.10955464343202803
166,0.637622998124178
167,8.74437850268931e-05
168,0.873134724495487
169,0.7068841889304129
170,0.990697591095814
171,0.8125739557537439
172,
173,0.000261345289169708
174,0.0433663018351775
175,0.578312082421423
176,0.809851664227639
177,0.569741410331805
178,
179,6.98085606685885e-11
180,0.9316263285741558
181,0.898315914249788
182,
183,0.392338936122944
184,
185,0.5317945797963289
186,0.407283058196413
187,0.3788485054168661
188,
189,
190,
191,
192,
193,0.000141078716270575
194,0.981407782141741
195,
196,0.397716414968488
