,0
0,
1,0.34025327530075794
2,0.000160315753232063
3,0.18038578575092104
4,0.539494393599858
5,
6,
7,
8,0.74561787723195
9,0.520478813509307
10,
11,
12,
13,
14,
15,
16,
17,1.0
18,0.29922515073948
19,0.54022953270368
20,0.965197459511012
21,0.943173846222076
22,0.895513936791072
23,0.809263850036431
24,
25,0.224338324039548
26,0.974094178863976
27,0.6563018780912601
28,
29,0.9459977575023332
30,0.613790199954215
31,0.7878199404112679
32,0.293358453819477
33,
34,1.0
35,0.8009168612830441
36,1.75726984959262e-05
37,0.7820016355432651
38,0.901214889767336
39,0.515480051731545
40,0.6711067852999251
41,0.163091923474798
42,0.0314465370860793
43,0.7173046441756341
44,0.4114039468697021
45,0.557008781350687
46,0.163128348890509
47,0.363877796380383
48,0.14334224494262
49,0.6949474485189
50,0.0271494141248201
51,0.0539199872970372
52,
53,
54,
55,
56,0.477528896802889
57,0.109911158960907
58,0.328137722134937
59,0.07626345728798799
60,0.7351539382494159
61,0.935143086979394
62,0.0467301734867804
63,0.7632984855036891
64,0.166327672444558
65,
66,0.271613432603772
67,0.9970240558662192
68,0.594717560051402
69,0.7320380981751229
70,0.9982121439322909
71,0.21798612046136895
72,
73,
74,0.23513703402455105
75,
76,0.974630633727104
77,
78,
79,
80,
81,0.621462278177301
82,0.199392147505133
83,0.144711389199745
84,0.0029797714753090608
85,0.023784915964051
86,
87,
88,
89,0.930566557537173
90,0.011850698731493
91,0.265455580345881
92,0.219387815604157
93,
94,0.916797133095011
95,0.806977782977232
96,0.859871887621745
97,0.934006927311684
98,0.0354860917521626
99,
100,0.5607993824492671
101,0.773332956047321
102,
103,0.702504973630609
104,0.986733175787054
105,0.8166876495951151
106,
107,0.7669361270575992
108,
109,
110,
111,
112,
113,
114,
115,
116,0.8260531318033599
117,0.3488996611936311
118,0.922226881135688
119,0.986724797131588
120,0.512162880805235
121,0.472548699043271
122,0.4206128111341471
123,0.21968993020918104
124,
125,0.0051863922541010715
126,0.22298513133348305
127,0.5631993500047621
128,0.97711785185637
129,0.990697591095814
130,0.23176352676203
131,0.00388424870160575
132,0.8906558503661031
133,0.00115632500660076
134,
135,0.113733720829039
136,
137,0.0271349692550461
138,0.0708501804852158
139,
140,0.331023933787918
141,0.00529200578085168
142,0.887979912998424
143,0.28943151274482104
144,0.251398854622922
145,0.111766111710844
146,0.980135823209514
147,
148,0.564538434092006
149,0.7576572257773221
150,
151,0.174203981137579
152,0.715912461437096
153,0.6133173910530121
154,0.928332619442772
155,0.592982031578703
156,0.828126949820211
157,0.800148043242243
158,0.970427828054138
159,0.8055015890397629
160,0.06284999696812
161,0.512223003607787
162,0.798961419772702
163,0.875580044595627
164,0.218335570153066
165,
166,0.8432690093327551
167,
168,0.884357321323467
169,
170,
171,
172,
173,0.885767536913647
174,0.6682222076355239
175,0.00432602639516401
176,0.488283812386113
177,
178,
179,
180,
181,0.8219090517890021
182,
183,0.645504520347403
184,0.7631006918584029
185,
186,
187,0.269000435800977
188,
189,0.607419450732575
190,0.956703472760684
191,0.973899468241342
192,
193,0.520478813509307
194,0.932696862536342
195,0.9010672378264092
196,0.45815538475378
197,0.665014821887557
198,0.990697591095814
199,
200,0.000348445204673803
201,0.6106566251699089
202,0.00948054162339954
203,0.8654489482808759
204,
205,
206,1.0
207,
208,
209,1.0
210,
211,0.475195552969698
212,0.525747811271283
213,0.8209160633485479
214,0.904556549685464
215,0.0017469809317304
216,0.363036719290932
217,0.5585798074818771
218,0.879177255469965
219,0.946760683409246
220,
221,
222,
223,0.62281022205755
224,
225,
226,
227,
228,0.709550312501626
229,0.8897396370143009
230,
231,
232,0.462305124908581
233,0.914099222722452
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,7.8664315056083e-12
247,
248,
249,
250,
251,
252,0.938153531902621
253,
254,
255,
256,
257,
258,
259,0.490873879764245
260,
261,
262,
263,
264,0.712237597710522
265,
266,
267,0.0170899648615365
268,0.285898219628039
269,0.0349250686677958
270,
271,
272,
273,
274,
275,0.33429718954729304
276,0.520478813509307
277,
278,0.529099428768411
279,
280,
281,
282,0.9060251753592752
283,0.8965027729420642
284,0.8362752401713431
285,0.9613337903088532
286,0.7343327075993149
287,0.956535782732814
288,
289,
290,
291,
292,
293,
294,0.7165706456026151
295,0.7046689327267142
296,
297,0.4918352127103929
298,0.733721614294327
299,
300,0.5896145733316078
301,
302,
303,0.9690701585470948
304,0.692377282106991
305,0.5651623148802121
306,0.7835854861514829
307,0.932696862536342
308,0.671066440415969
309,
310,
311,
312,0.941172083403044
313,0.908449243007067
314,9.27191860841077e-06
315,
316,
317,
318,0.9813497237641308
319,0.386351487314562
320,
321,0.59631419269071
322,0.973385477596738
323,0.81817802474475
324,
325,0.0410105677137903
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,0.948885379643185
336,0.312876772101596
337,
338,0.691485073042508
339,
340,
341,0.106166211957136
342,
343,
344,
345,
346,1.0
347,
348,
349,0.3221223271812
350,0.0251200254373791
351,
352,0.502722115628005
353,
354,
355,0.941696824908652
356,
357,
358,
359,0.56780950365898
360,
361,
362,
363,
364,
365,0.230770828345966
366,
367,0.943137591529532
368,
369,
370,
371,
372,
373,0.534353067379655
374,0.329549755688917
375,
376,0.488828587778272
377,0.456534591629928
378,0.8674806129315601
379,0.8002450240791851
380,0.00566055583627896
381,0.78718467227105
382,0.9505276969725972
383,
384,0.446175322929689
385,0.14134232050750398
386,
387,0.869010488445236
388,0.89386724860981
389,1.0
390,1.0
391,0.9505276969725972
392,0.296212677993544
393,0.561212774613199
394,0.96746323287666
395,0.230117467370827
396,0.144696811319289
397,0.6154584055964821
398,0.999170151186307
399,0.328295698346254
400,0.0005690269442465482
401,
402,0.5290187605724771
403,
404,
405,0.925184237430126
406,0.923351163785311
407,0.943405372624394
408,
409,
410,0.9015554701170708
411,0.00635329962582022
412,0.08762993919797299
413,0.7463331600498149
414,
415,
416,
417,0.14812546580261
418,0.5545493111487161
419,
420,0.7728852635986009
421,0.432927001238216
422,0.655479466619302
423,
424,0.701994356106457
425,
426,
427,
428,
429,0.000256695457102957
430,0.301421003838455
431,
432,0.6349054264278261
433,0.0454842763253698
434,0.368785743884384
435,
436,0.6446386078272329
437,
438,0.730947446229458
439,
440,0.0646902949918754
441,
442,
443,
444,
445,0.205251011374794
446,
447,
448,0.814222308531354
449,
450,
451,
452,0.98459668611315
453,
454,
455,0.883412327361442
456,
457,
458,0.962882535766128
459,
460,0.152667820595504
461,0.573903781947972
462,0.5751944457477621
463,
464,0.0472095604601583
465,
466,0.0734360379475421
467,0.38993981164025
468,
469,
470,0.217905023084496
471,0.00011930390643165301
472,
473,0.6578913733350981
474,0.4251005041764171
475,
476,
477,
478,
479,0.914978454405128
480,
481,
482,0.96094301790004
483,
484,0.970011203451377
485,0.122447837811934
486,0.818805580505055
487,
488,0.565669910574329
489,0.129950457440209
490,0.93752134394663
491,0.5949064775102271
492,
493,
494,1.00894248890804e-05
495,0.5782048075649611
496,0.183837118368987
497,0.332343205337605
498,0.934916421195774
499,0.116305641085947
500,0.977708553754178
501,
502,0.622850551855067
503,
504,0.501774774174765
505,0.944228784896643
506,0.968614233108492
507,
508,
509,
510,
511,0.8940232323804399
512,0.155892954891159
513,0.986724797131588
514,
515,0.7753911185505641
516,
517,0.912988579828418
518,0.577565584896786
519,0.991578480529231
520,0.9551635095570742
521,0.33178909241779
522,0.4130112382270201
523,0.7015591557129199
524,0.9029278952399352
525,0.5783679345753311
526,0.7125647977537529
527,
528,
529,
530,
531,
532,
533,
534,
535,
536,
537,0.8377141488618441
538,
539,0.370416299383749
540,0.339832428724745
541,
542,0.943265047805834
543,0.6460314533815171
544,0.8032016950882521
545,0.558094955625169
546,0.824297783407001
547,0.40214556185836
548,0.593550882181474
549,0.049643820637698
550,0.00876701141523673
551,
552,0.24379318798359606
553,
554,
555,0.0121596128142699
556,
557,
558,0.898485784358629
559,
560,
561,
562,
563,
564,0.0646306234878062
565,0.7810392117061791
566,0.93955622472661
567,
568,
569,
570,
571,
572,
573,0.17106842230171498
574,9.946902665571709e-13
575,0.20295055759144695
576,0.110370967461018
577,1.0
578,
579,
580,
581,0.6407850588862161
582,0.7876347159140171
583,0.5949064775102271
584,0.4926849753496239
585,
586,0.171524262609304
587,0.804992091892855
588,0.7677643903253899
589,
590,1.0
591,1.0
592,0.0065425142120735
593,0.104228180946533
594,
595,
596,0.7724623079453309
597,0.94470554354174
598,
599,
600,0.692377282106991
601,
602,0.567630867179686
603,
604,0.549875021855276
605,
606,0.9451104050160268
607,
608,
609,0.4752511132595321
610,
611,
612,
613,
614,
615,
616,0.9715909288082768
617,0.0140771502030599
618,
619,
620,0.688230922673353
621,
622,0.243632593724329
623,
624,0.0371312508974497
625,0.963883300523197
626,0.8340218602414091
627,0.00287931773033672
628,0.464285357041545
629,
630,0.7266985430801309
631,0.863667378657755
632,0.540542377826965
633,0.7195098618488341
634,
635,2.0178632381592293e-12
636,0.675265523828372
637,0.3673793278228
638,
639,0.955208798506014
640,0.888520381704843
641,0.5545493111487161
642,
643,
644,0.394068556128705
645,
646,
647,0.0738026102618957
648,0.429660004744019
649,
650,
651,
652,
653,0.965667190412369
654,
655,
656,
657,
658,
659,0.6064529963780191
660,
661,0.982535911774369
662,
663,
664,
665,0.578226415915835
666,
667,
668,
669,0.514280146158299
670,0.7646453128655408
671,0.4427636940515121
672,
673,
674,0.634563664647848
675,0.0445187704286999
676,0.8960551693749329
677,0.828126949820211
678,0.466691775410198
679,0.7989532509827242
680,0.97651675474137
681,
682,
683,1.06890961848369e-17
684,0.382950325327528
685,0.0029896473396210602
686,
687,0.007429674238554441
688,
689,0.261104987789198
690,
691,0.307366644171575
692,2.4569039907347198e-06
693,
694,0.8127030242352741
695,
696,
697,0.9529785755010228
698,0.0105057369719334
699,0.960621358457126
700,0.6326107131143389
701,
702,
703,
704,
705,
706,0.0890732597278982
707,0.89386724860981
708,
709,
710,
711,0.504321749544884
712,0.7015591557129199
713,0.989293560810966
714,0.9816073292696592
715,0.85980229919877
716,0.772541496930105
717,0.577199362142569
718,0.8381566280337541
719,
720,
721,
722,
723,
724,
725,
726,
727,
728,
729,0.9575092073447968
730,
731,
732,
733,0.20125940926965505
734,0.8897396370143009
735,
736,0.9970377492796768
737,0.474028169147048
738,0.550046552961907
739,0.990967733091774
740,0.33178909241779
741,0.621070478314776
742,0.5485866667790801
743,0.503508412540994
744,0.883412327361442
745,0.9675429635271908
746,0.916654472553463
747,0.990697591095814
748,0.177677812706835
749,
750,0.723679836702638
751,
752,0.957380960871974
753,
754,
755,0.19235094544372305
756,
757,0.101205341324378
758,
759,0.82061018144554
760,0.389921135403718
761,0.369503370142635
762,
763,0.63376875914368
764,0.7738315386738069
765,0.2806810125244881
766,
767,
768,1.0
769,0.466532242995366
770,0.96109873835235
771,1.0
772,0.8260531318033599
773,0.79048918134083
774,
775,
776,
777,0.9010672378264092
778,0.0495071732353945
779,0.8032016950882521
780,
781,
782,
783,
784,0.993113597367841
785,
786,
787,0.40214556185836
788,0.432124678298354
789,
790,0.39421766808381103
791,
792,
793,0.116814313632244
794,0.718597755064101
795,
796,0.8951286572088639
797,0.846299647354244
798,
799,
800,0.6272120406330579
801,0.869245835332584
802,0.564615521761506
803,0.242571029025268
804,
805,0.7036239616185971
806,5.070594222495902e-10
807,0.358839334679391
808,
809,
810,
811,
812,
813,
814,0.42016285149752
815,
816,0.976893494166208
817,0.846922132131833
818,0.7591329683639709
819,0.665939345169713
820,0.0294856101536209
821,0.7185875550708929
822,
823,0.928112838991435
824,0.41929379896288105
825,0.618997101159646
826,0.31831855539189
827,
828,0.836057177050072
829,0.6371867132861789
830,0.327053046656068
831,0.383130352146346
832,
833,0.712237597710522
834,0.396915310217969
835,0.306912570938533
836,0.993113597367841
837,
838,
839,0.44084258309801
840,
841,
842,
843,
844,0.945369234495944
845,
846,0.370891964222928
847,0.0271494141248201
