,0
0,3.24084413561441e-18
1,5.3452060294989096e-33
2,0.0768463897745432
3,1.21975305406e-13
4,0.628239356859075
5,2.08816990495959e-09
6,2.5459779020333897e-22
7,1.7694082952434995e-48
8,0.0337602197615198
9,0.7487598651191759
10,0.12664239047723
11,1.0690941570037393e-153
12,
13,
14,0.00177518535158578
15,
16,2.3657599699466198e-66
17,0.000103585141847502
18,
19,0.0029134276964628896
20,0.492424605634605
21,0.00458553531922711
22,0.15082855203987802
23,0.459905419892701
24,9.38905339905566e-05
25,6.741356976714109e-40
26,5.26098272149407e-32
27,3.71171252165786e-29
28,5.58834683867847e-08
29,5.1842179493937383e-51
30,
31,
32,0.526055081035811
33,
34,
35,
36,9.975439800905974e-10
37,1.38124015239366e-06
38,5.26928478207606e-16
39,0.7088974148775721
40,1.12847726876243e-14
41,5.04047903516812e-11
42,0.000945266312992635
43,0.144584481497205
44,0.021985915436369886
45,0.0120181138927536
46,
47,
48,4.3650359949411106e-07
49,4.650632419444178e-99
50,4.31677761517496e-09
51,
52,
53,
54,
55,1.19887829757262e-28
56,0.575529105313679
57,0.9476024685468508
58,1.6148104819504302e-07
59,1.42545750933554e-19
60,3.7242575874044e-23
61,1.53846731450001e-23
62,0.46068658368328
63,0.0673651066211376
64,0.862954425745708
65,0.0537974636242464
66,
67,0.000356480315449308
68,
69,0.01445086210898
70,4.48632404589216e-41
71,
72,0.00024236796709845
73,0.6661706119269389
74,0.957421142425835
75,0.385843813794683
76,
77,4.6346219979341e-07
78,0.3653336132832979
79,1.6706803195560095e-21
80,0.30321427445554605
81,0.0147861570144177
82,1.7388275393221292e-51
83,
84,0.4858029871779621
85,3.20968528902071e-12
86,
87,
88,
89,1.2049232342871198e-33
90,5.995090335362869e-09
91,3.86514277580897e-08
92,0.224272253453279
93,0.760804777161913
94,1.76239947214572e-12
95,0.13984639196490198
96,0.87522892532101
97,2.20677174621075e-05
98,4.52700958229711e-22
99,1.40986726572507e-07
100,0.22467198993004106
101,1.3141401912526e-05
102,0.107160197432168
103,7.55364335813538e-09
104,0.929302250685138
105,
106,0.0345055203572663
107,4.01372145295779e-07
108,0.107398554771472
109,1.61587000032506e-11
110,
111,0.0551244421961765
112,3.1806503720453875e-188
113,3.31189774843111e-05
114,0.8718297889372378
115,9.05134424083112e-11
116,
117,0.0517403206983211
118,3.03656898997135e-19
119,
120,0.643419117875345
121,
122,0.00279918115122272
123,0.0006782483171487732
124,0.00651741440332027
125,
126,2.05370457793175e-23
127,3.38112019096072e-19
128,
129,3.7225283528782996e-24
130,
131,
132,3.00574518072094e-16
133,0.141295280828202
134,
135,8.059930067749642e-09
136,
137,1.11409076705289e-09
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,0.365738941080899
148,3.95233512592981e-05
149,4.19865394985451e-12
150,0.309505495402412
151,7.902167118514337e-137
152,8.781405588732979e-07
153,
154,
155,0.0025463063914057398
156,0.572159362976303
157,0.0298300057253872
158,
159,
160,1.18684023539569e-17
161,0.0478258103003509
