,0
0,0.000339681326500418
1,
2,1.07482469547428e-05
3,1.3055708764102e-08
4,0.3402740973529831
5,0.0186237173628381
6,2.5112737716919606e-11
7,0.15267752241652
8,1.7446922955474093e-21
9,5.479719488745539e-05
10,
11,
12,
13,
14,
15,
16,
17,1.0
18,0.0014364459210710304
19,0.16416577338664598
20,1.10216846110063e-09
21,0.925971567151145
22,0.0506626896311522
23,3.23866060030735e-06
24,
25,5.09380552806679e-27
26,4.0141071091566e-10
27,0.8402974376100029
28,
29,3.2885862563519104e-13
30,0.00464428280901931
31,0.787895077142362
32,0.000410105347036995
33,8.329380455616079e-05
34,1.0
35,0.9719368286557808
36,1.0389678871567495e-56
37,0.000330118381673406
38,0.318837040294471
39,
40,2.4568006900093004e-07
41,0.546921446728175
42,6.99481992849587e-21
43,1.81135418634071e-06
44,5.34412696440308e-06
45,7.597520673821379e-05
46,2.1259641997754997e-32
47,7.71953490596359e-40
48,
49,0.0052495518165007705
50,4.27784314585645e-05
51,1.19812894183546e-30
52,
53,
54,
55,0.712547338003477
56,0.640102452962579
57,2.94881342801728e-28
58,0.198089258238215
59,4.17355268752837e-06
60,0.00031761879138957
61,0.960736207576014
62,4.06030566413472e-05
63,3.12047284023043e-10
64,0.4382632284311
65,
66,
67,1.9394395555049397e-07
68,8.759634223230151e-09
69,0.567249284707641
70,6.1784719543852995e-31
71,2.4288611743518198e-40
72,
73,
74,0.0140246800237513
75,
76,6.4855917704725315e-06
77,
78,
79,
80,
81,0.669093124372745
82,2.09786913605524e-65
83,2.35220307737819e-13
84,5.909494565104549e-36
85,5.772390895367938e-58
86,
87,
88,
89,0.5193028328605339
90,0.000276665563437223
91,0.0919358273628303
92,
93,
94,0.117090085079292
95,0.007390003469428909
96,4.41175824839279e-37
97,4.079921974764989e-25
98,0.664207446378249
99,1.4379408896321395e-25
100,0.249841910016387
101,5.0196270547710095e-06
102,0.6939042339008421
103,5.540151184416919e-44
104,2.20903995785622e-32
105,2.525252839276761e-07
106,
107,0.00594603941622423
108,0.11795422390117803
109,
110,
111,
112,
113,
114,
115,
116,0.240653296659053
117,9.42401082388429e-69
118,1.1710937410581002e-24
119,9.762008277856426e-85
120,1.57130186531447e-44
121,3.87020591467885e-05
122,2.7146650008699085e-109
123,1.02343217873826e-06
124,1.52835184855932e-12
125,3.5251114344333486e-61
126,5.2058694345863194e-23
127,2.3502251713679196e-56
128,0.000128013606563868
129,5.902299495056379e-10
130,7.927124198047656e-122
131,5.79763553457365e-18
132,0.178882970052783
133,1.18872691521716e-33
134,8.39013063022926e-06
135,3.01201730907326e-08
136,0.108611625821291
137,0.576714744512605
138,0.000473555995197964
139,0.175846930573974
140,0.8265757681225251
141,6.238450509783436e-86
142,1.77611886342151e-43
143,9.108593538656219e-07
144,6.82981017070214e-07
145,4.937531298150621e-35
146,1.70183161608475e-10
147,1.62639284788147e-06
148,2.81481523497602e-17
149,0.433381418009587
150,
151,2.21917441459755e-09
152,1.88865165493245e-12
153,1.9382093546282e-78
154,0.748836170923289
155,0.8659077047201009
156,1.5629643469758693e-65
157,5.7993149928553875e-55
158,9.40617751876561e-06
159,2.3040782077813303e-10
160,4.0629033389850886e-21
161,1.6958963081150599e-29
162,2.6874922525991294e-09
163,1.83588134841992e-15
164,0.232706339331862
165,0.826726046091318
166,6.51649364108633e-07
167,
168,0.956762146537162
169,0.463591380399802
170,
171,
172,0.417421218291068
173,0.006967139845164671
174,1.01828816910201e-16
175,3.6511292064897213e-05
176,1.68393904239076e-08
177,
178,0.0928751670357437
179,0.51319840141217
180,0.0104437191029428
181,0.00342542819430713
182,4.866520763336221e-07
183,8.78145609269957e-41
184,0.00436272613643035
185,4.381993323460387e-239
186,
187,2.87252592502871e-10
188,
189,4.83623589211044e-11
190,0.56526006015078
191,
192,
193,0.00142340591335457
194,3.1658051681077293e-22
195,4.547823968753548e-25
196,7.53404595080258e-12
197,0.45139663152219
198,1.39577983380387e-14
199,0.301885774731957
200,0.0851663632105731
201,0.0242437271009823
202,0.000633424834686776
203,8.12644120141995e-17
204,
205,1.8336490497521495e-14
206,1.0
207,
208,1.76924862992236e-23
209,1.0
210,0.000363883108351719
211,0.0687905641958539
212,0.0061549724260997795
213,1.17602231020217e-31
214,2.61341329917724e-07
215,2.5798428666587092e-20
216,2.62077104187238e-05
217,2.1445686652483796e-70
218,9.514260314104028e-305
219,
220,4.1942241827259796e-11
221,
222,
223,1.9482224710618303e-41
224,0.6736963396924561
225,0.752019162180487
226,
227,
228,7.318223888147146e-88
229,1.4375466756885793e-61
230,0.000154895547994095
231,0.488441463889124
232,9.367794049988253e-06
233,0.825652732158433
234,
235,
236,0.689530465269433
237,
238,0.591056322600969
239,0.155403763543843
240,0.997983925685168
241,
242,
243,0.29715451196523995
244,0.8283451740431771
245,
246,9.02280895612951e-05
247,0.00275205344420107
248,0.0141296390876828
249,
250,
251,
252,0.941707921894432
253,0.479008397176526
254,0.411808756511584
255,0.521557601167195
256,
257,
258,
259,0.00263083990665193
260,
261,0.233608566267735
262,
263,0.8864402103696499
264,0.808014789044749
265,
266,0.8461095506825841
267,
268,0.0663165246343591
269,0.0514991527556955
270,
271,
272,
273,
274,
275,6.79784767837607e-30
276,5.23380716231493e-09
277,
278,4.326670271871161e-05
279,0.430439514476074
280,
281,
282,1.8794614691563398e-15
283,5.726231927259069e-09
284,0.165672035141551
285,2.9896004148382803e-06
286,7.022644709990538e-36
287,3.86067664633666e-06
288,
289,
290,
291,0.000292875711163547
292,
293,
294,3.7604574933203294e-05
295,3.70479302023575e-19
296,
297,8.9388312709774e-05
298,0.00019732977731909198
299,
300,3.2646642115180696e-07
301,
302,
303,0.826255282396225
304,6.198752823401698e-62
305,0.0431153169108017
306,0.000243260409580347
307,1.10823936640586e-49
308,3.85901942087022e-12
309,1.15998122506689e-09
310,0.520952497097859
311,0.150735470611626
312,0.216934557089858
313,2.83020228285033e-13
314,3.9259658817171163e-237
315,
316,
317,0.00022691844406481896
318,0.0354451121475808
319,0.8069633291981301
320,0.0514585081193057
321,0.13169056927679698
322,6.064088355859166e-93
323,3.4010157332188087e-74
324,
325,9.633729782980087e-28
326,
327,0.00091774526304629
328,
329,0.5996732058268299
330,0.0667101318369288
331,
332,
333,0.3791597997804049
334,
335,0.00043893607180300697
336,0.267746030345753
337,
338,1.4360070879137199e-19
339,
340,0.18607661900670894
341,0.216834618162862
342,
343,
344,
345,
346,1.0
347,
348,
349,4.2311824433116e-13
350,2.4066029447905e-27
351,1.0252171596094099e-106
352,
353,0.0012413916282513
354,
355,2.5727173881096895e-08
356,3.30739042001836e-07
357,
358,
359,0.48399164212453
360,
361,
362,
363,
364,
365,0.00075160058883539
366,2.72175247793567e-17
367,0.624804767120229
368,0.000323708855468046
369,
370,0.00276539380404838
371,0.952670655185377
372,0.3897658074082321
373,0.23654119656558606
374,
375,
376,
377,2.835954269245069e-40
378,
379,4.36732959827268e-20
380,3.75986968516691e-31
381,5.26043229651982e-06
382,0.239918863262487
383,0.8675201392776379
384,0.9337986318495451
385,1.7862850148361195e-19
386,0.719748732305052
387,9.96324281395183e-14
388,0.0147296737219155
389,1.0
390,1.0
391,9.92928222692588e-12
392,0.07812264848797999
393,7.69547755122451e-35
394,1.9185940050957106e-09
395,0.0941030672564714
396,2.2593473091930997e-19
397,1.0793134353399099e-11
398,0.8826792516560509
399,0.6589911727833311
400,9.29278267886292e-26
401,
402,1.09280850492693e-06
403,
404,
405,0.0134928744173273
406,0.0024082070240185396
407,6.837844818446823e-210
408,0.0382072736806845
409,
410,0.000637923462679654
411,0.11714011825142097
412,3.0884911449065e-22
413,
414,1.03791404545938e-14
415,5.7576437157964275e-52
416,
417,9.268054126898769e-07
418,4.474152393102329e-13
419,2.99151774099335e-10
420,3.93653422988552e-06
421,2.6859588432993403e-06
422,0.00412539801477
423,
424,0.00633535870015625
425,
426,
427,0.972864828772792
428,
429,6.738312516034889e-16
430,0.7821579914852591
431,0.394963831971137
432,0.8777040172754909
433,0.000207526832105349
434,0.307370596810971
435,
436,3.942313585434871e-11
437,
438,
439,
440,0.18719934399841895
441,
442,
443,
444,
445,1.2256188001495197e-64
446,
447,
448,0.0015279683443778804
449,0.8260828314322141
450,
451,3.197612219901779e-33
452,7.733636367799288e-18
453,
454,
455,1.3088455655818804e-07
456,
457,
458,0.000263915513139581
459,
460,0.0347031932595167
461,2.3479466542434598e-17
462,0.00199626482444302
463,0.0142287279218495
464,0.20845232632971894
465,0.217975777363158
466,3.81609262272589e-10
467,0.0121359279739683
468,
469,6.1529610746118e-08
470,0.0242036173804323
471,0.0022915887217952397
472,4.0909878937871386e-09
473,3.85364979323753e-13
474,2.3929164372849497e-06
475,
476,
477,
478,
479,0.2868846562568401
