,0
0,0.9926427834190972
1,0.7579162101969259
2,0.952345327797445
3,0.924701278719282
4,0.6823761946174671
5,0.7464530765819208
6,0.912978969593588
7,0.7813954500587399
8,
9,0.6285307129044101
10,0.728986450322307
11,0.906232022996
12,
13,
14,
15,
16,0.6634148957470479
17,
18,
19,0.54453401853124
20,0.382766925922919
21,0.843683203129516
22,0.646733871221931
23,
24,0.5064220914878039
25,0.39506555192257503
26,0.5114502438887729
27,
28,0.543081306317461
29,0.5534436670923171
30,
31,
32,0.819597452235619
33,
34,
35,
36,0.9326475155630012
37,0.848900064535356
38,0.677982779643053
39,0.96921797086645
40,0.9425149395341672
41,0.473477767153086
42,0.649645155448485
43,0.8765569735719609
44,0.8527404721367675
45,0.756167500865008
46,
47,
48,0.9020978454790172
49,0.343059854881815
50,0.788862770451865
51,
52,
53,
54,
55,0.738101341414894
56,0.25103825297537
57,0.98759446050258
58,0.706432604498549
59,0.8726080526484409
60,0.5310304942580321
61,0.625400453129906
62,0.35366244318392
63,0.663132719409417
64,
65,
66,
67,
68,
69,0.848900064535356
70,
71,
72,
73,0.9746522664956128
74,0.9507171888033712
75,0.9599382796806668
76,
77,0.40651678509568495
78,0.986884527789172
79,0.6917712318748159
80,0.7607105350638309
81,0.7792574835934979
82,0.8047797062260491
83,
84,0.913145824628473
85,0.551738150523259
86,
87,
88,
89,0.6052348056726751
90,0.896085852560295
91,0.932870138124504
92,0.9099057905997828
93,0.776116057642065
94,0.654050274761601
95,
96,0.587707060498394
97,0.7721266806626241
98,0.7166942449583
99,0.212286244988754
100,0.5851147397195761
101,0.8840831999039019
102,0.929911711514775
103,0.42783026268075
104,
105,
106,0.706432604498549
107,0.8186547424855021
108,
109,0.6932257984031209
110,
111,0.6584214675644
112,0.6846174633105311
113,0.635654786356773
114,0.270019289928555
115,0.914709643171658
116,
117,0.816381386243707
118,0.492314409648975
119,
120,0.844046767884481
121,
122,0.918296483758256
123,
124,0.6001865821108671
125,
126,0.896085852560295
127,0.9401401265115048
128,
129,0.16057550736418802
130,
131,
132,0.8433432665555319
133,0.966047611022116
134,
135,
136,
137,0.893622005834828
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,0.125082021635738
149,0.844046767884481
150,0.8124880101504259
151,0.539819359742312
152,0.6789656287016079
153,
154,
155,0.7579162101969259
156,0.608607437410237
157,
158,
159,
160,
161,0.889065869566865
162,0.788862770451865
163,0.887339873722979
164,0.981977283475943
165,0.535211684063655
166,0.920454688038222
167,
168,
169,0.608607437410237
170,0.863335023202317
171,
172,
173,
174,0.654417272114031
175,0.563298702742184
176,0.7965811986858921
177,0.932840476219714
178,
179,0.352456699067324
180,0.4835996850261149
181,0.729137568768042
182,0.706432604498549
183,0.770667120777609
184,
185,0.951484207166814
186,0.881273678050805
187,0.770994964640107
188,0.276582482972722
189,
190,
191,
192,0.9289032850865742
193,0.7305588152689009
194,0.686255424282078
195,0.952345327797445
196,0.983912113818186
197,
198,0.6832939299216471
199,
200,
201,
202,0.522786902314834
203,0.768646046273509
204,
205,0.901973863367189
206,0.9565788364311127
207,0.843623261705188
208,
209,0.973362047984088
210,0.460552446746636
211,0.469694586310863
212,
213,
214,
215,0.966047611022116
216,0.9830975110748928
217,
218,
219,
220,
221,
222,0.594999211179389
223,0.8269939723605471
224,0.91459256004201
225,0.994903819333586
226,0.920454688038222
227,0.5137885733810039
228,0.509570159269216
229,
230,
231,
232,
233,
234,
235,
236,
237,0.283553820257714
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,
254,
255,0.9687005806899258
256,0.758460295753775
257,0.634024001092322
258,0.8611022922404109
259,
260,
261,0.4231220251810399
262,
263,0.4899260865405349
264,0.859963775098746
265,
266,0.73993909462164
267,0.989146793009658
268,0.980813952767407
269,
270,0.26155552448582003
271,
272,0.4959550800784779
273,0.800322792185962
274,
275,
276,
277,
278,0.40651678509568495
279,
280,
281,0.5117365459265021
282,
283,
284,
285,0.8495916588753621
286,0.953206579433521
287,
288,
289,
290,
291,0.789233014239458
292,0.951140126591683
293,0.746535209469251
294,
295,
296,0.9541927135326947
297,
298,0.439187075031092
299,0.766501810126609
300,0.558628451272683
301,0.9877805370784258
302,0.968851876794574
303,0.994311248723732
304,0.564418758083626
305,0.6214160188998679
306,
307,
308,
309,
310,
311,
312,
313,0.642931501312582
314,0.787506794247677
315,
316,0.9997570070051708
317,0.7049649228206549
318,0.736500041732478
319,0.4837327524534429
320,
321,
322,0.4231220251810399
323,0.5755485835972901
324,
325,0.69091856643701
326,
327,
328,
329,
330,0.961033934848454
331,
332,
333,
334,
335,0.965728073938126
336,0.195063553655429
337,0.741396813486902
338,0.9570732381149052
339,0.226492839541222
340,
341,0.760551391129415
342,0.8611022922404109
343,0.6545695483863879
344,0.0483318181429921
345,0.977208529849966
346,
347,0.3837642809723621
348,0.97455704281815
349,0.58568441154786
350,0.990430938994124
351,0.7148336487837841
352,
353,0.878399435780399
354,
355,
356,
357,
358,
359,
360,
361,0.65397377429812
362,0.658718252121153
363,
364,
365,
366,0.180244941384069
367,
368,
369,
370,
371,
372,0.543950056222403
373,
374,
375,0.824175783216287
376,0.946418634771656
377,0.8328840577480279
378,
379,
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,
399,
400,
401,0.867018184165654
402,0.8042941255184001
403,0.596664447726846
404,
405,
406,
407,
408,
409,0.560048990372651
410,0.6809375713703499
411,0.689192085980186
412,0.985771472371508
413,0.274503315096722
414,
415,
416,0.998820985715593
417,0.467890877909928
418,0.663132719409417
419,0.8958090628413059
420,0.618440243514542
421,0.691537392272823
422,0.3559906129322071
423,0.7994554430425909
424,0.3144226069231961
425,
426,
427,
428,
429,
430,
431,
432,0.26104342050292
433,
434,0.980786175587285
435,0.847161172891903
436,0.679596134256337
437,0.230598632677174
438,0.955236843100348
439,0.710626945080934
440,0.365769956660666
441,0.80593641362573
442,0.8895300326889759
443,
444,0.8603387020446349
445,0.751082128259057
446,0.5953551987396589
447,0.153740157457074
448,0.784113269798409
449,0.770169086627177
450,0.9823301622927092
451,0.462600966854314
452,0.850605323836958
453,
454,
455,0.6749112286991489
456,
457,0.200110443568182
458,0.513206101102099
459,0.9964276892845892
460,0.7194996121005308
461,0.862936574911327
462,0.15253460600645802
463,0.965266996506828
464,0.6410693144988799
465,0.707023193587942
466,0.8194262266162309
467,0.956021872752215
468,0.8047797062260491
469,0.911548141382058
470,
471,0.91062608037139
472,0.944543783545676
473,0.32773834490176
474,0.45273543511728
475,
476,
477,
478,
479,0.654392972502401
480,
481,
482,
483,
484,
485,
486,0.54056159972971
487,
488,
489,0.6145498365209899
490,0.980153737723384
491,0.746535209469251
492,
493,0.831918586730993
494,0.36215966043446
495,0.6285307129044101
496,0.813696890928486
497,0.486861441658654
498,0.6819985254053139
499,0.589799272495396
500,0.920454688038222
501,0.8426969417361779
502,0.657347468090517
503,0.9642549062418908
504,0.245146346767064
505,
506,0.97235584524732
507,0.653984400740906
508,0.784113269798409
509,0.547986433368016
510,0.8991713427544542
511,0.9004938056006099
512,
513,
514,
515,
516,
517,
518,0.581207175539489
519,0.538419998352897
520,
521,
522,0.6205417863234239
523,0.5275042739320139
524,
525,0.91062608037139
526,
527,0.9823046210104528
528,0.676920429915083
529,0.35632164915562897
530,
531,
532,
533,
534,0.0832957167563236
535,0.917025363762062
536,0.4231220251810399
537,0.957980799950848
538,0.95463991290679
539,0.62626068478715
540,0.0616178762147883
541,0.476439511971459
542,0.4901819153779621
543,0.6917712318748159
544,0.946506219501154
545,0.942245106670058
546,
547,0.334981638170234
548,0.965663885314215
549,
550,
551,
552,0.497613070722876
553,
554,
555,0.8818777160413208
556,0.825276173837713
557,
558,0.0653867011834774
559,
560,
561,0.8609003120148121
562,0.8611022922404109
563,0.996092492926613
564,
565,
566,
567,0.654417272114031
568,0.57611736416752
569,0.8623306939524621
570,
571,
572,
573,
574,
575,
576,
577,0.7008527471764809
578,0.806582439561467
579,0.569757727694553
580,0.8991713427544542
581,
582,0.757451800238654
583,0.8833851501241441
584,0.439187075031092
585,0.000872533746107753
586,0.7177304117674421
587,
588,0.735675927205571
589,0.848900064535356
590,0.926551396803603
591,0.918296483758256
592,0.88684598176
593,0.5247951679821671
594,0.935325306458304
595,0.980786175587285
596,0.840959400462172
597,0.6935122081563179
598,0.6580623543965319
599,
600,0.492020114852771
601,
602,
603,
604,
605,
606,
607,
608,
609,
610,
611,
612,
613,
614,
615,0.9449707757446528
616,
617,
618,
619,0.9991759131250908
620,
621,
622,
623,0.18724252912770006
624,0.8691568333178051
625,0.8611022922404109
626,0.183555319516446
627,
628,
629,0.183555319516446
630,0.535211684063655
631,0.7087780665734901
632,
633,
634,
635,
636,0.6917712318748159
637,0.6541605197780129
638,0.494144003480943
639,0.8680971556879351
640,0.791814687320625
641,
642,
643,
644,0.5850927960940551
645,0.940160177734428
646,0.6717465899552479
647,0.8883561335655509
648,0.979080363046103
649,
650,
651,
652,
653,
654,
655,
656,
657,
658,
659,
660,
661,0.702851402910641
662,0.791814687320625
663,
664,
665,
666,
667,0.699595832866315
668,
669,
670,0.938552086783213
671,
672,
673,0.996092492926613
674,0.8470202318635401
675,0.992253615294935
676,0.6734879510463001
677,0.912208655193522
678,
679,0.796247977966803
680,
681,0.960086395430966
682,0.890655373263592
683,0.7675409694447092
684,
685,
686,0.980786175587285
687,
688,
689,
690,0.983569496329727
691,
692,0.750811426972432
693,0.999641710135222
694,0.7813444557858059
695,0.067316014392482
696,0.6634148957470479
697,
698,0.6403774877166071
699,0.971269758554099
700,0.623038155602369
701,
702,
703,
704,
705,
706,
707,
708,
709,
710,
711,0.460552446746636
712,1.0
713,
714,0.287951461207105
715,0.6790395176313829
716,0.983569496329727
717,0.0853607497744433
718,0.31846683876287896
719,
720,
721,
722,0.979080363046103
723,
724,0.468515165127044
725,0.3699363815133929
726,
727,
728,0.879143734293428
729,
730,0.98965530694868
731,0.542635248393564
732,
733,
734,
735,0.6838210321809979
736,
737,
738,
739,0.872407974328993
