,0
0,0.9651158711106
1,
2,0.990878095291015
3,
4,
5,0.380307092768474
6,
7,
8,0.925085188715356
9,0.918296483758256
10,
11,
12,
13,
14,
15,
16,
17,1.0
18,0.986845799592114
19,0.45918741030672
20,0.905506066940937
21,0.630810495200471
22,0.739972007064916
23,0.521817287479456
24,
25,0.8607591051572908
26,0.8269939723605471
27,0.907966902819968
28,
29,0.326611044828732
30,0.520570858694668
31,0.6771287846431779
32,0.985771472371508
33,0.80836445024377
34,1.0
35,0.976670149331635
36,0.5891250118156229
37,0.96797400761432
38,
39,
40,0.646733871221931
41,
42,0.874652931992192
43,0.979428789625103
44,
45,0.7666368929144549
46,0.924701278719282
47,0.989630760258933
48,
49,0.876799163478484
50,0.924492375921153
51,0.80721463559886
52,
53,
54,
55,
56,0.7981614348610508
57,
58,0.920975595467834
59,0.980786175587285
60,0.9475849323056208
61,0.7944930263305101
62,0.9926427834190972
63,0.807597537592159
64,
65,
66,
67,0.7068534726983621
68,0.22848317312567604
69,0.844046767884481
70,0.509570159269216
71,0.688560474989284
72,
73,
74,
75,
76,0.7316086517411321
77,
78,
79,
80,
81,0.920975595467834
82,0.8945449683865601
83,0.961033934848454
84,0.996588327671412
85,0.897988660104176
86,
87,
88,
89,0.424574374541981
90,0.6932257984031209
91,
92,
93,
94,
95,0.9225211484760408
96,0.0462809270201651
97,0.44769878226555
98,0.928477175917333
99,0.3580760726261721
100,0.7628656259765859
101,0.705629241117782
102,
103,0.709702326324944
104,0.977443959326624
105,0.7967593655618471
106,
107,0.9102205447822092
108,
109,
110,
111,0.967157954597467
112,
113,
114,
115,
116,0.789457537881381
117,0.983178434145326
118,0.61246375278576
119,0.791968766466265
120,0.509570159269216
121,0.914906082486378
122,0.998645245592576
123,0.985684427392308
124,0.6403774877166071
125,0.707023193587942
126,0.920454688038222
127,0.5865032395423551
128,
129,0.96797400761432
130,0.7845033214394359
131,0.32725655523325603
132,
133,
134,0.704399093715481
135,0.53722282783506
136,
137,0.516486495018192
138,0.645280738492348
139,
140,0.65397377429812
141,0.512516419947225
142,0.982750330489555
143,0.940736222077506
144,0.7311689471402109
145,0.748055411992022
146,0.925181826455861
147,
148,0.593413244415004
149,0.821675646630986
150,
151,0.953294988542416
152,0.953957695341515
153,0.9621700915446608
154,0.880890480481397
155,
156,0.8504339821966909
157,0.438486408329441
158,0.836298037820857
159,0.920454688038222
160,0.9601430606250152
161,0.442628344199014
162,0.944290624590236
163,0.40930079578931
164,0.8325842354042521
165,
166,0.8833851501241441
167,
168,0.7642257573037159
169,
170,
171,
172,
173,0.3144226069231961
174,0.90853535266926
175,
176,0.650582720626601
177,
178,
179,0.68109488579648
180,
181,0.6813630179964512
182,
183,0.831000041639788
184,0.9289032850865742
185,
186,
187,0.8999857502783921
188,
189,0.990878095291015
190,0.924049253395968
191,
192,
193,0.8832663682711931
194,0.834702439491458
195,0.675089728187559
196,0.8991713427544542
197,0.8567080193233431
198,0.91959118018458
199,
200,0.9669758798807
201,0.6848898454003229
202,0.17066207560176302
203,0.6126126226271539
204,
205,0.654417272114031
206,1.0
207,
208,0.932959592576268
209,1.0
210,
211,0.3749441047591311
212,
213,0.116970123942898
214,0.976688195150776
215,0.690755190946312
216,0.521817287479456
217,0.5472430993730071
218,0.659069430670795
219,
220,0.9920140321548432
221,
222,
223,0.9584748165976792
224,
225,
226,
227,
228,0.739436353827793
229,0.7525369174961071
230,0.933915413097874
231,
232,0.809253967277835
233,0.992253615294935
234,
235,
236,
237,
238,
239,
240,0.977159167028298
241,
242,
243,
244,
245,
246,0.95103901600523
247,
248,0.7657858308708779
249,
250,
251,
252,0.24994333030481
253,
254,
255,
256,
257,
258,
259,0.974479515488872
260,
261,
262,
263,
264,0.808606996251516
265,
266,
267,
268,0.831918586730993
269,0.9370986117747048
270,
271,
272,
273,
274,
275,0.9091321470889708
276,
277,
278,0.918404324464772
279,
280,
281,
282,0.9185298749333072
283,0.9950657688096072
284,0.5713320567538559
285,0.7579162101969259
286,0.741396813486902
287,0.903365750436566
288,
289,
290,
291,
292,
293,
294,0.933337654906385
295,0.8742639136625071
296,
297,0.9289032850865742
298,0.6294177047071661
299,
300,0.36195744398072704
301,
302,
303,
304,0.460552446746636
305,0.880488067964876
306,
307,0.214377506310796
308,0.990878095291015
309,0.0381077397224647
310,0.610812717680204
311,0.663132719409417
312,0.839353698547402
313,0.743533148008338
314,
315,
316,
317,
318,0.935325306458304
319,0.848900064535356
320,0.8569090420356891
321,
322,0.8611022922404109
323,0.97180250178991
324,
325,0.8870849095433492
326,
327,0.8524661377100241
328,
329,
330,
331,
332,
333,
334,
335,0.843623261705188
336,
337,
338,0.844046767884481
339,
340,
341,
342,
343,
344,
345,
346,1.0
347,
348,
349,0.784879943369117
350,0.8109690202356079
351,0.974479515488872
352,
353,0.920975595467834
354,
355,0.626410765856639
356,
357,
358,
359,
360,
361,
362,0.980709981837904
363,
364,
365,
366,0.849168353675571
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,0.0943111165238315
378,
379,0.909981641806522
380,0.992848320796582
381,0.405128474442962
382,0.181146243550685
383,
384,0.641520081065649
385,0.989327203254296
386,0.3945127418440461
387,0.658216854833152
388,0.657347468090517
389,1.0
390,1.0
391,0.781924017773515
392,
393,
394,0.821675646630986
395,
396,0.8970580241380021
397,0.996092492926613
398,
399,0.9593198837774248
400,0.44200646143190897
401,
402,0.899770633482552
403,
404,
405,0.9920545934020708
406,0.800322792185962
407,0.891967545677575
408,
409,
410,0.935846121975074
411,0.19088405591985105
412,0.825173534909335
413,
414,0.505186186699803
415,0.514326395055967
416,
417,0.843683203129516
418,0.509570159269216
419,0.19506041863885495
420,
421,0.965728073938126
422,
423,
424,0.8269939723605471
425,
426,
427,
428,
429,0.3631327653267101
430,0.8777602985447641
431,0.7741932909778091
432,
433,0.29990579256274896
434,0.8611022922404109
435,
436,0.924030733327596
437,
438,
439,
440,0.766597805348289
441,
442,
443,
444,
445,0.8952650071820321
446,
447,
448,0.980786175587285
449,
450,
451,0.769709443565055
452,0.707810285370286
453,
454,
455,0.9076522179862492
456,
457,
458,0.977159167028298
459,
460,0.26908633682223304
461,0.367212010253237
462,
463,0.935846121975074
464,0.335461540468505
465,0.7694317550142958
466,0.291266637878772
467,0.828247175793621
468,
469,0.648178177252731
470,0.998457457525647
471,0.3821444177868471
472,0.756167500865008
473,0.4000664976032961
474,0.50202598141009
475,
476,
477,
478,
479,
480,
481,0.611552961872473
482,0.9118430900538592
483,
484,0.9559851297910308
485,0.862936574911327
486,0.995154666748865
487,0.992372628340923
488,0.8394435703113441
489,0.7769316162681941
490,0.98646210400056
491,0.9393838692847908
492,
493,
494,0.360919302021327
495,0.7768045402426159
496,0.39506555192257503
497,0.499719946648997
498,0.6198171390738481
499,0.557754413318254
500,
501,
502,0.8818777160413208
503,
