,0
0,0.996122585274332
1,0.920326682066731
2,0.544161526765441
3,0.7812610817886451
4,0.20619447797402105
5,0.7404859823239671
6,0.8757689421441579
7,0.6500490446053211
8,0.7268276594975859
9,0.742057084812189
10,0.6950658960937659
11,0.110470622054037
12,
13,
14,
15,
16,0.545572048186676
17,0.244900937148302
18,
19,0.454636507507289
20,0.786717390100888
21,0.30458933589408005
22,0.924797227468441
23,
24,0.7427303767503021
25,0.9838328414418128
26,0.612670498446402
27,0.748395134044179
28,0.969872011238501
29,0.870626572891535
30,
31,
32,0.631953960357223
33,
34,
35,
36,0.7318165168137071
37,0.854126640638047
38,0.97227824566146
39,0.110599267118219
40,0.841992425952096
41,0.397797022933129
42,0.682550938305437
43,0.847174452761595
44,0.865704128221223
45,0.957947163137056
46,
47,0.40917606151529
48,0.760391925362295
49,0.994271971095012
50,0.569638758770649
51,
52,
53,
54,
55,0.7056728390907021
56,0.280470004698519
57,0.483923666363063
58,0.9801170726274192
59,0.5705599559418829
60,0.938375881719175
61,0.98876537195911
62,0.319190990962872
63,0.318809321724104
64,0.524453627308071
65,0.967334534272458
66,
67,
68,
69,0.216100678568397
70,0.606423399466372
71,
72,0.9912692702620748
73,0.921250513917392
74,0.106309799071965
75,0.626917505256699
76,
77,0.746277876429256
78,0.052349101070112994
79,0.432522864410984
80,0.737827457206524
81,0.734921816554397
82,0.289635808208745
83,
84,0.854926013841673
85,0.752169691121549
86,
87,
88,
89,0.5707761350967379
90,0.073624859299505
91,0.4745149197749721
92,0.752850552586783
93,0.6386027229335429
94,0.94371293919322
95,0.999521441140874
96,0.653057956287165
97,
98,0.57939936193851
99,0.962451136512904
100,0.925576898635578
101,0.741494119279789
102,0.7118581890431859
103,0.900190065615768
104,0.0293742436325974
105,
106,0.909229171141388
107,0.794820504422948
108,0.890228229061655
109,0.985716705616326
110,0.113646792972321
111,0.996494066608442
112,0.0724484001682369
113,0.787511217021903
114,0.9504604324225492
115,0.0952064284826108
116,
117,0.0259529316263696
118,0.714588223565395
119,0.59021242809249
120,0.685639306669639
121,
122,0.825941511560124
123,0.9107621907858922
124,0.0897866582702323
125,0.474255855221769
126,0.944707737116954
127,0.6878170655280129
128,
129,0.252279048790371
130,
131,
132,0.7804509879226801
133,0.73286108970574
134,
135,0.963406446392407
136,
137,0.760656522987652
138,
139,
140,0.5586366952239971
141,
142,
143,
144,0.511092403927373
145,
146,
147,0.679346478349484
148,0.882290014421688
149,0.595441166229127
150,0.973328850375698
151,0.682550938305437
152,0.97220331765175
153,0.25686839735907
154,
155,0.922895415689172
156,0.000891694271189012
157,0.770424489275639
158,
159,
160,0.285646711400861
161,0.8070264166825691
162,0.963668270986429
163,0.9081013753329492
164,0.197660601533504
165,0.925299107067735
166,0.0381747788789898
167,0.938323861549501
168,0.120779174856894
169,0.501966348796562
170,0.993082562929128
171,
172,0.957967948307352
173,0.5939825955109761
174,0.9536634588331768
175,0.861983522872836
176,
177,0.760325919921083
178,0.8022373649564141
179,
180,0.8203643455042801
181,0.6638804335764721
182,0.760656522987652
183,0.972400527472569
184,0.8208667550715859
185,0.752850552586783
186,0.84591092436484
187,0.964982721613813
188,0.631268078151187
189,
190,
191,
192,0.069515671197856
193,
194,0.957947163137056
195,0.928083303739143
196,0.972779131082491
197,0.8526637969107809
198,0.9581647070295848
199,0.455309762147235
200,
201,
202,0.494005884053724
203,0.295096810923265
204,0.121376975107607
205,0.972400527472569
206,0.644619971017452
207,
208,0.720243709783154
209,0.940325507994394
210,0.972033439618745
211,0.999521441140874
212,
213,
214,
215,0.32546701982731496
216,0.165246862707156
217,
218,
219,
220,
221,
222,0.973183002884371
223,0.8551471239269699
224,0.5515184585160461
225,0.00424719862211455
226,0.481560287582349
227,0.761830354393656
228,0.289889598330584
229,0.994594581237646
230,
231,
232,
233,
234,
235,
236,
237,0.873891426510543
238,
239,
240,0.202662515252478
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,0.944707737116954
251,0.85376121190597
252,
253,
254,0.8184373024052399
255,0.8951951031882359
256,0.9598814604915252
257,0.999320266295167
258,0.6628871527983189
259,
260,
261,0.265676074311888
262,
263,0.9057634285807372
264,0.433570800255964
265,
266,0.9644099710110968
267,0.654011699865591
268,0.7134166627784141
269,0.72615651350255
270,0.9575029794296452
271,
272,0.8875258815025919
273,0.9515397040198992
274,
275,
276,
277,
278,0.9575029794296452
279,0.5329436002358221
280,0.982701441600952
281,0.4323692999707299
282,
283,0.865983244269619
284,0.9265931548860308
285,0.6899263118145279
286,0.9575029794296452
287,
288,
289,0.99831145486087
290,
291,0.744643256819534
292,0.0597612766214986
293,0.34315697020787
294,
295,0.756640269961129
296,0.774388851234404
297,
298,0.4644832770870061
299,0.0178891657525503
300,0.832622920712714
301,0.929076358906249
302,0.7292452980492979
303,0.920931771024196
304,0.946437185527244
305,0.951255487209379
306,0.7226594676133299
307,
308,0.850938794092913
309,
310,
311,
312,
313,0.98876537195911
314,0.648267568627462
315,0.7303276964521229
316,0.682550938305437
317,0.5721247268180161
318,0.7437585078419531
319,0.16812369474018898
320,
321,
322,0.950493926605991
323,0.89396377829138
324,
325,0.640973923070135
326,
327,
328,0.8917496756837109
329,0.453002380673818
330,0.956520817892487
331,
332,0.715787941673785
333,0.49438948557755
334,0.120779174856894
335,0.03530137531935
336,0.9299172135267892
337,0.8836155206812321
338,0.998356755855074
339,0.7746827391477209
340,
341,0.992841336268158
342,0.923617348425755
343,0.5184323362875051
344,0.9726423275783208
345,0.938414105302772
346,0.7929301418869449
347,0.925382930102967
348,0.431657561014201
349,0.9929836240722768
350,0.32344792420804
351,0.663418341177498
352,0.36487328168760097
353,0.611119529901755
354,
355,
356,
357,
358,
359,
360,
361,0.988831866838626
362,0.832622920712714
363,0.307291544835396
364,
365,
366,0.310411263733634
367,0.819583180857347
368,0.999957113342902
369,0.89212115500357
370,0.67404928885196
371,0.951970201569823
372,0.981670960483927
373,
374,
375,0.794427336239141
376,0.936294220996478
377,0.882290014421688
378,0.8392331474193171
379,0.4229018875269221
380,0.270515511955079
381,
382,
383,
384,
385,
386,
387,0.787511217021903
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,
399,
400,
401,0.138686719841185
402,0.628334450330436
403,0.9829590119323348
404,0.9259379521499008
405,
406,
407,
408,
409,0.451842669692872
410,0.305814081625234
411,0.234813963378267
412,0.9265931548860308
413,0.969872011238501
414,
415,
416,0.882462786354224
417,0.751788125471938
418,0.743431981300389
419,0.6878170655280129
420,0.964841131466638
421,0.6949604495176129
422,0.744580449814054
423,0.9940404184269828
424,0.7888706086399041
425,0.15435565048418098
426,
427,0.970012567612878
428,
429,0.631448091103256
430,
431,
432,0.991838486496888
433,
434,0.9156806491924692
435,0.62427305474189
436,0.929231999564697
437,0.998356755855074
438,
439,3.38988897934004e-06
440,0.539336644760115
441,0.6865570296822471
442,0.765454480413335
443,0.138456887649117
444,0.423674629658465
445,0.813557108810578
446,0.972400527472569
447,0.98974997267457
448,0.248849451291171
449,0.196668487879499
450,0.957421817281058
451,0.41948903496680895
452,0.97227824566146
453,0.679774346122089
454,0.6595714310690111
455,0.954840316221962
456,
457,0.3638778159196889
458,0.89040927388202
459,0.523352476693173
460,0.95803698624916
461,0.294100522128185
462,0.771029974481425
463,0.853215759853245
464,0.954037114548602
465,0.8187672965145429
466,0.611296276599506
467,0.6878828964117522
468,0.860047322776017
469,0.194205145422911
470,
471,0.0345390058400475
472,0.942615853387423
473,0.964433918146754
474,0.19841886951209695
475,
476,
477,
478,0.934890060897647
479,0.942615853387423
480,
481,0.973941779554223
482,
483,
484,0.367827481002091
485,
486,0.7202916652891329
487,
488,
489,0.99593818324576
490,0.996506516030588
491,0.010994117790374002
492,0.511531416119786
493,0.8353464280214742
494,0.484502884627856
495,0.9008604465301328
496,0.942247510282842
497,0.964579650697848
498,0.8999809899622409
499,0.9486291181581372
500,0.866201579625735
501,0.51693546360203
502,0.952271234186376
503,0.270704766747918
504,0.8762825226986909
505,0.926145444869748
506,0.988762995344429
507,0.9434705626903
508,0.44321398931541706
509,0.954777117206676
510,0.755031937201035
511,0.956244406550146
512,0.517739010406175
513,0.329581928908856
514,0.6476890638131391
515,
516,0.9299172135267892
517,0.45134842812328
518,0.993368878729648
519,0.9039630299562048
520,0.7134166627784141
521,0.657349685014896
522,0.934890060897647
523,0.986944069626163
524,0.7649517611241479
525,0.889830203841445
526,0.9583256032063292
527,0.50565906929765
528,0.994353199129796
529,0.984182885270773
530,0.925576898635578
531,
532,0.255826306907541
533,
534,0.380133101781858
535,0.809026895246297
536,0.999861505848959
537,0.9214453541349809
538,0.8996816551422491
539,0.972845529816224
540,0.510164713296043
541,0.564022655188691
542,0.996494066608442
543,0.7097050497474809
544,0.7239529996347329
545,0.8950189495688822
546,0.251634162149594
547,0.883117137079329
548,0.977526570181611
549,0.211328287092774
550,
551,3.38988897934004e-06
552,0.97217782966705
553,
554,
555,0.8070264166825691
556,0.843677470786355
557,
558,0.61366832275812
559,0.30820379762558503
560,
561,0.99949957385134
562,0.138997658789764
563,0.76947395767105
564,0.4051387670847721
565,
566,
567,0.112460849999433
568,0.8776887368111479
569,0.7281680532594029
570,
571,
572,
573,
574,
575,
576,
577,0.8215731666332309
578,0.598369628286105
579,0.40802506133985295
580,0.842143290905218
581,0.55574195853164
582,0.985150529438359
583,0.8121338796279891
584,0.787928330204491
585,0.8772690008126658
586,0.410663894198868
587,0.9467953121899492
588,0.835924718073933
589,0.266145640932748
590,0.942615853387423
591,0.950401699698677
592,0.918576366902173
593,0.912545128214372
594,
595,0.989828297579538
596,0.6922095932577079
597,0.7812610817886451
598,0.9884628692395492
599,
600,0.715363047089593
601,
602,
603,
604,
605,
606,
607,
608,
609,
610,0.265676074311888
611,
612,
613,
614,0.913263935965878
615,0.995698390370226
616,
617,
618,0.4018421253563561
619,0.26292581498321
620,
621,
622,
623,0.900700279748557
624,0.99708589016955
625,0.583823788440324
626,0.295838081432992
627,
628,0.374269591142844
629,0.6899263118145279
630,0.795382973785681
631,0.98366438578593
632,0.9846681483981942
633,
634,0.7945796492926271
635,0.971556609183696
636,0.955535490269726
637,0.956100009417024
638,0.49059497668278
639,0.104693859340985
640,0.461518895957911
641,0.0596568960405951
642,0.391043561540036
643,0.745669558281883
644,0.86041641519834
645,0.6445641221111391
646,0.495070127174144
647,0.912576268945242
648,0.7077201956470209
649,
650,
651,0.17100414209170006
652,
653,
654,0.819777647575024
655,
656,0.7407564587107379
657,
658,0.0112315753790949
659,
660,
661,0.92149199153674
662,0.9884628692395492
663,
664,
665,0.0780065393242319
666,
667,0.991665571988314
668,
669,
670,0.987278913492452
671,0.6185059847265569
672,0.680466097295182
673,0.921459209408042
674,0.909229171141388
675,0.911703746913984
676,0.520024267024543
677,0.50374003703188
678,
679,0.5254586865037261
680,
681,0.922603697603356
682,0.8032477032296941
683,0.19410103644493695
684,
685,
686,0.148158662907233
687,0.8386009789442521
688,
689,
690,0.9338815893561808
691,0.56564019591115
692,0.342597714991052
693,0.944707737116954
694,0.97436028700405
695,0.9272785158905648
696,0.4481091270811
697,
698,0.294100522128185
699,0.7617139430704101
700,0.812076896306792
701,0.838731737777365
702,0.926145444869748
703,
704,
705,
706,0.741494119279789
707,
708,0.936294220996478
709,0.7857748948211059
710,0.7835503678571129
711,0.963213854721645
712,1.0
713,
714,0.634805302941329
715,0.904444459935721
716,0.801383212660273
717,0.185121527078214
718,0.04919962960442
719,
720,
721,
722,0.7433077976875171
723,0.998681761099944
724,0.914923401626446
725,0.996688168741177
726,0.5967265822781309
727,
728,0.567684092455317
729,
730,0.944707737116954
731,0.520134559756505
732,
733,
734,0.9342755619117672
735,0.380703490083006
736,
737,
738,
739,0.433570800255964
740,0.663418341177498
741,0.9536634588331768
742,0.169894021498391
743,0.415354588578515
744,0.493491820187996
745,0.8893467943150359
746,
747,
748,0.97478349766778
749,0.759551273781894
750,0.9812639605686152
751,
752,0.460911641324821
753,0.7746827391477209
754,0.6088676852075121
755,0.9726423275783208
756,0.996054878936303
757,0.9920169660907108
758,0.840630495772177
759,0.17020349666661702
760,0.8037601428355821
761,0.9652871719208008
762,
763,0.606739318012915
764,
765,0.9123372854889708
766,0.000288795376769456
767,0.666737003714577
768,
769,
770,0.5329436002358221
771,0.836641742904523
772,0.478082400494752
773,0.7020872627068689
774,0.828173036305445
775,0.963500912084898
776,0.65006390172643
777,0.6558010512884829
778,0.20754762152424
779,0.6950786777184901
780,
781,0.806623804493865
782,0.657144001342405
783,
784,0.622362278760713
785,
786,0.509101467529585
787,0.994271971095012
788,0.0224718354256214
789,0.966931733988928
790,0.280580443284765
791,
792,
793,0.998281013942965
794,
795,0.212957776543182
796,0.451842669692872
797,0.7163635689982359
798,0.17665795131422304
799,
800,0.06783755137139
801,
802,
803,
804,0.886699255773157
805,
806,0.916101897198141
807,0.300866147534584
808,
809,0.617985001673453
810,0.8035690748925759
811,0.5721247268180161
812,
813,0.0327593887716338
814,0.765454480413335
815,0.951255487209379
816,0.994271971095012
817,0.321711984340815
818,0.17449289168947102
819,0.915452776455438
820,0.01790101463991
821,0.9892025278758292
822,0.915452776455438
823,0.767644041285836
