,0
0,2.5979880733418203e-06
1,8.08383355583518e-07
2,2.46612949150923e-08
3,1.32484274128784e-09
4,3.18668592848723e-09
5,0.045563410364585
6,8.884357202249541e-05
7,5.562820455289838e-10
8,1.52388256376929e-09
9,3.1012351168508398e-12
10,8.52268682876959e-07
11,2.19640681088725e-12
12,0.0251709782700787
13,7.301989447800481e-06
14,4.3627030646611986e-09
15,3.1744336449308107e-09
16,0.000122389171654369
17,1.0
18,0.307701186275163
19,5.04435247989372e-19
20,1.0602894383218e-08
21,2.58118813485313e-07
22,0.00513889088258576
23,2.67433700260267e-06
24,0.000151182783326123
25,0.07326222271369501
26,9.00616677134441e-09
27,1.30707370072846e-15
28,0.64069726820754
29,2.1961558037184897e-15
30,0.000212039260325065
31,5.088241615125521e-15
32,0.0006768548587641572
33,0.0680878387852524
34,1.0
35,0.890576919926119
36,6.54148864240753e-11
37,7.17852391251494e-11
38,3.77626314750245e-05
39,3.55362583747852e-08
40,5.41778468424847e-10
41,9.782096357279407e-09
42,0.0303319059918559
43,0.00969311894108218
44,3.35872417366849e-07
45,7.606813666274349e-11
46,1.9287436250648493e-09
47,2.07407350867095e-06
48,2.25546734661164e-07
49,2.15858749620233e-07
50,4.4929084229374003e-13
51,0.8426785546070859
52,0.229991064734062
53,
54,
55,1.3049651251668902e-07
56,1.30312430914463e-10
57,3.88576334869006e-10
58,0.947839215388706
59,1.94643150720319e-06
60,0.00116913137897326
61,7.908947285285291e-14
62,1.73717657891986e-09
63,1.13132436824764e-13
64,8.735512002864639e-08
65,8.45524211432804e-05
66,3.3790165667089097e-09
67,9.83478686709676e-08
68,2.8177268482244898e-15
69,3.43226719319027e-05
70,0.387640887623291
71,4.3994935698920496e-10
72,0.0102714328637529
73,0.298241417829411
74,1.05776845600647e-07
75,6.93456650266244e-11
76,0.254890566665932
77,0.00173178523906979
78,0.236993800344067
79,0.6156493462295689
80,0.6599553342689799
81,0.000240073803193275
82,0.000156875104143776
83,8.144656340584128e-13
84,2.5533064925422202e-08
85,4.66796409269414e-11
86,1.0451228123215598e-05
87,7.496754110408159e-13
88,3.77625822178337e-06
89,2.0415537789633e-05
90,1.95563822290189e-08
91,7.18389677848414e-07
92,0.0482355618937771
93,1.96539404679209e-11
94,6.78712121333945e-05
95,2.61505440006488e-10
96,0.0321958101014257
97,0.138931440112481
98,0.190820520767314
99,2.3301587364456e-09
100,0.0112605186315389
101,0.273085874893885
102,0.738017338703117
103,0.0020507961771355
104,5.266627013917941e-15
105,0.0169010930162812
106,
107,4.5522064625261595e-22
108,0.708842261480342
109,0.0557117033023735
110,0.15407622618403102
111,0.000204483425474066
112,0.164135481420418
113,
114,
115,
116,4.2689292559088e-12
117,6.00793104478544e-08
118,1.9989224583280604e-14
119,2.0514129806591295e-05
120,3.888948040158521e-05
121,4.95855419685226e-13
122,0.180186342603959
123,3.33609551401929e-11
124,0.00359877048526121
125,0.897873188674758
126,0.0455741829882495
127,0.104232870807454
128,1.8709714616743104e-07
129,2.447576321685e-06
130,2.36791677642914e-11
131,0.16461685149317998
132,9.926571661209179e-08
133,6.02824311832302e-17
134,0.382379809192814
135,1.87595033401778e-06
136,8.814697151872059e-07
137,5.1144115577718886e-08
138,2.719973969489989e-07
139,0.7028086615564771
140,6.022795891948948e-10
141,0.0285628581895145
142,0.134777707203601
143,4.7678140740266797e-11
144,3.4591926613204902e-09
145,1.06211136283113e-12
146,4.449411120931141e-09
147,1.82443750762294e-06
148,0.611146597266914
149,9.56504653951494e-05
150,4.2907352761822e-09
151,0.0285529339143979
152,0.0401463894242987
153,0.0005907242162162099
154,3.99325158590964e-09
155,6.04708367226585e-11
156,3.40884796926053e-08
157,6.194634740116729e-13
158,0.0936533969291624
159,1.90908796248614e-08
160,0.0020782289755180397
161,0.000300284553747586
162,0.0846501118762016
163,3.46639515509725e-05
164,3.1713263902491106e-11
165,3.50741177498775e-12
166,0.47042770444058
167,0.0742742335000857
168,0.832306159238047
169,2.4191632162327107e-05
170,2.25934598729705e-07
171,0.0191936791489317
172,1.3024573991727804e-09
173,0.0115933601724596
174,5.39548120425257e-05
175,0.7613346371366919
176,1.53059119208999e-18
177,0.273383762655759
178,6.247167372737351e-07
179,7.40411623053835e-05
180,1.3628318819967902e-08
181,2.1084974118134e-07
182,1.3977513934416999e-11
183,1.33118827219301e-11
184,0.297032101373742
185,1.27011146720083e-05
186,2.32810758630214e-11
187,2.66223070226955e-13
188,6.20542251677184e-07
189,0.398867493924114
190,2.78203090004743e-07
191,0.00027484473520870896
192,1.916125612649e-08
193,4.0093490680329396e-14
194,0.0781685706795634
195,8.45978739756275e-09
196,1.64999604969216e-11
197,2.17730927247548e-05
198,3.51395294792715e-11
199,4.57791309057986e-09
200,0.008566742010697759
201,0.933118113335694
202,3.10095602784065e-05
203,2.12207993954049e-11
204,0.000361064017547426
205,1.1137879255715201e-10
206,1.0
207,0.35359030568347605
208,2.6549905488610002e-05
209,1.0
210,2.8313961601619703e-07
211,0.0007430471137137
212,1.73172083323447e-09
213,0.000273097215432164
214,1.5289120536032602e-10
215,0.21624138737881304
216,2.8036616631133604e-11
217,0.0793455072257822
218,2.20189633733032e-05
219,4.2371463140574e-14
220,3.68858624539503e-08
221,3.97446315303247e-08
222,3.0167462772574602e-06
223,0.204203810471094
224,9.55074942039347e-10
225,2.89931843984198e-10
226,1.44605126601396e-06
227,0.00202705051952474
228,0.0263376563097495
229,0.0400594616325278
230,1.09143207867164e-05
231,0.6649777085188779
232,2.28846710355512e-08
233,5.894538431740689e-11
234,1.0663454272323101e-08
235,2.1805487942240897e-07
236,0.000138712997620475
237,1.60964248366704e-12
238,1.76094214078649e-05
239,5.3736547264244605e-08
240,0.00190167772310302
241,0.0822054258197824
242,2.2329078381631e-16
243,1.42671818470209e-06
244,1.7134657206432398e-12
245,0.0668146398403024
246,5.15310920190003e-09
247,4.2478799127518497e-13
248,1.9063846545803305e-07
249,
250,5.929475187357099e-09
251,0.135637605707589
252,7.58803169044883e-09
253,0.837244343346039
254,0.0764037448886205
255,2.36475345767504e-17
256,1.55349798606453e-16
257,0.773113564333815
258,
259,1.13612268390646e-05
260,1.82624613954369e-08
261,0.0540738175457434
262,4.20548989700101e-14
263,6.6629383817868114e-09
264,0.917579263704046
265,
266,1.03585736288119e-08
267,6.66436992093276e-09
268,0.719080446269986
269,5.3060288812762e-14
270,9.97067074258068e-10
271,0.0082056633080373
272,1.39318887380033e-11
273,3.53289668512055e-08
274,0.000264751571715733
275,1.7581960254158994e-21
276,2.5859992713072202e-12
277,0.00110773375777138
278,0.0213966351219462
279,5.46352651278864e-12
280,0.011853218531244
281,0.0393536230275979
282,3.1834668078474497e-07
283,0.0151677687621056
284,0.19389463207974
285,0.644085224515716
286,0.828531366018179
287,0.137472218072185
288,1.8169876274089401e-06
289,0.00937933137616041
290,
291,8.21910260843807e-10
292,0.0009213805916009213
293,0.0101824607516568
294,2.6725389805232397e-09
295,0.00578712636546141
296,5.528093059264848e-08
297,9.64952218608509e-06
298,0.000260208610787364
299,2.09474128468473e-08
300,0.0012553466259915
301,0.000328363683632998
302,0.730668232568141
303,0.18126721584102304
304,5.6596639826955706e-11
305,0.000613414553448913
306,4.3251190947499795e-09
307,0.000163042826685482
308,7.273023815584341e-07
309,1.25151219248127e-05
310,5.996755296738138e-05
311,0.00452474339748843
312,7.60629354973688e-05
313,0.452698389888481
314,0.140028975092892
315,8.22708919195321e-08
316,0.9078979972778392
317,0.0009688811802911961
318,2.79953498796505e-16
319,0.0457437965946396
320,0.00870994326651559
321,7.544297925154109e-05
322,0.666046532573703
323,1.5009286110595498e-05
324,6.505517022202962e-05
325,2.10666561218374e-15
326,
327,1.1087731880816998e-10
328,2.24859983147512e-10
329,0.110878179256366
330,1.02725984637338e-05
331,0.0050643617848114
332,0.25030896894033106
333,0.997287898474019
334,0.8766849233816301
335,2.0906522120723893e-07
336,7.639636167322779e-05
337,1.6123242653587193e-05
338,6.35440055503301e-09
339,9.50673528223611e-09
340,0.5624017735678399
341,9.560633733736528e-08
342,0.138558262252667
343,2.76485993941055e-08
344,2.25751707122013e-09
345,5.97686020781317e-08
346,1.0
347,0.229216560012865
348,2.7762037609061306e-09
349,0.00837622627311823
350,0.000107658552532567
351,2.23687061052935e-09
352,0.011779858180945
353,5.95934088695218e-07
354,4.06172626014219e-07
355,1.10823501380532e-07
356,0.543692561534681
357,8.290299247182991e-05
358,0.000268177482683948
359,1.15963597025728e-06
360,1.88143554452183e-10
361,9.35895035044914e-06
362,0.0169780198585237
363,4.21703074076434e-08
364,1.8815201675828998e-06
365,3.1568042243880603e-09
366,1.14409259018614e-07
367,2.56429262545153e-06
368,0.015532547522649
369,0.00167286037839272
370,0.553993431458749
371,4.05823100119409e-12
372,8.03171107629638e-12
