,0
0,0.16735848258758898
1,0.951751491755696
2,0.420709799681657
3,0.474764149058351
4,0.400716523886618
5,0.237328343255472
6,0.288469245583169
7,
8,
9,0.506005197171559
10,0.8632464253684059
11,0.4164360759298951
12,
13,
14,
15,
16,0.32933937519857
17,0.19295084757167305
18,
19,0.289980459296521
20,0.3806800749828521
21,0.625944858111254
22,0.899144650272011
23,
24,0.20087947099939
25,0.9648649736256372
26,0.913422454006453
27,0.903642362793982
28,0.7472245659343291
29,0.30985422800202
30,
31,
32,
33,
34,
35,
36,0.7338205295953141
37,0.65223990412711
38,0.8738041814787709
39,0.949055961972556
40,0.902448704944115
41,0.7106491893940798
42,0.311229718327047
43,0.9051245150114592
44,0.6315831446025735
45,0.954628739824774
46,
47,
48,0.490789725104112
49,0.5093397080716889
50,0.684599045234648
51,
52,
53,
54,0.66685102077394
55,
56,
57,
58,0.8346172929220671
59,0.753818089146754
60,0.8618947570574671
61,0.364541534279333
62,0.6999375756047811
63,0.119592520291849
64,0.448083435793655
65,0.827674340607836
66,
67,
68,
69,0.400085912384387
70,0.787250296862733
71,
72,0.400085912384387
73,
74,0.3303917104153161
75,0.9004287638822521
76,
77,0.7747451052518679
78,0.6716607183007571
79,0.679452270941318
80,0.7675961230405269
81,0.97380906392001
82,0.57350303084373
83,
84,0.993836060884034
85,0.206833406038734
86,
87,
88,
89,0.621594246209051
90,0.0985873207201246
91,0.14330725778966
92,
93,0.8511748647126609
94,0.4994592066577701
95,
96,0.19756366841926296
97,0.43773197793276
98,0.574935831643391
99,0.894904542178193
100,0.51260608391846
101,0.66410956528955
102,0.320973468846025
103,0.657636735017676
104,
105,
106,0.7858163251091701
107,0.403024815568863
108,0.686345040439184
109,0.969135634326166
110,
111,0.6344352581733019
112,0.5339456057877079
113,0.526964589704559
114,0.868894213002377
115,0.491537455880598
116,
117,0.400085912384387
118,0.466182250676263
119,0.712842953078343
120,0.6173120342779399
121,
122,0.65983972310579
123,0.503466796472631
124,0.499732770440173
