,0
0,0.107445394874409
1,0.101612729686369
2,0.8623246566409879
3,0.047608461676836
4,0.4310401301157861
5,0.0681586405468164
6,0.236537877796705
7,0.131390682708375
8,0.256477755695132
9,0.13651483308760698
10,0.039232834468365986
11,0.39285999628513896
12,
13,
14,
15,
16,0.41448932611644895
17,
18,
19,0.287149822260383
20,0.0739437758923771
21,0.379951180921664
22,0.31444966140262
23,
24,0.0411285558039935
25,0.0762319947582658
26,0.4533467769292941
27,
28,0.312087000845794
29,0.234545285686049
30,
31,
32,0.0604564377401216
33,
34,
35,
36,0.11928810294900097
37,0.0504271014674047
38,0.0484035493395223
39,0.212220152935006
40,0.0752384406242197
41,0.5185639711456721
42,0.196662068557772
43,0.441654928578302
44,0.38671954107827083
45,0.19915440376399304
46,
47,
48,0.0885014727409292
49,0.249662274804129
50,0.00323391456952912
51,
52,
53,
54,
55,0.0264275957425924
56,0.589296621433207
57,0.0208864252562891
58,0.4048073117959529
59,0.140157273940128
60,0.0768599624170065
61,0.483141849546509
62,0.0460563006197768
63,0.620405481781428
64,
65,
66,
67,
68,
69,0.27719995542235804
70,0.9940680780678548
71,
72,0.364449335589464
73,0.21905817810828496
74,0.0667876901438574
75,0.0789581083739243
76,
77,0.638608693567507
78,0.203133338286384
79,0.0101728811700164
80,0.548536874566655
81,0.888087782578672
82,0.0646003437292272
83,
84,0.079335095451482
85,0.872536146536341
86,
87,
88,
89,0.23847483514605206
90,0.319735620101447
91,0.0855387236334018
92,0.0779621092141102
93,0.7294194415446791
94,0.557915752149089
95,
96,0.0600242382713568
97,0.5695980701615401
98,0.122268095480333
99,0.0795560270167447
100,0.104684515852407
101,0.8843838120287929
102,0.239416328498275
103,0.0695060531969224
104,
105,
106,0.141020434165665
107,0.071427734162899
108,
109,0.100770793161353
110,
111,0.7235885593578399
112,0.444795438201159
113,0.28994934917887705
114,0.0215972111906876
115,0.475626789677879
116,
117,0.0115118071151235
118,0.7365954351775681
119,
120,0.23811037645226105
121,
122,0.136894024398034
123,0.794504069365104
124,0.12038252467731403
125,
126,0.8798745488848589
127,0.5765546403901479
128,
129,0.6120667075990001
130,
131,
132,0.0130320612248931
133,0.206403007095394
134,
135,
136,
137,0.80096480993344
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,0.967003866735999
148,0.0804510815838603
149,0.0465731978538445
150,0.0196124436652726
151,0.984988494279727
152,
153,0.502570232631915
154,
155,0.103617883321838
156,0.007154854972996459
157,
158,
159,
160,
161,0.0875298750526108
162,0.199261004436318
163,0.1145862570692
164,0.0331955615043693
165,0.10741390426286802
166,0.42239000217725
167,
168,
169,0.273434878731216
170,0.0382870407343345
171,
172,
173,0.295544081466861
174,0.00878660615701058
175,0.6038527810360921
176,
177,0.7700593987385291
178,
179,
180,0.169651931078022
181,0.40268560811957
182,
183,0.570605343512942
184,
185,0.748280548484443
186,0.10741390426286802
187,0.049499168713872006
188,
189,
190,
191,
192,0.10176598724299403
193,0.688744002931763
194,0.0907452640476072
195,0.17607936525953896
196,0.0371068507456219
197,0.738592235677841
198,0.101686976170604
199,
200,
201,
202,0.0209283494740187
203,0.457498114581757
204,
205,
206,0.14337719897059698
207,
208,
209,0.33431967492157805
210,0.0112200760415103
211,0.16934380677799502
212,
213,
214,
215,0.535249888256223
216,0.185109686889303
217,
218,
219,
220,
221,
222,0.135706591048309
223,0.3486752166525061
224,0.6651237970234
225,0.9763628340673308
226,0.6470376041657641
227,0.10004330213054903
228,0.725319201658251
229,
230,
231,
232,
233,
234,
235,
236,
237,0.9295414357458168
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
