,0
0,
1,
2,0.177645690498075
3,
4,0.482883330865478
5,0.597097578170813
6,
7,
8,0.207866697985134
9,0.759757060193828
10,
11,
12,
13,
14,
15,
16,
17,1.0
18,0.946688034560953
19,0.0259782140675759
20,0.449308264667994
21,0.220703836741518
22,0.655312250708817
23,0.114059840465499
24,
25,0.9864480155966748
26,0.36475735721997
27,0.985138848428766
28,
29,0.0883733915924845
30,0.11172710420510497
31,0.324258937083636
32,0.0528431280473831
33,0.115857703754892
34,1.0
35,0.9223425105023648
36,0.0864196456399733
37,0.691346246900541
38,0.159897555789606
39,
40,0.798436581206955
41,
42,0.680429612402742
43,0.7798957456866841
44,
45,0.0108902415119166
46,
47,0.268652264030661
48,
49,
50,0.06033208674398501
51,0.0897523529490386
52,
53,
54,
55,
56,0.0653182720232302
57,
58,0.7134890608776121
59,0.43995274612132507
60,0.417574918030658
61,0.15583279022831198
62,0.0240715156790596
63,0.0877556353718676
64,
65,
66,0.344185261625594
67,0.8197400955689621
68,0.302011742508682
69,0.485960942274306
70,0.224627668036358
71,0.16593989065713902
72,
73,
74,
75,
76,0.0434884722157353
77,
78,
79,
80,
81,0.0723500460243685
82,0.0757441510413495
83,0.025942890442399
84,0.203199319294145
85,0.8450592373331881
86,
87,
88,
89,0.143519494815518
90,0.40216093452313495
91,
92,
93,
94,
95,0.10863019651855
96,0.9614471977992508
97,0.0641469837082636
98,0.120111000425322
99,0.589458718718651
100,0.176867288987962
101,0.28534170778687
102,
103,0.17627050157710802
104,0.843099222870232
105,0.0926317492929681
106,
107,0.19868948256253305
108,
109,
110,
111,
112,
113,
114,
115,
116,0.120994187908238
117,0.136182029224657
118,0.0331021783545338
119,0.8701096825475441
120,0.165934773133986
121,0.00830097230455568
122,0.0581864030588806
123,0.439066749316641
124,0.0546526182014736
125,0.491359444062014
126,0.0223691318002238
127,0.117457766262009
128,
129,0.201499778086906
130,0.431108365552931
131,0.0183447838133844
132,0.809943373593282
133,0.24910370655132305
134,0.34004862070996
135,0.351160990197254
136,
137,0.7949734178350479
138,0.0321793591955924
139,
140,0.0241407950270025
141,0.65659020189979
142,0.0334474651712716
143,0.5082733083854609
144,0.13320075028169198
145,0.271495583019155
146,0.324258937083636
147,
148,0.4096240613765361
149,0.954115535508084
150,
151,0.621859403988287
152,0.0578110373587846
153,0.0310547962468366
154,0.0403987087914051
155,
156,0.142770820230661
157,0.238322078246106
158,0.0678108273960862
159,0.267128495338386
160,0.0671533194211501
161,0.152828230201802
162,0.40366154437341706
163,0.226537049699408
164,0.968612052601584
165,
166,0.86418562241497
167,
168,0.064617092851199
169,0.429003167414574
170,
171,
172,0.8589727624828271
173,
174,0.7448599931612359
175,
176,0.8253240841854009
177,0.20008114272236
178,
179,0.152125807131403
180,
181,0.37061892027101895
182,
183,0.78195710293559
184,0.451495059151405
185,
186,
