,0
0,0.960526985449026
1,0.7674770555881558
2,
3,0.9026478061812628
4,0.945103494559615
5,0.915830011880104
6,0.797398125326183
7,0.8625355648354369
8,
9,0.961331925535214
10,0.962623577475712
11,0.955649838974867
12,
13,
14,
15,
16,0.924100791175706
17,
18,
19,0.8003989646152421
20,0.720327548423923
21,0.8932311160976439
22,0.754026282947197
23,
24,0.944949412501561
25,0.7798598064203729
26,0.8653698163485491
27,0.95188921576692
28,0.962431450120598
29,0.8770887125606899
30,
31,
32,0.757546085417625
33,
34,
35,
36,0.653826344400692
37,0.9716102228802
38,0.918997324765414
39,0.977305391710658
40,0.6674057788146109
41,0.5852495165858421
42,0.78629778776044
43,0.712368571848563
44,0.8301684469946964
45,0.930531079180932
46,
47,
48,
49,0.964861475706376
50,0.8015178108680829
51,
52,
53,
54,
55,0.948362893665722
56,0.667030742763178
57,0.9761565382103922
58,0.757664512285796
59,0.7489340445937871
60,0.707297249430491
61,0.9161049972074792
62,0.647062240524917
63,0.752405889468957
64,
65,
66,
67,
68,
69,0.844258615678409
70,0.5919934783051851
71,
72,0.957128590053768
73,
74,0.8076558150398059
75,0.932825789198846
76,
77,0.9679082643088992
78,0.943011537099728
79,0.995230302700005
80,0.6282925824704549
81,
82,0.9161601653951172
83,
84,0.6780532746700229
85,0.9500697311443028
86,
87,
88,
89,
90,0.936935536061996
91,0.897396678553993
92,
93,0.903452268433197
94,0.6461219930930229
95,
96,0.811526155616085
97,0.913632042047436
98,0.8084139985263961
99,0.956168409985304
100,0.8261728806981421
101,0.951706729869028
102,0.7868840736156041
103,0.8649026160075609
104,
105,
106,0.9161601653951172
107,0.948504802900824
108,
109,0.897191323539585
110,
111,0.8101535027143809
112,0.619388026482838
113,0.959941438659762
114,0.87197798460609
115,0.31740387770669604
116,
117,0.6276688511464791
118,0.654790297122042
119,
120,0.8939039010633771
121,
122,0.772260036884646
123,
124,0.917356433800945
125,
126,0.898615850114869
127,
128,
129,
130,
131,
132,0.8170260061770209
133,0.9500697311443028
134,
135,0.500204719657731
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,0.990393606790855
149,0.813952551423235
150,0.8613311041317908
151,0.631111380547683
152,
153,
154,
155,0.97673903280153
156,0.175896801386694
157,
158,
159,
160,0.8261728806981421
161,
162,
163,0.955649838974867
164,0.621813130795211
165,0.8432852230281239
166,0.970896172811396
167,0.793121256407679
168,
169,0.7927534321097159
170,0.9130859319852048
171,
172,
173,
174,0.784013005755408
175,0.98049426527781
176,0.258396186912582
177,0.78227983696964
178,0.9135199684876
179,0.947701621329393
180,0.628797670244638
181,0.8261728806981421
182,
183,0.5430823353661189
184,
185,0.989160857142554
186,0.8520552646273559
187,0.7958599843361709
188,
189,
190,
191,
192,
193,0.9554491450146492
194,0.8359041988725171
195,0.6674057788146109
196,0.924929835663346
197,
198,0.7412577767949329
199,
200,
201,
202,0.901279310402717
203,0.7581582159535609
204,
205,
206,0.810569920649022
207,0.921661335719008
208,0.970220119366678
209,0.8870405410196759
210,0.8581926897122081
211,0.817706057445163
212,
213,
214,
215,0.952685447978547
216,0.957302935389364
217,
218,
219,
220,
221,
222,0.933934600216185
223,0.868859163147476
224,0.868105221638383
225,0.695297207442846
226,0.914877150927058
227,0.010704488943188
228,0.994883734755664
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,
254,
255,0.826956846600535
256,0.969915242192298
257,0.994883734755664
258,0.9679892460072972
259,
260,
261,
262,
263,0.6924569480517959
264,0.6610483868246321
265,
266,0.972557857324555
267,0.9789431567311228
268,0.8820723895052209
269,
270,0.8653698163485491
271,
272,0.7283634225014609
273,0.94629455898684
274,
275,
276,
277,
278,0.934262079933934
279,
280,
281,
282,
283,
284,
285,0.856559512441127
286,0.776429044076999
287,0.9176985735593628
288,
289,
290,
291,0.99158261604609
292,
293,
294,
295,0.844018768418905
296,0.73435308954212
297,
298,
299,0.9504958460987372
300,0.9866306248873008
301,0.505993277214177
302,0.63035975681954
303,0.872932416330543
304,0.8475214366965792
305,0.9628607351461128
306,
307,
308,
309,
310,
311,
312,
313,0.581316913389592
314,0.870517131518085
315,
316,0.9558796447642792
317,0.9616176764024008
318,0.6461219930930229
319,0.956509732958528
320,
321,
322,0.979165003732375
323,0.8390981515642321
324,
325,0.9900805166081652
326,
327,
328,
329,
330,
331,
332,
333,0.93412134222078
334,
335,
336,0.5714586972149001
337,0.776429044076999
338,0.835677028388595
339,0.8029692553524279
340,
341,0.8581926897122081
342,0.9465425045680942
343,0.993271014280428
344,0.944949412501561
345,0.599478041826271
346,
347,0.9679082643088992
348,0.532892714591335
349,0.7891221374962071
350,0.9866306248873008
351,0.0011972148698583304
352,0.986089648786609
353,0.634494045856276
354,
355,
356,
357,
358,
359,
360,
361,0.9005173089747099
362,
363,
364,
365,
366,0.8974350145529159
367,
368,
369,0.986718523130953
370,
371,
372,
373,
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,
399,
400,
401,0.6606597848437951
402,0.747788508455141
403,
404,
405,
406,
407,
408,
409,0.6835685990369681
410,0.624366211273414
411,0.751845482478414
412,0.8260347217017099
413,0.7101074570072371
414,0.5537673099780289
415,
416,0.7101074570072371
417,0.7452826964930079
418,0.9616176764024008
419,0.968610660213857
420,0.835677028388595
421,
422,0.6568748284571571
423,0.8613311041317908
424,0.8015178108680829
425,
426,
427,
428,
429,
430,
431,
432,
433,
434,0.768640396563919
435,0.7022047099036071
436,0.938485744728734
437,0.893047162128405
438,0.7382489575121729
