,OR,p,FDR
neutrophil degranulation,3.0932442754165144,3.5085908264470335e-17,True
regulation of small GTPase mediated signal transduction,3.55275934617252,5.8261662361541396e-08,True
cell migration,2.7321251338319303,2.1402283196943927e-07,True
IRE1-mediated unfolded protein response,5.224592592592592,1.2064794755984826e-06,True
actin cytoskeleton organization,2.8532608695652173,2.9885934729684705e-06,True
regulation of endocytosis,6.801104617558281,3.1327458231886516e-06,True
phagocytosis,4.748552188552188,3.2963089008221147e-06,True
superoxide metabolic process,10.64902525624707,3.990593993664076e-06,True
protein autophosphorylation,2.7920754236208434,4.339368656083522e-06,True
cellular response to interleukin-7,18.201030169242088,5.538107380800124e-06,True
respiratory burst,15.166666666666666,1.1253401666650831e-05,True
endocytosis,2.5378597643422833,2.1506641597999522e-05,True
regulation of cell shape,2.723868656716418,2.588905713244653e-05,True
vascular endothelial growth factor receptor signaling pathway,3.9934137977915074,3.5678851743367784e-05,True
positive regulation of membrane protein ectodomain proteolysis,11.373712288447388,3.712524943855937e-05,True
integrin-mediated signaling pathway,3.1818571183827307,5.1273067824720824e-05,True
regulation of defense response to virus by virus,6.505158437730287,7.03222983555622e-05,True
viral process,1.8024010382868267,0.0001107053587866185,True
clathrin-dependent endocytosis,6.501104565537555,0.00017880183820724282,True
regulation of actin cytoskeleton organization,3.2592524056254626,0.0002420390584064133,True
ruffle assembly,9.741727941176471,0.00024515505790624435,True
regulation of release of sequestered calcium ion into cytosol,9.741727941176471,0.00024515505790624435,True
actin filament organization,2.637669413300914,0.0002973464495820718,True
"retrograde vesicle-mediated transport, Golgi to ER",3.023768115942029,0.00031602649672564164,True
platelet activation,2.7960470538363715,0.0003170837427715068,True
protein localization to membrane,6.9972264674251425,0.0003250753154595947,True
regulation of mast cell degranulation,12.981631153563557,0.00035040112212607094,True
establishment or maintenance of cell polarity,3.7674305690425327,0.0005736448472949223,False
anoikis,10.817413666421748,0.0006044705141812892,False
cellular response to nerve growth factor stimulus,4.5015305254804145,0.0006285323214918901,False
extracellular matrix disassembly,3.1942991814137693,0.0007184350288295076,False
intracellular signal transduction,1.7545857110668648,0.000785516647098625,False
regulation of ARF protein signal transduction,7.083689839572193,0.0008378704819602329,False
bone resorption,5.684280721118469,0.0008497404680483806,False
response to endoplasmic reticulum stress,2.9413294521855318,0.0009175608894177474,False
immunological synapse formation,9.271544032749029,0.0009751654558481192,False
protein folding,2.161837710057043,0.0010147288995394168,False
