,OR,p,FDR
regulation of transcription by RNA polymerase II,20.305723035697195,1.952239314741305e-102,True
positive regulation of transcription by RNA polymerase II,14.408789799843294,1.214740811666167e-72,True
negative regulation of transcription by RNA polymerase II,13.020843711083437,9.364237320143398e-59,True
"regulation of transcription, DNA-templated",11.520797598627787,5.981473103501604e-47,True
"positive regulation of transcription, DNA-templated",9.943704606531664,7.313587084182446e-32,True
"negative regulation of transcription, DNA-templated",7.337481189952541,1.2654049186027482e-20,True
cell differentiation,5.941932216266408,1.6231390430418034e-16,True
anterior/posterior pattern specification,13.013955823293173,4.691251988085659e-11,True
anatomical structure morphogenesis,10.000721396623863,2.747414384978763e-10,True
intracellular receptor signaling pathway,33.57181571815718,1.2312225106493002e-09,True
positive regulation of pri-miRNA transcription by RNA polymerase II,22.00408163265306,2.410065774336806e-09,True
cell maturation,20.82534342584805,2.6769198558381992e-08,True
transcription initiation from RNA polymerase II promoter,6.771360826488272,2.683789807858411e-07,True
multicellular organism development,3.842210591133005,4.4246863531442354e-07,True
in utero embryonic development,5.682407407407408,6.92151039868015e-07,True
positive regulation of gene expression,3.859303090072321,1.2907382709462306e-06,True
embryonic skeletal system morphogenesis,15.03238866396761,1.3378397332610832e-06,True
transcription by RNA polymerase II,5.679312388855958,1.6887757885042492e-06,True
outflow tract morphogenesis,12.522267206477732,3.931120991299858e-06,True
positive regulation of erythrocyte differentiation,16.047235023041473,5.523650367089143e-06,True
embryonic placenta development,24.879518072289155,5.606003272511235e-06,True
cell fate commitment,10.95344129554656,8.669708740104887e-06,True
positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress,42.498285714285714,9.855498311929385e-06,True
epithelial to mesenchymal transition involved in endocardial cushion formation,33.050666666666665,2.090422369101882e-05,True
heart looping,9.384615384615385,2.1569280613408618e-05,True
somatic stem cell population maintenance,9.384615384615385,2.1569280613408618e-05,True
thymus development,11.817911714770798,2.5902693538226716e-05,True
roof of mouth development,8.905990530432993,2.933725417562066e-05,True
skeletal muscle cell differentiation,11.514267990074442,2.9553229429914205e-05,True
aortic valve morphogenesis,16.218788196263315,3.253981929347555e-05,True
embryonic hindlimb morphogenesis,15.542168674698795,3.888890488109636e-05,True
regulation of epithelial cell proliferation,27.038545454545453,3.9068944487144133e-05,True
male gonad development,6.920100925147183,4.30126086418864e-05,True
fat cell differentiation,8.338731443994602,4.314034775500569e-05,True
embryonic forelimb morphogenesis,13.31899024670109,7.43783969839993e-05,True
positive regulation of branching involved in ureteric bud morphogenesis,21.241142857142858,8.483820371009319e-05,True
osteoblast differentiation,6.077358955407736,0.000100418106965418,True
regulation of cell proliferation,4.723360655737705,0.00010622199839605657,True
cellular response to extracellular stimulus,19.824,0.00010632809294339615,True
signal transduction involved in regulation of gene expression,18.584,0.00013150861536478627,True
middle ear morphogenesis,18.584,0.00013150861536478627,True
neural crest cell development,17.489882352941176,0.0001607395324540615,True
vasculogenesis,8.011520737327189,0.00018427898781461812,True
artery morphogenesis,15.647157894736843,0.0002328355237811909,True
embryonic skeletal joint morphogenesis,31.74672737620945,0.00027035945395381667,True
organ induction,31.74672737620945,0.00027035945395381667,True
peripheral nervous system neuron development,31.74672737620945,0.00027035945395381667,True
endocrine pancreas development,14.864,0.0002764614019011989,True
response to cytokine,9.556688291628051,0.0003016720917259244,True
Notch signaling involved in heart development,27.776892430278885,0.00036804843732227263,True
regulation of osteoclast differentiation,27.776892430278885,0.00036804843732227263,True
inner ear development,9.0895288470957,0.00037252609790616774,True
proximal/distal pattern formation,13.511272727272727,0.0003808200954541258,True
enamel mineralization,24.689243027888445,0.0004858556357832875,True
cytokine-mediated signaling pathway,3.3288529652166017,0.0005112323126166728,True
skeletal muscle tissue development,8.279785809906292,0.0005511715788481537,True
anatomical structure development,8.279785809906292,0.0005511715788481537,True
liver development,6.404377880184332,0.000560290246927866,True
cellular response to hormone stimulus,11.888,0.0005861333532740688,True
metanephros development,11.888,0.0005861333532740688,True
negative regulation of transcription regulatory region DNA binding,22.219123505976096,0.0006253410593856659,True
eyelid development in camera-type eye,22.219123505976096,0.0006253410593856659,True
negative regulation of gene expression,3.4339693228582115,0.0006676549175508365,True
negative regulation of cell proliferation,2.784467802837024,0.0006837849130457006,True
JAK-STAT cascade,11.006222222222222,0.0007602845959924571,True
stem cell differentiation,11.006222222222222,0.0007602845959924571,True
regulation of bicellular tight junction assembly,20.198116624411444,0.0007879913835234626,True
negative regulation of pri-miRNA transcription by RNA polymerase II,20.198116624411444,0.0007879913835234626,True
embryonic digit morphogenesis,7.449799196787149,0.0008568860061796951,True
cochlea development,10.612571428571428,0.0008597815400712835,True
mesoderm formation,10.612571428571428,0.0008597815400712835,True
embryonic cranial skeleton morphogenesis,10.612571428571428,0.0008597815400712835,True
"negative regulation of DNA damage response, signal transduction by p53 class mediator",18.51394422310757,0.0009752219932993454,True
inner ear morphogenesis,7.162496138399753,0.0010091142217009417,True
cell fate specification,9.904,0.001085694755134957,True
embryonic heart tube development,17.088875268158137,0.001188378981942625,True
estrous cycle,17.088875268158137,0.001188378981942625,True
regulation of cell cycle,4.595567867036011,0.0012721435565535093,True
positive regulation of brown fat cell differentiation,15.867387592487194,0.0014287411039164326,False
face development,15.867387592487194,0.0014287411039164326,False
response to corticosterone,15.867387592487194,0.0014287411039164326,False
retinoic acid receptor signaling pathway,15.867387592487194,0.0014287411039164326,False
negative regulation of bone mineralization,15.867387592487194,0.0014287411039164326,False
ureteric bud development,9.002181818181818,0.0014980926223072425,False
positive regulation of cell cycle,9.002181818181818,0.0014980926223072425,False
response to fatty acid,14.808764940239044,0.0016975216840116535,False
myeloid dendritic cell differentiation,14.808764940239044,0.0016975216840116535,False
interleukin-6-mediated signaling pathway,13.882470119521912,0.0019958704823932537,False
positive regulation of chondrocyte differentiation,13.882470119521912,0.0019958704823932537,False
platelet formation,13.882470119521912,0.0019958704823932537,False
type I interferon signaling pathway,6.004016064257028,0.0020875128243146553,False
post-embryonic development,6.004016064257028,0.0020875128243146553,False
response to cAMP,8.027243243243243,0.002202523570209814,False
endoderm development,13.06515116006562,0.002324875517780755,False
response to progesterone,7.815578947368421,0.0024089438338055075,False
blood vessel development,7.614769230769231,0.002628288364289532,False
epithelial to mesenchymal transition,7.614769230769231,0.002628288364289532,False
negative regulation of chondrocyte differentiation,12.338645418326694,0.0026855648485542235,False
thyroid gland development,12.338645418326694,0.0026855648485542235,False
labyrinthine layer blood vessel development,12.338645418326694,0.0026855648485542235,False
dopaminergic neuron differentiation,12.338645418326694,0.0026855648485542235,False
negative regulation of neuron apoptotic process,3.9054323524080004,0.0030373948384189433,False
mammary gland development,11.688613965191864,0.003078908313447898,False
positive regulation of epithelial to mesenchymal transition,7.242536585365854,0.003107317117641698,False
cellular response to organic cyclic compound,7.242536585365854,0.003107317117641698,False
defense response,5.392875851231011,0.0032271907836196045,False
neuronal stem cell population maintenance,11.103585657370518,0.003505819231945535,False
developmental growth,11.103585657370518,0.003505819231945535,False
positive regulation of mesenchymal cell proliferation,11.103585657370518,0.003505819231945535,False
hormone-mediated signaling pathway,6.904930232558139,0.0036426974827899732,False
response to peptide hormone,6.747636363636364,0.003932462665625524,False
negative regulation of myoblast differentiation,10.574274331246443,0.003967156064869876,False
cochlea morphogenesis,10.574274331246443,0.003967156064869876,False
positive regulation of interleukin-4 production,10.574274331246443,0.003967156064869876,False
cellular senescence,10.574274331246443,0.003967156064869876,False
heart development,3.2909854373269005,0.004314705691569953,False
regulation of gene expression,3.0135568513119533,0.004453532176206051,False
negative regulation of fat cell differentiation,6.453565217391304,0.004557981486931654,False
negative regulation of osteoblast differentiation,6.453565217391304,0.004557981486931654,False
neuron differentiation,3.607008236772302,0.00459086927806897,False
glucose homeostasis,4.066715542521994,0.00487420777721303,False
regulation of neuron differentiation,9.65373289450892,0.004996276725774083,False
developmental process,8.880478087649402,0.006172101551752178,False
response to hypoxia,3.350669573341638,0.006680223158303109,False
"transcription, DNA-templated",4.4798470992403345,0.00674565956576518,False
positive regulation of DNA binding,8.221779548472776,0.00749968407926842,False
pattern specification process,8.221779548472776,0.00749968407926842,False
regulation of transcription involved in G1/S transition of mitotic cell cycle,8.221779548472776,0.00749968407926842,False
forelimb morphogenesis,18.444444444444443,0.007575324543545265,False
cardiac left ventricle morphogenesis,18.444444444444443,0.007575324543545265,False
notochord development,18.444444444444443,0.007575324543545265,False
prostate gland development,18.444444444444443,0.007575324543545265,False
morphogenesis of an epithelial sheet,18.444444444444443,0.007575324543545265,False
regulation of myeloid cell differentiation,18.444444444444443,0.007575324543545265,False
positive regulation of fatty acid beta-oxidation,18.444444444444443,0.007575324543545265,False
Sertoli cell development,18.444444444444443,0.007575324543545265,False
cellular response to leptin stimulus,18.444444444444443,0.007575324543545265,False
granulocyte differentiation,18.444444444444443,0.007575324543545265,False
negative regulation of histone acetylation,18.444444444444443,0.007575324543545265,False
response to interferon-beta,18.444444444444443,0.007575324543545265,False
positive regulation of epithelial cell proliferation,5.394909090909091,0.008200129231224002,False
interleukin-35-mediated signaling pathway,16.394179894179896,0.009176941455832944,False
mRNA transcription by RNA polymerase II,16.394179894179896,0.009176941455832944,False
negative regulation of epithelial cell differentiation,16.394179894179896,0.009176941455832944,False
positive regulation of organ growth,16.394179894179896,0.009176941455832944,False
interleukin-27-mediated signaling pathway,16.394179894179896,0.009176941455832944,False
regulation of neurogenesis,7.398406374501992,0.009784870225975344,False
cellular response to leukemia inhibitory factor,4.039636808101973,0.010071684446612193,False
protein localization to nucleus,7.159362549800797,0.010626725916500436,False
positive regulation of cell differentiation,7.159362549800797,0.010626725916500436,False
positive regulation of osteoblast differentiation,4.944,0.010867624274143112,False
hippocampus development,4.944,0.010867624274143112,False
urogenital system development,14.753968253968255,0.010915158619829671,False
embryonic camera-type eye development,14.753968253968255,0.010915158619829671,False
lens fiber cell differentiation,14.753968253968255,0.010915158619829671,False
positive regulation of osteoblast proliferation,14.753968253968255,0.010915158619829671,False
positive regulation of BMP signaling pathway,6.935258964143427,0.011509268130512115,False
energy homeostasis,6.935258964143427,0.011509268130512115,False
circadian regulation of gene expression,4.784,0.01207401251288455,False
rhythmic process,4.784,0.01207401251288455,False
ventricular septum morphogenesis,6.724737413980442,0.012432813377256106,False
trophectodermal cell differentiation,13.411976911976913,0.012786034539664915,False
dendritic cell differentiation,13.411976911976913,0.012786034539664915,False
branching involved in mammary gland duct morphogenesis,13.411976911976913,0.012786034539664915,False
smooth muscle cell differentiation,13.411976911976913,0.012786034539664915,False
acute-phase response,6.52659948441528,0.013397641678875274,False
regulation of megakaryocyte differentiation,4.493090909090909,0.014736476882594017,False
JAK-STAT cascade involved in growth hormone signaling pathway,12.293650793650794,0.014785708398805933,False
negative regulation of glycolytic process,12.293650793650794,0.014785708398805933,False
trophoblast giant cell differentiation,12.293650793650794,0.014785708398805933,False
response to lipid,12.293650793650794,0.014785708398805933,False
chondrocyte differentiation,6.163346613545817,0.015452092207413295,False
negative regulation of T cell proliferation,5.996446645849036,0.016542102604992483,False
negative regulation of apoptotic process,2.0363070539419086,0.016627470161700724,False
Notch signaling pathway,3.5370051635111874,0.016637471232520455,False
neuron migration,3.5370051635111874,0.016637471232520455,False
regulation of regulatory T cell differentiation,11.347374847374848,0.01691039861559975,False
enteric nervous system development,11.347374847374848,0.01691039861559975,False
cellular response to thyroid hormone stimulus,11.347374847374848,0.01691039861559975,False
regulation of fat cell differentiation,11.347374847374848,0.01691039861559975,False
heart trabecula formation,11.347374847374848,0.01691039861559975,False
epithelial tube branching involved in lung morphogenesis,11.347374847374848,0.01691039861559975,False
hematopoietic stem cell proliferation,11.347374847374848,0.01691039861559975,False
negative regulation of stem cell differentiation,11.347374847374848,0.01691039861559975,False
