,OR,p,FDR
neutrophil degranulation,5.8232970732970735,4.035742086633525e-22,True
cytokine-mediated signaling pathway,5.075031437753249,1.0994395802280002e-11,True
cellular response to lipopolysaccharide,6.461892130857648,8.700320504669683e-11,True
inflammatory response,4.051435406698564,2.5284111459001463e-10,True
regulation of small GTPase mediated signal transduction,6.1825043654593586,7.589414485864722e-09,True
integrin-mediated signaling pathway,7.69215708212128,9.720153802704698e-09,True
positive regulation of NF-kappaB transcription factor activity,5.349705624044498,5.59919506411968e-08,True
positive regulation of peptidyl-tyrosine phosphorylation,7.457903296428348,1.2481216596194994e-07,True
phagocytosis,9.370918367346938,1.5386082725471846e-07,True
vascular endothelial growth factor receptor signaling pathway,8.66179245283019,3.0634592593011383e-07,True
negative regulation of apoptotic process,2.9745442873487646,3.5095917495191557e-07,True
intracellular signal transduction,3.325676191514887,3.597732303654767e-07,True
extracellular matrix disassembly,8.34590909090909,4.238879599555967e-07,True
JAK-STAT cascade involved in growth hormone signaling pathway,31.024719101123594,4.60631870827876e-07,True
positive regulation of GTPase activity,3.525424827597384,5.791582112612179e-07,True
Fc-gamma receptor signaling pathway involved in phagocytosis,5.380792754645966,6.305991991539993e-07,True
regulation of cell shape,4.980774797786292,6.960680466088679e-07,True
positive regulation of membrane protein ectodomain proteolysis,27.576029962546816,7.522425122242216e-07,True
actin filament organization,5.586880244088482,9.766860850647029e-07,True
positive regulation of interleukin-6 production,6.684646924829157,1.0537204396115293e-06,True
lipopolysaccharide-mediated signaling pathway,12.773050876888348,1.0538076984703592e-06,True
regulation of mast cell degranulation,41.280269058295964,1.7424841138732538e-06,True
positive regulation of tumor necrosis factor production,9.125648383180664,2.4708065261259617e-06,True
interleukin-2-mediated signaling pathway,34.398355754857995,3.1317750924084652e-06,True
cellular response to oxidised low-density lipoprotein particle stimulus,34.398355754857995,3.1317750924084652e-06,True
cellular defense response,8.50205676676265,4.101653712117165e-06,True
positive regulation of ERK1 and ERK2 cascade,3.8249002729372243,4.74634123386794e-06,True
superoxide metabolic process,17.722632423756018,5.262196741241057e-06,True
positive regulation of cell migration,3.6210093011563598,5.4937850822627154e-06,True
toll-like receptor signaling pathway,9.219964885879108,8.342563528205454e-06,True
interleukin-15-mediated signaling pathway,25.795964125560538,8.384978251570215e-06,True
respiratory burst,25.795964125560538,8.384978251570215e-06,True
platelet degranulation,4.850619699934769,9.439830841176225e-06,True
innate immune response,2.5452197449307277,9.89314434590876e-06,True
endocytosis,3.9713255798136435,9.985719056356875e-06,True
endosomal transport,5.73,1.0926248097065593e-05,True
regulation of release of sequestered calcium ion into cytosol,22.928500249128053,1.278739290726664e-05,True
positive regulation of cytokine production involved in inflammatory response,14.592729676140118,1.289490302191262e-05,True
positive regulation of T cell proliferation,7.190915419422207,1.3554554409519635e-05,True
protein autophosphorylation,4.026993648553281,1.5918225089383885e-05,True
regulation of endocytosis,10.353603603603604,1.6034801707950914e-05,True
signal transduction,2.0631704319974213,1.6475958643465534e-05,True
cellular response to interferon-gamma,5.391470588235294,1.8294641750676696e-05,True
toll-like receptor 9 signaling pathway,18.75764370158989,2.6816620286617516e-05,True
regulation of inflammatory response,5.620518477661335,3.135673494943137e-05,True
T cell costimulation,7.372360170554302,3.4567429075211955e-05,True
positive regulation of protein kinase activity,7.372360170554302,3.4567429075211955e-05,True
cellular response to hydrogen peroxide,6.229411764705882,3.7418183213908264e-05,True
positive regulation of I-kappaB kinase/NF-kappaB signaling,3.692525634106854,4.016768926547161e-05,True
peptidyl-tyrosine phosphorylation,4.4672958021477385,4.26716428027942e-05,True
positive regulation of phosphatidylinositol 3-kinase signaling,5.331123902552474,4.708737908327338e-05,True
cell migration,3.3004778972520907,4.827688806626276e-05,True
toll-like receptor 4 signaling pathway,15.870127630217317,5.0561934338793786e-05,True
actin filament-based movement,15.870127630217317,5.0561934338793786e-05,True
leukocyte cell-cell adhesion,10.782413287738153,5.373033093635161e-05,True
positive regulation of p38MAPK cascade,10.782413287738153,5.373033093635161e-05,True
receptor internalization,8.27972972972973,5.5686375445302365e-05,True
actin cytoskeleton reorganization,6.769060671672732,5.928629627771347e-05,True
regulation of phagocytosis,27.457121551081283,6.035067200025208e-05,True
regulation of cell proliferation,3.7499266561051456,6.093757428769123e-05,True
defense response,5.74865993734772,6.568074351745315e-05,True
platelet formation,14.735746316463805,6.727720725242539e-05,True
vesicle transport along actin filament,14.735746316463805,6.727720725242539e-05,True
positive regulation of transcription by RNA polymerase II,1.917540452179683,7.197677692711985e-05,True
platelet aggregation,7.831324567811055,7.590804491485927e-05,True
response to cytokine,7.831324567811055,7.590804491485927e-05,True
positive regulation of phosphatidylinositol 3-kinase activity,9.918741573033708,7.997895534618695e-05,True
membrane organization,4.098883453452332,9.110053905665263e-05,True
positive regulation of Ras protein signal transduction,9.536732929991357,9.646512952655794e-05,True
MyD88-dependent toll-like receptor signaling pathway,9.536732929991357,9.646512952655794e-05,True
negative regulation of ERK1 and ERK2 cascade,5.414223883533347,9.96260618943975e-05,True
cellular response to mechanical stimulus,5.336586942469295,0.00011009565495238236,True
positive regulation of JNK cascade,5.261136957491556,0.000121470863871522,True
positive regulation of apoptotic process,2.668341178950327,0.0001233106667033476,True
erythrocyte differentiation,7.0657547791694135,0.0001343340316513614,True
immunological synapse formation,20.590604026845636,0.00013693912267950147,True
cellular response to interleukin-7,20.590604026845636,0.00013693912267950147,True
antigen processing and presentation,12.133342126088104,0.00014360361599490023,True
positive regulation of natural killer cell mediated cytotoxicity,12.133342126088104,0.00014360361599490023,True
establishment or maintenance of cell polarity,6.897147147147147,0.0001535362152125454,True
platelet activation,4.516415261756877,0.000165156617912307,True
I-kappaB kinase/NF-kappaB signaling,5.715886977504476,0.00017085493911239537,True
positive regulation of NIK/NF-kappaB signaling,5.715886977504476,0.00017085493911239537,True
transforming growth factor beta receptor signaling pathway,4.467607831663131,0.00017908468597115242,True
bone resorption,11.458644743398107,0.000179911591817996,True
cell projection assembly,11.458644743398107,0.000179911591817996,True
peptidyl-tyrosine autophosphorylation,8.263370786516854,0.0001912508305684625,True
positive regulation of actin filament polymerization,6.582923832923833,0.00019860733895025735,True
actin cytoskeleton organization,3.496730004418913,0.00020673338863587805,True
positive regulation of type I interferon production,6.436286286286286,0.0002248399972176158,True
protein phosphorylation,2.362231609358927,0.000244636727754346,True
positive regulation of inflammatory response,4.72630162094049,0.00025299608347298294,True
positive regulation of interleukin-10 production,7.746067415730337,0.0002603488837097795,True
positive regulation of substrate adhesion-dependent cell spreading,7.746067415730337,0.0002603488837097795,True
positive regulation of interleukin-8 production,6.161730879815986,0.0002856748197080607,True
viral process,2.334305077045394,0.00028742834019951943,True
positive regulation of protein dephosphorylation,9.820093956865257,0.00033153256238186313,True
apoptotic process,2.1829050097592715,0.0003479389975599869,True
substrate adhesion-dependent cell spreading,5.90958815958816,0.0003590729105856657,True
regulation of actin cytoskeleton organization,4.945655469829184,0.000416301016309967,True
T cell homeostasis,8.96519789432638,0.000476233126234696,True
positive regulation of nitric oxide biosynthetic process,6.697479501973884,0.0005198560468045025,True
negative regulation of interleukin-6 production,5.462391636919939,0.0005509381662560239,True
cortical actin cytoskeleton organization,8.59118086696562,0.0005642545419362094,True
heterotypic cell-cell adhesion,8.59118086696562,0.0005642545419362094,True
positive regulation of MAP kinase activity,5.360944277610944,0.0006097551871381524,True
aging,3.241487441943023,0.0006635085964686464,True
positive regulation of interferon-beta production,8.247085201793722,0.0006639419958986968,True
leukocyte migration,3.05841911100792,0.0006755269215743489,True
stress fiber assembly,11.76222435282838,0.0007554079726489215,True
positive regulation of interleukin-17 production,11.76222435282838,0.0007554079726489215,True
cellular response to interleukin-6,11.76222435282838,0.0007554079726489215,True
activation of MAPK activity,3.6404503321796553,0.0007950261581148736,True
positive regulation of phagocytosis,6.042751438750343,0.0008448849436485497,True
interleukin-6-mediated signaling pathway,10.977479492915734,0.0009389095100962924,True
positive regulation of superoxide anion generation,10.977479492915734,0.0009389095100962924,True
cell-substrate adhesion,10.977479492915734,0.0009389095100962924,True
positive regulation of protein kinase B signaling,3.061000321422083,0.0010543566765458035,True
lysosomal transport,10.29082774049217,0.001151649668237855,True
necroptotic process,10.29082774049217,0.001151649668237855,True
epidermal growth factor receptor signaling pathway,5.629826353421859,0.0011773126226678236,True
cell chemotaxis,4.667175239755885,0.0012806552742846494,True
viral entry into host cell,4.087729565532425,0.001304315996987623,True
negative regulation of release of cytochrome c from mitochondria,9.68495854717726,0.0013959961805757044,True
positive regulation of viral entry into host cell,17.61065051020408,0.001436596512513771,True
regulation of interleukin-6 production,17.61065051020408,0.001436596512513771,True
negative regulation of production of miRNAs involved in gene silencing by miRNA,17.61065051020408,0.001436596512513771,True
response to interleukin-1,6.64870533776942,0.0015616402286816693,True
T cell differentiation,6.64870533776942,0.0015616402286816693,True
negative regulation of tumor necrosis factor production,5.269615108773608,0.0016016506706927687,True
actin polymerization or depolymerization,9.146408153119562,0.0016743056393468733,True
