,OR,p,FDR
positive regulation of transcription by RNA polymerase II,19.24822805514448,1.9141998831641594e-60,True
regulation of transcription by RNA polymerase II,18.020766436188914,4.891531131189603e-60,True
negative regulation of transcription by RNA polymerase II,15.004200268817204,3.4216332264251277e-44,True
"positive regulation of transcription, DNA-templated",11.893855114194098,3.429331619508239e-26,True
"regulation of transcription, DNA-templated",8.087484993997599,3.8078054089336e-20,True
"negative regulation of transcription, DNA-templated",9.259916658714253,1.0832369430282374e-18,True
anterior/posterior pattern specification,23.807351185399966,3.086142613327856e-15,True
intracellular receptor signaling pathway,78.87246621621621,6.073758423697411e-15,True
transcription initiation from RNA polymerase II promoter,14.514084507042254,3.9549919661409265e-13,True
cell differentiation,5.736089868677812,1.460710656829543e-10,True
proximal/distal pattern formation,45.56221680027884,1.4631212463601152e-09,True
roof of mouth development,19.748498763687742,3.996147454549009e-09,True
anatomical structure morphogenesis,11.581802721088435,1.350784416707697e-08,True
embryonic digit morphogenesis,21.15858156028369,1.7770716349170734e-08,True
positive regulation of pri-miRNA transcription by RNA polymerase II,26.21312462372065,3.75843976761567e-08,True
epithelial to mesenchymal transition involved in endocardial cushion formation,76.32761437908496,4.7325804101466533e-08,True
in utero embryonic development,7.961844653231012,1.4633728520046244e-07,True
embryonic forelimb morphogenesis,27.289473684210527,2.8952900702651004e-07,True
middle ear morphogenesis,40.69281045751634,5.437015358571547e-07,True
heart looping,15.427980132450331,9.491743568088396e-07,True
fat cell differentiation,13.708609271523178,1.9581398896373357e-06,True
eyelid development in camera-type eye,53.922077922077925,3.202649251353499e-06,True
aortic valve morphogenesis,26.52742256322819,3.2648506929577077e-06,True
outflow tract morphogenesis,17.120563035495717,3.2727384607821195e-06,True
embryonic hindlimb morphogenesis,25.420751633986928,3.918432057098377e-06,True
cell maturation,19.057393790849673,1.3625703773399628e-05,True
somatic stem cell population maintenance,12.905817174515235,1.4437214387002355e-05,True
embryonic limb morphogenesis,17.93444828911957,1.7756102076259992e-05,True
post-embryonic development,12.056945642795514,2.0627993506323066e-05,True
branching involved in ureteric bud morphogenesis,16.47765412471295,2.5708223044897173e-05,True
thymus development,15.63097033685269,3.2380463772508486e-05,True
osteoblast differentiation,8.619271523178808,3.288074965943339e-05,True
skeletal muscle cell differentiation,15.23937908496732,3.6183063991701467e-05,True
positive regulation of epithelial to mesenchymal transition,15.23937908496732,3.6183063991701467e-05,True
developmental growth,25.528366370471634,3.715347101442209e-05,True
artery morphogenesis,25.528366370471634,3.715347101442209e-05,True
liver development,10.501691729323309,4.2472101794636396e-05,True
skeletal muscle tissue development,13.542483660130719,6.066769691668295e-05,True
peripheral nervous system neuron development,51.66635944700461,6.639588461223475e-05,True
embryonic skeletal joint morphogenesis,51.66635944700461,6.639588461223475e-05,True
response to hypoxia,6.378666666666667,7.062670312230873e-05,True
outflow tract septum morphogenesis,20.204545454545453,8.315031830838996e-05,True
Notch signaling involved in heart development,45.20564516129032,9.073273100013083e-05,True
cell fate commitment,12.184967320261437,9.630932681112095e-05,True
mesoderm formation,17.31447124304267,0.000142277224926413,True
male gonad development,8.251330573625074,0.00014816028182514278,True
cellular response to BMP stimulus,16.71652485445589,0.0001608503383738766,True
multicellular organism development,3.577574888704444,0.00016955745549814807,True
skeletal system morphogenesis,16.15844155844156,0.0001811135676385797,True
negative regulation of pri-miRNA transcription by RNA polymerase II,32.87155425219942,0.0001964933601286749,True
regulation of bicellular tight junction assembly,32.87155425219942,0.0001964933601286749,True
positive regulation of BMP signaling pathway,15.636363636363637,0.0002031558698561242,True
dorsal/ventral pattern formation,15.636363636363637,0.0002031558698561242,True
ventricular septum morphogenesis,15.146915584415584,0.0002270673191216685,True
"negative regulation of DNA damage response, signal transduction by p53 class mediator",30.13064516129032,0.00024410803760376208,True
embryonic heart tube development,27.811414392059554,0.0002985959529228256,True
Notch signaling pathway,7.0555414979757085,0.0003294051173163664,True
retinoic acid receptor signaling pathway,25.823502304147464,0.0003603553982234748,True
response to corticosterone,25.823502304147464,0.0003603553982234748,True
response to cAMP,13.096525096525097,0.00037788307599186203,True
embryonic skeletal system morphogenesis,12.751196172248804,0.0004149541131440752,True
response to progesterone,12.751196172248804,0.0004149541131440752,True
endocardial cushion morphogenesis,24.100645161290323,0.0004297733994815069,True
myeloid dendritic cell differentiation,24.100645161290323,0.0004297733994815069,True
positive regulation of transcription of Notch receptor target,24.100645161290323,0.0004297733994815069,True
glucose homeostasis,6.668540669856459,0.0004379504444500393,True
positive regulation of chondrocyte differentiation,22.593145161290323,0.0005072259086655868,True
cellular response to extracellular stimulus,22.593145161290323,0.0005072259086655868,True
interleukin-6-mediated signaling pathway,22.593145161290323,0.0005072259086655868,True
osteoblast development,22.593145161290323,0.0005072259086655868,True
embryonic placenta development,21.262998102466792,0.0005930779932915298,True
signal transduction involved in regulation of gene expression,21.262998102466792,0.0005930779932915298,True
hormone-mediated signaling pathway,11.265478707339172,0.0006401157339336678,True
negative regulation of chondrocyte differentiation,20.080645161290324,0.0006876840230710993,True
neural crest cell development,20.080645161290324,0.0006876840230710993,True
adrenal gland development,20.080645161290324,0.0006876840230710993,True
cerebellum development,11.008854781582054,0.0006937903450805821,True
negative regulation of osteoblast differentiation,10.529079616036137,0.0008105662348520317,True
positive regulation of mesenchymal cell proliferation,18.070645161290322,0.0009045230119073361,True
steroid hormone mediated signaling pathway,18.070645161290322,0.0009045230119073361,True
