,OR,p,FDR
innate immune response,5.026648956622042,2.2245298395394106e-27,True
defense response to virus,8.206547178195823,8.294758939001294e-24,True
neutrophil degranulation,4.326695526695526,2.8457846307192806e-19,True
type I interferon signaling pathway,16.249284999285,3.0059556519315655e-19,True
interferon-gamma-mediated signaling pathway,14.516644303878346,2.3075907118094993e-18,True
response to virus,10.084067635151227,4.346454868961762e-17,True
inflammatory response,4.268052956586827,1.340909478871066e-15,True
signal transduction,2.791700390486333,3.1201694507451088e-15,True
T cell receptor signaling pathway,6.139414455044197,4.029395814822126e-14,True
cytokine-mediated signaling pathway,4.6477868852459014,5.463707517287119e-14,True
immune response,3.7226676232824714,2.5792877460215484e-13,True
adaptive immune response,3.9819175480599247,8.084077864209357e-13,True
T cell activation,15.403174603174604,1.3624689572966874e-12,True
positive regulation of interleukin-6 production,8.622727272727273,3.815022793674856e-12,True
cell surface receptor signaling pathway,4.252580335910556,4.526682032956989e-12,True
regulation of small GTPase mediated signal transduction,6.156364825106244,8.21975326879944e-12,True
positive regulation of interleukin-10 production,15.681068439192517,2.8423870537989506e-11,True
positive regulation of interleukin-1 beta production,11.650690690690691,3.570583314202399e-11,True
negative regulation of viral genome replication,13.936429782810876,9.357042660119038e-11,True
viral process,3.170773367671565,1.6626835863987692e-10,True
positive regulation of I-kappaB kinase/NF-kappaB signaling,4.859670864916275,1.7110380061090967e-10,True
apoptotic process,2.902397168614189,3.466166973527014e-10,True
MyD88-dependent toll-like receptor signaling pathway,16.085125184094256,5.934795631335869e-10,True
positive regulation of NF-kappaB transcription factor activity,5.029473918362807,8.228801836772878e-10,True
B cell activation,15.31832526825163,9.017878695896251e-10,True
defense response,8.038471549794368,9.927454225385236e-10,True
regulation of inflammatory response,7.357962987977847,1.0743142544795826e-09,True
intracellular signal transduction,3.3009968493839463,1.1704156394121757e-09,True
negative regulation of interleukin-12 production,30.04673753665689,2.0586788934206594e-09,True
positive regulation of cytokine production involved in inflammatory response,20.569298542866825,2.9532515205861233e-09,True
positive regulation of T cell proliferation,8.768169539490609,3.5064979856443003e-09,True
positive regulation of GTPase activity,3.4439978505000877,4.362403145513805e-09,True
superoxide metabolic process,21.848573713676352,1.2886157399507433e-08,True
positive regulation of inflammatory response,6.448447360722197,1.6454533653752543e-08,True
interleukin-2-mediated signaling pathway,46.612938596491226,2.4478210322715893e-08,True
regulation of cell shape,4.612553736341409,3.153820407033924e-08,True
T cell differentiation,11.775176470588235,3.730051436582881e-08,True
cellular defense response,8.716039823008849,4.032846401642118e-08,True
regulation of immune response,3.7593141797961076,4.529041440752155e-08,True
protein phosphorylation,2.7336402769979413,8.90622385503802e-08,True
immunoglobulin mediated immune response,31.071881091617932,1.1937250114208288e-07,True
interleukin-15-mediated signaling pathway,31.071881091617932,1.1937250114208288e-07,True
respiratory burst,31.071881091617932,1.1937250114208288e-07,True
