,OR,p,FDR
regulation of transcription by RNA polymerase II,15.324259407526021,8.7917417196038e-38,True
"regulation of transcription, DNA-templated",17.014291110551497,1.6289845441986424e-33,True
negative regulation of transcription by RNA polymerase II,13.770257738272296,2.013003459011573e-29,True
positive regulation of transcription by RNA polymerase II,11.148358585858587,2.1002758795846694e-26,True
"positive regulation of transcription, DNA-templated",9.92953444740172,1.559798774569013e-15,True
"negative regulation of transcription, DNA-templated",9.379764674302075,5.0704864713037175e-14,True
positive regulation of pri-miRNA transcription by RNA polymerase II,25.20754716981132,3.6103407398953545e-06,True
transcription initiation from RNA polymerase II promoter,9.497700562084823,4.7610930832610755e-06,True
steroid hormone mediated signaling pathway,36.83226758484997,9.24980195334628e-06,True
transcription by RNA polymerase II,8.008198489751887,1.5510171696941626e-05,True
myeloid dendritic cell differentiation,34.67407407407408,0.00015204011130574626,True
cell differentiation,3.8085351787773933,0.00018569803954930452,True
regulation of neuron differentiation,22.603864734299517,0.0004681080551206332,False
intracellular receptor signaling pathway,22.603864734299517,0.0004681080551206332,False
circadian regulation of gene expression,11.261380765752186,0.0006197399780304755,False
adipose tissue development,19.25102880658436,0.0007185591473451424,False
immune system process,15.745791245791246,0.0012316706247127234,False
granulocyte differentiation,42.961009174311926,0.001499438010939313,False
negative regulation of erythrocyte differentiation,42.961009174311926,0.001499438010939313,False
intracellular steroid hormone receptor signaling pathway,38.1855249745158,0.0018256060565688774,False
cellular response to angiotensin,38.1855249745158,0.0018256060565688774,False
mesonephros development,38.1855249745158,0.0018256060565688774,False
regulation of lipid metabolic process,7.923109600679694,0.0021373808365920885,False
response to retinoic acid,12.668021680216802,0.0022079485993587995,False
lactation,11.80239898989899,0.0026689150856437265,False
response to lipid,28.634556574923547,0.0029859010921554087,False
anatomical structure development,11.047281323877069,0.003185123483527088,False
erythrocyte maturation,26.43048694424841,0.003432058765576191,False
positive regulation of type I interferon production,10.595238095238095,0.0035609552757492426,False
positive regulation of fat cell differentiation,10.178649237472767,0.003962798329738269,False
retinoic acid receptor signaling pathway,22.903975535168197,0.004411328246317757,False
embryo development,22.903975535168197,0.004411328246317757,False
positive regulation of cartilage development,22.903975535168197,0.004411328246317757,False
myeloid cell differentiation,21.47133027522936,0.004943739262957922,False
embryonic hemopoiesis,21.47133027522936,0.004943739262957922,False
cartilage development,9.10428849902534,0.005329544302799917,False
positive regulation of chondrocyte differentiation,20.207231516459796,0.00550420569827412,False
roof of mouth development,8.234567901234568,0.006947742864144266,False
post-embryonic development,8.10546875,0.007242662531393475,False
type I interferon signaling pathway,8.10546875,0.007242662531393475,False
macrophage differentiation,17.173394495412843,0.00735052460573775,False
cellular response to hydrogen peroxide,7.859006734006734,0.007854523246290577,False
fat cell differentiation,7.741293532338308,0.00817154641357079,False
interferon-gamma-mediated signaling pathway,7.5161030595813205,0.008827972446566497,False
negative regulation of osteoclast differentiation,14.930993218986837,0.009437180688287743,False
cholesterol metabolic process,7.2017746913580245,0.009869099166373886,False
bile acid and bile salt transport,13.2060691601976,0.011755316995606226,False
embryonic hindlimb morphogenesis,12.71627590893646,0.01257797185262835,False
T cell differentiation in thymus,11.838025941157861,0.014296308702683586,False
negative regulation of smooth muscle cell proliferation,11.442813455657493,0.015191371420253636,False
muscle organ development,5.955300127713921,0.016117336219556626,False
