,OR,p,FDR
regulation of small GTPase mediated signal transduction,6.266197333333333,3.8673063210870905e-08,True
positive regulation of GTPase activity,4.116949360285868,4.1595209720981514e-08,True
protein autophosphorylation,5.04512688172043,5.651495920416736e-07,True
"mRNA splicing, via spliceosome",4.089381720430108,1.0378036933976324e-06,True
intracellular signal transduction,3.3979216601734814,1.0427518857367355e-06,True
viral process,3.1141771019677997,1.15693520810361e-06,True
protein phosphorylation,3.0193710206444146,2.9898280916057566e-06,True
positive regulation of transcription by RNA polymerase II,2.1506333024405313,8.21924426464558e-06,True
actin cytoskeleton organization,4.06663253114866,4.96234065231322e-05,True
peptidyl-threonine phosphorylation,6.752233063075443,5.6835462406443573e-05,True
positive regulation of protein dephosphorylation,11.387860843819393,0.00017086495571665226,True
positive regulation of nucleic acid-templated transcription,5.656581170327138,0.00017423137067902898,True
regulation of cellular response to heat,5.574299012373709,0.0001909732170109119,True
neural tube closure,5.494367773218948,0.00020901401044079595,True
beta-catenin-TCF complex assembly,9.962759067357513,0.00029311790719567315,False
cell migration,3.0969804876276297,0.0003774086602829957,False
activation of GTPase activity,4.287958115183246,0.00047198846364660495,False
mRNA processing,3.561886259272342,0.0005171690631602232,False
protein stabilization,3.3316349740696936,0.0005188759144070401,False
transcription by RNA polymerase II,3.2934156872151594,0.0005708444255016345,False
peptidyl-serine phosphorylation,3.514325548971767,0.0005741069843312033,False
histone H3-K4 trimethylation,11.929586563307494,0.0006754952544602478,False
small GTPase mediated signal transduction,4.468273726395045,0.0007450921177050922,False
glucose metabolic process,5.862920752716671,0.0009362324489264045,False
negative regulation of protein binding,4.795052083333333,0.0010740794517136868,False
chromatin remodeling,4.175502327165399,0.0011190335247257114,False
neutrophil degranulation,2.2089778763644854,0.0012360213233237603,False
Rho protein signal transduction,5.523776223776224,0.0012409595206206454,False
maternal placenta development,17.855992268041238,0.0012863250488072625,False
positive regulation of protein import into nucleus,6.827535159141377,0.001347800888174542,False
"positive regulation of transcription, DNA-templated",2.0967289719626168,0.0014495420793264307,False
RNA splicing,3.186455997636057,0.0019737677159545742,False
positive regulation of peptidyl-tyrosine phosphorylation,4.24670358649789,0.0020484057306909714,False
high-density lipoprotein particle assembly,14.283247422680413,0.0021619812419175505,False
cellular homeostasis,14.283247422680413,0.0021619812419175505,False
histone acetylation,5.82648805762669,0.002537296324261031,False
activation of protein kinase activity,4.706493506493507,0.0026189391747192562,False
positive regulation of peptidyl-serine phosphorylation,4.041164658634538,0.002655119379897325,False
cellular response to nutrient levels,12.98406747891284,0.0027096137322906288,False
"regulation of transcription, DNA-templated",1.8520746895700764,0.002781000556827634,False
positive regulation of phagocytosis,5.687453737971873,0.0027919207744411738,False
protein export from nucleus,7.631214470284238,0.0028591155141211625,False
regulation of hematopoietic stem cell differentiation,4.5565862708719855,0.003039302690573308,False
erythrocyte differentiation,5.554886130859139,0.0030645251684137233,False
mitochondrion organization,3.899557897286822,0.0031941282051826305,False
G protein-coupled acetylcholine receptor signaling pathway,11.901417525773196,0.00333537435055216,False
epidermal growth factor receptor signaling pathway,5.307426597582038,0.0036664920958530316,False
positive regulation of cellular protein metabolic process,10.985329103885805,0.004042550951013902,False
miRNA metabolic process,10.985329103885805,0.004042550951013902,False
regulation of ARF protein signal transduction,10.200110456553755,0.004834124171550848,False
retinoic acid receptor signaling pathway,10.200110456553755,0.004834124171550848,False
response to endoplasmic reticulum stress,4.099369202226345,0.004913662710184112,False
mRNA export from nucleus,3.5661292109929077,0.005041338320409672,False
termination of RNA polymerase II transcription,6.357622739018088,0.00514743592681044,False
lipopolysaccharide-mediated signaling pathway,6.357622739018088,0.00514743592681044,False
transforming growth factor beta receptor signaling pathway,3.491455078125,0.005608065856886471,False
regulation of proteasomal protein catabolic process,9.51958762886598,0.005712781500113187,False
actin filament-based movement,9.51958762886598,0.005712781500113187,False
dopamine receptor signaling pathway,9.51958762886598,0.005712781500113187,False
establishment of cell polarity,6.1522047178461285,0.005718243441826661,False
transcription initiation from RNA polymerase II promoter,2.860303040809958,0.006232466826916266,False
Fc-gamma receptor signaling pathway involved in phagocytosis,3.092562957971869,0.006272075712434059,False
peptidyl-tyrosine autophosphorylation,5.959625322997416,0.006329739058224698,False
positive regulation of superoxide anion generation,8.924130154639176,0.006680930841713188,False
positive regulation of apoptotic process,2.148099627501736,0.006926377194504613,False
regulation of inflammatory response,3.6773226773226773,0.007964580581286473,False
modulation of chemical synaptic transmission,4.340084785680641,0.007992078967399346,False
histone deacetylation,5.447914359542266,0.008420129755748886,False
protein folding,2.698085732984293,0.008794438836368917,False
histone H3-K4 methylation,7.931701030927835,0.008894017240364949,False
protein localization to Golgi apparatus,7.931701030927835,0.008894017240364949,False
intracellular estrogen receptor signaling pathway,7.931701030927835,0.008894017240364949,False
regulation of mRNA stability,3.1603527908805034,0.009182416273698965,False
stimulatory C-type lectin receptor signaling pathway,3.1603527908805034,0.009182416273698965,False
activation of JUN kinase activity,5.296296296296297,0.009205944074463696,False
positive regulation of neuron projection development,3.1306464174454827,0.009614406058391242,False
"transcription, DNA-templated",3.4971808679125753,0.00991629451747299,False
"negative regulation of mRNA splicing, via spliceosome",7.513836136733587,0.010142487507313655,False
B cell homeostasis,7.513836136733587,0.010142487507313655,False
actin polymerization or depolymerization,7.513836136733587,0.010142487507313655,False
response to hormone,5.016999864001088,0.010917331714600206,False
negative regulation of protein serine/threonine kinase activity,7.137757731958763,0.011487540048952591,False
"positive regulation of mRNA splicing, via spliceosome",7.137757731958763,0.011487540048952591,False
epithelial to mesenchymal transition,4.888093818326377,0.011844825999832812,False
regulation of RNA splicing,4.888093818326377,0.011844825999832812,False
negative regulation of transcription by RNA polymerase II,1.6257447106449068,0.012170482995110296,False
neuromuscular process controlling balance,4.7656330749354,0.012821391632717748,False
negative regulation of nucleic acid-templated transcription,4.649146026343985,0.013847874022387106,False
regulation of cell growth,3.7279387953367875,0.014153822216348505,False
cellular response to hydrogen peroxide,3.7279387953367875,0.014153822216348505,False
peptidyl-tyrosine phosphorylation,2.861511752136752,0.014785642495611137,False
RNA metabolic process,4.538205980066445,0.014925071898312624,False
endocytosis,2.450663374583532,0.015221936642198787,False
regulation of macroautophagy,3.6145784267545924,0.015861170049305214,False
spliceosomal complex assembly,6.205737337516808,0.016113130587644794,False
receptor clustering,6.205737337516808,0.016113130587644794,False
positive regulation of excitatory postsynaptic potential,6.205737337516808,0.016113130587644794,False
negative regulation of protein phosphorylation,3.5604361611630964,0.016764115823788797,False
JNK cascade,4.3314540756401225,0.01723457456922255,False
histone H3-K36 demethylation,11.873393316195372,0.017256966770897948,False
regulation of Rac protein signal transduction,11.873393316195372,0.017256966770897948,False
negative regulation of production of miRNAs involved in gene silencing by miRNA,11.873393316195372,0.017256966770897948,False
regulation of interleukin-6 production,11.873393316195372,0.017256966770897948,False
positive regulation of cellular component movement,11.873393316195372,0.017256966770897948,False
negative regulation of erythrocyte differentiation,11.873393316195372,0.017256966770897948,False
negative regulation of cell size,11.873393316195372,0.017256966770897948,False
IRES-dependent viral translational initiation,11.873393316195372,0.017256966770897948,False
regulation of mast cell degranulation,11.873393316195372,0.017256966770897948,False
transcription-coupled nucleotide-excision repair,3.507886315147821,0.017700548395270743,False
regulation of defense response to virus by virus,5.946842783505154,0.017854453161918894,False
