,OR,p,FDR
regulation of transcription by RNA polymerase II,17.471046325878593,8.605284722347086e-38,True
negative regulation of transcription by RNA polymerase II,16.785932004689332,5.280711243378061e-32,True
positive regulation of transcription by RNA polymerase II,13.635030864197532,5.252185945444205e-29,True
"regulation of transcription, DNA-templated",11.70701594070464,1.2417760504016499e-20,True
"positive regulation of transcription, DNA-templated",10.916554307116105,9.627824899369773e-16,True
"negative regulation of transcription, DNA-templated",7.900368204461771,2.8500114977849324e-10,True
positive regulation of pri-miRNA transcription by RNA polymerase II,28.443768996960486,2.0525733750951092e-06,True
myeloid dendritic cell differentiation,56.35187969924812,2.069997099027412e-06,True
steroid hormone mediated signaling pathway,41.511357340720224,5.870566565768506e-06,True
transcription initiation from RNA polymerase II promoter,9.248792270531402,2.153819792992008e-05,True
positive regulation of histone deacetylation,73.21484375,2.2488666177160133e-05,True
response to cytokine,19.69578947368421,8.270228430277481e-05,True
negative regulation of cellular senescence,29.2671875,0.00023057324966265237,False
intracellular receptor signaling pathway,25.445652173913043,0.00033465669011751805,False
somatic stem cell population maintenance,13.339518287243532,0.00033623609434792933,False
negative regulation of cell proliferation,4.407451923076923,0.0003995170869855477,False
adipose tissue development,21.671296296296298,0.0005146812911505088,False
B cell differentiation,11.236691729323308,0.000621489385469107,False
circadian rhythm,11.236691729323308,0.000621489385469107,False
positive regulation of erythrocyte differentiation,18.870967741935484,0.0007471296764327745,False
response to interferon-beta,48.30670103092783,0.001195500163982225,False
cellular response to angiotensin,42.936998854524624,0.0014561693857934783,False
cellular response to organic cyclic compound,13.920386904761905,0.0016992037039880992,False
hepatocyte differentiation,35.12652296157451,0.00205101925055603,False
cellular response to glucose starvation,12.707201086956522,0.002173007858338859,False
trophoblast giant cell differentiation,32.197594501718214,0.002384681452870339,False
cardiac muscle cell proliferation,32.197594501718214,0.002384681452870339,False
positive regulation of type I interferon production,11.927295918367347,0.0025771181336647925,False
response to mechanical stimulus,11.458333333333334,0.002870618281911882,False
transcription by RNA polymerase II,5.397046855016859,0.0031407848708039036,False
"DNA damage response, signal transduction by p53 class mediator",25.753951890034365,0.0035275483594385173,False
retinoic acid receptor signaling pathway,25.753951890034365,0.0035275483594385173,False
regulation of cell cycle,6.7058929374718845,0.003803880768044277,False
embryonic hemopoiesis,24.1430412371134,0.003954956492878785,False
