,OR,p,FDR
neutrophil degranulation,2.5322605721393034,9.933903645396546e-14,True
regulation of endocytosis,5.589567075898405,1.112370383820373e-05,True
actin cytoskeleton organization,2.4122721569145424,2.217625695295765e-05,True
protein autophosphorylation,2.359036883922227,3.2549289552874587e-05,True
phagocytosis,3.743357757247531,3.283613015723604e-05,True
cellular response to interleukin-7,13.212643051771117,3.8388921431665925e-05,True
superoxide metabolic process,7.727421514655557,4.3098526417719555e-05,True
IRE1-mediated unfolded protein response,3.7859802847754653,4.9696811244274305e-05,True
actin filament organization,2.652527118563782,5.167315102521023e-05,True
regulation of small GTPase mediated signal transduction,2.4580362067606965,6.365735910982044e-05,True
respiratory burst,11.009900090826521,7.625567172625511e-05,True
plasma membrane repair,11.009900090826521,7.625567172625511e-05,True
intracellular signal transduction,1.792461356548578,9.052289436263232e-05,True
establishment or maintenance of cell polarity,3.7829321663019693,0.00014517649568302195,True
viral process,1.6686499943485305,0.00018268288478267625,True
vesicle transport along actin filament,6.86507385744027,0.00020530849904853364,True
clathrin-dependent endocytosis,5.665466448445172,0.0002351128147943724,True
anoikis,11.318954248366014,0.00023590032348601384,True
positive regulation of membrane protein ectodomain proteolysis,8.256471389645776,0.00024045517544471324,True
vascular endothelial growth factor receptor signaling pathway,3.1535231836436655,0.00027834095509422655,True
"retrograde vesicle-mediated transport, Golgi to ER",2.7251367210226234,0.00037261620888523044,False
cellular response to mechanical stimulus,2.7926013805004315,0.0004110830910335104,False
receptor internalization,3.7798907103825137,0.0004274919137481524,False
"regulation of transcription, DNA-templated",1.468426238008815,0.00043950072940286786,False
negative regulation of release of cytochrome c from mitochondria,5.808237563962755,0.00046388030467598015,False
regulation of cell shape,2.15846039386524,0.0005172593276914292,False
regulation of defense response to virus by virus,4.720403709765412,0.0006462041657107007,False
plasma membrane tubulation,8.084033613445378,0.0007395454859865216,False
ubiquitin-dependent ERAD pathway,2.8021581274593323,0.0008133768622236259,False
skeletal muscle tissue regeneration,6.003666088679712,0.0009179250798096062,False
stress fiber assembly,6.003666088679712,0.0009179250798096062,False
positive regulation of axon extension,3.934452328966521,0.0009937557529219947,False
cellular response to growth factor stimulus,2.940578653051301,0.001146435543200312,False
regulation of release of sequestered calcium ion into cytosol,7.07312091503268,0.0011893233064494291,False
negative regulation of necroptotic process,5.503042688465031,0.0013336180852443113,False
platelet formation,5.503042688465031,0.0013336180852443113,False
endocytosis,1.9083917187175057,0.001555597368419,False
cell migration,1.7912233591497542,0.0015982309646035556,False
regulation of actin cytoskeleton organization,2.563944530046225,0.001772357282394216,False
engulfment of apoptotic cell,6.286855482933914,0.0018219020603638327,False
in utero embryonic development,1.8406301824212272,0.0018803634444431935,False
protein localization to membrane,5.079438272898764,0.0018829401799443002,False
lysosomal transport,5.079438272898764,0.0018829401799443002,False
integrin-mediated signaling pathway,2.304281474605117,0.002011912846679328,False
membrane fusion,3.4966844573831475,0.0020221793178977843,False
epidermal growth factor receptor signaling pathway,2.9827437446074203,0.0022808507135586194,False
positive regulation of tumor necrosis factor production,2.9827437446074203,0.0022808507135586194,False
cellular response to oxidised low-density lipoprotein particle stimulus,7.855652331700236,0.0022953088128925014,False
toll-like receptor signaling pathway,3.147642454032405,0.0024276070774483394,False
apoptotic signaling pathway,2.6457549234135667,0.0026186944508205115,False
negative regulation of phagocytosis,5.657843137254902,0.002679797768905582,False
"wound healing, spreading of cells",5.657843137254902,0.002679797768905582,False
positive regulation of NF-kappaB transcription factor activity,1.9226993102591188,0.002721004912216725,False
extrinsic apoptotic signaling pathway in absence of ligand,3.539075286415712,0.0031356389595173645,False
mitotic cytokinesis,2.83327868852459,0.003240083562295086,False
positive regulation of NIK/NF-kappaB signaling,2.5437005554620433,0.00353362698708693,False
fructose 6-phosphate metabolic process,6.733027451590326,0.0036252353039058654,False
positive regulation of podosome assembly,6.733027451590326,0.0036252353039058654,False
platelet activation,2.164841483322208,0.0036387805859766404,False
cellular response to oxidative stress,2.21026999316473,0.003791554029851391,False
regulation of ARF protein signal transduction,5.143196672608437,0.0038080027759515855,False
bone resorption,4.12632833787466,0.004607146355232254,False
plasma membrane organization,4.12632833787466,0.004607146355232254,False
toll-like receptor 4 signaling pathway,4.714324618736383,0.005253041624065516,False
response to endoplasmic reticulum stress,2.323346523459582,0.005299528720135919,False
interleukin-15-mediated signaling pathway,5.891058791507893,0.005428791440208206,False
negative regulation of intrinsic apoptotic signaling pathway,3.8833787465940053,0.005972958702037518,False
regulation of translation,2.4554291962821213,0.0061927998087511,False
protein phosphorylation,1.454253418539133,0.00635470915099991,False
intrinsic apoptotic signaling pathway in response to DNA damage,2.8599311896255126,0.0065499419380252895,False
cortical cytoskeleton organization,4.351432880844645,0.00706200633433634,False
negative regulation of protein localization to plasma membrane,4.351432880844645,0.00706200633433634,False
positive regulation of protein localization to cell surface,4.351432880844645,0.00706200633433634,False
positive regulation of superoxide anion generation,4.351432880844645,0.00706200633433634,False
positive regulation of peptidyl-tyrosine phosphorylation,2.1596620247222655,0.007341531080435938,False
positive regulation of mitotic cell cycle,3.281020340429567,0.007544447883734776,False
positive regulation of lamellipodium assembly,3.6674235543445355,0.007619459126694488,False
extrinsic apoptotic signaling pathway,2.775655021834061,0.007762393367703228,False
response to retinoic acid,2.775655021834061,0.007762393367703228,False
endoplasmic reticulum mannose trimming,5.236194278110446,0.007784051514070082,False
JAK-STAT cascade involved in growth hormone signaling pathway,5.236194278110446,0.007784051514070082,False
negative regulation of vascular endothelial growth factor receptor signaling pathway,5.236194278110446,0.007784051514070082,False
positive regulation of interleukin-6 production,2.129120836740046,0.008214281388985993,False
extracellular matrix disassembly,2.3160403148436615,0.009242177772627657,False
necroptotic process,4.040382819794584,0.009281606114449366,False
positive regulation of myoblast fusion,4.040382819794584,0.009281606114449366,False
neurotrophin TRK receptor signaling pathway,4.040382819794584,0.009281606114449366,False
cell redox homeostasis,2.4103243808859434,0.009400319492665895,False
cellular response to lipopolysaccharide,1.744665229481051,0.009422431234804601,False
regulation of actin filament polymerization,3.4742004875950094,0.009578204235675113,False
negative regulation of Ras protein signal transduction,3.4742004875950094,0.009578204235675113,False
regulation of apoptotic process,1.660663800782309,0.010120407188617338,False
forebrain development,2.6211487142163996,0.010698249549193847,False
negative regulation of endocytosis,4.712302667392488,0.010765126240557085,False
positive regulation of dendrite development,4.712302667392488,0.010765126240557085,False
G protein-coupled acetylcholine receptor signaling pathway,4.712302667392488,0.010765126240557085,False
"retrograde protein transport, ER to cytosol",4.712302667392488,0.010765126240557085,False
negative regulation of tumor necrosis factor production,2.471860289719383,0.010846006555473827,False
T cell costimulation,2.471860289719383,0.010846006555473827,False
positive regulation of viral entry into host cell,6.281102647805586,0.011114869800726332,False
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,6.281102647805586,0.011114869800726332,False
regulation of lamellipodium assembly,6.281102647805586,0.011114869800726332,False
protein localization to endosome,6.281102647805586,0.011114869800726332,False
regulation of mast cell degranulation,6.281102647805586,0.011114869800726332,False
actin filament polymerization,3.0181897491821155,0.011179403094337369,False
regulation of synapse organization,3.770806100217865,0.011957260513624194,False
activation of JUN kinase activity,2.7388205480175283,0.012070682002808659,False
glycosphingolipid metabolic process,2.7388205480175283,0.012070682002808659,False
establishment of protein localization,2.7388205480175283,0.012070682002808659,False
"mRNA splicing, via spliceosome",1.5633255369579517,0.012772921690262468,False
lipopolysaccharide-mediated signaling pathway,2.901937756899589,0.01341715268845018,False
dendrite morphogenesis,2.901937756899589,0.01341715268845018,False
cellular response to hypoxia,1.8351752581714322,0.013421601941983413,False
regulation of protein catabolic process,4.283664076805067,0.014440275546145024,False
toll-like receptor 9 signaling pathway,4.283664076805067,0.014440275546145024,False
negative regulation of Rho protein signal transduction,3.5349264705882355,0.015132259054353985,False
myoblast fusion,3.5349264705882355,0.015132259054353985,False
actin polymerization or depolymerization,3.5349264705882355,0.015132259054353985,False
cytokine-mediated signaling pathway,1.5015692003841836,0.01541803977786841,False
cellular response to nerve growth factor stimulus,2.7942970233046567,0.015964919954940926,False
establishment of cell polarity,2.7942970233046567,0.015964919954940926,False
interleukin-2-mediated signaling pathway,5.38349137260998,0.016154618936759627,False
macrophage activation involved in immune response,5.38349137260998,0.016154618936759627,False
positive regulation of production of miRNAs involved in gene silencing by miRNA,5.38349137260998,0.016154618936759627,False
cellular response to angiotensin,5.38349137260998,0.016154618936759627,False
glucose 6-phosphate metabolic process,5.38349137260998,0.016154618936759627,False
exit from mitosis,5.38349137260998,0.016154618936759627,False
actin filament depolymerization,5.38349137260998,0.016154618936759627,False
substrate adhesion-dependent cell spreading,2.3066690939984222,0.016260468934383206,False
