,OR,p,FDR
positive regulation of transcription by RNA polymerase II,3.717593356431832,7.718027373150335e-07,True
positive regulation of cellular protein metabolic process,52.89265536723164,2.8573623400428837e-06,True
regulation of transcription by RNA polymerase II,2.9877198443579767,3.0552155601514226e-05,True
transcription by RNA polymerase II,7.234307992202729,3.0725885179956624e-05,True
cellular response to lipopolysaccharide,7.06695652173913,0.00010740862910493878,False
3'-UTR-mediated mRNA destabilization,33.71308523409364,0.00016812060497327358,False
positive regulation of nitric oxide biosynthetic process,16.251195132551064,0.00016929170108696272,False
skeletal muscle cell differentiation,15.456800330715172,0.00020236091576697552,False
negative regulation of I-kappaB kinase/NF-kappaB signaling,13.773028739867355,0.0003050912148866345,False
response to light stimulus,24.834586466165412,0.000371856681867039,False
regulation of translational initiation,18.868235294117646,0.0007689699868344885,False
positive regulation of p38MAPK cascade,18.141564318034906,0.0008536657570777644,False
I-kappaB kinase/NF-kappaB signaling,10.20995079278294,0.0008817524161370934,False
inflammatory response,3.889098098286575,0.0009010478937887824,False
cellular response to DNA damage stimulus,4.833774958014555,0.0009603178103073833,False
cellular response to vascular endothelial growth factor stimulus,16.26224282816575,0.0011425257336473297,False
negative regulation of smooth muscle cell proliferation,16.26224282816575,0.0011425257336473297,False
lipopolysaccharide-mediated signaling pathway,15.211439414475468,0.0013654910176572953,False
cellular response to nerve growth factor stimulus,14.735294117647058,0.0014864978172156524,False
negative regulation of protein kinase activity,8.787193973634652,0.001493663044071438,False
cellular response to tumor necrosis factor,6.311897978564645,0.0016232637837748714,False
negative regulation of ERK1 and ERK2 cascade,8.548786074209803,0.0016442925659474737,False
negative regulation of erythrocyte differentiation,39.016666666666666,0.00180568975454693,False
IRES-dependent viral translational initiation,39.016666666666666,0.00180568975454693,False
negative regulation of production of miRNAs involved in gene silencing by miRNA,39.016666666666666,0.00180568975454693,False
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,13.470108043217287,0.0018891517446802668,False
cellular response to cold,34.67962962962963,0.0021976278069531815,False
cellular response to oxidised low-density lipoprotein particle stimulus,34.67962962962963,0.0021976278069531815,False
positive regulation of gene silencing by miRNA,34.67962962962963,0.0021976278069531815,False
macrophage activation involved in immune response,34.67962962962963,0.0021976278069531815,False
negative regulation of NF-kappaB transcription factor activity,7.711451012815213,0.002352842170863682,False
activation of MAPKK activity,12.085972850678733,0.002522985172897992,False
positive regulation of mRNA catabolic process,31.21,0.0026260146216841814,False
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,31.21,0.0026260146216841814,False
early endosome to Golgi transport,31.21,0.0026260146216841814,False
negative regulation of neural precursor cell proliferation,31.21,0.0026260146216841814,False
response to muramyl dipeptide,31.21,0.0026260146216841814,False
regulation of telomere maintenance,31.21,0.0026260146216841814,False
response to cytokine,11.49518343922935,0.0028834793169482315,False
viral process,3.2512642225031607,0.002907656269690533,False
apoptotic process,3.014345348529022,0.003014452652528023,False
histone deubiquitination,28.37121212121212,0.003090370009064911,False
G protein-coupled receptor internalization,28.37121212121212,0.003090370009064911,False
regulation of NIK/NF-kappaB signaling,28.37121212121212,0.003090370009064911,False
cellular homeostasis,28.37121212121212,0.003090370009064911,False
positive regulation of lipid storage,28.37121212121212,0.003090370009064911,False
"positive regulation of transcription, DNA-templated",2.96337330552659,0.003383451315057117,False
negative regulation of JAK-STAT cascade,26.005555555555556,0.0035902183781101136,False
positive regulation of NF-kappaB transcription factor activity,5.122966639095671,0.0038595486963824686,False
positive regulation of phosphoprotein phosphatase activity,24.003846153846155,0.004125088698178582,False
response to muscle stretch,24.003846153846155,0.004125088698178582,False
negative regulation of cytokine production,24.003846153846155,0.004125088698178582,False
negative regulation of macroautophagy,24.003846153846155,0.004125088698178582,False
negative regulation of phosphoprotein phosphatase activity,9.815126050420169,0.004387717329370371,False
negative regulation of autophagy,9.614302864002743,0.00463461284333997,False
positive regulation of type I interferon production,9.614302864002743,0.00463461284333997,False
negative regulation of apoptotic process,3.003510568273239,0.004772258664323018,False
negative regulation of neuron death,9.421512605042016,0.004889759388918501,False
regulation of cell proliferation,4.8098938098938095,0.004985591466711601,False
protein autophosphorylation,4.780661105962311,0.005109722429542669,False
positive regulation of fat cell differentiation,9.236282748393474,0.005153233769865137,False
negative regulation of protein ubiquitination,9.236282748393474,0.005153233769865137,False
N-glycan processing,20.801111111111112,0.005298033641635793,False
negative regulation of transcription by RNA polymerase II,2.4085267134376687,0.005359398397937773,False
cellular response to interleukin-6,19.5,0.005935188662116416,False
negative regulation of gene expression,3.8717716040765042,0.00609250348828858,False
regulation of mRNA stability,5.792878245995957,0.006244150576385261,False
3'-UTR-mediated mRNA stabilization,18.351960784313725,0.006605526353755235,False
membrane protein intracellular domain proteolysis,18.351960784313725,0.006605526353755235,False
regulation of phosphatidylinositol 3-kinase activity,18.351960784313725,0.006605526353755235,False
signal transduction by protein phosphorylation,18.351960784313725,0.006605526353755235,False
stress-activated protein kinase signaling cascade,17.331481481481482,0.007308597918238343,False
negative regulation of protein kinase B signaling,7.980487110098276,0.007569231739946902,False
neuron projection morphogenesis,7.980487110098276,0.007569231739946902,False
regulation of translation,7.847058823529411,0.007910708493689326,False
labyrinthine layer blood vessel development,16.41842105263158,0.00804395889312575,False
cell migration involved in sprouting angiogenesis,16.41842105263158,0.00804395889312575,False
regulation of nitric-oxide synthase activity,16.41842105263158,0.00804395889312575,False
negative regulation of inflammatory response,5.258757062146893,0.008618878064585922,False
negative regulation of proteolysis,15.596666666666666,0.00881116911448272,False
"negative regulation of mRNA splicing, via spliceosome",15.596666666666666,0.00881116911448272,False
negative regulation of interleukin-2 production,14.853174603174603,0.009609792679764558,False
cellular response to hydrogen peroxide,7.131398013750955,0.010149502787677499,False
fat cell differentiation,7.024582967515364,0.01055471756713392,False
cytokine-mediated signaling pathway,3.421764923989618,0.010621601769565687,False
intracellular signal transduction,3.05511998099311,0.010778333777991984,False
decidualization,13.560144927536232,0.011299557328861572,False
positive regulation of sprouting angiogenesis,13.560144927536232,0.011299557328861572,False
peripheral nervous system development,12.994444444444444,0.012189847595999805,False
spliceosomal complex assembly,12.994444444444444,0.012189847595999805,False
positive regulation of protein dephosphorylation,12.994444444444444,0.012189847595999805,False
circadian rhythm,6.6274115279914785,0.012268693797212918,False
stress-activated MAPK cascade,12.474,0.013109849505040757,False
response to endoplasmic reticulum stress,6.445147922182572,0.013182018452683209,False
negative regulation of JNK cascade,11.993589743589743,0.014059147930142582,False
developmental process,11.993589743589743,0.014059147930142582,False
cell differentiation,2.4887666976375793,0.014491534268000525,False
cellular response to fibroblast growth factor stimulus,11.548765432098765,0.015037331794517,False
regulation of Rho protein signal transduction,11.548765432098765,0.015037331794517,False
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,11.548765432098765,0.015037331794517,False
endochondral ossification,11.548765432098765,0.015037331794517,False
positive regulation of JNK cascade,6.109025428353159,0.015122469977184515,False
cellular response to calcium ion,5.9537283267737475,0.016149963422840814,False
cellular response to interleukin-1,5.9537283267737475,0.016149963422840814,False
osteoclast differentiation,10.751149425287357,0.01707873158931379,False
positive regulation of neuron differentiation,5.734986677597869,0.01776319914535446,False
response to exogenous dsRNA,10.392222222222221,0.01814114531233938,False
positive regulation of Ras protein signal transduction,10.392222222222221,0.01814114531233938,False
spleen development,10.056451612903226,0.019230839995774962,False
positive regulation of inflammatory response,5.5316856154226395,0.019463151569732242,False
proteasomal protein catabolic process,9.741666666666667,0.02034742430813133,False
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,9.741666666666667,0.02034742430813133,False
regulation of cell differentiation,9.741666666666667,0.02034742430813133,False
muscle organ development,5.403940886699507,0.020644756603635243,False
"negative regulation of transcription, DNA-templated",2.443795914259837,0.022115394911004827,False
"mRNA splicing, via spliceosome",3.2658755386028115,0.022284870304850702,False
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,9.16764705882353,0.022659715690090308,False
negative regulation of interleukin-8 production,9.16764705882353,0.022659715690090308,False
positive regulation of cell death,9.16764705882353,0.022659715690090308,False
interleukin-1-mediated signaling pathway,5.05367308213608,0.024421818599975668,False
cellular response to leukemia inhibitory factor,4.999642410155552,0.025085201020893753,False
negative regulation of Notch signaling pathway,8.422972972972973,0.026320261185126374,False
negative regulation of interleukin-1 beta production,8.422972972972973,0.026320261185126374,False
cell projection organization,8.422972972972973,0.026320261185126374,False
positive regulation of apoptotic process,2.749152880207295,0.026984025237908535,False
mRNA export from nucleus,4.794546389984565,0.027835360656025987,False
protein deubiquitination,3.0487080487080487,0.02861811828982523,False
response to cAMP,7.99017094017094,0.028884352057348267,False
mRNA transport,7.79,0.03020242040152686,False
cellular response to epidermal growth factor stimulus,7.599593495934959,0.031544025679796736,False
