,OR,p,FDR
neutrophil degranulation,3.4104710056607352,5.077324605877042e-19,True
viral process,2.873815839333081,6.166602472575719e-13,True
regulation of small GTPase mediated signal transduction,4.799788940143745,8.537780854236387e-12,True
regulation of cell shape,4.387064698441944,6.46511074059225e-11,True
protein autophosphorylation,3.602694165737644,8.058131763398933e-09,True
positive regulation of transcription by RNA polymerase II,1.8478245889665248,9.62459466270553e-09,True
interferon-gamma-mediated signaling pathway,5.758826971844723,1.2416822479521634e-08,True
T cell receptor signaling pathway,3.5004153123871435,1.4643652290463119e-08,True
innate immune response,2.2248271550456016,1.852018509481178e-08,True
positive thymic T cell selection,39.636262203626224,3.5553692541378656e-08,True
signal transduction,1.8427045626317673,3.9207498949978785e-08,True
positive regulation of NF-kappaB transcription factor activity,3.4694078300216407,7.497897609332886e-08,True
type I interferon signaling pathway,5.49191423404805,1.1612066938131811e-07,True
intracellular signal transduction,2.3981867883022776,1.7641723651111998e-07,True
positive regulation of I-kappaB kinase/NF-kappaB signaling,3.145649492361704,1.9629744110489906e-07,True
immunoglobulin mediated immune response,23.77907949790795,2.471882812292744e-07,True
interleukin-15-mediated signaling pathway,23.77907949790795,2.471882812292744e-07,True
T cell activation,6.960751331651248,3.005397970473665e-07,True
regulation of defense response to virus by virus,10.236944211409396,3.235759203835287e-07,True
positive regulation of interleukin-6 production,4.4657523876812055,3.7940396908512747e-07,True
inflammatory response,2.3104338198602794,4.746210001213922e-07,True
positive regulation of GTPase activity,2.4691969426277622,5.656150123594407e-07,True
cytokine-mediated signaling pathway,2.5336509974323524,7.416732435543893e-07,True
interleukin-2-mediated signaling pathway,25.98808528428094,1.06811338723458e-06,True
T cell differentiation,7.447942905121747,1.2072434874172098e-06,True
IRE1-mediated unfolded protein response,5.458240946045824,1.3659998457824296e-06,True
platelet activation,3.878799273046312,1.3688679387225836e-06,True
actin filament organization,3.5874558615819208,1.4024809517327944e-06,True
protein import into nucleus,4.408549491595767,1.650981649454158e-06,True
protein phosphorylation,2.0959460764093065,2.554906718004588e-06,True
positive regulation of type I interferon production,5.492851135407906,2.8666854979151753e-06,True
phagocytosis,4.971941638608305,3.517596558807709e-06,True
regulation of inflammatory response,4.073417721518988,4.216105023031153e-06,True
positive regulation of peptidyl-tyrosine phosphorylation,3.9531645569620255,5.995181889295159e-06,True
actin cytoskeleton organization,2.8697351280937906,7.269166290503097e-06,True
vascular endothelial growth factor receptor signaling pathway,4.565038136466708,8.30213838880523e-06,True
peptidyl-tyrosine autophosphorylation,6.548322147651007,8.77893926101383e-06,True
immune system process,6.548322147651007,8.77893926101383e-06,True
regulation of cell proliferation,2.8292778649921506,9.100666182140654e-06,True
integrin-mediated signaling pathway,3.6388275294525294,9.260997271169826e-06,True
JAK-STAT cascade involved in growth hormone signaling pathway,14.847826086956522,9.376131224027023e-06,True
regulation of mast cell degranulation,22.25689223057644,1.0817870292131997e-05,True
positive regulation of peptidyl-serine phosphorylation,3.7327004219409283,1.1697271491038907e-05,True
defense response to virus,2.600712564493,1.2914195043591345e-05,True
superoxide metabolic process,9.904044630404464,1.6198846797704216e-05,True
MyD88-dependent toll-like receptor signaling pathway,6.760268231349539,1.8069541235360972e-05,True
regulation of cytokine secretion,17.804511278195488,2.2517578577560443e-05,True
negative thymic T cell selection,17.804511278195488,2.2517578577560443e-05,True
lipopolysaccharide-mediated signaling pathway,6.19621402626432,3.269150076050389e-05,True
apoptotic signaling pathway,4.171740958788898,3.793641021901112e-05,True
"positive regulation of transcription, DNA-templated",1.8200887539659951,4.257788289829107e-05,True
immunological synapse formation,14.836257309941521,4.261266228111748e-05,True
cellular response to interleukin-7,14.836257309941521,4.261266228111748e-05,True
endocytosis,2.5584958667011106,4.2998291871530414e-05,True
cellular response to nerve growth factor stimulus,5.9480301760268235,4.3181954843757534e-05,True
cortical actin cytoskeleton organization,6.687814070351759,5.067201800097959e-05,True
defense response,3.7891628145865432,5.2234436053241375e-05,True
positive regulation of cytokine production involved in inflammatory response,7.9218967921896795,5.312717166471866e-05,True
toll-like receptor signaling pathway,4.958612975391499,7.011649273871835e-05,True
cell migration,2.299754164836279,7.433936424372072e-05,True
respiratory burst,12.716075904045828,7.488607060523793e-05,True
Fc-gamma receptor signaling pathway involved in phagocytosis,2.825673389125166,8.485917693609062e-05,True
cellular response to organic cyclic compound,4.8125,8.753013765690378e-05,True
transmembrane receptor protein tyrosine kinase signaling pathway,2.8989979400733694,9.093975426643885e-05,True
T cell costimulation,4.355593782638079,9.434058922543447e-05,True
positive regulation of T cell proliferation,4.032230392156863,9.489879548333477e-05,True
protein stabilization,2.4305968564146134,0.0001224994811756849,True
regulation of release of sequestered calcium ion into cytosol,11.12593984962406,0.00012401852514617667,True
positive regulation of apoptotic process,1.9802148419124361,0.00012491945375556562,True
activation of JUN kinase activity,4.955294775076837,0.00014915143113415857,True
positive regulation of B cell proliferation,4.795176162020388,0.00018615815175499376,True
positive regulation of axon extension,5.3487437185929645,0.00019904515034970896,True
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,5.3487437185929645,0.00019904515034970896,True
receptor internalization,4.6450649622799665,0.00023058437574741293,True
response to virus,2.912581651838499,0.0002797731332777478,True
intrinsic apoptotic signaling pathway in response to DNA damage,4.504051411008661,0.0002835626894653251,True
toll-like receptor 9 signaling pathway,8.899749373433584,0.00029623938610347646,True
"wound healing, spreading of cells",8.899749373433584,0.00029623938610347646,True
B cell homeostasis,6.925863991081382,0.0002971943969321283,True
peptidyl-tyrosine phosphorylation,2.699002574002574,0.0002982795251619796,True
apoptotic process,1.7104891320686648,0.0003000752810873615,True
negative regulation of interleukin-6 production,3.7189336691855583,0.00032811796775458676,True
cellular response to interferon-gamma,2.979780960404381,0.0003337285946137432,True
mRNA transcription by RNA polymerase II,12.353227601558153,0.00034049963347549636,True
regulation of B cell differentiation,12.353227601558153,0.00034049963347549636,True
positive regulation of protein localization to Cajal body,12.353227601558153,0.00034049963347549636,True
anoikis,12.353227601558153,0.00034049963347549636,True
regulation of immune response,2.158315420048256,0.00039712085174610246,True
positive regulation of interleukin-1 beta production,3.8940755832534357,0.000412182390340014,True
leukocyte migration,2.2637238256932655,0.0004212713860075371,True
negative regulation of interleukin-12 production,8.090225563909774,0.0004333509438184524,True
positive regulation of JNK cascade,3.157555368657135,0.00046306982053179304,True
positive regulation of interleukin-8 production,3.803301076947089,0.000488366804901022,True
B cell receptor signaling pathway,2.7237483907233133,0.0005493676175343507,True
regulation of nucleic acid-templated transcription,10.58788456952063,0.0005532760414543232,True
cell surface receptor signaling pathway,1.9680661967514557,0.000571993889759296,True
positive regulation of phagocytosis,4.016220747151174,0.0006077746351580853,True
positive regulation of Ras protein signal transduction,4.948675034867503,0.0006836009154843419,True
response to peptide hormone,3.9103101424979045,0.000724683222714099,True
actin cytoskeleton reorganization,3.5546578640210096,0.0007907377888518945,True
membrane organization,2.4629112808460634,0.000800834756250454,True
"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",3.1192599620493358,0.0008020768212371895,True
I-kappaB kinase/NF-kappaB signaling,3.304599309637093,0.0008125984174964789,True
response to estradiol,2.707666385846672,0.0008308760227131681,True
platelet formation,6.844804318488529,0.0008513699430234645,True
cytoskeleton-dependent intracellular transport,6.844804318488529,0.0008513699430234645,True
positive regulation of B cell differentiation,9.263877295492488,0.0008522697732110435,True
plasma membrane repair,9.263877295492488,0.0008522697732110435,True
B cell activation,4.750460251046025,0.0008527498930077566,True
establishment or maintenance of cell polarity,3.809830850903776,0.0008594978938555514,True
positive regulation of protein dephosphorylation,5.466555183946488,0.0009168011893711162,True
regulation of actin filament polymerization,5.466555183946488,0.0009168011893711162,True
axon guidance,2.058009683465223,0.0009406995729168238,True
regulation of apoptotic process,2.120914685908319,0.0009708370787435095,True
negative regulation of I-kappaB kinase/NF-kappaB signaling,3.7143755238893545,0.0010142319154421466,True
positive regulation of tumor necrosis factor production,3.7143755238893545,0.0010142319154421466,True
phosphatidylinositol biosynthetic process,3.021441701680672,0.001035199053090313,True
protein folding,2.2326058281060095,0.0010478391528710742,True
ATP-dependent chromatin remodeling,4.567492758287737,0.0010538898138113771,True
stress-activated MAPK cascade,5.192934782608695,0.0011706310914123945,True
cytokine production,5.192934782608695,0.0011706310914123945,True
negative regulation of ERK1 and ERK2 cascade,2.9747899159663866,0.00117148282263382,True
negative regulation of interferon-beta production,8.234093860137266,0.0012568538000127462,True
positive regulation of JUN kinase activity,4.3980784131411745,0.0012911911527428979,True
positive regulation of cell migration,1.9730389401846649,0.0013552445543433874,True
response to cytokine,3.8183776022972005,0.0015183286423781463,True
response to interleukin-1,4.240765092647938,0.0015690955491659444,True
regulation of GTPase activity,3.0236946590957605,0.0015786935594234942,True
cellular defense response,3.4546482387570907,0.0016200853251649616,True
positive regulation of T cell receptor signaling pathway,7.410267111853089,0.001787470639157283,True
negative regulation of endocytosis,7.410267111853089,0.001787470639157283,True
regulation of Rho protein signal transduction,4.720317725752508,0.0018409353096271338,True
actin polymerization or depolymerization,5.56046365914787,0.001987288567244432,True
positive regulation of natural killer cell mediated cytotoxicity,5.56046365914787,0.001987288567244432,True
stimulatory C-type lectin receptor signaling pathway,2.4551889455353963,0.0020352395674671795,True
Fc-epsilon receptor signaling pathway,2.1293207638385305,0.00223749741456225,True
positive regulation of interleukin-10 production,3.9576011157601116,0.002265766455438107,True
positive regulation of interferon-beta production,4.514832048858514,0.002271568427518404,True
TRIF-dependent toll-like receptor signaling pathway,4.514832048858514,0.002271568427518404,True
small GTPase mediated signal transduction,2.602922624053827,0.00234565099622509,True
peptidyl-threonine phosphorylation,3.0266747452150136,0.0024134766031674833,True
homeostasis of number of cells,6.736227045075125,0.0024653030269098496,True
positive regulation of B cell receptor signaling pathway,9.874339727550737,0.002481315204533865,True
positive regulation of establishment of protein localization to telomere,9.874339727550737,0.002481315204533865,True
negative regulation of erythrocyte differentiation,9.874339727550737,0.002481315204533865,True
regulation of phagocytosis,9.874339727550737,0.002481315204533865,True
cerebellar Purkinje cell layer development,9.874339727550737,0.002481315204533865,True
positive regulation of viral entry into host cell,9.874339727550737,0.002481315204533865,True
positive regulation of cellular component movement,9.874339727550737,0.002481315204533865,True
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",3.2287984255986006,0.002490427957027127,True
cell projection assembly,5.2330827067669174,0.0025461055411899886,True
"retrograde vesicle-mediated transport, Golgi to ER",2.684512138188609,0.002605787156961395,True
positive regulation of NIK/NF-kappaB signaling,2.971476510067114,0.0027336522403764046,False
positive regulation of autophagy,3.1599222414438835,0.002852064162994738,False
response to endoplasmic reticulum stress,2.7866813602015115,0.0028599767129379476,False
JNK cascade,3.425976034016235,0.0028609425006061186,False
erythrocyte differentiation,3.425976034016235,0.0028609425006061186,False
activation of protein kinase activity,2.918249640460211,0.0030872056201961635,False
positive regulation of protein import into nucleus,3.7098326359832634,0.003184372950264646,False
negative regulation of MAP kinase activity,3.7098326359832634,0.003184372950264646,False
positive regulation of interleukin-4 production,4.942077415761626,0.0032150340885435213,False
clathrin-dependent endocytosis,4.942077415761626,0.0032150340885435213,False
intrinsic apoptotic signaling pathway by p53 class mediator,4.942077415761626,0.0032150340885435213,False
regulation of ARF protein signal transduction,6.174526989426822,0.003311949728262334,False
endoplasmic reticulum calcium ion homeostasis,6.174526989426822,0.003311949728262334,False
negative regulation of B cell proliferation,6.174526989426822,0.003311949728262334,False
leukotriene metabolic process,6.174526989426822,0.003311949728262334,False
axon regeneration,6.174526989426822,0.003311949728262334,False
negative regulation of type I interferon production,4.153177257525083,0.003361698773527316,False
activation of cysteine-type endopeptidase activity involved in apoptotic process,2.5766946778711484,0.003554431112012653,False
neural tube closure,2.7019311502938708,0.003565108909877198,False
regulation of osteoclast differentiation,8.463243178839509,0.0037046383877037408,False
regulation of B cell receptor signaling pathway,8.463243178839509,0.0037046383877037408,False
cellular response to oxidised low-density lipoprotein particle stimulus,8.463243178839509,0.0037046383877037408,False
glycerolipid metabolic process,8.463243178839509,0.0037046383877037408,False
epidermal growth factor receptor signaling pathway,3.258487559749969,0.0038154948688932217,False
cell proliferation,2.1610044916292366,0.0038323782322284496,False
viral entry into host cell,2.5426470588235293,0.003926656210860851,False
cellular response to mechanical stimulus,2.661453438099177,0.003966788276801265,False
activation of GTPase activity,2.3484848484848486,0.0039898499160738385,False
positive regulation of tumor necrosis factor biosynthetic process,4.681704260651629,0.004006606474776365,False
extrinsic apoptotic signaling pathway in absence of ligand,3.993214561358374,0.00403718501068708,False
regulation of cytokine production,3.993214561358374,0.00403718501068708,False
aging,2.040204263597309,0.004298698664386128,False
positive regulation of interleukin-17 production,5.699242326955182,0.004349113673589043,False
actin filament-based movement,5.699242326955182,0.004349113673589043,False
positive regulation of actin filament polymerization,3.1807250538406318,0.004377879724509662,False
immune response,1.6013221105234066,0.004752103563488626,False
activation of phospholipase C activity,3.845100953796606,0.004810631913489703,False
negative regulation of NIK/NF-kappaB signaling,3.845100953796606,0.004810631913489703,False
protein localization to nucleus,3.845100953796606,0.004810631913489703,False
positive regulation of interleukin-2 production,4.447368421052632,0.004933548060324259,False
defense response to protozoan,4.447368421052632,0.004933548060324259,False
positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,4.447368421052632,0.004933548060324259,False
negative regulation of Ras protein signal transduction,4.447368421052632,0.004933548060324259,False
regulation of RNA splicing,3.391273161984459,0.005075081606736328,False
activation of MAPK activity,2.203750507036101,0.005209211145003348,False
positive regulation of mRNA catabolic process,7.404920767306089,0.005280319560835514,False
nerve growth factor signaling pathway,7.404920767306089,0.005280319560835514,False
toll-like receptor 3 signaling pathway,7.404920767306089,0.005280319560835514,False
actin filament network formation,7.404920767306089,0.005280319560835514,False
positive regulation of protein localization to cell surface,5.291855473408061,0.005598307863213575,False
vesicle transport along actin filament,5.291855473408061,0.005598307863213575,False
positive regulation of superoxide anion generation,5.291855473408061,0.005598307863213575,False
negative regulation of neuron death,3.0358040201005023,0.0056947114501548855,False
positive regulation of protein kinase activity,3.0358040201005023,0.0056947114501548855,False
neuromuscular process controlling balance,3.296885169688517,0.0058654711543303035,False
extrinsic apoptotic signaling pathway,3.296885169688517,0.0058654711543303035,False
platelet aggregation,3.296885169688517,0.0058654711543303035,False
focal adhesion assembly,4.235350280463062,0.006008667194376606,False
coronary vasculature development,4.235350280463062,0.006008667194376606,False
