,OR,p,FDR
negative regulation of transcription by RNA polymerase II,18.09555218825207,7.436723916856178e-26,True
positive regulation of transcription by RNA polymerase II,15.802546348000893,5.119965282840559e-25,True
regulation of transcription by RNA polymerase II,13.400387011716674,8.458842527309668e-23,True
"positive regulation of transcription, DNA-templated",18.970724684050552,1.1864057970027409e-21,True
"regulation of transcription, DNA-templated",9.760517632501546,7.078576054279939e-13,True
"negative regulation of transcription, DNA-templated",9.953193663771078,1.5062705824423973e-10,True
skeletal muscle cell differentiation,34.44117647058823,8.210309739535236e-07,True
chondrocyte differentiation,31.040993788819875,1.536769381049468e-05,True
regulation of regulatory T cell differentiation,67.01428571428572,2.452463872630235e-05,True
hemopoiesis,21.711304347826086,5.6552813818612065e-05,True
humoral immune response,19.73227931488801,8.02067362188896e-05,True
regulation of Wnt signaling pathway,40.191428571428574,9.335539922636895e-05,True
intracellular receptor signaling pathway,34.94347826086957,0.0001359160612546089,True
sprouting angiogenesis,27.704926108374384,0.00025499815665010585,False
regulation of cell differentiation,25.9147465437788,0.0003059386611856781,False
neuron differentiation,9.318227290916367,0.0003084458613409328,False
blood vessel development,20.074285714285715,0.0006153828912965956,False
peripheral nervous system neuron development,66.08450704225352,0.0006525083323074862,False
interleukin-35-mediated signaling pathway,58.73865414710485,0.0007955116935437853,False
regulation of B cell receptor signaling pathway,58.73865414710485,0.0007955116935437853,False
hepatocyte differentiation,48.053777208706784,0.0011225354101986507,False
trophoblast giant cell differentiation,44.04694835680751,0.0013063455732931109,False
heart looping,13.368571428571428,0.0018734959190851335,False
circadian regulation of gene expression,12.729931972789116,0.0021410476525277984,False
regulation of reactive oxygen species metabolic process,31.08367854183927,0.002424228445172317,False
positive regulation of chondrocyte differentiation,31.08367854183927,0.002424228445172317,False
apoptotic cell clearance,27.808747220163085,0.0029622598696943175,False
defense response,11.290744466800804,0.0029667438169944495,False
B cell homeostasis,26.416901408450705,0.0032503453812752956,False
ossification,10.831274131274132,0.0033201912607709,False
transcription initiation from RNA polymerase II promoter,6.919360832404311,0.0034546660274303335,False
negative regulation of interleukin-2 production,25.157612340710934,0.0035510110938561995,False
positive regulation of interleukin-4 production,24.01280409731114,0.003864157962932451,False
cellular response to lipopolysaccharide,6.619720814439406,0.004024291598720335,False
positive regulation of neuron differentiation,9.770383275261324,0.004385248922485,False
regulation of neuron differentiation,22.009389671361504,0.004527501791318828,False
cytokine production,21.12788732394366,0.004877503451753889,False
oligodendrocyte development,21.12788732394366,0.004877503451753889,False
cytokine-mediated signaling pathway,4.857142857142857,0.00496101935581828,False
endochondral ossification,19.56077203964528,0.0056136821596996815,False
mesoderm development,18.861167002012074,0.005999667212065188,False
transcription by RNA polymerase II,5.857592942659105,0.006107616966789567,False
face morphogenesis,18.209810587663913,0.006397455640789595,False
JAK-STAT cascade,18.209810587663913,0.006397455640789595,False
triglyceride homeostasis,17.601877934272302,0.0068069528061687635,False
embryonic cranial skeleton morphogenesis,17.601877934272302,0.0068069528061687635,False
chromatin remodeling,8.252871870397644,0.006888906417645617,False
cell fate specification,16.5,0.0076606974788743865,False
cell differentiation,3.309709444357815,0.007775957033043138,False
B cell proliferation,15.999146393512591,0.008104758388767723,False
osteoblast differentiation,7.694505494505495,0.008294990549671309,False
T cell differentiation,15.527754763877383,0.008560154835026923,False
placenta development,15.083299798792757,0.00902679484431985,False
negative regulation of interferon-gamma production,15.083299798792757,0.00902679484431985,False
response to cAMP,13.533405561574575,0.01100396936014161,False
positive regulation of B cell proliferation,13.533405561574575,0.01100396936014161,False
response to progesterone,13.194366197183099,0.011525465869575778,False
regulation of cell cycle,6.7765133171912835,0.011581770256125896,False
response to cytokine,12.564721663313213,0.012600478518036234,False
somitogenesis,12.564721663313213,0.012600478518036234,False
response to peptide hormone,11.469687691365586,0.014876126214527805,False
regulation of synaptic plasticity,10.990610328638498,0.016075375847621746,False
negative regulation of I-kappaB kinase/NF-kappaB signaling,10.990610328638498,0.016075375847621746,False
negative regulation of fat cell differentiation,10.990610328638498,0.016075375847621746,False
skeletal muscle tissue development,10.990610328638498,0.016075375847621746,False
cell proliferation,5.746248715313463,0.017740089190071195,False
negative regulation of tumor necrosis factor production,10.342446837890085,0.01794911500295488,False
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",9.766301512780386,0.019910681689849066,False
odontogenesis of dentin-containing tooth,9.588220230473752,0.020583668698658877,False
positive regulation of autophagy,9.588220230473752,0.020583668698658877,False
positive regulation of smooth muscle cell proliferation,9.416498993963783,0.021266085244501905,False
negative regulation of epithelial cell proliferation,8.936261637622344,0.023369104468003485,False
negative regulation of cell proliferation,3.2135854341736696,0.024473538179682678,False
positive regulation of osteoblast differentiation,8.502498864152658,0.025554101661811168,False
roof of mouth development,8.235915492957746,0.02705525929324446,False
cellular response to drug,8.108775731310942,0.02781895269444045,False
regulation of cell proliferation,4.775620188195038,0.02830402460577377,False
regulation of hematopoietic stem cell differentiation,7.865881858314063,0.029372184439421217,False
cellular response to hydrogen peroxide,7.865881858314063,0.029372184439421217,False
regulation of megakaryocyte differentiation,7.749792874896437,0.030161570435857942,False
cellular response to starvation,7.421146597897242,0.03257990421204162,False
multicellular organism development,2.8954775458570525,0.03555226233375666,False
regulation of dendritic spine development,28.96141975308642,0.03806973502879563,False
response to interferon-beta,28.96141975308642,0.03806973502879563,False
T cell mediated immunity,28.96141975308642,0.03806973502879563,False
positive regulation of isotype switching to IgG isotypes,28.96141975308642,0.03806973502879563,False
"DNA-templated transcription, termination",28.96141975308642,0.03806973502879563,False
negative regulation of histone acetylation,28.96141975308642,0.03806973502879563,False
negative regulation of transcription by competitive promoter binding,28.96141975308642,0.03806973502879563,False
negative regulation of cholesterol storage,28.96141975308642,0.03806973502879563,False
negative regulation of macrophage activation,28.96141975308642,0.03806973502879563,False
prostate gland development,28.96141975308642,0.03806973502879563,False
regulation of macrophage activation,28.96141975308642,0.03806973502879563,False
regulation of myeloid cell differentiation,28.96141975308642,0.03806973502879563,False
morphogenesis of an epithelial sheet,28.96141975308642,0.03806973502879563,False
cellular protein-containing complex localization,28.96141975308642,0.03806973502879563,False
regulation of synapse assembly,28.96141975308642,0.03806973502879563,False
