,OR,p,FDR
positive regulation of T cell proliferation,27.544823232323232,2.3077426935968828e-08,True
establishment or maintenance of cell polarity,29.333681735040503,1.6409183484715946e-07,True
positive regulation of establishment of protein localization to telomere,87.32608695652173,1.4509228174279063e-05,True
negative thymic T cell selection,76.40625,1.98772461185461e-05,True
positive regulation of protein localization to Cajal body,76.40625,1.98772461185461e-05,True
immunological synapse formation,67.91304347826087,2.640611341938281e-05,True
positive regulation of GTPase activity,6.351017441860465,2.878509482671209e-05,True
T cell receptor signaling pathway,8.799715909090908,2.9324264297214806e-05,True
positive regulation of telomerase RNA localization to Cajal body,50.92663043478261,5.4016166399250145e-05,True
T cell activation,20.563736263736264,7.044613087924742e-05,True
regulation of small GTPase mediated signal transduction,9.297378277153559,7.927600999652827e-05,True
regulation of extrinsic apoptotic signaling pathway via death domain receptors,43.64673913043478,8.013888294551465e-05,True
intracellular signal transduction,5.286896243291592,0.00011105025662521682,True
vesicle transport along actin filament,38.186820652173914,0.00011336564748048982,True
cell migration,6.520967417538214,0.00017703051495684727,True
cell projection assembly,30.542934782608697,0.0002041864222206173,True
positive regulation of interleukin-2 production,26.554820415879018,0.0002964988893672797,False
T cell homeostasis,24.42782608695652,0.00037087101438582884,False
B cell differentiation,11.731868131868131,0.0005320502538803565,False
positive regulation of telomere maintenance via telomerase,19.693548387096776,0.0006627754509913749,False
positive regulation of isotype switching to IgG isotypes,50.38978494623656,0.0011018503253991088,False
positive regulation of cellular component movement,50.38978494623656,0.0011018503253991088,False
negative regulation of transcription by competitive promoter binding,50.38978494623656,0.0011018503253991088,False
positive regulation of peptidyl-serine phosphorylation,9.541017122412471,0.0011112290580906608,False
positive regulation of B cell proliferation,16.059782608695652,0.0011509569929910022,False
small GTPase mediated signal transduction,9.115018315018315,0.0013060460755124378,False
positive thymic T cell selection,44.78853046594982,0.0013422887874470029,False
regulation of B cell differentiation,44.78853046594982,0.0013422887874470029,False
positive regulation of cell migration,5.335350043215212,0.0013539930767315195,False
negative regulation of cell proliferation,4.043330852559332,0.0013750364566172185,False
positive regulation of transcription by RNA polymerase II,2.744585569668078,0.0014765826116430467,False
actin filament network formation,40.30752688172043,0.001605465322269769,False
natural killer cell differentiation,40.30752688172043,0.001605465322269769,False
protein folding,6.297086720867209,0.0016522538258786318,False
interleukin-12-mediated signaling pathway,13.86536561264822,0.0017129352001134458,False
erythrocyte differentiation,13.556521739130435,0.0018205021460001246,False
response to peptide hormone,13.556521739130435,0.0018205021460001246,False
positive regulation of protein kinase B signaling,6.072875816993464,0.0019251930654401797,False
JAK-STAT cascade involved in growth hormone signaling pathway,33.586021505376344,0.002199112489929909,False
B cell receptor signaling pathway,7.732531619324072,0.002325832703286847,False
protein stabilization,5.700429711479435,0.0025093041410233037,False
nuclear migration,31.00082712985939,0.0025291273088863765,False
positive regulation of T cell migration,31.00082712985939,0.0025291273088863765,False
positive regulation of T cell receptor signaling pathway,31.00082712985939,0.0025291273088863765,False
homeostasis of number of cells,28.78494623655914,0.0028809685510697686,False
"wound healing, spreading of cells",28.78494623655914,0.0028809685510697686,False
actin filament organization,7.123936932632585,0.003091052726329932,False
interferon-gamma production,26.864516129032257,0.003254412506678836,False
regulation of apoptotic process,5.259920634920635,0.003500658368409692,False
cell-substrate adhesion,23.701454775458572,0.0040652220053255285,False
cytoskeleton-dependent intracellular transport,23.701454775458572,0.0040652220053255285,False
Fc-gamma receptor signaling pathway involved in phagocytosis,6.395947802197802,0.004476066566909359,False
stress-activated protein kinase signaling cascade,22.38351254480287,0.00450214838200586,False
response to light stimulus,20.143010752688173,0.005437958695213021,False
natural killer cell activation,19.182795698924732,0.005936413197235923,False
response to interferon-gamma,19.182795698924732,0.005936413197235923,False
positive regulation of lamellipodium assembly,17.51285647498831,0.0069933592907119035,False
regulation of cell shape,5.563579277864992,0.007172335430112141,False
positive regulation of extrinsic apoptotic signaling pathway,16.782258064516128,0.007551430991011192,False
positive regulation of neutrophil chemotaxis,16.782258064516128,0.007551430991011192,False
protein phosphorylation,3.2726251276813074,0.007872191701064324,False
cytokine production,16.11010752688172,0.008128957814218591,False
regulation of defense response to virus by virus,16.11010752688172,0.008128957814218591,False
cellular response to calcium ion,7.708035222894882,0.008241776914667898,False
viral process,3.235378787878788,0.008336845725410656,False
negative regulation of JNK cascade,15.48966087675765,0.00872573372194002,False
positive regulation of viral genome replication,15.48966087675765,0.00872573372194002,False
cortical actin cytoskeleton organization,14.915173237753883,0.009341554219502482,False
leukocyte cell-cell adhesion,14.915173237753883,0.009341554219502482,False
positive regulation of phosphatidylinositol 3-kinase signaling,7.161636828644501,0.009994013937998768,False
negative regulation of type I interferon production,13.421505376344086,0.011301261269745344,False
