,OR,p,FDR
positive regulation of transcription by RNA polymerase II,34.1988416988417,4.565518646480631e-14,True
negative regulation of transcription by RNA polymerase II,20.247178329571106,1.1635305790941658e-09,True
regulation of transcription by RNA polymerase II,16.244015444015442,3.9656026190182244e-09,True
skeletal muscle cell differentiation,70.61278195488721,1.897581271662439e-05,True
"positive regulation of transcription, DNA-templated",12.413722826086957,3.263975487326444e-05,True
monocyte differentiation,125.4,0.00017502911232577603,False
positive regulation of pri-miRNA transcription by RNA polymerase II,49.439473684210526,0.0009876548155425663,False
transcription by RNA polymerase II,15.908961593172119,0.0013081137259686156,False
hormone-mediated signaling pathway,41.733333333333334,0.0013620371009267853,False
response to estrogen,31.80677966101695,0.0022830841113479937,False
rhythmic process,29.3140625,0.0026666489277589337,False
epithelial cell differentiation,28.422727272727272,0.0028280003882993725,False
"negative regulation of transcription, DNA-templated",7.715791693021295,0.0030434985698883617,False
circadian rhythm,26.045833333333334,0.0033389683034399723,False
cell differentiation,6.9165718619643535,0.004438128178199298,False
glucose homeostasis,16.41315789473684,0.008005032306118128,False
"regulation of transcription, DNA-templated",5.260521333915829,0.011088278874524229,False
negative regulation of cholesterol storage,99.55555555555556,0.011614578695443495,False
positive regulation of vascular associated smooth muscle cell apoptotic process,99.55555555555556,0.011614578695443495,False
positive regulation of isotype switching to IgG isotypes,99.55555555555556,0.011614578695443495,False
regulation of chondrocyte differentiation,99.55555555555556,0.011614578695443495,False
retinal cone cell development,89.5952380952381,0.012768928075583462,False
positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress,89.5952380952381,0.012768928075583462,False
positive regulation of monocyte differentiation,89.5952380952381,0.012768928075583462,False
negative regulation of telomerase activity,89.5952380952381,0.012768928075583462,False
"positive regulation of phagocytosis, engulfment",81.44588744588745,0.013921990486909801,False
PERK-mediated unfolded protein response,81.44588744588745,0.013921990486909801,False
negative regulation of protein autophosphorylation,81.44588744588745,0.013921990486909801,False
negative regulation by host of viral transcription,81.44588744588745,0.013921990486909801,False
positive regulation of extrinsic apoptotic signaling pathway via death domain receptors,81.44588744588745,0.013921990486909801,False
transcription initiation from RNA polymerase II promoter,11.814556962025316,0.01480103404930201,False
eyelid development in camera-type eye,74.6547619047619,0.015073767296845642,False
negative regulation of macrophage derived foam cell differentiation,74.6547619047619,0.015073767296845642,False
negative regulation of intracellular estrogen receptor signaling pathway,74.6547619047619,0.015073767296845642,False
regulation of T cell differentiation,74.6547619047619,0.015073767296845642,False
epithelial cell proliferation,74.6547619047619,0.015073767296845642,False
lipoprotein transport,68.9084249084249,0.016224259868922338,False
response to lipid,68.9084249084249,0.016224259868922338,False
cellular response to organic substance,68.9084249084249,0.016224259868922338,False
negative regulation of collagen biosynthetic process,68.9084249084249,0.016224259868922338,False
white fat cell differentiation,68.9084249084249,0.016224259868922338,False
regulation of cell proliferation,11.105357142857143,0.016598243870830014,False
multicellular organism development,6.206919869266313,0.01668498599121001,False
response to muscle stretch,63.98299319727891,0.017373469568793647,False
fatty acid oxidation,63.98299319727891,0.017373469568793647,False
negative regulation of innate immune response,63.98299319727891,0.017373469568793647,False
cellular response to thyroid hormone stimulus,63.98299319727891,0.017373469568793647,False
long-chain fatty acid transport,59.714285714285715,0.01852139775812201,False
cellular response to prostaglandin E stimulus,59.714285714285715,0.01852139775812201,False
retinoic acid receptor signaling pathway,55.979166666666664,0.019668045799185765,False
positive regulation by host of viral transcription,55.979166666666664,0.019668045799185765,False
axon regeneration,55.979166666666664,0.019668045799185765,False
histone methylation,52.68347338935574,0.020813415049609877,False
response to vitamin A,49.75396825396825,0.02195750686892256,False
cellular response to low-density lipoprotein particle stimulus,47.1328320802005,0.023100322614938773,False
membrane depolarization,42.63945578231292,0.02538213130195376,False
regulation of DNA replication,42.63945578231292,0.02538213130195376,False
release of cytochrome c from mitochondria,42.63945578231292,0.02538213130195376,False
response to immobilization stress,42.63945578231292,0.02538213130195376,False
positive regulation of oligodendrocyte differentiation,40.6991341991342,0.026521126953129817,False
negative regulation of interleukin-2 production,40.6991341991342,0.026521126953129817,False
negative regulation of vascular endothelial cell proliferation,37.30357142857143,0.028795307622352356,False
regulation of DNA-binding transcription factor activity,33.15343915343915,0.03219707228072741,False
microglial cell activation,31.967687074829932,0.0333284641933973,False
positive regulation of DNA replication,31.967687074829932,0.0333284641933973,False
negative regulation of DNA binding,30.863711001642034,0.03445859352684432,False
positive regulation of DNA binding,30.863711001642034,0.03445859352684432,False
JAK-STAT cascade,29.833333333333332,0.035587461622306714,False
negative regulation of smooth muscle cell proliferation,28.86943164362519,0.03671506981850445,False
cellular response to virus,27.96577380952381,0.03784141945905965,False
dendrite morphogenesis,27.116883116883116,0.03896651187679679,False
cell fate specification,27.116883116883116,0.03896651187679679,False
regulation of heart contraction,27.116883116883116,0.03896651187679679,False
cellular response to reactive oxygen species,25.564625850340136,0.041212930400516434,False
T cell differentiation,25.564625850340136,0.041212930400516434,False
response to cold,25.564625850340136,0.041212930400516434,False
placenta development,24.853174603174605,0.042334259172715605,False
cell maturation,24.853174603174605,0.042334259172715605,False
positive regulation of epithelial cell migration,24.853174603174605,0.042334259172715605,False
negative regulation of vascular smooth muscle cell proliferation,24.853174603174605,0.042334259172715605,False
cellular response to cadmium ion,24.18018018018018,0.043454336062054746,False
negative regulation of blood vessel endothelial cell migration,22.937728937728938,0.04569073951925893,False
response to starvation,22.363095238095237,0.04680706874333203,False
animal organ regeneration,21.29591836734694,0.04903598881937062,False
cellular response to amino acid starvation,20.79955703211517,0.050148582324904205,False
regulation of protein phosphorylation,20.79955703211517,0.050148582324904205,False
lipid homeostasis,20.325757575757574,0.051259933236950064,False
gluconeogenesis,20.325757575757574,0.051259933236950064,False
response to peptide hormone,19.025329280648428,0.05458654362745325,False
positive regulation of vascular smooth muscle cell proliferation,18.62797619047619,0.05569293737493306,False
outflow tract morphogenesis,18.62797619047619,0.05569293737493306,False
positive regulation of fibroblast proliferation,18.62797619047619,0.05569293737493306,False
response to hydrogen peroxide,17.88095238095238,0.0579020181923427,False
response to mechanical stimulus,16.866127583108714,0.061206392435943585,False
positive regulation of fat cell differentiation,16.866127583108714,0.061206392435943585,False
cell fate commitment,16.552910052910054,0.06230538990259054,False
cellular response to heat,16.552910052910054,0.06230538990259054,False
positive regulation of neuron apoptotic process,16.552910052910054,0.06230538990259054,False
humoral immune response,15.408045977011493,0.06668911156588889,False
SMAD protein signal transduction,14.892857142857142,0.06887362974693569,False
learning,14.892857142857142,0.06887362974693569,False
heart looping,14.410906298003072,0.07105326671625026,False
fatty acid metabolic process,13.959077380952381,0.07322803285995376,False
regulation of circadian rhythm,13.959077380952381,0.07322803285995376,False
regulation of blood pressure,13.743589743589743,0.07431359261589658,False
cellular response to retinoic acid,13.534632034632034,0.07539793854289939,False
type I interferon signaling pathway,13.534632034632034,0.07539793854289939,False
response to nutrient,13.331911869225301,0.07648107194875928,False
positive regulation of endothelial cell proliferation,12.402777777777779,0.08187859622135003,False
Ras protein signal transduction,12.402777777777779,0.08187859622135003,False
defense response,12.232224396607958,0.08295448153117371,False
liver development,11.904761904761905,0.08510264289394001,False
negative regulation of ERK1 and ERK2 cascade,11.594310451453309,0.08724600045239597,False
axonogenesis,11.594310451453309,0.08724600045239597,False
epidermis development,11.29957805907173,0.08938456442811193,False
cellular response to calcium ion,11.019400352733687,0.09151834503886691,False
positive regulation of neuron differentiation,10.624149659863946,0.09471006943268694,False
positive regulation of interleukin-6 production,10.375968992248062,0.09683193616598039,False
activation of cysteine-type endopeptidase activity involved in apoptotic process,10.25615763546798,0.09789108848055092,False
"transcription, DNA-templated",10.25615763546798,0.09789108848055092,False
