,OR,p,FDR
positive regulation of transcription by RNA polymerase II,6.778820001394798,1.7633632272938397e-10,True
negative regulation of transcription by RNA polymerase II,5.603350424674155,3.032632335849883e-07,True
response to cytokine,34.81419546636938,7.83490187398159e-07,True
negative regulation of smooth muscle cell proliferation,38.26122448979592,7.239525889618668e-06,True
apoptotic process,5.918982710804272,9.188442055059283e-06,True
cellular response to lipopolysaccharide,10.201863354037267,4.975635940028406e-05,True
response to light stimulus,41.71312083024463,8.476702591930193e-05,True
transcription by RNA polymerase II,9.014544279250162,9.589652576039002e-05,True
cellular response to hydrogen peroxide,16.44923076923077,0.000155961923225881,False
positive regulation of p38MAPK cascade,30.471289274106176,0.00019719747200725284,False
"negative regulation of transcription, DNA-templated",4.841909814323607,0.0002266276180242899,False
negative regulation of protein kinase activity,14.844444444444445,0.00022671271624200611,False
"positive regulation of transcription, DNA-templated",4.596973518284994,0.00032653426602244546,False
cellular response to DNA damage stimulus,6.991704374057315,0.0003598712861021412,False
positive regulation of pri-miRNA transcription by RNA polymerase II,21.399695470118004,0.0005169345553249496,False
positive regulation of nitric oxide biosynthetic process,19.791549295774647,0.0006402706137377177,False
negative regulation of erythrocyte differentiation,65.16666666666667,0.0006703733211418038,False
negative regulation of production of miRNAs involved in gene silencing by miRNA,65.16666666666667,0.0006703733211418038,False
skeletal muscle cell differentiation,18.84708249496982,0.0007320705724929602,False
inflammatory response,5.085129906025428,0.0007798577050202091,False
negative regulation of heterotypic cell-cell adhesion,57.92283950617284,0.0008172632296767497,False
mRNA transcription by RNA polymerase II,57.92283950617284,0.0008172632296767497,False
macrophage activation involved in immune response,57.92283950617284,0.0008172632296767497,False
response to peptide hormone,17.587793427230046,0.000884817385689196,False
positive regulation of vascular smooth muscle cell proliferation,17.20453153704838,0.000939877843742987,False
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,52.12777777777778,0.0009782245972576942,False
negative regulation of I-kappaB kinase/NF-kappaB signaling,16.837578663470183,0.0009970645218756967,False
eyelid development in camera-type eye,47.38636363636363,0.0011531476845278608,False
trophectodermal cell differentiation,47.38636363636363,0.0011531476845278608,False
positive regulation of fat cell differentiation,15.513670256835129,0.0012476984262049355,False
regulation of cell cycle,9.113064713064713,0.0013144651897415045,False
negative regulation of JAK-STAT cascade,43.43518518518518,0.001341923376518902,False
negative regulation of cell proliferation,4.588516746411483,0.0013830949668943542,False
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",14.926654265213925,0.0013865726368006066,False
regulation of transcription by RNA polymerase II,2.8791902095421493,0.0015910235979816247,False
learning,13.636231180184556,0.0017751633225966247,False
protein phosphorylation,4.3037732684890155,0.0019634722188051606,False
3'-UTR-mediated mRNA destabilization,34.742592592592594,0.001990284234883966,False
hippocampus development,12.963518817824983,0.002037811305582766,False
