,OR,p,FDR
viral process,3.799438687392055,2.9085310683887052e-18,True
neutrophil degranulation,3.3588956365272153,2.927500150394873e-15,True
"mRNA splicing, via spliceosome",3.890557552480838,2.1082762138091623e-11,True
DNA replication,4.695707442114553,4.028750629183888e-09,True
cellular response to interleukin-7,27.480349344978166,4.123179641083786e-07,True
DNA repair,3.0808349014673118,5.208528511967899e-07,True
protein autophosphorylation,3.4015849528632884,8.938728371886052e-07,True
regulation of small GTPase mediated signal transduction,3.6658801145319395,1.3171977424292356e-06,True
positive regulation of transcription by RNA polymerase II,1.7694034135393288,2.2819525517787874e-06,True
"retrograde vesicle-mediated transport, Golgi to ER",4.580413211255453,3.0174823578360365e-06,True
regulation of defense response to virus by virus,9.828774617067834,3.1998817671482935e-06,True
tRNA export from nucleus,8.196878422782037,3.2874086209885764e-06,True
protein stabilization,3.0820733444922466,4.25753704521497e-06,True
mitotic sister chromatid segregation,7.868565169769989,4.402007851701382e-06,True
positive regulation of protein localization to Cajal body,23.528898582333696,4.9795152921935186e-06,True
protein import into nucleus,4.6258087830396475,5.468595436014586e-06,True
mRNA export from nucleus,3.9986991485335857,7.3213998578848366e-06,True
protein folding,3.1225038051750382,8.269203756545834e-06,True
protein phosphorylation,2.156494679783176,1.079934388687415e-05,True
regulation of cell shape,3.197637728125533,1.443717040707742e-05,True
actin filament organization,3.5218204693397515,1.836963408498115e-05,True
platelet formation,11.445687772925764,1.940152522836124e-05,True
viral transcription,3.6493545445820135,2.0714927498183317e-05,True
regulation of release of sequestered calcium ion into cytosol,14.703107960741548,2.8514222737198604e-05,True
mitotic cell cycle,3.237631599023497,3.0776200285430905e-05,True
mitotic cytokinesis,5.27877620881472,3.386662113267727e-05,True
cell division,2.239904695692477,3.84923745357594e-05,True
positive regulation of establishment of protein localization to telomere,19.586056644880173,5.626075587934699e-05,True
regulation of mast cell degranulation,19.586056644880173,5.626075587934699e-05,True
cell proliferation,3.052180012950572,6.245403169815455e-05,True
integrin-mediated signaling pathway,3.606761040077361,6.919334173963002e-05,True
mitotic chromosome condensation,11.761177753544166,6.98913207186873e-05,True
regulation of transcription involved in G1/S transition of mitotic cell cycle,7.13879781420765,7.005412759032928e-05,True
regulation of mitotic nuclear division,8.582355349344978,7.950573296275769e-05,True
regulation of cellular response to heat,4.000223214285715,8.275905088204953e-05,True
neural tube closure,3.9384615384615387,9.493795695946464e-05,True
interleukin-2-mediated signaling pathway,16.320806100217865,9.899512303735238e-05,True
"positive regulation of transcription, DNA-templated",1.8796638655462186,0.00010385166907215413,True
mitotic metaphase plate congression,5.702901108209218,0.00010535425182372793,True
negative regulation of translation,3.8204690831556505,0.0001240060343264573,True
intracellular transport of virus,4.913745892661555,0.00012662621497480845,True
mitotic spindle organization,4.913745892661555,0.00012662621497480845,True
regulation of apoptotic process,2.5565605493133585,0.00013179178818478182,True
double-strand break repair via break-induced replication,13.988484282601929,0.00016288684476177832,True
immunological synapse formation,13.988484282601929,0.00016288684476177832,True
ATP-dependent chromatin remodeling,6.039176124422026,0.0001826872481557285,True
positive regulation of telomere maintenance via telomerase,6.039176124422026,0.0001826872481557285,True
actin cytoskeleton organization,2.6693304600281342,0.00020803241726931183,True
response to gamma radiation,6.864355895196507,0.00024269213888087555,True
protein sumoylation,4.080850711684873,0.00024428600115029527,True
G2/M transition of mitotic cell cycle,2.8904335084113573,0.0002614657396184819,True
positive regulation of peptidyl-tyrosine phosphorylation,3.505283757338552,0.0002615232254762782,True
mRNA processing,2.659856900771983,0.00030642252069444024,True
RNA metabolic process,4.776509551126619,0.0003264081086203345,True
SRP-dependent cotranslational protein targeting to membrane,3.3663533834586468,0.0003692443481472337,True
positive regulation of substrate adhesion-dependent cell spreading,5.232786885245901,0.00041384890033268544,True
platelet activation,3.1322882288228824,0.00042925355817325294,True
erythrocyte differentiation,4.531055377882511,0.00045530602387407404,True
aging,2.550433447715369,0.0004887940200822165,True
DNA replication initiation,5.968008353901652,0.000489523084017659,True
positive regulation of telomerase RNA localization to Cajal body,9.790305010893245,0.0005462838306306615,True
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",2.89631381186836,0.0005707321966812466,True
positive regulation of protein import into nucleus,4.9051912568306015,0.0005969524100961415,True
phagocytosis,3.9288061336254105,0.0005979326339591777,True
embryonic organ development,5.719022925764192,0.0006059317558861487,True
regulation of signal transduction by p53 class mediator,2.7411916974258186,0.0006533244287727439,True
double-strand break repair,3.8515559564461053,0.0006843994135935227,True
positive regulation of T cell proliferation,3.8515559564461053,0.0006843994135935227,True
cellular response to DNA damage stimulus,2.196143863552095,0.0007139096380284442,True
cellular response to UV,4.2067052203813695,0.0007246127056649775,True
regulation of protein catabolic process,8.899782135076252,0.0007628258805742079,True
telomere maintenance via semi-conservative replication,6.531079607415485,0.0008398728965412792,True
regulation of glycolytic process,4.616136290581807,0.0008404588500544114,True
mRNA transport,4.616136290581807,0.0008404588500544114,True
RNA splicing,2.4815979600509985,0.0008971900108986011,True
activation of GTPase activity,2.8699807480748074,0.000925469257794126,True
regulation of phagocytosis,13.042437431991296,0.0009350355878039678,True
negative regulation of neuron death,4.0150437636761485,0.0009674444131104655,True
regulation of actin cytoskeleton organization,3.377381441885965,0.0009881477150117447,True
positive regulation of interleukin-6 production,3.145554335894621,0.0010338777495209502,True
regulation of ARF protein signal transduction,8.157679738562091,0.0010375189997858486,True
antigen processing and presentation of exogenous peptide antigen via MHC class II,2.9732558139534886,0.0010381121147682386,True
peptidyl-tyrosine phosphorylation,2.709251101321586,0.0010513430120178346,True
cell migration,2.163095238095238,0.001087523743229337,True
lipopolysaccharide-mediated signaling pathway,5.082726831635129,0.0010911430300404124,True
translesion synthesis,4.9009279475982535,0.0013072345968502229,True
positive regulation of protein dephosphorylation,5.8773173391494,0.001321592518176967,True
ubiquitin-dependent protein catabolic process,1.992100046641791,0.0013252649763071003,True
cellular response to organic cyclic compound,4.241146064096884,0.0013489033455170816,True
positive thymic T cell selection,11.178610290688637,0.001412772996227329,True
anoikis,11.178610290688637,0.001412772996227329,True
cellular response to angiotensin,11.178610290688637,0.001412772996227329,True
positive regulation of double-strand break repair via homologous recombination,11.178610290688637,0.001412772996227329,True
IRE1-mediated unfolded protein response,3.7581358536244704,0.001451545264910451,True
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",3.7581358536244704,0.001451545264910451,True
intracellular signal transduction,1.8582962238876217,0.0014703525874874108,True
focal adhesion assembly,5.597133509892506,0.0016298497693854614,True
regulation of cell proliferation,2.3334835708054666,0.0016747049033278738,True
translational initiation,2.5670369660984487,0.001700628051581435,True
positive regulation of superoxide anion generation,6.991518829754124,0.001797326907686274,False
regulation of nucleic acid-templated transcription,9.780739934711644,0.002037716071937876,False
actin filament network formation,9.780739934711644,0.002037716071937876,False
transcription initiation from RNA polymerase II promoter,2.341144506707421,0.0021418239933483642,False
transcription by RNA polymerase II,2.215688328009635,0.0021718195965043452,False
establishment or maintenance of cell polarity,3.826522724243636,0.0023766964828178475,False
chaperone-mediated protein folding,5.109857285097909,0.0024066990115764854,False
DNA biosynthetic process,5.109857285097909,0.0024066990115764854,False
positive regulation of tumor necrosis factor production,3.735206869633099,0.002710670276906471,False
epidermal growth factor receptor signaling pathway,3.735206869633099,0.002710670276906471,False
DNA duplex unwinding,3.1158399833098627,0.002786656834371867,False
transcription-coupled nucleotide-excision repair,3.1158399833098627,0.002786656834371867,False
DNA strand elongation involved in DNA replication,8.693507435618425,0.0028304483378965837,False
metaphase plate congression,8.693507435618425,0.0028304483378965837,False
respiratory burst,8.693507435618425,0.0028304483378965837,False
purine ribonucleoside monophosphate biosynthetic process,8.693507435618425,0.0028304483378965837,False
interleukin-15-mediated signaling pathway,8.693507435618425,0.0028304483378965837,False
positive regulation of chromatin binding,8.693507435618425,0.0028304483378965837,False
histone phosphorylation,8.693507435618425,0.0028304483378965837,False
positive regulation of peptidyl-threonine phosphorylation,4.896673936750273,0.0028859929934530637,False
regulation of ERK1 and ERK2 cascade,4.896673936750273,0.0028859929934530637,False
negative regulation of release of cytochrome c from mitochondria,6.116898148148148,0.0029002578183978714,False
regulation of synapse organization,6.116898148148148,0.0029002578183978714,False
positive regulation of mitotic cell cycle,4.7005452562704475,0.003433207690648056,False
G1/S transition of mitotic cell cycle,2.6789242590559823,0.003439691718444728,False
chromatin remodeling,2.6789242590559823,0.003439691718444728,False
error-free translesion synthesis,5.75676022042804,0.00360439444436997,False
mitotic spindle assembly checkpoint,5.75676022042804,0.00360439444436997,False
B cell homeostasis,5.75676022042804,0.00360439444436997,False
"negative regulation of mRNA splicing, via spliceosome",5.75676022042804,0.00360439444436997,False
regulation of cell size,5.75676022042804,0.00360439444436997,False
"transcription, DNA-templated",2.805137844611529,0.0036400410151438186,False
apoptotic signaling pathway,3.210065645514223,0.0037304258948664443,False
vascular endothelial growth factor receptor signaling pathway,3.210065645514223,0.0037304258948664443,False
response to endoplasmic reticulum stress,2.973713033953998,0.003755559280383113,False
positive regulation of ubiquitin protein ligase activity,7.823721436343852,0.00381087711672478,False
positive regulation of protein kinase activity,3.485610200364299,0.003935711011158358,False
translation,2.1350063236370898,0.003970191236839355,False
viral entry into host cell,2.7690199055330633,0.003974847883269156,False
mismatch repair,4.519503397365993,0.004053961588785819,False
negative regulation of protein binding,2.9291657811708163,0.00413192834029512,False
peptidyl-threonine phosphorylation,3.1525672085026573,0.00414679351304656,False
positive regulation of I-kappaB kinase/NF-kappaB signaling,2.122102755814338,0.004203555481556053,False
positive regulation of oligodendrocyte differentiation,5.436637618010167,0.004423173762474901,False
cell projection assembly,5.436637618010167,0.004423173762474901,False
cellular response to epidermal growth factor stimulus,3.8101346433770016,0.004466280799680138,False
regulation of RNA splicing,3.8101346433770016,0.004466280799680138,False
intrinsic apoptotic signaling pathway in response to DNA damage,3.8101346433770016,0.004466280799680138,False
positive regulation of cell adhesion mediated by integrin,7.112078346028292,0.0049980019480639175,False
negative regulation of reactive oxygen species biosynthetic process,7.112078346028292,0.0049980019480639175,False
"retrograde protein transport, ER to cytosol",7.112078346028292,0.0049980019480639175,False
positive regulation of membrane protein ectodomain proteolysis,7.112078346028292,0.0049980019480639175,False
activation of protein kinase activity,3.0435184486531353,0.0050877179742479135,False
response to cytokine,3.706951492977694,0.005092198377582036,False
telomere maintenance,3.706951492977694,0.005092198377582036,False
Fc-gamma receptor signaling pathway involved in phagocytosis,2.332028118066044,0.005153349545283614,False
positive regulation of NF-kappaB transcription factor activity,2.185593531789783,0.00517904042991158,False
clathrin-dependent endocytosis,5.15021213163628,0.005366147674714161,False
"nucleotide-excision repair, DNA gap filling",5.15021213163628,0.005366147674714161,False
T cell receptor signaling pathway,2.117102579148853,0.005396958046423465,False
regulation of mitotic cell cycle phase transition,2.8031606947269596,0.005442032799204959,False
mitochondrion organization,2.633357402652974,0.0055671438934334645,False
response to ionizing radiation,3.6091990347046656,0.00578175272573085,False
osteoblast differentiation,2.480559246634699,0.0059584924951802095,False
RNA export from nucleus,3.200356864057098,0.006185726136599631,False
actin cytoskeleton reorganization,3.200356864057098,0.006185726136599631,False
regulation of DNA methylation,6.519042437431991,0.006409727303657762,False
"wound healing, spreading of cells",6.519042437431991,0.006409727303657762,False
spindle organization,6.519042437431991,0.006409727303657762,False
DNA unwinding involved in DNA replication,6.519042437431991,0.006409727303657762,False
ubiquitin-dependent ERAD pathway,2.8933529432865805,0.006799594496198144,False
anaphase-promoting complex-dependent catabolic process,2.6875121907305437,0.007056314399508556,False
interleukin-12-mediated signaling pathway,3.4283569868995634,0.007367031926907771,False
peptidyl-tyrosine autophosphorylation,3.9160305343511452,0.007386097222933935,False
apoptotic process,1.5553335543456737,0.0076880631937298015,False
apoptotic mitochondrial changes,6.017242822465891,0.008062714474354327,False
axon regeneration,6.017242822465891,0.008062714474354327,False
negative regulation of protein phosphorylation,2.801187871209753,0.00816514825055975,False
