,OR,p,FDR
positive regulation of transcription by RNA polymerase II,21.764754098360655,2.0316372989130974e-21,True
regulation of transcription by RNA polymerase II,20.187975803464877,5.184629717731242e-21,True
negative regulation of transcription by RNA polymerase II,19.655701754385966,1.5819403141509255e-18,True
cell differentiation,9.615764728459029,1.6130676322647643e-07,True
trophoblast giant cell differentiation,116.4607438016529,5.189694886577975e-06,True
"negative regulation of transcription, DNA-templated",8.293103448275861,5.48572439845491e-06,True
positive regulation of glial cell proliferation,98.53321678321679,7.95623049942492e-06,True
steroid hormone mediated signaling pathway,64.02272727272727,2.485511679018731e-05,True
"positive regulation of transcription, DNA-templated",6.806526806526806,6.378474301112329e-05,True
chondrocyte differentiation,35.53787878787879,0.00012472164124278421,True
regulation of cell cycle,14.854303319419598,0.00023292039229077795,False
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",24.117066895368783,0.0003672307663366817,False
hepatocyte differentiation,75.91515151515152,0.00046653459333587273,False
"regulation of transcription, DNA-templated",4.87578122360731,0.0005577698370043013,False
positive regulation of gene expression,6.451307246885419,0.0006080368180878165,False
transcription initiation from RNA polymerase II promoter,11.11747167561121,0.0006715582770895276,False
fat cell differentiation,19.063432835820894,0.0007076886029124582,False
positive regulation of interferon-alpha production,46.37530864197531,0.0011238550135189678,False
DNA methylation,39.74391534391535,0.0014893877661636369,False
cellular response to fatty acid,36.28405797101449,0.00176047336148111,False
intracellular receptor signaling pathway,34.77037037037037,0.001904154586795878,False
negative regulation of DNA binding,29.796825396825398,0.002532513541719526,False
positive regulation of interferon-beta production,29.796825396825398,0.002532513541719526,False
stem cell differentiation,28.767816091954025,0.0027028794234476494,False
sprouting angiogenesis,27.807407407407407,0.002878503142476318,False
negative regulation of cardiac muscle cell apoptotic process,27.807407407407407,0.002878503142476318,False
positive regulation of cardiac muscle cell proliferation,26.9089605734767,0.003059358552441018,False
regulation of cell differentiation,26.066666666666666,0.003245419599359441,False
negative regulation of gene expression,6.9304193518259085,0.0035965626811693785,False
immune system process,24.530718954248368,0.003633054852445996,False
ventricular septum morphogenesis,24.530718954248368,0.003633054852445996,False
placenta development,23.82857142857143,0.0038345774133288187,False
response to retinoic acid,19.84973544973545,0.005386674144689954,False
positive regulation of angiogenesis,8.651669758812616,0.006202065599263694,False
chromatin organization,8.477272727272727,0.006550166406119903,False
negative regulation of fat cell differentiation,17.362962962962964,0.00690945883406505,False
positive regulation of type I interferon production,16.666666666666668,0.007455529675158734,False
hemopoiesis,16.023931623931624,0.00802051217066459,False
cell fate commitment,15.720754716981132,0.008310034706175714,False
vasculogenesis,13.881481481481481,0.010465705671999267,False
positive regulation of osteoblast differentiation,13.432258064516128,0.011122368736533097,False
type I interferon signaling pathway,12.810256410256411,0.01214062439775278,False
cellular response to hydrogen peroxide,12.42653399668325,0.012841365539455654,False
interferon-gamma-mediated signaling pathway,11.892063492063492,0.013924874600130656,False
defense response to virus,6.340909090909091,0.014101262489892144,False
circadian rhythm,11.560493827160494,0.014668547046517226,False
ossification,11.096296296296297,0.015815604868819062,False
lung development,10.271056241426612,0.018221095905549038,False
BMP signaling pathway,10.145257452574526,0.018636192005202147,False
cellular response to oxidative stress,8.940023894862605,0.023461115505791486,False
anterior/posterior pattern specification,8.750877192982456,0.024388077772168025,False
regulation of myeloid cell differentiation,45.388888888888886,0.024665483631103387,False
peripheral nervous system neuron development,45.388888888888886,0.024665483631103387,False
intestinal epithelial cell development,45.388888888888886,0.024665483631103387,False
chondrocyte proliferation,45.388888888888886,0.024665483631103387,False
response to glucagon,45.388888888888886,0.024665483631103387,False
ventricular cardiac muscle cell development,45.388888888888886,0.024665483631103387,False
cardiac left ventricle morphogenesis,45.388888888888886,0.024665483631103387,False
"DNA-templated transcription, termination",45.388888888888886,0.024665483631103387,False
mRNA transcription by RNA polymerase II,40.84782608695652,0.027099030495666924,False
regulation of B cell differentiation,40.84782608695652,0.027099030495666924,False
positive regulation of histone deacetylation,40.84782608695652,0.027099030495666924,False
positive regulation of methylation-dependent chromatin silencing,40.84782608695652,0.027099030495666924,False
maternal placenta development,40.84782608695652,0.027099030495666924,False
cellular response to angiotensin,40.84782608695652,0.027099030495666924,False
regulation of cell cycle process,40.84782608695652,0.027099030495666924,False
intracellular steroid hormone receptor signaling pathway,40.84782608695652,0.027099030495666924,False
anoikis,40.84782608695652,0.027099030495666924,False
Notch signaling involved in heart development,40.84782608695652,0.027099030495666924,False
positive regulation of organ growth,40.84782608695652,0.027099030495666924,False
regulation of B cell receptor signaling pathway,40.84782608695652,0.027099030495666924,False
osteoblast differentiation,7.913227513227513,0.029242755421680658,False
multicellular organism development,3.6598462920451142,0.029299993067245674,False
negative regulation of toll-like receptor 4 signaling pathway,37.13241106719368,0.029526634316224935,False
mesodermal cell differentiation,37.13241106719368,0.029526634316224935,False
oocyte development,37.13241106719368,0.029526634316224935,False
negative regulation by host of viral transcription,37.13241106719368,0.029526634316224935,False
positive regulation of stem cell proliferation,37.13241106719368,0.029526634316224935,False
circulatory system development,37.13241106719368,0.029526634316224935,False
negative regulation of hydrogen peroxide-induced cell death,37.13241106719368,0.029526634316224935,False
cellular response to fluid shear stress,37.13241106719368,0.029526634316224935,False
PERK-mediated unfolded protein response,37.13241106719368,0.029526634316224935,False
planar cell polarity pathway involved in neural tube closure,37.13241106719368,0.029526634316224935,False
response to muramyl dipeptide,37.13241106719368,0.029526634316224935,False
maternal behavior,37.13241106719368,0.029526634316224935,False
positive regulation of type I interferon-mediated signaling pathway,34.03623188405797,0.03194830929365182,False
atrial septum morphogenesis,34.03623188405797,0.03194830929365182,False
ectoderm development,34.03623188405797,0.03194830929365182,False
startle response,34.03623188405797,0.03194830929365182,False
smooth muscle cell differentiation,34.03623188405797,0.03194830929365182,False
regulation of type I interferon production,34.03623188405797,0.03194830929365182,False
positive regulation of response to DNA damage stimulus,34.03623188405797,0.03194830929365182,False
epithelial to mesenchymal transition involved in endocardial cushion formation,34.03623188405797,0.03194830929365182,False
cardiac septum morphogenesis,34.03623188405797,0.03194830929365182,False
cardiac epithelial to mesenchymal transition,34.03623188405797,0.03194830929365182,False
negative regulation of transcription regulatory region DNA binding,34.03623188405797,0.03194830929365182,False
negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,34.03623188405797,0.03194830929365182,False
eyelid development in camera-type eye,34.03623188405797,0.03194830929365182,False
JAK-STAT cascade involved in growth hormone signaling pathway,31.41638795986622,0.034364069591435197,False
regulation of stem cell population maintenance,31.41638795986622,0.034364069591435197,False
positive regulation of triglyceride biosynthetic process,31.41638795986622,0.034364069591435197,False
response to lipid,31.41638795986622,0.034364069591435197,False
lipid biosynthetic process,31.41638795986622,0.034364069591435197,False
positive regulation of blood coagulation,31.41638795986622,0.034364069591435197,False
cardiac muscle hypertrophy in response to stress,31.41638795986622,0.034364069591435197,False
cardiac right ventricle morphogenesis,31.41638795986622,0.034364069591435197,False
regulation of bicellular tight junction assembly,31.41638795986622,0.034364069591435197,False
establishment of planar polarity,31.41638795986622,0.034364069591435197,False
regulation of regulatory T cell differentiation,29.17080745341615,0.03677392934344671,False
pulmonary valve morphogenesis,29.17080745341615,0.03677392934344671,False
hematopoietic stem cell proliferation,29.17080745341615,0.03677392934344671,False
heart trabecula formation,29.17080745341615,0.03677392934344671,False
enteric nervous system development,29.17080745341615,0.03677392934344671,False
regulation of fat cell differentiation,29.17080745341615,0.03677392934344671,False
regulation of intracellular estrogen receptor signaling pathway,29.17080745341615,0.03677392934344671,False
ventricular trabecula myocardium morphogenesis,27.22463768115942,0.039177902651033616,False
negative regulation of single stranded viral RNA replication via double stranded DNA intermediate,27.22463768115942,0.039177902651033616,False
positive regulation of histone H3-K4 methylation,27.22463768115942,0.039177902651033616,False
anterior/posterior axis specification,27.22463768115942,0.039177902651033616,False
regulation of insulin secretion involved in cellular response to glucose stimulus,27.22463768115942,0.039177902651033616,False
"DNA damage response, signal transduction by p53 class mediator",25.52173913043478,0.04157600357934564,False
regulation of keratinocyte differentiation,25.52173913043478,0.04157600357934564,False
chondrocyte development,25.52173913043478,0.04157600357934564,False
cellular response to exogenous dsRNA,25.52173913043478,0.04157600357934564,False
retinoic acid receptor signaling pathway,25.52173913043478,0.04157600357934564,False
regulation of autophagy of mitochondrion,25.52173913043478,0.04157600357934564,False
embryo development,25.52173913043478,0.04157600357934564,False
regulation of G1/S transition of mitotic cell cycle,25.52173913043478,0.04157600357934564,False
cellular response to tumor necrosis factor,6.432730404823428,0.04229188658040996,False
negative regulation of DNA replication,24.01918158567775,0.04396824616024165,False
eye photoreceptor cell development,24.01918158567775,0.04396824616024165,False
embryonic digestive tract morphogenesis,24.01918158567775,0.04396824616024165,False
osteoblast development,22.683574879227052,0.046354644400308946,False
positive regulation of chondrocyte differentiation,22.683574879227052,0.046354644400308946,False
positive regulation of keratinocyte differentiation,22.683574879227052,0.046354644400308946,False
glycogen biosynthetic process,22.683574879227052,0.046354644400308946,False
regulation of embryonic development,22.683574879227052,0.046354644400308946,False
central nervous system development,6.054501216545012,0.04704600449325376,False
chromosome condensation,21.488558352402745,0.04873521226232097,False
