,OR,p,FDR
protein folding,5.863082706766917,3.521540359411427e-08,True
cellular response to interleukin-7,51.229916897506925,4.353971737565496e-08,True
"mRNA splicing, via spliceosome",4.375478927203065,4.018100421962157e-07,True
protein stabilization,4.915032679738562,7.625582662573679e-07,True
neutrophil degranulation,2.873173310909809,1.0004015034264204e-05,True
positive regulation of establishment of protein localization to telomere,33.96510560146924,2.6960084659414122e-05,True
protein autophosphorylation,4.263140956876207,3.1241711724893764e-05,True
interleukin-12-mediated signaling pathway,8.973611111111111,3.203093443404233e-05,True
positive regulation of protein localization to Cajal body,29.111373475009838,4.1716015917316495e-05,True
mitotic sister chromatid segregation,10.586111376444741,5.2387388562917944e-05,True
double-strand break repair via break-induced replication,25.47107438016529,6.161482667082862e-05,True
neural tube closure,5.867091126144051,0.00013600863247959885,True
positive regulation of telomerase RNA localization to Cajal body,18.521412471825695,0.00016222269202069705,True
protein export from nucleus,10.633057090239411,0.0002190828608489963,True
mRNA processing,3.8055387979790365,0.00030453270842271474,False
mitochondrion organization,4.827789611666393,0.0004591005357137125,False
positive regulation of telomere maintenance via telomerase,8.797389979043627,0.00047401783475226294,False
actin filament organization,4.202894870492636,0.0005339107045113517,False
viral process,2.3823686518639664,0.000673550311203863,False
regulation of cell shape,3.6472177523491665,0.0007593759730589357,False
mRNA export from nucleus,4.410578967861743,0.0007967039698970111,False
positive regulation of substrate adhesion-dependent cell spreading,7.729365477984262,0.0008023756003928165,False
protein import into nucleus,4.976697530864198,0.0008676818843732445,False
positive regulation of protein import into nucleus,7.28689818468824,0.0010189722164254556,False
DNA replication,3.7870226211191502,0.0010652603942192351,False
intracellular signal transduction,2.475505617977528,0.001081853562108919,False
mitotic spindle assembly,7.084100675260896,0.0011422265000804943,False
cell division,2.509885176551843,0.001294267818065951,False
commissural neuron axon guidance,16.933150183150182,0.0014094859198206969,False
regulation of telomere maintenance,16.933150183150182,0.0014094859198206969,False
protein phosphorylation,2.2780985373364127,0.001455752989435279,False
positive regulation of protein dephosphorylation,9.25519659403957,0.0015005460488037889,False
receptor clustering,9.25519659403957,0.0015005460488037889,False
positive regulation of neuron projection development,3.8669259473379936,0.0017456948249747891,False
viral entry into host cell,4.367411924119241,0.0017485937042753437,False
regulation of small GTPase mediated signal transduction,3.4982224479431183,0.0017804672954326063,False
histone phosphorylation,15.239010989010989,0.0018060409618489883,False
regulation of osteoblast differentiation,15.239010989010989,0.0018060409618489883,False
plasma membrane repair,15.239010989010989,0.0018060409618489883,False
cell proliferation,3.4717310034863695,0.001869177336985773,False
regulation of apoptotic process,2.9776759314015377,0.0019948380204146358,False
regulation of release of sequestered calcium ion into cytosol,13.852897102897103,0.0022656489323308704,False
cortical actin cytoskeleton organization,8.143250688705233,0.0022770501391473214,False
erythrocyte differentiation,5.928626493639984,0.002336014314126083,False
positive regulation of neuron migration,12.697802197802197,0.0027915054923834635,False
regulation of cellular protein localization,12.697802197802197,0.0027915054923834635,False
negative regulation of androgen receptor signaling pathway,12.697802197802197,0.0027915054923834635,False
G protein-coupled acetylcholine receptor signaling pathway,12.697802197802197,0.0027915054923834635,False
positive regulation of transcription regulatory region DNA binding,12.697802197802197,0.0027915054923834635,False
intracellular transport of virus,5.6645181092694905,0.002800603542158239,False
integrin-mediated signaling pathway,3.977469135802469,0.002857794151886525,False
positive regulation of cellular protein metabolic process,11.720414201183432,0.003386547606728782,False
negative regulation of phagocytosis,11.720414201183432,0.003386547606728782,False
regulation of cell migration,3.8485364396654718,0.0033897547343632907,False
transcription by RNA polymerase II,2.8832656658168885,0.003852724095140566,False
regulation of cellular response to heat,4.314072802465764,0.0038642455796139164,False
"negative regulation of transcription, DNA-templated",2.029021470022615,0.003917700003059197,False
N-glycan processing,10.88265306122449,0.004053464470335077,False
negative regulation of ERK1 and ERK2 cascade,4.2539242843951985,0.004119267367749134,False
tRNA export from nucleus,6.784205693296602,0.004119824167544824,False
protein localization to nucleus,6.784205693296602,0.004119824167544824,False
termination of RNA polymerase II transcription,6.784205693296602,0.004119824167544824,False
cellular response to cytokine stimulus,5.096685082872928,0.004249558649198269,False
RNA splicing,3.0346221699500147,0.004337227655192462,False
cellular response to nerve growth factor stimulus,6.565004887585533,0.004581183469569524,False
actin filament-based movement,10.156593406593407,0.004794708068317448,False
cell junction assembly,10.156593406593407,0.004794708068317448,False
vesicle transport along actin filament,9.521291208791208,0.0056125033838278484,False
regulation of protein complex assembly,9.521291208791208,0.0056125033838278484,False
platelet formation,9.521291208791208,0.0056125033838278484,False
cytoskeleton-dependent intracellular transport,9.521291208791208,0.0056125033838278484,False
actin cytoskeleton organization,2.8999156740803205,0.005711835607977957,False
activation of GTPase activity,3.4730043149946064,0.005719347018552379,False
cell migration,2.5440074906367043,0.006104270323998252,False
negative regulation of interleukin-6 production,4.632094424912104,0.006166948191303667,False
double-strand break repair,4.5491318074191005,0.0066128784711730094,False
positive regulation of peptidyl-tyrosine phosphorylation,3.826869806094183,0.006628682646175183,False
histone deacetylation,5.813459268004722,0.006772298824737815,False
neuron projection morphogenesis,4.469080158960939,0.0070809159422596645,False
establishment of protein localization,5.651668197122743,0.007411557336895468,False
mitotic metaphase plate congression,5.651668197122743,0.007411557336895468,False
negative regulation of release of cytochrome c from mitochondria,8.462454212454212,0.007485572922857594,False
regulation of synapse organization,8.462454212454212,0.007485572922857594,False
regulation of translation,4.391788912173747,0.007571600679004793,False
neuron projection development,3.2807594291539246,0.0075970580101656915,False
protein sumoylation,4.317117707650529,0.008085465470003335,False
actin polymerization or depolymerization,8.016628108733372,0.00854424919931636,False
"negative regulation of mRNA splicing, via spliceosome",8.016628108733372,0.00854424919931636,False
positive regulation of GTPase activity,2.2278719397363465,0.008604678241172429,False
peptidyl-threonine phosphorylation,4.244935543278085,0.008623035325552184,False
extracellular matrix disassembly,4.17512000724572,0.00918482699764576,False
cellular response to epidermal growth factor stimulus,5.216076852440489,0.009563943053686035,False
animal organ regeneration,5.216076852440489,0.009563943053686035,False
regulation of RNA splicing,5.216076852440489,0.009563943053686035,False
negative regulation of protein serine/threonine kinase activity,7.615384615384615,0.009686299392165601,False
membrane protein ectodomain proteolysis,7.615384615384615,0.009686299392165601,False
bone resorption,7.615384615384615,0.009686299392165601,False
"positive regulation of mRNA splicing, via spliceosome",7.615384615384615,0.009686299392165601,False
platelet aggregation,5.085399449035813,0.010362496794598582,False
cellular response to oxidative stress,3.438202247191011,0.010605669587039561,False
platelet degranulation,3.0290489642184557,0.01121812761210301,False
RNA metabolic process,4.842712842712842,0.012086077933601534,False
positive regulation of phagocytosis,4.729835351399833,0.013012593605572692,False
G1/S transition of mitotic cell cycle,3.2544350798609063,0.013428255526695278,False
spliceosomal complex assembly,6.620998566650741,0.013624151982534765,False
positive regulation of excitatory postsynaptic potential,6.620998566650741,0.013624151982534765,False
platelet activation,3.186288088642659,0.014691686538279958,False
negative regulation of microtubule depolymerization,6.34478021978022,0.015110324869153008,False
positive regulation of protein localization to nucleus,6.34478021978022,0.015110324869153008,False
focal adhesion assembly,6.34478021978022,0.015110324869153008,False
positive regulation of cell cycle arrest,6.34478021978022,0.015110324869153008,False
protein localization to microtubule,12.665753424657535,0.015315302456114125,False
regulation of Rac protein signal transduction,12.665753424657535,0.015315302456114125,False
negative regulation of cell size,12.665753424657535,0.015315302456114125,False
negative regulation of production of miRNAs involved in gene silencing by miRNA,12.665753424657535,0.015315302456114125,False
blood vessel endothelial cell migration,12.665753424657535,0.015315302456114125,False
regulation of mast cell degranulation,12.665753424657535,0.015315302456114125,False
positive regulation of synaptic plasticity,12.665753424657535,0.015315302456114125,False
cellular response to X-ray,12.665753424657535,0.015315302456114125,False
negative regulation of erythrocyte differentiation,12.665753424657535,0.015315302456114125,False
regulation of interleukin-6 production,12.665753424657535,0.015315302456114125,False
IRES-dependent viral translational initiation,12.665753424657535,0.015315302456114125,False
UTP biosynthetic process,12.665753424657535,0.015315302456114125,False
response to estradiol,3.120922607270055,0.01603548622330056,False
mitotic spindle organization,4.42064917954246,0.016059215314876113,False
epidermal growth factor receptor signaling pathway,4.42064917954246,0.016059215314876113,False
positive regulation of nucleic acid-templated transcription,3.5851295619017973,0.016241869053191027,False
negative regulation of protein kinase activity,3.5851295619017973,0.016241869053191027,False
protein methylation,6.09065934065934,0.01668438074391679,False
regulation of translational initiation,6.09065934065934,0.01668438074391679,False
negative regulation of protein binding,3.5351442602823817,0.017101426238312598,False
positive regulation of actin filament polymerization,4.326358361174608,0.0171658399120143,False
osteoblast differentiation,3.027728257590302,0.018206836390190564,False
mitotic cytokinesis,4.2359963269054175,0.018318945123238076,False
regulation of cell motility,5.856086221470837,0.018346765044621682,False
actin filament depolymerization,11.257838660578386,0.018480365634529955,False
maternal placenta development,11.257838660578386,0.018480365634529955,False
regulation of osteoclast differentiation,11.257838660578386,0.018480365634529955,False
regulation of microtubule polymerization,11.257838660578386,0.018480365634529955,False
mRNA transcription by RNA polymerase II,11.257838660578386,0.018480365634529955,False
positive regulation of protein kinase activity,4.149322538932928,0.01951903955867994,False
T cell costimulation,4.149322538932928,0.01951903955867994,False
regulation of catalytic activity,4.149322538932928,0.01951903955867994,False
negative regulation of neuron death,4.149322538932928,0.01951903955867994,False
DNA replication initiation,5.638888888888889,0.020097787877915146,False
viral life cycle,5.638888888888889,0.020097787877915146,False
immunological synapse formation,10.131506849315068,0.02189454157778733,False
negative regulation of low-density lipoprotein particle clearance,10.131506849315068,0.02189454157778733,False
nerve growth factor signaling pathway,10.131506849315068,0.02189454157778733,False
positive regulation of mRNA catabolic process,10.131506849315068,0.02189454157778733,False
virion assembly,10.131506849315068,0.02189454157778733,False
activation of MAPKKK activity,10.131506849315068,0.02189454157778733,False
early endosome to Golgi transport,10.131506849315068,0.02189454157778733,False
regulation of fibroblast migration,10.131506849315068,0.02189454157778733,False
positive regulation of podosome assembly,10.131506849315068,0.02189454157778733,False
regulation of mRNA stability,2.8570171123825303,0.02313622337549911,False
IRE1-mediated unfolded protein response,3.9093028183937273,0.02340580157385056,False
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",3.9093028183937273,0.02340580157385056,False
positive regulation of cell proliferation,1.7630645161290324,0.02363416384418187,False
negative regulation of proteasomal ubiquitin-dependent protein catabolic process,5.249431602879879,0.023866352820887643,False
cellular response to vascular endothelial growth factor stimulus,5.249431602879879,0.023866352820887643,False
actin cytoskeleton reorganization,3.8353344768439106,0.024798216678636853,False
inner cell mass cell proliferation,9.209962640099626,0.02554699623736883,False
regulation of T cell differentiation,9.209962640099626,0.02554699623736883,False
actin filament severing,9.209962640099626,0.02554699623736883,False
DNA strand elongation involved in DNA replication,9.209962640099626,0.02554699623736883,False
negative regulation of substrate adhesion-dependent cell spreading,9.209962640099626,0.02554699623736883,False
mitotic sister chromatid cohesion,9.209962640099626,0.02554699623736883,False
presynapse assembly,9.209962640099626,0.02554699623736883,False
negative regulation of autophagosome assembly,9.209962640099626,0.02554699623736883,False
negative regulation of mitotic cell cycle,5.074175824175824,0.02588389752504175,False
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",2.7534626038781163,0.02687823572088368,False
lipopolysaccharide-mediated signaling pathway,4.91022686990429,0.027990098172260766,False
positive regulation of axon extension,4.91022686990429,0.027990098172260766,False
dendrite morphogenesis,4.91022686990429,0.027990098172260766,False
ATP-dependent chromatin remodeling,4.91022686990429,0.027990098172260766,False
semaphorin-plexin signaling pathway,4.91022686990429,0.027990098172260766,False
regulation of axon extension,8.442009132420091,0.029427220787441234,False
protein kinase A signaling,8.442009132420091,0.029427220787441234,False
negative regulation of vascular endothelial growth factor receptor signaling pathway,8.442009132420091,0.029427220787441234,False
regulation of bicellular tight junction assembly,8.442009132420091,0.029427220787441234,False
positive regulation of receptor recycling,8.442009132420091,0.029427220787441234,False
response to growth hormone,8.442009132420091,0.029427220787441234,False
positive regulation of fibroblast migration,8.442009132420091,0.029427220787441234,False
response to cocaine,4.756524725274725,0.030184683924979992,False
regulation of endocytosis,4.756524725274725,0.030184683924979992,False
establishment of cell polarity,4.756524725274725,0.030184683924979992,False
positive regulation of MAP kinase activity,3.5654149146972114,0.030860571820500903,False
positive regulation of peptidyl-serine phosphorylation,2.9923626909327266,0.031095313462653686,False
immune system process,4.612137862137862,0.03246728532978362,False
negative regulation of protein kinase B signaling,3.503752256103353,0.0325005480892559,False
cellular response to hypoxia,2.6114070601605226,0.03320915180746426,False
cellular response to dopamine,7.792202318229715,0.033525023139633625,False
negative regulation of cell-cell adhesion,7.792202318229715,0.033525023139633625,False
glycerophospholipid catabolic process,7.792202318229715,0.033525023139633625,False
positive regulation of phosphoprotein phosphatase activity,7.792202318229715,0.033525023139633625,False
positive regulation of SMAD protein signal transduction,7.792202318229715,0.033525023139633625,False
positive regulation of cell adhesion mediated by integrin,7.792202318229715,0.033525023139633625,False
negative regulation of viral release from host cell,7.792202318229715,0.033525023139633625,False
synaptic vesicle endocytosis,4.476244343891403,0.03483743968436034,False
"Wnt signaling pathway, calcium modulating pathway",4.476244343891403,0.03483743968436034,False
endoplasmic reticulum organization,4.476244343891403,0.03483743968436034,False
negative regulation of epithelial cell migration,7.235225048923679,0.03783051964512014,False
histone H4-K8 acetylation,7.235225048923679,0.03783051964512014,False
mitotic chromosome condensation,7.235225048923679,0.03783051964512014,False
histone H4-K5 acetylation,7.235225048923679,0.03783051964512014,False
cellular response to nitric oxide,7.235225048923679,0.03783051964512014,False
