,OR,p,FDR
neutrophil degranulation,2.7645894885208575,1.8065886010038635e-14,True
actin cytoskeleton organization,2.9276290703881642,6.884829892049399e-07,True
viral process,2.0006176154672395,1.7337438394643485e-06,True
IRE1-mediated unfolded protein response,4.7611940298507465,3.669988946086464e-06,True
positive regulation of membrane protein ectodomain proteolysis,13.55542702911124,5.318003788680752e-06,True
regulation of endocytosis,6.199446961228452,7.555789744126005e-06,True
cellular response to interleukin-7,16.596089008766015,9.7597878124758e-06,True
regulation of small GTPase mediated signal transduction,2.8283447854084973,1.1273190138775713e-05,True
"regulation of transcription, DNA-templated",1.6486197212949716,2.2557615503554897e-05,True
phagocytosis,3.9638418079096045,4.2314167547348135e-05,True
clathrin-dependent endocytosis,7.118163403106009,4.695623389383167e-05,True
superoxide metabolic process,7.905083220872695,7.300488605366996e-05,True
interleukin-2-mediated signaling pathway,14.215633423180593,7.370297236977834e-05,True
positive regulation of tumor necrosis factor production,4.174349027429596,8.778932491482456e-05,True
actin filament organization,2.701873648136184,0.00012217374175149993,True
intracellular signal transduction,1.8556501547987616,0.00012232535271109818,True
regulation of defense response to virus by virus,5.930790006752194,0.0001358083544413648,True
protein autophosphorylation,2.3359895918035454,0.00014531348698786144,True
integrin-mediated signaling pathway,2.8990656975021354,0.00015825350545491004,True
regulation of ARF protein signal transduction,8.295684423465948,0.00016897969482583994,True
positive regulation of axon extension,4.943975225225225,0.00018870220565522292,True
plasma membrane tubulation,10.15286869464767,0.00023872968369002633,True
regulation of cell shape,2.364564710981093,0.00027025309894735435,True
vesicle transport along actin filament,6.91228365924927,0.00038094168710103973,True
platelet formation,6.91228365924927,0.00038094168710103973,True
regulation of release of sequestered calcium ion into cytosol,8.883254716981131,0.00039020251600137284,True
extracellular matrix disassembly,3.1981186158015427,0.0004833367384291453,False
endocytosis,2.1259769794453107,0.0005488910958202538,False
regulation of actin cytoskeleton organization,2.9703389830508473,0.0005981920609167598,False
cell migration,1.9687886067261495,0.0006289333745177678,False
negative regulation of release of cytochrome c from mitochondria,5.924140256237357,0.0007651929633256001,False
activation of JUN kinase activity,3.953828828828829,0.0007928061109905157,False
"retrograde vesicle-mediated transport, Golgi to ER",2.7555503116826934,0.0008032814401173428,False
platelet activation,2.5476999223602483,0.0008677930436565036,False
ubiquitin-dependent ERAD pathway,2.9690040650406506,0.0008997197486522327,False
positive regulation of peptidyl-tyrosine phosphorylation,2.716030238418298,0.0009166294669896423,False
positive regulation of interleukin-6 production,2.6776234066543085,0.001043266904521814,False
cellular response to mechanical stimulus,2.7840572033898305,0.0010537721775148463,False
in utero embryonic development,1.986196668948209,0.001134365664854565,False
cellular response to nerve growth factor stimulus,4.104061704669403,0.0011578103807064694,False
establishment or maintenance of cell polarity,3.434343973524074,0.0011619133650135466,False
receptor internalization,3.70629222972973,0.001192675497793587,False
cell projection assembly,5.183032703978422,0.0014047912973848338,False
immunological synapse formation,8.455026455026456,0.0014352591338771105,False
positive regulation of NF-kappaB transcription factor activity,2.100433352058422,0.0014942376590084743,False
cytokine-mediated signaling pathway,1.780157294141154,0.0015791459426360433,False
"mRNA splicing, via spliceosome",1.8385076235254876,0.0017158469379568641,False
extrinsic apoptotic signaling pathway,3.487877583465819,0.001743391169178399,False
skeletal muscle tissue regeneration,5.920822102425876,0.001837754914693596,False
mitotic cytokinesis,3.182506307821699,0.0019411342738642828,False
plasma membrane repair,7.3977272727272725,0.002183090040261542,False
respiratory burst,7.3977272727272725,0.002183090040261542,False
interleukin-15-mediated signaling pathway,7.3977272727272725,0.002183090040261542,False
positive regulation of lamellipodium assembly,4.60661571888814,0.0023994656592494423,False
positive regulation of superoxide anion generation,5.465063238648145,0.0025101302505652367,False
negative regulation of protein localization to plasma membrane,5.465063238648145,0.0025101302505652367,False
negative regulation of necroptotic process,5.465063238648145,0.0025101302505652367,False
positive regulation of GTPase activity,1.6981216075497896,0.0025420970555281404,False
regulation of actin filament polymerization,4.363913830429073,0.003065041615395441,False
negative regulation of Ras protein signal transduction,4.363913830429073,0.003065041615395441,False
protein folding,1.9690454908971162,0.0031325683349397787,False
regulation of translation,2.791371487701982,0.0031437717980368745,False
establishment of protein localization,3.4411361111716148,0.0031485916390754775,False
protein phosphorylation,1.5535813630041724,0.0031726663153535447,False
extrinsic apoptotic signaling pathway in absence of ligand,3.7916329284750336,0.0032273518232655944,False
positive regulation of myoblast fusion,5.074412783981517,0.003351577296138392,False
vascular endothelial growth factor receptor signaling pathway,2.737535130633913,0.0036000442380286135,False
apoptotic signaling pathway,2.737535130633913,0.0036000442380286135,False
lipopolysaccharide-mediated signaling pathway,3.6455932731236373,0.0039362897712376,False
peptidyl-threonine phosphorylation,2.6857303342099215,0.0041081798259988665,False
regulation of synapse organization,4.735849056603773,0.0043861310293026295,False
engulfment of apoptotic cell,5.917508417508418,0.004464966841647602,False
negative regulation of androgen receptor signaling pathway,5.917508417508418,0.004464966841647602,False
chromatin remodeling,2.261549395877754,0.004555407819318463,False
positive regulation of NIK/NF-kappaB signaling,2.635844233949782,0.004672270025453005,False
epidermal growth factor receptor signaling pathway,2.9636824324324325,0.004708814395450791,False
aging,1.91230855034536,0.005128480383714065,False
intrinsic apoptotic signaling pathway in response to DNA damage,3.1369702506255708,0.005257181290468741,False
regulation of RNA splicing,3.1369702506255708,0.005257181290468741,False
cellular response to epidermal growth factor stimulus,3.1369702506255708,0.005257181290468741,False
positive regulation of viral entry into host cell,7.886496186630776,0.0053086092611464766,False
negative regulation of erythrocyte differentiation,7.886496186630776,0.0053086092611464766,False
regulation of mast cell degranulation,7.886496186630776,0.0053086092611464766,False
regulation of phagocytosis,7.886496186630776,0.0053086092611464766,False
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,7.886496186630776,0.0053086092611464766,False
regulation of lamellipodium assembly,7.886496186630776,0.0053086092611464766,False
protein stabilization,1.8468191550251203,0.005399649686788838,False
antigen processing and presentation,4.439605795148248,0.0056382279998385436,False
actin polymerization or depolymerization,4.439605795148248,0.0056382279998385436,False
peptidyl-tyrosine autophosphorylation,3.3848081742818583,0.005708510811154168,False
cortical actin cytoskeleton organization,3.7681910133022742,0.005919156204545115,False
"wound healing, spreading of cells",5.379247015610652,0.00608175808976203,False
