,OR,p,FDR
regulation of transcription by RNA polymerase II,22.385964912280702,1.023161423779166e-84,True
positive regulation of transcription by RNA polymerase II,16.76263637273546,1.6804319399151887e-64,True
negative regulation of transcription by RNA polymerase II,14.903926482873851,2.0820287233155643e-52,True
"regulation of transcription, DNA-templated",10.958255268088331,1.2610144020934409e-34,True
"positive regulation of transcription, DNA-templated",10.82826112901301,8.766560141353754e-28,True
"negative regulation of transcription, DNA-templated",8.777654433851378,1.2086653368623168e-20,True
cell differentiation,5.497743251453866,1.1598142779511213e-11,True
anatomical structure morphogenesis,11.411466717166935,8.585699820220652e-10,True
endocrine pancreas development,41.49252782193959,3.046232376050018e-09,True
positive regulation of pri-miRNA transcription by RNA polymerase II,25.308423913043477,5.822664697897826e-09,True
transcription by RNA polymerase II,8.355611520082656,8.22834734555426e-09,True
skeletal muscle cell differentiation,21.88249118683901,1.5625532076077098e-08,True
anatomical structure development,19.27225672877847,3.7262701872425825e-08,True
embryonic skeletal system morphogenesis,20.134054054054054,2.0337149439598202e-07,True
glucose homeostasis,9.616939664109475,3.0430736087935007e-07,True
neuron fate specification,45.32814778804084,4.148789916840084e-07,True
embryonic cranial skeleton morphogenesis,23.117866004962778,7.504755655832351e-07,True
embryonic digestive tract morphogenesis,38.35047305635541,8.004284242836483e-07,True
kidney development,9.28135932033983,5.708531597629683e-06,True
anterior/posterior pattern specification,9.07181240840254,6.670662029416648e-06,True
cellular response to peptide,36.06963249516441,1.3039594403541905e-05,True
regulation of cell differentiation,17.176839387792736,2.2773297476763614e-05,True
positive regulation of neuron differentiation,9.013652113652114,2.5728020148335e-05,True
negative regulation of cell proliferation,3.772013228606862,3.1655585040178725e-05,True
regulation of cell proliferation,5.6505447510436815,6.296899059684557e-05,True
positive regulation of oligodendrocyte differentiation,20.873460246360583,7.93602494981576e-05,True
pancreas development,19.82872340425532,9.44766282947095e-05,True
peripheral nervous system neuron development,42.29478458049886,0.00011841799515688634,True
forelimb morphogenesis,42.29478458049886,0.00011841799515688634,True
positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,18.024177949709866,0.0001308215167720017,True
oligodendrocyte development,17.23959296947271,0.00015235559627793966,True
neuron differentiation,5.590277777777778,0.00016813169764767367,True
cellular response to hormone stimulus,15.858723404255318,0.00020293315156880002,True
cell fate commitment,9.951336898395722,0.00023948481801656127,True
regulation of cell cycle,6.155286865813181,0.0002419854903874714,True
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",9.755688371605327,0.0002608115242813467,True
negative regulation of transcription regulatory region DNA binding,29.6015873015873,0.00027593303408062587,True
spinal cord development,14.157294832826748,0.00030000848891518237,True
aorta morphogenesis,26.90909090909091,0.00034855866247054804,True
positive regulation of cell differentiation,13.212056737588652,0.0003808094453909455,True
sympathetic nervous system development,24.665343915343914,0.00043243842949732784,True
negative regulation of androgen receptor signaling pathway,24.665343915343914,0.00043243842949732784,True
response to muscle stretch,24.665343915343914,0.00043243842949732784,True
somatic stem cell population maintenance,8.575050709939148,0.00045311351428695314,True
ventricular septum morphogenesis,12.38497340425532,0.0004760707326812201,True
cell maturation,12.009026434558349,0.0005295577739863308,True
positive regulation of brown fat cell differentiation,21.139455782312925,0.0006366536737435385,True
retinoic acid receptor signaling pathway,21.139455782312925,0.0006366536737435385,True
cellular response to hydrogen peroxide,7.768633021390374,0.0006897111856293048,True
fat cell differentiation,7.6487042369395315,0.0007367056677735139,True
response to progesterone,10.426091825307951,0.0008625945625912023,True
spinal cord motor neuron differentiation,18.495039682539684,0.0008937289403377262,False
blood vessel development,10.158210583742498,0.0009435636993647505,False
middle ear morphogenesis,17.406162464985993,0.001043597675339156,False
