,OR,p,FDR
neutrophil degranulation,2.7595581988105353,4.802042648428995e-10,True
"mRNA splicing, via spliceosome",3.320299418890968,1.928536368776364e-08,True
protein autophosphorylation,3.369321922317314,1.6346021689070709e-06,True
viral process,2.2757648353411812,2.4826227113888183e-06,True
positive regulation of transcription by RNA polymerase II,1.772297418590457,3.057696894614067e-06,True
cellular response to interleukin-7,20.376975169300227,7.737182281798736e-06,True
clathrin-dependent endocytosis,10.205882352941176,8.749751148633345e-06,True
IRE1-mediated unfolded protein response,5.583471074380165,9.0255866283587e-06,True
regulation of small GTPase mediated signal transduction,3.4003715217226476,1.0064750480244891e-05,True
positive regulation of GTPase activity,2.439464493597206,1.3402443235239091e-05,True
actin cytoskeleton organization,3.1027239804755156,1.3626571909298986e-05,True
ATP-dependent chromatin remodeling,7.352887882219705,1.969933525417362e-05,True
protein phosphorylation,2.127116212338594,2.1894588175485768e-05,True
regulation of release of sequestered calcium ion into cytosol,15.281038374717832,2.318096935644036e-05,True
regulation of defense response to virus by virus,8.592998332936414,2.3286620988596506e-05,True
regulation of cell shape,2.955951265229616,8.941870839526648e-05,True
immunological synapse formation,14.537767756482525,0.00013711022643773038,True
negative regulation of Ras protein signal transduction,7.510377639012786,0.00014962741143564943,True
"retrograde vesicle-mediated transport, Golgi to ER",3.6949184679560108,0.00016241281254491868,True
mRNA export from nucleus,3.294085303589663,0.00026788582214236866,True
negative regulation of release of cytochrome c from mitochondria,8.146726862302483,0.00031544429444162306,True
JAK-STAT cascade involved in growth hormone signaling pathway,11.305900037579857,0.0003202930954270073,True
protein folding,2.5986254295532647,0.0003916185333756965,True
intracellular signal transduction,2.0021913305485173,0.0003960007495995285,True
regulation of cellular protein localization,10.174746335963924,0.0004618912311400637,False
regulation of translation,3.8520942968382323,0.0006710459989920697,False
negative regulation of erythrocyte differentiation,13.554054054054054,0.0008148960197565481,False
regulation of mast cell degranulation,13.554054054054054,0.0008148960197565481,False
positive regulation of lamellipodium assembly,6.430200784127361,0.0008762240688224485,False
regulation of ARF protein signal transduction,8.478015783540023,0.0008798330355096972,False
lipopolysaccharide-mediated signaling pathway,5.282736974262398,0.000880971853335463,False
