,OR,p,FDR
regulation of transcription by RNA polymerase II,21.985880398671096,5.0689778184957905e-75,True
positive regulation of transcription by RNA polymerase II,12.17439350772684,6.239379866089697e-43,True
negative regulation of transcription by RNA polymerase II,11.523136039265072,3.754883390998649e-36,True
"regulation of transcription, DNA-templated",10.662988826815642,2.903619819576778e-30,True
"positive regulation of transcription, DNA-templated",8.598985902936423,7.590313789422136e-19,True
"negative regulation of transcription, DNA-templated",6.453397063844315,2.312635227618231e-12,True
positive regulation of pri-miRNA transcription by RNA polymerase II,19.942245989304812,1.5167998460491613e-06,True
cellular response to DNA damage stimulus,6.107911287653095,2.0345725528795094e-06,True
transcription initiation from RNA polymerase II promoter,7.6728778467908905,2.0452549589732472e-06,True
positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress,63.89392643284859,2.052794449653193e-06,True
intracellular receptor signaling pathway,26.762765347102697,3.265369586385311e-06,True
response to lipid,44.7185628742515,6.095593548699571e-06,True
negative regulation of pri-miRNA transcription by RNA polymerase II,44.7185628742515,6.095593548699571e-06,True
type I interferon signaling pathway,11.099254843517139,3.221424325564738e-05,True
eye development,14.776474318325935,4.218535548921948e-05,True
interferon-gamma-mediated signaling pathway,10.25564738292011,4.8583718947871626e-05,True
steroid hormone mediated signaling pathway,23.524739993696816,5.059004402522432e-05,True
hormone-mediated signaling pathway,13.366322432587493,6.528513573067904e-05,True
negative regulation of cholesterol storage,47.63520408163265,8.398712438041239e-05,True
negative regulation of fat cell differentiation,12.473226238286479,8.82188075197635e-05,True
cell differentiation,3.2561088007193435,9.701098323591267e-05,True
pituitary gland development,19.42931528247852,9.746780750763503e-05,True
negative regulation of DNA binding,17.1847075080608,0.00014900580476580235,True
"transcription, DNA-templated",8.247450110864746,0.00014954319803027935,True
PERK-mediated unfolded protein response,37.04563492063492,0.00015193086305362704,True
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",11.002244271202457,0.00015222433160652212,True
anatomical structure morphogenesis,6.387293469708891,0.00019417646374282374,True
positive regulation of erythrocyte differentiation,14.890219560878243,0.00024513047956542815,True
