,OR,p,FDR
Glycated hemoglobin levels,2.479344561337296,0.00599883496630798,False
Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),3.683764013331602,0.007760844829961426,False
Family history of Alzheimer's disease,2.4866846935431006,0.01469369187509384,False
High light scatter reticulocyte percentage of red cells,1.644407242063492,0.0273560187521958,False
Basal cell carcinoma,2.0270338061926925,0.027737409286364582,False
Ankylosing spondylitis,2.2363669859985262,0.03335620948856833,False
Obesity (early onset extreme),3.9699787893620493,0.03506850882287877,False
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",1.526334147192187,0.04247904831899378,False
Primary biliary cholangitis,2.012067059690494,0.053978348959565756,False
White blood cell types,3.2476304899212387,0.05697107956236579,False
Nevus count or cutaneous melanoma,2.627393352638631,0.0639258354451959,False
Loneliness,2.3309462915601022,0.06575375688926742,False
High light scatter reticulocyte count,1.481181395076545,0.0681343588114769,False
Mammographic density (dense area),3.826014044649408,0.0716419257127722,False
Atypical femoral fracture in phosphonate treatment,3.826014044649408,0.0716419257127722,False
Eyebrow thickness,3.826014044649408,0.0716419257127722,False
Protein quantitative trait loci,2.1441176470588235,0.08599896626785061,False
White matter microstructure (axial diusivities),1.7192818243703198,0.09067612341098555,False
Abdominal aortic aneurysm,3.347487160674982,0.09136476011611022,False
Hemoglobin A1c levels,1.9545851729212655,0.09241509341776771,False
Asthma (adult onset),1.6391758917589176,0.09834434517606991,False
Mean corpuscular hemoglobin concentration,1.507747070418084,0.09905974525906919,False
Inflammatory bowel disease,1.3256567398836872,0.10042703979542596,False
Educational attainment (college completion),2.232733284349743,0.10066258554747871,False
Platelet count,1.2758436071077155,0.10367471229956149,False
vWF and FVIII levels,2.975299584250428,0.11304206149243899,False
Irritable bowel syndrome,2.975299584250428,0.11304206149243899,False
Loneliness (linear analysis),2.975299584250428,0.11304206149243899,False
Keratinocyte cancer (MTAG),1.6251005631536606,0.11549030024545101,False
Autoimmune traits,1.6251005631536606,0.11549030024545101,False
Waist circumference adjusted for body mass index,1.1617664706588264,0.11781697983196196,False
Migraine - clinic-based,1.9139180672268907,0.12200627988087374,False
Lymphocyte counts,1.3661059628188696,0.12492925993922477,False
Pneumonia,1.786607799852833,0.12530789658987102,False
Fractures,2.231828193832599,0.13598080093060577,False
Stress sensitivity (neuroticism score x major depressive disorder status interaction),2.677549523110785,0.13643412729183435,False
Lead levels in blood,2.677549523110785,0.13643412729183435,False
Plasma anti-thyroid peroxidase levels,2.677549523110785,0.13643412729183435,False
Feeling nervous,1.736836726351075,0.13743275635987506,False
Obesity (extreme),1.941028016484043,0.1457553748116131,False
Breast cancer (estrogen-receptor negative),1.786029411764706,0.1495095988139136,False
LDL cholesterol levels x short total sleep time interaction (2df test),1.6897559811467096,0.15010510005976252,False
Hypothyroidism,1.3572950863073177,0.15275646154560518,False
Acne (severe),2.100371426103481,0.15534460167209607,False
Red vs. brown/black hair color,2.100371426103481,0.15534460167209607,False
Immature fraction of reticulocytes,1.375056895766955,0.1704358301276402,False
Cancer (pleiotropy),1.9835209658998205,0.17565988306096716,False
Gut microbiota relative abundance (bacterial taxa),1.7854518736223366,0.17980870806240046,False
