,OR,p,FDR
Lymphocyte counts,3.443848446147297,5.729167076954137e-05,False
Systemic lupus erythematosus,2.724031007751938,0.0001065639259157245,False
Hypothyroidism,3.5268132524126954,0.00012753753150059613,False
Eosinophil counts,1.944,0.0001787508510815352,False
White blood cell count,1.857267907162865,0.0003139943370350504,False
Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),7.526551805522775,0.0011200693725894385,False
Sum eosinophil basophil counts,2.7711670480549198,0.0011553057848655798,False
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",2.678345734765939,0.0015519660817929029,False
Inflammatory bowel disease,2.366614232541652,0.0018399670493760723,False
Primary biliary cirrhosis,6.2156365763306685,0.002315166627548037,False
Asthma,2.0877906976744187,0.002490068811958723,False
Mean corpuscular hemoglobin concentration,3.0590534085974816,0.0028727867764077285,False
Ulcerative colitis,2.515062364009684,0.00366402782114096,False
Atypical femoral fracture in phosphonate treatment,12.214285714285714,0.003951714643588732,False
Family history of Alzheimer's disease,4.292696629213483,0.0044825635904587454,False
Mouth ulcers,3.6461916461916464,0.0049879835215937765,False
Celiac disease,3.2312339045560043,0.005392998648888148,False
Eosinophil percentage of white cells,2.431839327536976,0.006480146200377908,False
Psoriasis,2.659570000839842,0.007050342217810173,False
Rheumatoid arthritis (ACPA-positive),3.8142322097378276,0.007474364236178524,False
Medication use (thyroid preparations),2.7469192259555215,0.008524923630211595,False
Platelet distribution width,2.3321430770177924,0.008694390179622102,False
"Allergic disease (asthma, hay fever or eczema)",2.376315789473684,0.010308978183555539,False
Itch intensity from mosquito bite,3.131228885135135,0.01039552764266067,False
Albumin-globulin ratio,3.9670528151469857,0.012297101553431389,False
Platelet count,1.8618788646353275,0.0133745282394957,False
Systolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),4.754287844891872,0.01427796649024971,False
Eosinophil percentage of granulocytes,2.2400709219858155,0.015013897935122094,False
