,OR,p,FDR
Red blood cell count,2.5558823529411763,0.00020958511262389164,False
Lung function (FVC),2.9309800712991643,0.0003178559495588623,False
Balding type 1,4.333133365828053,0.0004370969617166715,False
Refractive error,3.1528735632183906,0.0005540672337571247,False
Male-pattern baldness,3.1705042261731275,0.0008321733947234785,False
Mean arterial pressure,4.900987949191184,0.0009181064839041741,False
Height,1.8170625758227996,0.0010236346005142972,False
C-reactive protein levels,2.9188766441521508,0.0010807062149620448,False
Liver enzyme levels (gamma-glutamyl transferase),14.804174573055029,0.001659537280785199,False
Medication use (diuretics),6.045751633986928,0.0020432055839980762,False
Blood urea nitrogen levels,4.902327935222672,0.002075435217995574,False
Medication use (calcium channel blockers),5.220285645122247,0.0037116471065897164,False
Creatinine levels,5.156225091662681,0.00390059556395728,False
Systolic blood pressure x alcohol consumption interaction (2df test),6.605042016806722,0.004220227704602087,False
Systolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),10.060645161290322,0.004446110337824962,False
Appendicular lean mass,2.8167922020381035,0.004684340530011175,False
Heel bone mineral density,1.9144249512670566,0.005275612161116277,False
Resistant hypertension,20.852564102564102,0.006034786467672684,False
Medication use (agents acting on the renin-angiotensin system),3.824792243767313,0.006560182220292386,False
FEV1,3.767543859649123,0.007020894502227637,False
Neutrophil percentage of granulocytes,3.767543859649123,0.007020894502227637,False
Suicide attempts in schizophrenia,18.534188034188034,0.007318071265044111,False
Body mass index in physically inactive individuals,16.67948717948718,0.008712960028703696,False
Diastolic blood pressure (cigarette smoking interaction),7.617008797653959,0.009037089739492857,False
Diastolic blood pressure,2.217282267956931,0.00963783423475734,False
Systolic blood pressure,1.9089555941453733,0.010047024043803473,False
Benign prostatic hyperplasia and lower urinary tract symptoms,15.162004662004662,0.010216626730518024,False
Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded),15.162004662004662,0.010216626730518024,False
Birth weight,3.033112582781457,0.011222124195551766,False
Potassium levels,13.897435897435898,0.011826296319315375,False
Nonsyndromic cleft lip with or without cleft palate,13.897435897435898,0.011826296319315375,False
Systolic blood pressure (cigarette smoking interaction),6.791455972101134,0.012077794388718189,False
Gamma glutamyl transferase levels,6.612224108658744,0.01291869292648209,False
Asthma,2.5265807135287885,0.013179459107283652,False
Crohn's disease,2.9269239552409227,0.01332969027766401,False
Facial morphology,12.82741617357002,0.01353924391620581,False
Hematocrit,3.732720226733761,0.013761710062584441,False
Hypertension,3.6996904024767803,0.01423021670941051,False
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",3.192899702085402,0.014520278771259526,False
Familial squamous cell lung carcinoma,6.280645161290322,0.014698731431824912,False
Chloride levels,11.91025641025641,0.01535279402367788,False
Cleft palate,11.91025641025641,0.01535279402367788,False
Mean arterial pressure x alcohol consumption interaction (2df test),5.980645161290322,0.016610744000741775,False
"Medication use (adrenergics, inhalants)",5.980645161290322,0.016610744000741775,False
HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df),4.30969030969031,0.016892527853176836,False
Waist-to-hip ratio adjusted for BMI,1.9396172689585862,0.017181828390354925,False
C-reactive protein levels or total cholesterol levels (pleiotropy),11.115384615384615,0.0172643197447905,False
Simvastatin-induced myopathy,11.115384615384615,0.0172643197447905,False
Lumbar spine bone mineral density,5.841110277569392,0.0176165338900365,False
Inflammatory bowel disease,2.722340360896774,0.01877960365171149,False
