,OR,p,FDR
Multiple sclerosis,14.768076923076922,1.2920275147771082e-05,True
Chronic lymphocytic leukemia,40.473684210526315,9.547541524177002e-05,False
"B-cell malignancies (chronic lymphocytic leukemia, Hodgkin lymphoma or multiple myeloma) (pleiotropy)",93.64285714285714,0.0003163013038585729,False
Crohn's disease,13.935275080906148,0.00036930852449025976,False
Inflammatory bowel disease,12.974358974358974,0.00047963684028203853,False
Offspring birth weight,19.960654062340318,0.0007018952488745794,False
LDL cholesterol x physical activity interaction (2df test),38.5,0.0016272692860621217,False
Fat-free mass,14.232456140350877,0.0018050855097852371,False
Lymphocyte counts,13.84352773826458,0.001949096514894263,False
Gamma glutamyl transferase levels,33.55128205128205,0.0021073393836616113,False
Male-pattern baldness,8.431915595120342,0.0022475569448191053,False
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",12.633528265107213,0.0025090697472850195,False
Eczema,12.477535301668807,0.0025963650088493767,False
Balding type 1,11.043243243243243,0.0036282784620817942,False
LDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df),20.73174603174603,0.005217271943369593,False
High density lipoprotein cholesterol levels,9.134529147982063,0.006065663814345302,False
Breast cancer,6.3022619935371615,0.006118055991318274,False
Post bronchodilator FEV1/FVC ratio,7.216519947555722,0.011336405934651,False
Chronic obstructive pulmonary disease,12.766666666666667,0.012916124679310186,False
Macular thickness,12.51923076923077,0.013393122676538577,False
Night sleep phenotypes,11.940366972477063,0.014618926208035397,False
Lymphocyte percentage of white cells,11.940366972477063,0.014618926208035397,False
Menarche (age at onset),6.483805668016195,0.014975177943117125,False
Appendicular lean mass,6.483805668016195,0.014975177943117125,False
Infant length,69.39153439153439,0.016615305896810036,False
Lysophosphatidylcholine levels,69.39153439153439,0.016615305896810036,False
Lung function (low FEV1 vs high FEV1),69.39153439153439,0.016615305896810036,False
Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 2 peripheral neuropathy),69.39153439153439,0.016615305896810036,False
Asthma (time to onset),69.39153439153439,0.016615305896810036,False
Physiological traits,69.39153439153439,0.016615305896810036,False
Hay fever and/or eczema,10.746280991735537,0.017750871079521825,False
Waist circumference adjusted for BMI in smokers,62.44761904761905,0.01826226564629346,False
Select biomarker traits,62.44761904761905,0.01826226564629346,False
Cutaneous squamous cell carcinoma,62.44761904761905,0.01826226564629346,False
Infant head circumference (MTAG),62.44761904761905,0.01826226564629346,False
