,OR,p,FDR
White blood cell count,1.3411893891232733,0.002910785562244142,False
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",1.745748987854251,0.0037824438365678965,False
Sum basophil neutrophil counts,1.7995702885205647,0.004837985810109318,False
Granulocyte count,1.8132008830022075,0.005797949835593176,False
Eosinophil counts,1.3196951464099478,0.006485847690878803,False
Eczema,1.6562752395940017,0.00822571321667056,False
Inflammatory bowel disease,1.5319671980773817,0.010319074464401444,False
Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),3.2254366812227073,0.01055113526046547,False
Sum neutrophil eosinophil counts,1.7300300907090158,0.010884706724516774,False
Myeloid white cell count,1.7096921987587987,0.010951424368591221,False
Hypothyroidism,1.712923007040654,0.012050986041163942,False
Feeling tense,3.472533467623484,0.012383355232997032,False
Monocyte count,1.6066716320408103,0.012966046039308034,False
Sum eosinophil basophil counts,1.6186393805309736,0.013085202075344188,False
Vitiligo,2.0266597867217064,0.014449941998447768,False
Non-albumin protein levels,2.2782854936285237,0.0162106093766999,False
Lymphocyte counts,1.604447285512077,0.017358410548660056,False
Protein quantitative trait loci,2.63909438458865,0.017807644490703288,False
Multiple sclerosis,1.3783294894406006,0.01989206109630324,False
Neutrophil count,1.5191801933095466,0.02797786823439409,False
IgA levels,3.580078716318498,0.030739020028465312,False
Ankylosing spondylitis,2.0872865275142316,0.03303507042811972,False
Response to methotrexate in juvenile idiopathic arthritis,4.294843863471314,0.035034853013485176,False
Eosinophil percentage of white cells,1.4999933738266151,0.036718237671053054,False
Granulocyte percentage of myeloid white cells,1.4879615752061914,0.039570962649712715,False
Albumin-globulin ratio,2.0805570245020273,0.041615001474597214,False
"Allergic disease (asthma, hay fever or eczema)",1.49140820569392,0.04470207895728464,False
Autoimmune traits,1.7713850052616884,0.048019184856125385,False
Feeling nervous,1.9541314787216426,0.055623441672670776,False
Medication use (thyroid preparations),1.5558056401429896,0.05618189895318611,False
Systemic lupus erythematosus,1.3317084342079435,0.06005801741656465,False
Mean corpuscular hemoglobin concentration,1.5371533228676086,0.06112333719665611,False
Monocyte percentage of white cells,1.40475618544319,0.06241021452683766,False
Basophil percentage of granulocytes,1.8964963034394084,0.06366417032317227,False
Atopic dermatitis,1.8964963034394084,0.06366417032317227,False
Loneliness (linear analysis),3.2205882352941178,0.06633680729772652,False
Rheumatoid arthritis (ACPA-positive),1.7732914160743576,0.0735763044496401,False
Plateletcrit,1.3225283893019715,0.08453231223127951,False
Loneliness,2.0503893269850715,0.08525824748499716,False
Serum folate levels,2.862503025901719,0.08596928463845674,False
Neutrophil percentage of granulocytes,1.3914220575662581,0.08858819819960514,False
Itch intensity from mosquito bite,1.5841163697853615,0.08896325445965492,False
Worry,1.5356816699282452,0.0953493692548403,False
Ulcerative colitis,1.3492141939310072,0.0962230808386557,False
Age at menopause,1.495677599796593,0.10111973671070654,False
Neutrophil percentage of white cells,1.4253093751197272,0.1075973982025985,False
IgM levels,2.5760348583877994,0.1080613904817225,False
Lactate dehydrogenase levels,2.5760348583877994,0.1080613904817225,False
Alopecia areata,2.0343798427366124,0.10958299370151323,False
White matter microstructure (axial diusivities),1.5471334792122537,0.12182734767579928,False
Psoriasis vulgaris,1.8038843426077469,0.12953647779977634,False
Respiratory diseases,1.4054882765798837,0.13240414075606555,False
Alzheimer's disease (late onset),1.4701600745157914,0.14047484288885675,False
Mammographic density (dense area),2.759234777198849,0.14133900932088045,False
Atypical femoral fracture in phosphonate treatment,2.759234777198849,0.14133900932088045,False
Pediatric autoimmune diseases,1.6626285392308775,0.14519888571853215,False
Hemoglobin A1c levels,1.6626285392308775,0.14519888571853215,False
Hay fever and/or eczema,1.327878925071953,0.14759373681207286,False
Basophil percentage of white cells,1.5671985475371604,0.1577491247774464,False
Family history of Alzheimer's disease,1.5671985475371604,0.1577491247774464,False
Periodontitis (CDC/AAP),2.146332607116921,0.15873274507610569,False
Migraine - clinic-based,1.6699804004768544,0.16430122033544625,False
Celiac disease,1.3882045665178195,0.16988452114297461,False
Total intracranial volume,2.414126292868808,0.17584370935229127,False
Accelerated cognitive decline after conversion of mild cognitive impairment to Alzheimer's disease (Alzhiemer's diagnosis trajectory interaction),2.414126292868808,0.17584370935229127,False
Abdominal aortic aneurysm,2.414126292868808,0.17584370935229127,False
Metabolite levels (Dihydroxy docosatrienoic acid),2.414126292868808,0.17584370935229127,False
Limited cutaneous systemic scleroderma,2.414126292868808,0.17584370935229127,False
Response to platinum-based chemotherapy (carboplatin),2.414126292868808,0.17584370935229127,False
Platelet distribution width,1.251460448583982,0.17620290064776722,False
Glycated hemoglobin levels,1.4464801776369378,0.17643973686972897,False
Asthma,1.1693733153638814,0.182519474601376,False
Myopia (pathological),1.4642324888226528,0.18291791681031822,False
Exploratory eye movement dysfunction in schizophrenia (responsive search score),1.9810625104742752,0.1867861423617381,False
Optic cup area,1.7886769603390857,0.1887191760967608,False
White matter microstructure (mode of anisotropy),1.486577322186279,0.18952832088661498,False
Predicted visceral adipose tissue,1.2480460423475912,0.19054061565136574,False
Cognitive empathy,1.4174302897758337,0.19080996359708907,False
Mean platelet volume,1.1876860842763444,0.19388711414994608,False
Leprosy,1.6098691384950927,0.2088011797285036,False
vWF and FVIII levels,2.1457085828343314,0.21234601004360087,False
Glioblastoma,2.1457085828343314,0.21234601004360087,False
Irritable bowel syndrome,2.1457085828343314,0.21234601004360087,False
Platelet count,1.152208515718265,0.21545936872978722,False
"Facial morphology (factor 14, intercanthal width)",1.8394024276377217,0.21627142231442253,False
Chronic obstructive pulmonary disease or high blood pressure (pleiotropy),1.8394024276377217,0.21627142231442253,False
Asthma onset (childhood vs adult),1.5026004728132387,0.22309682569440548,False
Mean corpuscular volume,1.1445326532078455,0.22997258911528576,False
Lymphocyte percentage of white cells,1.2472292057646683,0.23195195436270896,False
Melanoma,1.6095367847411444,0.2398594316335536,False
White blood cell count (basophil),1.3101286948781663,0.2415257388467989,False
Asthma (adult onset),1.3101286948781663,0.2415257388467989,False
Immature fraction of reticulocytes,1.2447140078791203,0.24220801895543054,False
Testosterone levels,1.93097441480675,0.2502590276605397,False
Stress sensitivity (neuroticism score x major depressive disorder status interaction),1.93097441480675,0.2502590276605397,False
Lead levels in blood,1.93097441480675,0.2502590276605397,False
Urinary calcium excretion,1.93097441480675,0.2502590276605397,False
High IL-1beta levels in gingival crevicular fluid,1.93097441480675,0.2502590276605397,False
Keratinocyte cancer (MTAG),1.3119899560577526,0.2530557561037332,False
Basal cell carcinoma,1.3119899560577526,0.2530557561037332,False
High light scatter reticulocyte count,1.1857215189873418,0.2599498806171806,False
Feeling hurt,1.5327624237705981,0.2667074797691738,False
Self-reported allergy,1.5327624237705981,0.2667074797691738,False
High light scatter reticulocyte percentage of red cells,1.1812797946461313,0.270797160633799,False
Glucose homeostasis traits,1.3555504481728338,0.2734505185421557,False
Idiopathic pulmonary fibrosis,1.6092047930283224,0.27837443970707615,False
Alanine aminotransferase (ALT) levels after remission induction therapy in actute lymphoblastic leukemia (ALL),1.4306312855931176,0.2793592529690508,False
Systemic lupus erythematosus and Systemic sclerosis,1.7552828227841837,0.2890402014372955,False
Mental health study participation (completed survey),1.4629675501610107,0.29417089700878685,False
Moyamoya disease,1.4629675501610107,0.29417089700878685,False
Primary sclerosing cholangitis,1.4629675501610107,0.29417089700878685,False
Eosinophil percentage of granulocytes,1.1485624570699637,0.30480670073024085,False
Hodgkin's lymphoma,1.5144175317185697,0.3104274097740587,False
Red vs. brown/black hair color,1.5144175317185697,0.3104274097740587,False
Stroke,1.3253746670517634,0.3104966479236495,False
Crohn's disease,1.1157897662525362,0.31712400064135227,False
Psoriasis,1.159231613611416,0.32085857563961895,False
Systolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),1.399241795995735,0.3220755579532817,False
Obesity (extreme),1.399241795995735,0.3220755579532817,False
Autoimmune traits (pleiotropy),1.399241795995735,0.3220755579532817,False
Interleukin-4 levels,1.6088731627653783,0.3282003859569436,False
White blood cell types,1.6088731627653783,0.3282003859569436,False
Asthma or allergic disease (pleiotropy),1.3317414357161659,0.32903409546391943,False
Pneumonia,1.2873977086743045,0.3333596458223102,False
Allergy,1.430162188332123,0.34279379605233196,False
Cancer (pleiotropy),1.430162188332123,0.34279379605233196,False
Breast cancer (estrogen-receptor negative),1.2872410032715376,0.3542985392975758,False
Fibrinogen levels,1.2260345186109378,0.3574372199225436,False
Chronic obstructive pulmonary disease or resting heart rate (pleiotropy),1.4849880658263892,0.3673083030735592,False
Myringotomy,1.354775828460039,0.37523055814830797,False
Kidney stones,1.354775828460039,0.37523055814830797,False
Selective IgA deficiency,1.2870844686648502,0.3785436191893902,False
Takayasu arteritis,1.2870844686648502,0.3785436191893902,False
Sjögren's syndrome,1.2870844686648502,0.3785436191893902,False
LDL cholesterol levels x short total sleep time interaction (2df test),1.2176022176022177,0.37966925927109696,False
Gestational age at birth in labor-initiated deliveries (child effect),1.6085418933623503,0.39785273143471134,False
Cutaneous psoriasis,1.6085418933623503,0.39785273143471134,False
Infant length,1.6085418933623503,0.39785273143471134,False
Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab),1.6085418933623503,0.39785273143471134,False
Seasonality and depression,1.6085418933623503,0.39785273143471134,False
Adverse response to lamotrigine and phenytoin,1.6085418933623503,0.39785273143471134,False
Loneliness (MTAG),1.6085418933623503,0.39785273143471134,False
"Facial morphology (factor 17, height of vermillion upper lip)",1.6085418933623503,0.39785273143471134,False
Exploratory eye movement dysfunction in schizophrenia (cognitive search score),1.6085418933623503,0.39785273143471134,False
Eyebrow thickness,1.6085418933623503,0.39785273143471134,False
DNA methylation (variation),1.6085418933623503,0.39785273143471134,False
White matter microstructure (fractional anisotropy),1.1156139390622148,0.40423240096102886,False
Spontaneous preterm birth (preterm birth),1.3788008398786842,0.4059916232377621,False
Non-glioblastoma glioma,1.3788008398786842,0.4059916232377621,False
Kawasaki disease,1.3788008398786842,0.4059916232377621,False
Reticulocyte count,1.081424958768554,0.406740368624826,False
Methadone dose in opioid dependence,1.2869281045751635,0.40751584096935034,False
Menopause (age at onset),1.1237036458468934,0.41097238117131185,False
Mean corpuscular hemoglobin,1.0260172903595004,0.42156432995729926,False
Body fat percentage,1.1060518042646255,0.4291187917956676,False
Parental longevity (father's age at death or father's attained age),1.1915430416792814,0.43487142766652764,False
Nonatopic asthma,1.1137041549384532,0.43846003975079295,False
Headache,1.2255420686793235,0.4394503951336466,False
Hepatocyte growth factor levels,1.2867719107240065,0.4439356634164895,False
Waist-to-hip ratio adjusted for BMI (age >50),1.2867719107240065,0.4439356634164895,False
Calcific aortic valve stenosis,1.2867719107240065,0.4439356634164895,False
Toxicity response to radiotherapy in prostate cancer (hematuria) (time to event),1.4296941119574416,0.4471880696727383,False
Tonometry,1.4296941119574416,0.4471880696727383,False
17-hydroxyprogesterone (17-OHP) levels,1.4296941119574416,0.4471880696727383,False
Amyotrophic lateral sclerosis (age of onset),1.4296941119574416,0.4471880696727383,False
Cutaneous squamous cell carcinoma,1.4296941119574416,0.4471880696727383,False
Response to anti-depressant treatment in major depressive disorder,1.4296941119574416,0.4471880696727383,False
Type 2 diabetes (adjusted for BMI),1.1259956355701037,0.449318145496452,False
Offspring birth weight,1.0606352551558031,0.45943923893765315,False
Tonsillectomy,1.0462789243277049,0.46301628716583054,False
Gamma glutamyl transferase levels,1.1028820688580776,0.48044825659653645,False
Eosinophilic esophagitis,1.2062465977136636,0.4808804633053799,False
Lung cancer in never smokers,1.2062465977136636,0.4808804633053799,False
Parental lifespan,1.2062465977136636,0.4808804633053799,False
Warfarin maintenance dose,1.2062465977136636,0.4808804633053799,False
Response to efavirenz-containing treatment in HIV 1 infection (virologic failure),1.2062465977136636,0.4808804633053799,False
Response to tocilizumab in rheumatoid arthritis,1.2062465977136636,0.4808804633053799,False
"Facial morphology (factor 13, vertical position of alar curvature relative to upper lip)",1.2866158868335147,0.49415648161102843,False
"Facial morphology (factor 11, projection of the nose)",1.2866158868335147,0.49415648161102843,False
Disc degeneration (lumbar),1.2866158868335147,0.49415648161102843,False
Response to hepatitis C treatment,1.2866158868335147,0.49415648161102843,False
Prostate cancer (early onset),1.2866158868335147,0.49415648161102843,False
Venous thromboembolism (SNP x SNP interaction),1.2866158868335147,0.49415648161102843,False
Celiac disease or Rheumatoid arthritis,1.2866158868335147,0.49415648161102843,False
Percentage gas trapping,1.2866158868335147,0.49415648161102843,False
TB-LM or TBLH-BMD (pleiotropy),1.2866158868335147,0.49415648161102843,False
Suicide attempts in major depressive disorder,1.2866158868335147,0.49415648161102843,False
IgG N-glycosylation phenotypes (multivariate analysis),1.2866158868335147,0.49415648161102843,False
IgE levels,1.2866158868335147,0.49415648161102843,False
Bone mineral content,1.2866158868335147,0.49415648161102843,False
California verbal learning test score,1.2866158868335147,0.49415648161102843,False
Medication use (drugs used in diabetes),1.07219494453537,0.4949717879484814,False
Primary biliary cholangitis,1.07219494453537,0.4949717879484814,False
Diastolic blood pressure x alcohol consumption interaction (2df test),1.0502628999197932,0.5072942099251384,False
Response to paliperidone in schizophrenia (Multivariate),1.1351948509398315,0.5166168204160212,False
Adult asthma,1.1351948509398315,0.5166168204160212,False
Insulin-related traits (multivariate analysis),1.1351948509398315,0.5166168204160212,False
Chin dimples,1.1351948509398315,0.5166168204160212,False
Dialysis-related mortality,1.1351948509398315,0.5166168204160212,False
Fractures,1.1351948509398315,0.5166168204160212,False
Celiac disease and Rheumatoid arthritis,1.1351948509398315,0.5166168204160212,False
Varicose veins,1.1351948509398315,0.5166168204160212,False
Age at loss of ambulation in Duchenne muscular dystrophy,1.1351948509398315,0.5166168204160212,False
Rheumatoid arthritis,1.008016541809917,0.5224302279615944,False
Red cell distribution width,0.9976923759652081,0.5259037033983843,False
Low tan response,1.029170305676856,0.528012451490075,False
Monocyte chemoattractant protein-1 levels,1.0430899820212798,0.5290467787408599,False
Primary biliary cirrhosis,1.072076978939724,0.5315049018794717,False
Asthma (age of onset),1.072076978939724,0.5315049018794717,False
Interleukin-5 levels,1.1695518844593926,0.538501473231964,False
Lateral ventricle volume,1.1695518844593926,0.538501473231964,False
Systemising,1.1695518844593926,0.538501473231964,False
Alzheimer's disease or HDL levels (pleiotropy),1.1695518844593926,0.538501473231964,False
Mortality in sepsis,1.1695518844593926,0.538501473231964,False
Breast Cancer in BRCA1 mutation carriers,1.1695518844593926,0.538501473231964,False
Thalamus volume,1.1695518844593926,0.538501473231964,False
Mitochondrial DNA copy number,1.1695518844593926,0.538501473231964,False
Obesity (early onset extreme),1.1695518844593926,0.538501473231964,False
Interleukin-13 levels,1.1695518844593926,0.538501473231964,False
Benign prostatic hyperplasia and lower urinary tract symptoms,1.1695518844593926,0.538501473231964,False
Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded),1.1695518844593926,0.538501473231964,False
Voxel-wise structural brain imaging measurements in Alzheimer’s disease,1.1695518844593926,0.538501473231964,False
Hematological parameters,1.1695518844593926,0.538501473231964,False
Adverse response to drug,1.023285225412885,0.5393805009108996,False
Cognitive decline rate in late mild cognitive impairment,1.023285225412885,0.5393805009108996,False
Diastolic blood pressure (cigarette smoking interaction),1.037443965896106,0.5430297306542555,False
Feeling fed-up,1.037443965896106,0.5430297306542555,False
HDL cholesterol levels x short total sleep time interaction (2df test),1.0089048719924651,0.5484041734462752,False
Clopidogrel active metabolite levels,1.0720377426964254,0.5509817221846758,False
Lipoprotein (a) levels,1.0720377426964254,0.5509817221846758,False
Interleukin-17 levels,1.0720377426964254,0.5509817221846758,False
IgA nephropathy,1.0720377426964254,0.5509817221846758,False
Allergic sensitization,1.0720377426964254,0.5509817221846758,False
Bladder cancer,1.0720377426964254,0.5509817221846758,False
Angiotensin-converting enzyme inhibitor intolerance,1.0720377426964254,0.5509817221846758,False
Acne (severe),1.0720377426964254,0.5509817221846758,False
Mosaic loss of chromosome Y (Y chromosome dosage),1.015554152556965,0.5526327028562095,False
Gut microbiota (bacterial taxa),1.015554152556965,0.5526327028562095,False
Interleukin-18 levels,1.0291067538126362,0.5605051721658143,False
Fasting plasma glucose,1.0291067538126362,0.5605051721658143,False
Sitting height ratio,1.0291067538126362,0.5605051721658143,False
Systemic sclerosis,1.000460689822392,0.5609780015388854,False
Multiple myeloma,1.0049386920980927,0.568551185538152,False
Blood protein levels in cardiovascular risk,0.9809865869349896,0.5752019409977668,False
Red blood cell traits,0.9894304169113329,0.575661957112915,False
