,OR,p,FDR
Red blood cell count,3.2621409410975746,3.3923858489480615e-05,True
Diastolic blood pressure (cigarette smoking interaction),15.227803738317757,0.00022815191130835815,False
Systolic blood pressure (cigarette smoking interaction),13.531671858774663,0.0003449282789321228,False
Medication use (diuretics),8.758086253369273,0.00041828569380412224,False
Hypertension,6.550695322376738,0.0005002060242068349,False
C-reactive protein levels,3.5755641025641025,0.0005582103292585131,False
Pulse pressure,3.089238297549503,0.0007283791182781689,False
Systolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),14.491111111111111,0.001634432558596632,False
Estimated glomerular filtration rate,3.1516493357878503,0.002311829096215725,False
Atrial fibrillation,4.698817106460418,0.002539864093008248,False
Monocyte percentage of white cells,4.552028218694885,0.002951873130154119,False
Hematocrit,5.407413591584572,0.0031870546818716095,False
Medication use (beta blocking agents),9.524122807017545,0.004913090596977322,False
Medication use (calcium channel blockers),5.919762935947117,0.005961732802695694,False
antipsychotic drug dosage in schizophrenia or schizoaffective disorder,19.96177370030581,0.005989231608135956,False
Medication use (agents acting on the renin-angiotensin system),4.5525908194874685,0.006375436032858521,False
Mean arterial pressure x alcohol consumption interaction (2df test),8.614417989417989,0.006382954642752179,False
Facial morphology,18.42484121383204,0.0068728325191995425,False
Tea consumption,7.2316666666666665,0.010038532239852275,False
Systolic blood pressure x alcohol consumption interaction (2df test),6.952457264957265,0.011106996844086075,False
Blood pressure,6.820754716981132,0.011664929404036451,False
Varicose veins,13.301732925586137,0.012100609257999268,False
Diastolic blood pressure x alcohol consumption interaction (2df test),6.693930041152264,0.012238764019718509,False
Refractive error,2.702912621359223,0.013471439768515305,False
Breast cancer,2.5202954484961406,0.013846494140807453,False
Rubella,11.969724770642202,0.014551892163479112,False
Nevus count or cutaneous melanoma,11.969724770642202,0.014551892163479112,False
Spherical equivalent or myopia (age of diagnosis),4.485635167878159,0.014772954082404567,False
Mouth ulcers,6.124293785310734,0.015348721428869169,False
Diastolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),11.398864132809086,0.015851023025250006,False
Mean arterial pressure x alcohol consumption (light vs heavy) interaction (2df test),10.406063023534104,0.01859179582019835,False
White blood cell count,2.087823845146021,0.0196050277353106,False
Cardiovascular disease,2.9415949512335056,0.020767777726329213,False
Mean arterial pressure,3.870504672897196,0.023511504766589576,False
Well-being spectrum (multivariate analysis),3.8394896899569795,0.02410499772724386,False
Eosinophil counts,2.0844580152671757,0.02453760735052135,False
Male-pattern baldness,2.5659546292031323,0.025126985840597353,False
Pulse pressure x alcohol consumption interaction (2df test),8.544560943643512,0.02623465425850903,False
Microalbuminuria,8.249288199936728,0.027892087030256002,False
Birth weight,3.0657995044787496,0.028497051968062518,False
Birth weight (MTAG),7.9737003058103975,0.029590567958880994,False
Urinary albumin-to-creatinine ratio,4.398712737127371,0.034914076008274106,False
High light scatter reticulocyte count,3.3548805815160954,0.03635489028455678,False
Breast cancer (estrogen-receptor negative),7.033459255261738,0.03677921303670662,False
Eosinophil percentage of granulocytes,3.263197777216469,0.0394857830367465,False
Orofacial clefts,6.641692150866462,0.04059961960811052,False
Granulocyte percentage of myeloid white cells,3.1976233211611067,0.0419322699642047,False
Sum eosinophil basophil counts,3.0939372154325424,0.0461970966296182,False
Stroke,6.129381322041873,0.04659611508900956,False
Serum uric acid levels,3.833628841607565,0.04852081616161204,False
Familial squamous cell lung carcinoma,5.829492056388454,0.05076267488899547,False
Hair color,2.3057866184448463,0.05464939842860169,False
Medication use (thyroid preparations),3.6019444444444444,0.05616284722124614,False
Non-albumin protein levels,5.430775646371977,0.05725199147939732,False
Ischemic stroke,5.430775646371977,0.05725199147939732,False
Lung function (FVC),1.9935803447592628,0.059102911793340436,False
Red cell distribution width,1.8176751008434178,0.06294825668320236,False
Primary biliary cholangitis,5.0829592035916455,0.06401263656058649,False
Thiazide-induced adverse metabolic effects in hypertensive patients,4.976681957186544,0.0663234529510204,False
Adverse response to drug,4.874742557573488,0.0686618509074497,False
Alcohol consumption (drinks per week) (MTAG),3.2422422422422423,0.07155396963489893,False
Chronic lymphocytic leukemia,4.592448835568102,0.07583638733713191,False
Psoriasis,3.128502415458937,0.07757415090448797,False
Resistant hypertension,13.18989898989899,0.08113591897687783,False
Amblyopia,13.18989898989899,0.08113591897687783,False
Midgestational circulating levels of PBDEs (fetal genetic effect),13.18989898989899,0.08113591897687783,False
Capecitabine sensitivity,13.18989898989899,0.08113591897687783,False
B-cell acute lymphoblastic leukaemia,13.18989898989899,0.08113591897687783,False
Caffeine consumption,13.18989898989899,0.08113591897687783,False
Age-related diseases and mortality,13.18989898989899,0.08113591897687783,False
Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 2 peripheral neuropathy),13.18989898989899,0.08113591897687783,False
Cutaneous malignant melanoma,13.18989898989899,0.08113591897687783,False
Sunburns,4.187992918075004,0.08828943149851005,False
Heart rate in heart failure with reduced ejection fraction,4.187992918075004,0.08828943149851005,False
