,OR,p,FDR
White blood cell count,1.8066961807322184,4.246264614595845e-08,True
Eosinophil counts,1.5668838593851426,8.099413283184591e-05,False
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",2.1878654970760234,0.00015880827858581813,False
Multiple sclerosis,1.751135947627969,0.0002797943914327212,False
Myeloid white cell count,2.203260825205077,0.0005354326851695378,False
Sum neutrophil eosinophil counts,2.224969696969697,0.0005918867037109329,False
Sum basophil neutrophil counts,2.1231559069987016,0.0008608948423646917,False
Eczema,1.9912408759124087,0.0009390994096808235,False
Sum eosinophil basophil counts,2.0154856084834205,0.0009518439457638243,False
Granulocyte count,2.1169070331903366,0.001348243327174643,False
Systemic lupus erythematosus,1.7498529411764705,0.0014929550643852157,False
Lymphocyte counts,1.9864399954997365,0.001644743748052782,False
Non-albumin protein levels,3.0669546436285096,0.002020381030143902,False
Monocyte percentage of white cells,1.8973773507119525,0.0021108707359633197,False
Hypothyroidism,1.9917418819379604,0.003257741472518545,False
"Allergic disease (asthma, hay fever or eczema)",1.9207149460708783,0.003455371042109345,False
Monocyte count,1.8463269562256603,0.003455988030777627,False
Alzheimer's disease (late onset),2.370916961826053,0.004784694466527925,False
Neutrophil count,1.8080548137358043,0.005110966943454155,False
Family history of Alzheimer's disease,2.728859198355601,0.006292286079388441,False
Albumin-globulin ratio,2.7997959231001137,0.007786181895789418,False
Eosinophil percentage of white cells,1.7691818181818182,0.008523067446741878,False
Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),3.5703012912482066,0.009024197870061014,False
Medication use (thyroid preparations),1.967300668458411,0.009058159100953983,False
Mean corpuscular hemoglobin,1.3109949623867212,0.009495988579345246,False
Inflammatory bowel disease,1.6066502273252679,0.009542837256126264,False
Mean corpuscular hemoglobin concentration,1.9439942112879884,0.010036542983789308,False
IgA levels,4.813355619229545,0.010720896426642845,False
Plateletcrit,1.6026464488719847,0.013025716346901976,False
Granulocyte percentage of myeloid white cells,1.6734682468694098,0.016912422595624234,False
Vitiligo,2.090004269399082,0.018866254612655384,False
Limited cutaneous systemic scleroderma,4.948154207996728,0.02094495171057346,False
Neutrophil percentage of white cells,1.7977410427107487,0.02222666964106012,False
Ulcerative colitis,1.5870342471566796,0.027836146778361978,False
White blood cell count (basophil),1.9452201132862963,0.029406443073028223,False
Neutrophil percentage of granulocytes,1.6067543768776547,0.033494080159212535,False
Autoimmune traits,1.9643832267003545,0.03353356785815723,False
Rheumatoid arthritis (ACPA-positive),2.1151654363416386,0.03448842781041907,False
