,OR,p,FDR
Lymphocyte percentage of white cells,7.958832565284178,0.0001866172929651557,False
Monocyte percentage of white cells,6.094990548204159,0.000271336858147186,False
Granulocyte percentage of myeloid white cells,5.58952154145919,0.0011041872737812953,False
Medication use (diuretics),7.701704966641957,0.0024361447103827165,False
Pulse pressure,2.897685185185185,0.002820059526783868,False
Heel bone mineral density,2.3227262366081605,0.0029040647599031053,False
Neutrophil percentage of granulocytes,5.053973717146433,0.004206638601007426,False
Neutrophil percentage of white cells,5.401563314226159,0.008075657725020637,False
Urinary albumin excretion (no hypertensive medication),14.936998854524628,0.009749825708630859,False
Mouth ulcers,6.885063559322034,0.011340715747359084,False
Multiple sclerosis,2.9904052603327966,0.012383911661294423,False
Hypertension,4.738855835240274,0.012391235649511908,False
Melanoma,11.685342895562528,0.015024001232291901,False
Hypothyroidism,4.356378947368421,0.01623519809193332,False
Red blood cell count,2.1564682626839446,0.016286953526630885,False
Birth weight,3.454760369653987,0.018514616769893914,False
Fasting blood glucose (BMI interaction),10.334655035685964,0.018656220574477068,False
Plasma factor VII activating protease levels,9.951126384116074,0.019941120450092532,False
Refractive error,2.638512710857686,0.02235401790881396,False
Microalbuminuria,9.263419836473515,0.02261848554888368,False
Body mass index,1.8069287166085946,0.02476391521029151,False
Neurofibrillary tangles,8.664449617559029,0.02543528050212471,False
Urinary albumin-to-creatinine ratio,4.945121951219512,0.02618014383971621,False
Urinary albumin excretion,8.393041237113403,0.026894493253910433,False
Lymphocyte counts,3.6981023988542785,0.02711289667751173,False
Eosinophil percentage of granulocytes,3.6728307254623043,0.027689687174851235,False
Breast cancer (estrogen-receptor negative),7.898120072771377,0.029911666162690042,False
Diastolic blood pressure (cigarette smoking interaction),7.898120072771377,0.029911666162690042,False
Waist-to-hip ratio adjusted for BMI,2.067716246222682,0.032531794766535636,False
Sum eosinophil basophil counts,3.4823211875843456,0.03256848651823901,False
Orofacial clefts,7.4581901489117985,0.0330567349596764,False
Estimated glomerular filtration rate,2.4015775777946438,0.03411602934462418,False
Hair color,2.601469987750102,0.03452510776552921,False
Fasting blood glucose,7.256060183895236,0.03467584189508088,False
Adventurousness,4.356518817204301,0.03571520684511727,False
Systolic blood pressure (cigarette smoking interaction),7.064568638090071,0.036325269489019874,False
Serum uric acid levels,4.309840425531915,0.0366595502006291,False
Eczema,3.330965450435906,0.03722620625538388,False
Medication use (thyroid preparations),4.049375,0.04259296312790463,False
Cardiovascular disease,2.725106382978723,0.04329180319992265,False
Metabolic syndrome,3.969362745098039,0.044671653174525636,False
Offspring birth weight,3.9305218446601944,0.045729716031017914,False
Non-albumin protein levels,6.098406747891284,0.04682887991770331,False
White blood cell count,1.9282399087371662,0.04727960600042199,False
Spherical equivalent or myopia (age of diagnosis),3.7124426605504586,0.052337022634427285,False
Tea consumption,5.258540529613907,0.06029059341299948,False
Body mass index in physically active individuals,5.258540529613907,0.06029059341299948,False
Eosinophil counts,1.8875190258751902,0.06302629027354295,False
Hay fever and/or eczema,3.369270833333333,0.0655718736890124,False
Cognitive ability (MTAG),4.787187039764359,0.07061586620553181,False
Red cell distribution width,1.8316568047337278,0.0724542497890524,False
Body mass index (joint analysis main effects and physical activity interaction),4.702839573159704,0.0727460019028281,False
Triglyceride levels in current drinkers,4.702839573159704,0.0727460019028281,False
Lung function (low FEV1 vs high FEV1),14.794784580498867,0.07277180570585563,False
Caffeine consumption,14.794784580498867,0.07277180570585563,False
Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 2 peripheral neuropathy),14.794784580498867,0.07277180570585563,False
Attention function in attention deficit hyperactive disorder,14.794784580498867,0.07277180570585563,False
Carpal tunnel syndrome,14.794784580498867,0.07277180570585563,False
Response to antipsychotic therapy (extrapyramidal side effects),14.794784580498867,0.07277180570585563,False
Biochemical measures,14.794784580498867,0.07277180570585563,False
Age-related diseases and mortality,14.794784580498867,0.07277180570585563,False
Cutaneous malignant melanoma,14.794784580498867,0.07277180570585563,False
Triglyceride levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df),4.466666666666667,0.07925879261886618,False
Cuneus cortex volume,13.314285714285715,0.07975405194164835,False
"Facial morphology (factor 2, vertical position of orbits relative to midface)",13.314285714285715,0.07975405194164835,False
"Facial morphology (factor 8, orbital inclination due to vertical and horizontal position of exocanthion)",13.314285714285715,0.07975405194164835,False
Elevated serum carcinoembryonic antigen levels,13.314285714285715,0.07975405194164835,False
Select biomarker traits,13.314285714285715,0.07975405194164835,False
Serum thyroid-stimulating hormone levels,13.314285714285715,0.07975405194164835,False
Conotruncal heart defects (maternal effects),13.314285714285715,0.07975405194164835,False
