,OR,p,FDR
Protein quantitative trait loci,3.083541276772718,0.005625396912362019,False
Glycated hemoglobin levels,2.1600072979383325,0.01127083536578979,False
Educational attainment (college completion),3.0449676053627557,0.013511166152823606,False
Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),2.662894694662606,0.033737087963486956,False
Feeling tense,2.7707749766573295,0.04225741238598698,False
Primary biliary cholangitis,1.8728046221506798,0.05671406969517559,False
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",1.3817364783751338,0.07569302682444476,False
Obesity (early onset extreme),2.8714786603796396,0.08528031898919003,False
Albumin-globulin ratio,1.8185351882160392,0.09003522454699953,False
High light scatter reticulocyte percentage of red cells,1.383773384323742,0.09218785421957007,False
Breast cancer (estrogen-receptor negative),1.8470166692631251,0.1005575901671711,False
IgA levels,2.5841131664853103,0.1072262888094347,False
Survival in pancreatic cancer,2.0407636738906088,0.10849129768100188,False
Chin dimples,2.153692614770459,0.11992999762610182,False
Sum neutrophil eosinophil counts,1.3431266846361185,0.13131769261988885,False
Facial morphology,2.348995944208131,0.13141353183084664,False
White blood cell types,2.348995944208131,0.13141353183084664,False
High light scatter reticulocyte count,1.3156010756585277,0.13154899832891287,False
Hypothyroidism,1.3304611276573894,0.13931308117743968,False
Atypical femoral fracture in phosphonate treatment,2.7678862735958982,0.14047727469182733,False
Mammographic density (dense area),2.7678862735958982,0.14047727469182733,False
Body mass index (age <50),2.7678862735958982,0.14047727469182733,False
Cutaneous psoriasis,2.7678862735958982,0.14047727469182733,False
Red blood cell traits,1.6159301691216585,0.14119561546666415,False
Ankylosing spondylitis,1.6159301691216585,0.14119561546666415,False
Hemoglobin A1c levels,1.6678509867379603,0.14358228218669083,False
Pediatric autoimmune diseases,1.6678509867379603,0.14358228218669083,False
Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test),1.7398029763152378,0.14492501034278493,False
Basal cell carcinoma,1.4637797711104237,0.15510405168070374,False
Keratinocyte cancer (MTAG),1.4637797711104237,0.15510405168070374,False
Family history of Alzheimer's disease,1.5721236785066572,0.1559077124521451,False
Periodontitis (CDC/AAP),2.153064925643816,0.15759462149889183,False
Sum basophil neutrophil counts,1.2940076965365586,0.15852752406877832,False
Urinary albumin-to-creatinine ratio,1.3856439127375089,0.16100350713584838,False
Migraine - clinic-based,1.6752245433444344,0.1626613606270374,False
Systolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),1.7620320855614973,0.16430217574593176,False
"Bone mineral density (paediatric, total body less head)",2.4216965742251224,0.1748178965174431,False
Accelerated cognitive decline after conversion of mild cognitive impairment to Alzheimer's disease (Alzhiemer's diagnosis trajectory interaction),2.4216965742251224,0.1748178965174431,False
Abdominal aortic aneurysm,2.4216965742251224,0.1748178965174431,False
Liver enzyme levels (alkaline phosphatase),2.4216965742251224,0.1748178965174431,False
Frontotemporal dementia,2.4216965742251224,0.1748178965174431,False
Myeloid white cell count,1.2705259026687599,0.18335803608901513,False
Oppositional defiant disorder dimensions in attention-deficit hyperactivity disorder,1.9872771407047793,0.18549761395321718,False
Myringotomy,1.7942902074638603,0.18723192920624998,False
White matter microstructure (mode of anisotropy),1.4912501573712702,0.18742693203774582,False
Granulocyte count,1.269288210749973,0.19102186262269275,False
Gut microbiota relative abundance (bacterial taxa),1.6149237472766884,0.20702045824735293,False
Loneliness (linear analysis),2.152437919158963,0.21116189516329534,False
Left atrial antero-posterior diameter,2.152437919158963,0.21116189516329534,False
