,OR,p,FDR
Eosinophil percentage of white cells,4.510135135135135,0.0030731880739949206,False
Cutaneous psoriasis,27.177083333333332,0.0036456748963055435,False
Sum eosinophil basophil counts,4.3324003582624275,0.003710229743977122,False
Albumin-globulin ratio,8.634453781512605,0.006391023099665477,False
Eosinophil counts,2.264776542984391,0.008662938420257092,False
Tonsillectomy,3.999442586399108,0.01056542633734902,False
Respiratory diseases,4.828459675917303,0.011667327590142738,False
Systemic sclerosis,6.690447607614474,0.0123112662638511,False
Eosinophil percentage of granulocytes,3.7519623233908947,0.013488049053146559,False
Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test),5.850990396158464,0.017285943372742082,False
Waist circumference adjusted for BMI in non-smokers,5.648362793393219,0.018884504152216063,False
Eczema,3.4006014561570117,0.01949246937477941,False
Mouth ulcers,5.552200541233442,0.019713528081428067,False
Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),9.871969696969696,0.020550500979353216,False
Waist-to-hip ratio adjusted for BMI in non-smokers,9.871969696969696,0.020550500979353216,False
Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),9.442028985507246,0.02220398976103727,False
Psoriasis,3.847457627118644,0.023943398203282198,False
Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction),5.037362637362637,0.025105066551947504,False
Asthma,2.5356351236146635,0.02633625697017992,False
Waist circumference adjusted for BMI (adjusted for smoking behaviour),4.81401384083045,0.028069076741178724,False
Sjögren's syndrome,7.752976190476191,0.031247145357183818,False
Mumps,7.485057471264367,0.033203369792233844,False
Waist-to-hip ratio adjusted for body mass index,4.42164433340904,0.034530439532200904,False
Psoriasis vulgaris,7.235,0.03520634676037023,False
Psoriatic arthritis,6.781770833333334,0.039348500249626876,False
Urinary tract infection frequency,6.575757575757576,0.04148568399940918,False
Neutrophil percentage of granulocytes,3.1958431275516515,0.0419585864849364,False
Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction),6.199047619047619,0.045887390479389015,False
Red cell distribution width,1.8201005159462134,0.05267048651123192,False
