,OR,p,FDR
Eosinophil counts,4.856974921630094,3.038715454308464e-10,True
Multiple sclerosis,5.598441302884367,7.974044557869784e-08,True
Crohn's disease,6.07717803030303,2.3977210347013244e-06,True
"Allergic disease (asthma, hay fever or eczema)",7.404707233065442,3.0454331671940873e-06,True
Height,2.3848388674215912,4.450759556688256e-06,True
Eosinophil percentage of white cells,6.885149572649572,5.563505748567742e-06,True
Sum eosinophil basophil counts,6.6066666666666665,7.813617887704805e-06,True
Red blood cell count,3.113551536032156,1.064480705575822e-05,True
Eczema,6.308672219500245,1.1397030421457238e-05,True
Male-pattern baldness,4.317363234794428,1.5920586460935184e-05,True
Chronic lymphocytic leukemia,12.112873134328359,2.197686372691229e-05,True
Asthma,4.344593175853018,2.8771854009539277e-05,True
Balding type 1,5.555315471045808,3.182283336503812e-05,True
Eosinophil percentage of granulocytes,6.192814818769017,3.464387297133879e-05,True
Hay fever and/or eczema,6.807905138339921,4.9091522909490605e-05,True
Heel bone mineral density,2.5734742133373016,6.926852813910888e-05,True
"Medication use (adrenergics, inhalants)",12.030555555555555,0.00010956417791600357,True
Neutrophil percentage of granulocytes,5.8783321941216675,0.00012857356166646306,True
Inflammatory bowel disease,4.586046511627907,0.00014329635093693235,True
Asthma (moderate or severe),16.63682864450128,0.00017736786584911904,True
Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular),15.942401960784315,0.0002052310451133781,True
Lymphocyte counts,5.46302182665819,0.00020633068693939324,True
Hypertension,6.0718984962406015,0.0002742310714431663,True
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",4.970469021424435,0.00037647435739996137,True
Medication use (glucocorticoids),25.92302587923026,0.0003924989461238377,True
Nonatopic asthma,8.582671957671957,0.0004656573252438466,True
Respiratory diseases,6.5121583095757165,0.0005180117105813919,True
Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid),21.93149915777653,0.0005945095597617492,True
Allergic rhinitis,7.876138433515482,0.000670472672352875,True
Subcutaneous adipose tissue,11.244809688581315,0.000681455254089159,True
Vitiligo,7.7485065710872165,0.0007184272406421807,True
Nasal polyps,19.004379562043795,0.0008529060322279066,True
Offspring birth weight,5.79089552238806,0.0009244786596811705,True
Asthma (adult onset),7.27665544332211,0.0009362713989976221,True
Asthma (childhood onset),4.186054089279896,0.0010916228298111256,True
Celiac disease and Rheumatoid arthritis,16.76599398883641,0.0011731745337210438,True
Urinary albumin excretion (no hypertensive medication),16.76599398883641,0.0011731745337210438,True
Central corneal thickness,9.553676470588234,0.0011930352434406477,True
Thiazide-induced adverse metabolic effects in hypertensive patients,8.303708439897699,0.0019269144816596911,False
Appendicular lean mass,3.2100882723833544,0.0019615738063098313,False
Medication use (calcium channel blockers),5.922267946959305,0.002206104826329039,False
Survival in pancreatic cancer,12.950564034505641,0.0022768335041727173,False
Lung function (FVC),2.6483318451172986,0.0024887176221390387,False
Breast cancer,2.689493166287016,0.0031176451587998514,False
Cognitive ability (MTAG),7.069172113289761,0.003325214033579352,False
Selective IgA deficiency,10.548256285482562,0.003866487656710199,False
Mean corpuscular hemoglobin,2.204192965206635,0.004051824866175048,False
Microalbuminuria,10.170750782064651,0.004247787100392838,False
White blood cell count,2.229561597973126,0.004594256516219377,False
Biochemical measures,23.596014492753625,0.004772389271945966,False
Number of sexual partners,6.153225806451613,0.005292094190541732,False
Migraine - clinic-based,9.184365434424299,0.005525379213073309,False
Pulse pressure,2.377352691508357,0.005834176427973901,False
Systolic blood pressure,2.0601532062261203,0.006158281449677557,False
Rheumatoid arthritis,3.871782029450065,0.006207126940604244,False
Plateletcrit,3.394340121660936,0.006445983189392985,False
Refractive error,2.6848908667090483,0.00647885627782932,False
Lymphocyte percentage of white cells,4.516771488469602,0.006578367906568805,False
Left ventricle wall thickness,18.87391304347826,0.006902745511506574,False
Prostate cancer (SNP x SNP interaction),18.87391304347826,0.006902745511506574,False
Asthma onset (childhood vs adult),8.372048089308716,0.007010422909579884,False
Osteoarthritis (hip),8.372048089308716,0.007010422909579884,False
Colorectal cancer or advanced adenoma,5.526001705029838,0.0075500067603591885,False
Cognitive ability,7.905717761557177,0.008119554213492863,False
Medication use (diuretics),5.369511184755592,0.008295329154760436,False
Atopic asthma,4.234677155031138,0.00846861009115694,False
Systemic lupus erythematosus and Systemic sclerosis,15.72584541062802,0.009386076907229075,False
Schizophrenia,2.221830502894455,0.009688649705858638,False
Hip circumference adjusted for BMI,3.4496380373581195,0.010393441681012833,False
Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid),14.51505016722408,0.010755194020553438,False
Metabolite levels,1.885394500255687,0.011668673952257628,False
"B-cell malignancies (chronic lymphocytic leukemia, Hodgkin lymphoma or multiple myeloma) (pleiotropy)",13.477225672877847,0.012206720372006541,False
Type 1 diabetes,4.588944011339476,0.013784864714870804,False
Waist-to-hip ratio adjusted for BMI,2.053479488457067,0.013860021625237176,False
Primary biliary cholangitis,6.182323072040622,0.015159058960133863,False
Asthma and hay fever,11.790760869565217,0.015349509214055696,False
Systemic lupus erythematosus,2.817441092270425,0.016050286816163335,False
Body mass index,1.7182489491906532,0.016668519618673806,False
Rheumatoid arthritis (ACPA-positive),5.923813868613139,0.016874275964220285,False
Response to tocilizumab in rheumatoid arthritis,11.096334185848253,0.017037100902223806,False
Corneal structure,11.096334185848253,0.017037100902223806,False
Lung function (FEV1/FVC),2.095934139784946,0.01834557667565966,False
Tea consumption,5.685985401459854,0.018693779591304274,False
Varicose veins,10.479066022544284,0.018799759387561364,False
Adult asthma,10.479066022544284,0.018799759387561364,False
Cardiovascular disease,2.7132852292020373,0.01915515683394676,False
Intraocular pressure,2.6802264625707695,0.020277828953906646,False
Fat-free mass,3.3622848200312987,0.02029189488537844,False
Visceral adipose tissue/subcutaneous adipose tissue ratio,9.429710144927537,0.02254325610281735,False
Nevus count or cutaneous melanoma,9.429710144927537,0.02254325610281735,False
Osteoarthritis of the hip or knee,9.429710144927537,0.02254325610281735,False
Waist circumference adjusted for body mass index,1.9001543209876544,0.024214705612481707,False
Automobile speeding propensity,8.979986197377501,0.024520654886365043,False
Diastolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),8.979986197377501,0.024520654886365043,False
Chronic obstructive pulmonary disease,3.8038235294117646,0.02483174989364465,False
Weight,3.1809876543209876,0.024837022342497437,False
Hemoglobin levels,8.571146245059289,0.02656624077579595,False
Melanoma,8.19785759294266,0.028678363147478098,False
Mean arterial pressure x alcohol consumption (light vs heavy) interaction (2df test),8.19785759294266,0.028678363147478098,False
Ulcerative colitis,3.037508846426044,0.029312839198043224,False
Non-melanoma skin cancer,4.656694986239081,0.03057457275535707,False
Pulmonary function decline,7.855676328502415,0.030855398315126646,False
Self-reported allergy,7.855676328502415,0.030855398315126646,False
Basal cell carcinoma,4.581233812102661,0.031811471635434664,False
Keratinocyte cancer (MTAG),4.581233812102661,0.031811471635434664,False
Risk-taking tendency (4-domain principal component model),4.508168230795968,0.033074299131725854,False
Brown vs. black hair color,7.540869565217391,0.03309574915775294,False
General risk tolerance (MTAG),2.9243353783231085,0.033531293514650826,False
Total body bone mineral density,3.4239533651298357,0.034184764078875024,False
Autoimmune traits (pleiotropy),7.2502787068004455,0.035397844738596,False
Primary biliary cirrhosis,7.2502787068004455,0.035397844738596,False
Mean corpuscular volume,2.3542012927054476,0.03635004837980394,False
Hematocrit,3.333075335397317,0.03704627160276397,False
