,OR,p,FDR
White blood cell count,1.7580258416742494,8.975890134754988e-07,True
"Allergic disease (asthma, hay fever or eczema)",2.48980190755686,6.664203506998314e-05,True
Lymphocyte counts,2.346749697284207,0.0001570164705537852,True
Eczema,2.25866671644856,0.0001678017702891856,True
Eosinophil counts,1.5695071220309396,0.00018824252107556082,True
Inflammatory bowel disease,2.0335754169555855,0.00020702534875810454,True
Multiple sclerosis,1.799925021817422,0.0003031427141568524,False
Systemic lupus erythematosus,1.8862000660283922,0.00061103991060959,False
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",2.1045006988662838,0.000706060036825531,False
Medication use (thyroid preparations),2.475430037987962,0.0007140920474325405,False
Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),5.112970711297071,0.0008032621253522117,False
Hypothyroidism,2.2304924848097216,0.0010293563196219434,False
Ulcerative colitis,2.0579931972789116,0.0011527366283144457,False
Albumin-globulin ratio,3.300164940648406,0.0027138255900727524,False
Hay fever and/or eczema,2.1135164725788793,0.002886187769948455,False
Primary biliary cholangitis,2.962248322147651,0.0034203132955268724,False
Rheumatoid arthritis (ACPA-positive),2.8136744966442953,0.0047410529577920114,False
Plateletcrit,1.752499418739828,0.005301961359385838,False
Non-albumin protein levels,2.8406445003259755,0.0065553742556028905,False
Mean platelet volume,1.6552970606629143,0.007577923681742399,False
Itch intensity from mosquito bite,2.2937409446537234,0.00959383473745969,False
Mean corpuscular hemoglobin concentration,2.0016378825764183,0.010658892979673918,False
Mean corpuscular hemoglobin,1.3226356093954856,0.011479637826062608,False
Atopic dermatitis,2.627638190954774,0.014440569044567223,False
Leprosy,3.1078595317725752,0.014726172985769809,False
Sum eosinophil basophil counts,1.7213720153408387,0.01557250814308798,False
Ankylosing spondylitis,2.5544388609715245,0.01665907719441299,False
Family history of Alzheimer's disease,2.48519625152791,0.019116734666778067,False
Asthma,1.4627323350139212,0.021458135970927127,False
Self-reported allergy,3.0616541353383457,0.02460067539726747,False
Basal cell carcinoma,2.081810837683321,0.028368649477705732,False
Eosinophil percentage of white cells,1.616751269035533,0.03390890449455545,False
Primary biliary cirrhosis,2.782866256550467,0.03456735944755305,False
Vitiligo,2.0071308724832213,0.03463767014859602,False
Platelet count,1.415359158467039,0.037681465360023765,False
Monocyte count,1.5642581616332676,0.04017711650663722,False
High light scatter reticulocyte count,1.599218089602705,0.04097686063085644,False
Respiratory diseases,1.7669169028855038,0.04284751987671066,False
Neutrophil percentage of granulocytes,1.5934177004873726,0.04661630150258732,False
Mouth ulcers,1.964020891095493,0.047497579880853694,False
Myopia (pathological),2.0420435510887773,0.04882326204085985,False
Asthma (adult onset),1.8727069351230425,0.04997712510161917,False
Mammographic density (dense area),4.3675,0.05324611912296045,False
Mean corpuscular volume,1.3502960855697244,0.06746359542117596,False
Abdominal aortic aneurysm,3.82125,0.06847923337775272,False
Amyotrophic lateral sclerosis (age of onset),3.82125,0.06847923337775272,False
Lymphocyte percentage of white cells,1.596696127946128,0.06976610329055959,False
Calcific aortic valve stenosis,2.9124270225187656,0.07098357916712997,False
Monocyte percentage of white cells,1.461082910321489,0.07356276688327437,False
HDL cholesterol levels x short total sleep time interaction (2df test),1.8370854271356785,0.07782093264119244,False
Red blood cell count,1.1958858543417368,0.07887888323456918,False
Platelet distribution width,1.4606931530008453,0.07926581698926559,False
Adverse response to drug,1.898297168434368,0.08187208642246044,False
Glycated hemoglobin levels,1.8009163464380726,0.08465666369215995,False
Loneliness (linear analysis),3.3963888888888887,0.08543365475359803,False
Celiac disease or Rheumatoid arthritis,3.3963888888888887,0.08543365475359803,False
Bone mineral content,3.3963888888888887,0.08543365475359803,False
Primary sclerosing cholangitis,2.317119441493398,0.088198871885123,False
Moyamoya disease,2.317119441493398,0.088198871885123,False
Systemic sclerosis,1.8550019018638266,0.08956259881698249,False
Celiac disease,1.651302803000395,0.09297035024876651,False
Feeling tense,2.5479566305254377,0.0976743453652608,False
Rheumatoid arthritis,1.427737480127186,0.09892934358519392,False
Autoimmune traits (pleiotropy),2.216193656093489,0.0998578963296381,False
Lead levels in blood,3.0565,0.10396065648072805,False
Breast cancer specific mortality in estrogen receptor negative breast cancer,3.0565,0.10396065648072805,False
Serum folate levels,3.0565,0.10396065648072805,False
Chronic lymphocytic leukemia,1.7740585774058577,0.10614879727994508,False
Asthma onset (childhood vs adult),1.973482092327593,0.10851464765513684,False
Loneliness,2.123678352810239,0.11224501211112986,False
Clopidogrel active metabolite levels,2.3978805867634794,0.11253112545480362,False
Type 2 diabetes (adjusted for BMI),1.7845317725752508,0.1231516427792057,False
Systemic lupus erythematosus and Systemic sclerosis,2.778409090909091,0.12389920583532568,False
Nonsyndromic cleft lip with or without cleft palate,2.778409090909091,0.12389920583532568,False
Keratinocyte cancer (MTAG),1.6394472361809045,0.12400700944342657,False
Hemoglobin A1c levels,1.8535733272575379,0.13135287442839927,False
High light scatter reticulocyte percentage of red cells,1.3887824620573357,0.1328168135823627,False
Eosinophil percentage of granulocytes,1.3718496126960136,0.1342069481015924,False
Tonsillectomy,1.3776466179501592,0.13891138457166907,False
Myeloid white cell count,1.384261705196122,0.1437842489872706,False
Kidney stones,2.14512093411176,0.1449582672886295,False
Myringotomy,2.14512093411176,0.1449582672886295,False
Alzheimer's disease or family history of Alzheimer's disease,1.52243810286372,0.1482716960608155,False
Granulocyte percentage of myeloid white cells,1.3414764852628662,0.15240079795005165,False
Psoriasis vulgaris,1.8872503555308229,0.15345596868393177,False
Worry,1.4999260391499434,0.15733223214500117,False
Reticulocyte count,1.3452749781037165,0.15812235254074794,False
Red cell distribution width,1.1477873977873978,0.16169892534714628,False
Extremely high intelligence,2.350576923076923,0.16733795843263544,False
Periodontitis (CDC/AAP),2.350576923076923,0.16733795843263544,False
Alzheimer's disease (late onset),1.5044484718675344,0.17154293646590765,False
Crohn's disease,1.2559004803770506,0.18172218980314542,False
White blood cell count (basophil),1.4800615983141514,0.1819459871636809,False
Psoriatic arthritis,1.7568073225490761,0.1839214746290191,False
LDL cholesterol levels x short total sleep time interaction (2df test),1.6090225563909775,0.19712208132525302,False
Asthma or allergic disease (pleiotropy),1.69810795770729,0.19992221251922895,False
Autism spectrum disorder or schizophrenia,1.296652970381784,0.20954926472309066,False
"Medication use (adrenergics, inhalants)",1.567637041321252,0.21154754673392262,False
Chronic obstructive pulmonary disease or high blood pressure (pleiotropy),2.0368333333333335,0.2144031278284545,False
Waist-to-hip ratio adjusted for BMI x sex interaction,2.0368333333333335,0.2144031278284545,False
Menopause (age at onset),1.411403169694627,0.21474894947990303,False
Feeling fed-up,1.643195648661748,0.21637294756899866,False
Mental health study participation (completed survey),1.7714762301918265,0.2186165831694903,False
Lateral orbital frontal cortex volume,2.5453788509575355,0.22357542079699763,False
Cutaneous psoriasis,2.5453788509575355,0.22357542079699763,False
Infant length,2.5453788509575355,0.22357542079699763,False
Exploratory eye movement dysfunction in schizophrenia (cognitive search score),2.5453788509575355,0.22357542079699763,False
Atypical femoral fracture in phosphonate treatment,2.5453788509575355,0.22357542079699763,False
Response to antipsychotic treatment in schizophrenia (working memory),2.5453788509575355,0.22357542079699763,False
"Facial morphology (factor 17, height of vermillion upper lip)",2.5453788509575355,0.22357542079699763,False
Age at menopause,1.35915060072646,0.22774680775108713,False
Neutrophil percentage of white cells,1.3155656672354488,0.22851515863121669,False
Offspring birth weight,1.301463100916448,0.23832641429933699,False
Systolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),1.6975257158743398,0.23840969764418407,False
Parental lifespan,1.909375,0.23888989722143528,False
Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),1.4909224280212727,0.24142453441275846,False
Prostate cancer,1.2360164407342167,0.2500523207131572,False
Sum basophil neutrophil counts,1.2434302373326764,0.25235190703298604,False
Granulocyte count,1.2520325203252032,0.254542134242866,False
Sum neutrophil eosinophil counts,1.2520325203252032,0.254542134242866,False
Atopic asthma,1.2621288515406162,0.2565818224805203,False
Limited cutaneous systemic scleroderma,2.2623739476362292,0.25804124022926267,False
Response to anti-depressant treatment in major depressive disorder,2.2623739476362292,0.25804124022926267,False
Cutaneous squamous cell carcinoma,2.2623739476362292,0.25804124022926267,False
Total intracranial volume,2.2623739476362292,0.25804124022926267,False
Celiac disease and Rheumatoid arthritis,1.7969117647058823,0.2638102887342385,False
Major depressive disorder in trauma-unexposed individuals,1.7969117647058823,0.2638102887342385,False
Parental extreme longevity (95 years and older),1.421344057818966,0.272450195856453,False
Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test),1.371366092101878,0.27432313276569,False
Sjögren's syndrome,1.5666901905434016,0.27909845644436687,False
Gut microbiota relative abundance (bacterial taxa),1.5666901905434016,0.27909845644436687,False
Fibrinogen levels,1.3889268626110731,0.28831018559029,False
Allergic sensitization,1.6969444444444444,0.2890234826103003,False
Red vs. brown/black hair color,1.6969444444444444,0.2890234826103003,False
Interleukin-17 levels,1.6969444444444444,0.2890234826103003,False
Hodgkin's lymphoma,1.6969444444444444,0.2890234826103003,False
Neutrophil count,1.1869643558409757,0.2899860905555507,False
Prostate cancer (early onset),2.035970024979184,0.29256275732578746,False
Interleukin-7 levels,2.035970024979184,0.29256275732578746,False
Percentage gas trapping,2.035970024979184,0.29256275732578746,False
TB-LM or TBLH-BMD (pleiotropy),2.035970024979184,0.29256275732578746,False
Irritable bowel syndrome,2.035970024979184,0.29256275732578746,False
IgG N-glycosylation phenotypes (multivariate analysis),2.035970024979184,0.29256275732578746,False
Word reading,2.035970024979184,0.29256275732578746,False
IgE levels,2.035970024979184,0.29256275732578746,False
"anorexia nervosa, attention-deficit/hyperactivity disorder, autism spectrum disorder, bipolar disorder, major depression, obsessive-compulsive disorder, schizophrenia, or Tourette syndrome (pleiotropy)",1.2453952274422073,0.2928323526785941,False
Protein quantitative trait loci,1.5085410681740956,0.2998419384707708,False
Perceived unattractiveness to mosquitoes,1.5085410681740956,0.2998419384707708,False
Waist circumference adjusted for body mass index,1.0767341209498187,0.3026790585362825,False
Cognitive empathy,1.3203579834014616,0.3033494279413311,False
Gamma glutamyl transferase levels,1.4143943609719904,0.3036901414410629,False
Stroke,1.4143943609719904,0.3036901414410629,False
HDL cholesterol,1.1382672371235807,0.3116747553020822,False
Hematology traits,1.6075,0.3143984732299471,False
Cancer (pleiotropy),1.6075,0.3143984732299471,False
Electroencephalogram traits,1.6075,0.3143984732299471,False
Age-related hearing impairment,1.6075,0.3143984732299471,False
Hippocampal atrophy,1.6075,0.3143984732299471,False
Pneumonia,1.3760546857374905,0.3218299773957859,False
Coffee consumption,1.2388292815428494,0.32427683962433246,False
Obesity (early onset extreme),1.8507304518961472,0.32685404839032073,False
Voxel-wise structural brain imaging measurements in Alzheimer’s disease,1.8507304518961472,0.32685404839032073,False
Influenza A (H1N1) infection,1.8507304518961472,0.32685404839032073,False
Alzheimer's disease or HDL levels (pleiotropy),1.8507304518961472,0.32685404839032073,False
Urinary calcium excretion,1.8507304518961472,0.32685404839032073,False
Stress sensitivity (neuroticism score x major depressive disorder status interaction),1.8507304518961472,0.32685404839032073,False
Diastolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),1.527,0.3398145041248424,False
Monocyte chemoattractant protein-1 levels,1.3397328881469115,0.3400864017875558,False
Neurofibrillary tangles,1.4042736763394783,0.34176616730976084,False
Stem cell growth factor beta levels,1.4042736763394783,0.34176616730976084,False
Alanine aminotransferase (ALT) levels after remission induction therapy in actute lymphoblastic leukemia (ALL),1.4042736763394783,0.34176616730976084,False
Non-melanoma skin cancer,1.250557413600892,0.34791531088462446,False
Basophil percentage of granulocytes,1.3052737468430289,0.35841516082523983,False
Mosaic loss of chromosome Y (Y chromosome dosage),1.3052737468430289,0.35841516082523983,False
Lumbar spine bone mineral density (integral),1.6963641409936163,0.36067985546953113,False
"Obstructive sleep apnea trait (apnea hypopnea index, change over time)",1.6963641409936163,0.36067985546953113,False
Interleukin-16 levels,1.6963641409936163,0.36067985546953113,False
Migraine - clinic-based,1.3573533500139006,0.3628121263418664,False
Autoimmune traits,1.228895167800715,0.3629459404212221,False
Psoriasis,1.1529870253314956,0.36583799924459737,False
Coronary artery disease,1.0761334473909325,0.3710330073572453,False
Red blood cell traits,1.2725375626043405,0.37677361257098757,False
Daytime sleep phenotypes,1.2725375626043405,0.37677361257098757,False
Calcium levels,1.3134601415157794,0.3838301797358917,False
Waist-to-hip ratio adjusted for body mass index,1.1804741980474198,0.3843361608545208,False
Cerebrospinal fluid biomarker levels,1.2216541353383459,0.3862486119980621,False
Alopecia areata,1.3879545454545454,0.3903388097700803,False
Cerebrospinal AB1-42 levels in normal cognition,1.5657464933068597,0.3938488187822871,False
Cardiometabolic and hematological traits,1.5657464933068597,0.3938488187822871,False
Type 2 diabetes (age of onset),1.5657464933068597,0.3938488187822871,False
Fear of minor pain,1.5657464933068597,0.3938488187822871,False
Nonalcoholic fatty liver disease,1.5657464933068597,0.3938488187822871,False
Response to angiotensin II receptor blocker therapy,1.5657464933068597,0.3938488187822871,False
Toxicity response to radiotherapy in prostate cancer (decreased urine stream) (time to event),1.5657464933068597,0.3938488187822871,False
Bipolar I disorder,1.2413982654016857,0.3951208985810804,False
Ischemic stroke,1.2413982654016857,0.3951208985810804,False
Bone mineral density,1.2723102585487907,0.40476233374632775,False
Breast cancer (estrogen-receptor negative),1.2723102585487907,0.40476233374632775,False
Gallstone disease,1.2723102585487907,0.40476233374632775,False
Age at first sexual intercourse,1.3275,0.41525751007317124,False
Smooth-surface caries,1.3275,0.41525751007317124,False
Feeling hurt,1.3275,0.41525751007317124,False
HDL cholesterol x physical activity interaction (2df test),1.2336543078828317,0.42555464003431986,False
LDL cholesterol levels x long total sleep time interaction (2df test),1.2336543078828317,0.42555464003431986,False
