,OR,p,FDR
Eosinophil counts,6.282828282828283,1.5130314556927764e-08,True
Multiple sclerosis,8.700733752620545,2.823948447535464e-08,True
Balding type 1,10.141497905027933,9.032577316874769e-07,True
Red blood cell count,4.7902014652014655,1.1931379142562217e-06,True
Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular),31.555555555555557,1.6125521203027927e-05,True
Male-pattern baldness,6.1175849997602265,1.7421677616007327e-05,True
Crohn's disease,7.8513328255902515,2.0306582768039505e-05,True
Eosinophil percentage of white cells,9.336940836940837,2.23604087022534e-05,True
Sum eosinophil basophil counts,8.966627054862348,2.8609284185923505e-05,True
Left ventricle wall thickness,62.28095238095238,3.475002360674249e-05,True
Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid),43.104395604395606,8.705435209473673e-05,True
Neutrophil percentage of granulocytes,8.592371475953566,0.00012832021217924053,True
"Allergic disease (asthma, hay fever or eczema)",8.403634003893576,0.00014403494593816043,True
Primary biliary cholangitis,16.80257648953301,0.000152819531821068,True
Celiac disease and Rheumatoid arthritis,32.952100840336136,0.00017441474494787142,True
Varicose veins,32.952100840336136,0.00017441474494787142,True
Respiratory diseases,10.619281045751634,0.00017967195572639942,True
Eosinophil percentage of granulocytes,7.93825393580045,0.00019349279248955214,True
Tea consumption,15.426205264714582,0.00020770237043450182,True
Chronic lymphocytic leukemia,15.116521739130436,0.00022338284507555638,True
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",7.281892424669107,0.00030156850949542593,True
Eczema,7.190321683507926,0.000321724879361275,True
Asthma,5.158335435056746,0.00032843050432026133,True
General risk tolerance (MTAG),7.14538419016031,0.00033219187975666093,True
Mean corpuscular hemoglobin,3.451811125485123,0.00034198942328091575,True
Nonatopic asthma,13.252987541317061,0.00035798623816711745,True
Asthma (moderate or severe),23.32857142857143,0.00043521233072363157,True
Hypertension,8.368163054695563,0.000510971419167118,True
Asthma (adult onset),11.266277309106641,0.0006392843647574081,True
Medication use (diuretics),10.628291488058787,0.0007864738036702872,True
Refractive error,4.290158061116966,0.0010405089890351473,True
Mean corpuscular volume,4.764540138224349,0.0011482560182759444,True
Medication use (calcium channel blockers),9.194768469423824,0.0013125310849495299,False
Lymphocyte counts,6.517929089443997,0.001492792495634145,False
Inflammatory bowel disease,5.262318544264977,0.0015312931068407044,False
"Medication use (adrenergics, inhalants)",13.312244897959184,0.0019657110936450923,False
Height,2.2253166815343444,0.001986738134689587,False
White blood cell count,3.0566537874022823,0.002142561825186356,False
Systemic lupus erythematosus,4.794029850746269,0.002401719981136864,False
Medication use (glucocorticoids),30.694835680751172,0.0026449233007283437,False
Systemic lupus erythematosus and Systemic sclerosis,30.694835680751172,0.0026449233007283437,False
Rheumatoid arthritis (ACPA-positive),11.642857142857142,0.002817108625869083,False
Cardiovascular disease,4.617514835461248,0.0028718333189829857,False
Blood urea nitrogen levels,7.099808586272902,0.003229545584826279,False
"B-cell malignancies (chronic lymphocytic leukemia, Hodgkin lymphoma or multiple myeloma) (pleiotropy)",26.305835010060363,0.0034628885794810603,False
Atopic asthma,6.597508263412154,0.004152691844646764,False
Nasal polyps,23.014084507042252,0.0043836593026087755,False
Hay fever and/or eczema,6.317866276945561,0.004812162180709812,False
Amyotrophic lateral sclerosis (sporadic),9.305714285714286,0.005123109641539396,False
Adult asthma,20.453834115805947,0.005404923713432712,False
Hypothyroidism,6.011826086956522,0.005692384277388999,False
Number of sexual partners,8.860544217687075,0.005834030167366201,False
Allergic rhinitis,8.860544217687075,0.005834030167366201,False
Hodgkin's lymphoma,19.37583395107487,0.005952528856171625,False
Visceral adipose tissue/subcutaneous adipose tissue ratio,18.4056338028169,0.006524407409479595,False
Body mass index,2.2561100578982427,0.0069771775534181865,False
Diastolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),17.52783366867874,0.0071202808236545505,False
Medication use (agents acting on the renin-angiotensin system),5.562211486849168,0.007387769801142222,False
Diastolic blood pressure,3.0292337799187115,0.007853300569280797,False
Mean arterial pressure x alcohol consumption (light vs heavy) interaction (2df test),16.001224739742806,0.008382909366744429,False
Survival in pancreatic cancer,16.001224739742806,0.008382909366744429,False
Systolic blood pressure,2.467301050775222,0.009483375985777687,False
Celiac disease,7.337593984962406,0.009578793377075703,False
Autoimmune traits (pleiotropy),14.151679306608884,0.01044997952768686,False
Primary biliary cirrhosis,14.151679306608884,0.01044997952768686,False
Rheumatoid arthritis,4.966695460216911,0.010741504152984976,False
Epithelial ovarian cancer,6.797560975609756,0.011685196888380996,False
Sjögren's syndrome,13.138832997987928,0.011940325198292261,False
Creatinine levels,6.634693877551021,0.012441899727138224,False
Prostate-specific antigen levels,12.684798445847498,0.012718398691529346,False
Microalbuminuria,12.684798445847498,0.012718398691529346,False
Attention deficit hyperactivity disorder,6.404433497536946,0.013628680097258261,False
Monocyte percentage of white cells,4.568398727465535,0.014094222803020511,False
Intraocular pressure,3.7302371541501977,0.01418066591100811,False
Lobe attachment (rater-scored or self-reported),6.189523809523809,0.014877945947870655,False
Heel bone mineral density,2.198337781166603,0.015828040686588555,False
Adventurousness,5.988479262672811,0.016190094041803653,False
Diastolic blood pressure (cigarette smoking interaction),10.815244407622204,0.01692748844360639,False
Asthma onset (childhood vs adult),10.50543259557344,0.017831284294667148,False
Mosquito bite size,5.622943722943723,0.019004263528203204,False
Low density lipoprotein cholesterol levels,4.133877812474978,0.019390781502549196,False
Cognitive ability,9.93604872478112,0.019698872319774578,False
Morningness,4.065532451165722,0.020437209359515415,False
Systolic blood pressure (cigarette smoking interaction),9.673832468495181,0.02066217830349234,False
Stroke,9.425063199711087,0.021644838168537007,False
Experiencing mood swings,9.425063199711087,0.021644838168537007,False
Medication use (beta blocking agents),9.425063199711087,0.021644838168537007,False
Cognitive performance (MTAG),2.931220187721188,0.021902928198763338,False
Asthma (childhood onset),3.9353165522501907,0.02263325653507916,False
C-reactive protein levels,2.8776875118080483,0.023638881157115283,False
Lymphocyte percentage of white cells,5.150793650793651,0.023703026816800983,False
Metabolite levels,2.121654423506867,0.024408304781810556,False
Basophil percentage of granulocytes,8.749832327297115,0.024706570186407043,False
Ankylosing spondylitis,8.545692761218474,0.025764284562581688,False
Mean arterial pressure x alcohol consumption interaction (2df test),8.545692761218474,0.025764284562581688,False
Diverticular disease,4.96530612244898,0.025975739198091718,False
Non-albumin protein levels,8.350832266325224,0.0268401821169021,False
Basophil percentage of white cells,8.350832266325224,0.0268401821169021,False
Ischemic stroke,8.350832266325224,0.0268401821169021,False
Plateletcrit,3.698091548285263,0.02744500081951761,False
Smoking behaviour (cigarettes smoked per day),8.164632237871675,0.02793403453951368,False
Highest math class taken,3.58974358974359,0.03006399243232656,False
Thiazide-induced adverse metabolic effects in hypertensive patients,7.652582159624413,0.03132106654109876,False
Pulse pressure,2.445632798573975,0.03269554640792537,False
Mean arterial pressure,4.408843537414966,0.03482020714096272,False
Well-being spectrum (multivariate analysis),4.373790776152981,0.035504570113401024,False
High density lipoprotein cholesterol levels,3.3597075336205773,0.03673584342060483,False
Systolic blood pressure x alcohol consumption interaction (2df test),6.927982992293383,0.03730445689866819,False
Lung function (FEV1/FVC),2.3595188115614403,0.03822366224986735,False
HDL cholesterol,3.3141384863123995,0.0382684172243116,False
Blood pressure,6.7991653625456445,0.03854994026876136,False
Self-reported math ability,2.8338812866536345,0.03859135133612685,False
Neuroticism,2.82512402551382,0.03900853969350815,False
Depression (broad),6.675032010243278,0.03981119834875068,False
Alcohol consumption,6.675032010243278,0.03981119834875068,False
Diastolic blood pressure x alcohol consumption interaction (2df test),6.675032010243278,0.03981119834875068,False
Cognitive ability (MTAG),6.55533199195171,0.041088023124721505,False
Serum metabolite levels (CMS),6.55533199195171,0.041088023124721505,False
Cigarettes smoked per day (MTAG),6.439831974301952,0.04238020834504524,False
Mean platelet volume,3.1844419670506627,0.04308502064997061,False
Schizophrenia,2.287251828631139,0.04366826179569582,False
Depressive symptoms,3.9072434607645876,0.04659707779808294,False
Triglycerides,3.0772547610492276,0.04764228246121106,False
Household income (MTAG),3.8523809523809525,0.04819158286964707,False
Uterine fibroids,5.91821899136756,0.04906444436852866,False
Keratinocyte cancer (MTAG),5.823831880169909,0.05044455829455669,False
Basal cell carcinoma,5.823831880169909,0.05044455829455669,False
Autoimmune traits,5.823831880169909,0.05044455829455669,False
Risk-taking tendency (4-domain principal component model),5.732394366197183,0.05183863729804432,False
Vitiligo,5.6437703141928495,0.05324648880469225,False
Aspartate aminotransferase levels in non-alcoholic fatty liver disease,20.183641975308642,0.05412077774175686,False
Age-related diseases and mortality,20.183641975308642,0.05412077774175686,False
Response to antidepressants (symptom remission),20.183641975308642,0.05412077774175686,False
Loneliness (MTAG),20.183641975308642,0.05412077774175686,False
Asthma (time to onset),20.183641975308642,0.05412077774175686,False
Caffeine consumption,20.183641975308642,0.05412077774175686,False
Response to antipsychotic therapy (extrapyramidal side effects),20.183641975308642,0.05412077774175686,False
Adverse response to lamotrigine and phenytoin,20.183641975308642,0.05412077774175686,False
Prostate cancer (advanced),20.183641975308642,0.05412077774175686,False
Attention function in attention deficit hyperactive disorder,20.183641975308642,0.05412077774175686,False
Resistant hypertension,20.183641975308642,0.05412077774175686,False
Midgestational circulating levels of PBDEs (fetal genetic effect),20.183641975308642,0.05412077774175686,False
Carpal tunnel syndrome,20.183641975308642,0.05412077774175686,False
Cutaneous malignant melanoma,20.183641975308642,0.05412077774175686,False
Intelligence (MTAG),2.9409405968952282,0.05433144137123385,False
Bitter alcoholic beverage consumption,5.55783183952198,0.05466792189525739,False
Weight,3.6473684210526316,0.05483499655218296,False
Lung function (FVC),2.292682926829268,0.057697962748130806,False
White blood cell count (basophil),5.3149622371912635,0.05901182601541382,False
Itch intensity from mosquito bite,5.3149622371912635,0.05901182601541382,False
Platelet distribution width,3.529845313921747,0.05919917408387452,False
Conotruncal heart defects (maternal effects),18.163888888888888,0.05937126692485156,False
"Facial morphology (factor 4, facial height related to vertical position of gnathion)",18.163888888888888,0.05937126692485156,False
Lupus nephritis in systemic lupus erythematosus,18.163888888888888,0.05937126692485156,False
Corneal curvature,18.163888888888888,0.05937126692485156,False
Limited cutaneous systemic scleroderma,18.163888888888888,0.05937126692485156,False
Periodontal microbiota,18.163888888888888,0.05937126692485156,False
Cutaneous squamous cell carcinoma,18.163888888888888,0.05937126692485156,False
Red blood cell fatty acid levels,18.163888888888888,0.05937126692485156,False
Congenital heart disease (maternal effect),18.163888888888888,0.05937126692485156,False
Behcet's disease,18.163888888888888,0.05937126692485156,False
Cuneus cortex volume,18.163888888888888,0.05937126692485156,False
Age-related cognitive decline (language) (slope of z-scores),18.163888888888888,0.05937126692485156,False
Suicide attempts in schizophrenia,18.163888888888888,0.05937126692485156,False
Tonometry,18.163888888888888,0.05937126692485156,False
Depressed affect,5.238631790744467,0.060485708896982626,False
Ulcerative colitis,3.4849056603773585,0.06098969144964118,False
Atrial fibrillation,3.462857142857143,0.06189446061189404,False
Celiac disease or Rheumatoid arthritis,16.511363636363637,0.06459300817913699,False
Social science traits (pleiotropy) (HIPO component 1),16.511363636363637,0.06459300817913699,False
Esophageal cancer,16.511363636363637,0.06459300817913699,False
Word reading,16.511363636363637,0.06459300817913699,False
Body mass index in physically inactive individuals,16.511363636363637,0.06459300817913699,False
Prostate cancer (SNP x SNP interaction),16.511363636363637,0.06459300817913699,False
IgG N-glycosylation phenotypes (multivariate analysis),16.511363636363637,0.06459300817913699,False
Coronary artery disease in type 1 diabetes,15.13425925925926,0.06978615673987512,False
Preeclampsia,15.13425925925926,0.06978615673987512,False
Serum metabolite ratios in chronic kidney disease,15.13425925925926,0.06978615673987512,False
Progressive supranuclear palsy,15.13425925925926,0.06978615673987512,False
Hematological parameters,15.13425925925926,0.06978615673987512,False
Obesity (early onset extreme),15.13425925925926,0.06978615673987512,False
HIV-1 susceptibility,15.13425925925926,0.06978615673987512,False
Benign prostatic hyperplasia and lower urinary tract symptoms (prostate cancer excluded),15.13425925925926,0.06978615673987512,False
Broad depression or schizophrenia,15.13425925925926,0.06978615673987512,False
Benign prostatic hyperplasia and lower urinary tract symptoms,15.13425925925926,0.06978615673987512,False
Hip circumference adjusted for BMI,3.2566386554621847,0.07128462903141708,False
Colorectal cancer,3.23734335839599,0.07225729654535246,False
Colonoscopy-negative controls vs population controls,4.638616509181673,0.07429854456429334,False
IgA levels,13.969017094017094,0.07495086700317803,False
Estimated glomerular filtration rate,2.3144431469858415,0.07581744298974938,False
Estimated glomerular filtration rate in non-diabetics,4.580281690140845,0.07589097141708061,False
Major depressive disorder,3.1623673469387756,0.07620774247414669,False
Highest math class taken (MTAG),1.9750806414974331,0.07929314269316064,False
