,OR,p,FDR
White blood cell count,1.8032674596195677,0.0024219545003902276,False
Systemic lupus erythematosus,2.3256675777964677,0.004899090234508228,False
Mean corpuscular hemoglobin concentration,3.187874251497006,0.005540674195314414,False
Hypothyroidism,2.872297297297297,0.006335140354308981,False
Itch intensity from mosquito bite,3.5186813186813186,0.01004035519964026,False
Feeling tense,6.6923477355543985,0.014127975987296782,False
Glycated hemoglobin levels,3.4577825735095766,0.019272674937155745,False
Myeloid white cell count,2.4231536926147705,0.023172951226196586,False
Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),5.415929203539823,0.02325144533596563,False
Sum eosinophil basophil counts,2.2770717737605155,0.023387708219683563,False
Atypical femoral fracture in phosphonate treatment,9.459558823529411,0.026195512347329253,False
Cutaneous psoriasis,9.459558823529411,0.026195512347329253,False
Atopic dermatitis,3.7967455621301776,0.026544694974188727,False
"Medication use (adrenergics, inhalants)",3.7038533698946456,0.028559368576469624,False
Family history of Alzheimer's disease,3.6153846153846154,0.03066254882891254,False
Amyotrophic lateral sclerosis (age of onset),8.407843137254902,0.03147695729769204,False
17-hydroxyprogesterone (17-OHP) levels,8.407843137254902,0.03147695729769204,False
"Allergic disease (asthma, hay fever or eczema)",2.243219443466009,0.03364087843445441,False
Loneliness (linear analysis),7.566470588235294,0.037136951133976144,False
Bone mineral content,7.566470588235294,0.037136951133976144,False
Eosinophil counts,1.5049434784962377,0.039895137687902406,False
Lymphocyte counts,2.132239018466563,0.042637087136244624,False
Eosinophil percentage of granulocytes,2.117265469061876,0.0440403284255243,False
Mean platelet volume,1.8513648402251885,0.045708942752864246,False
Mosquito bite size,2.376674107142857,0.048972524471341844,False
Alzheimer's disease or family history of Alzheimer's disease,2.6378585558852623,0.04912619601611133,False
Systemic lupus erythematosus and Systemic sclerosis,6.304411764705883,0.04950148078394247,False
Educational attainment,2.9752871562826315,0.05361914923806937,False
Toxicity response to radiotherapy in prostate cancer (decreased urine stream) (time to event),5.819004524886878,0.05616276001766958,False
Periodontitis (CDC/AAP),5.402941176470589,0.0631160109072054,False
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",1.9399671993592433,0.06508129816863026,False
Neutrophil percentage of granulocytes,1.986478057473825,0.07368788053983796,False
Ejection fraction in Tripanosoma cruzi seropositivity,4.448442906574394,0.08553685248808612,False
Eosinophilic esophagitis,4.448442906574394,0.08553685248808612,False
Psoriasis,2.0345982142857144,0.08585266862472797,False
Albumin-globulin ratio,2.989054494643689,0.08915393128261453,False
High light scatter reticulocyte count,1.8868212130835185,0.08986122906562233,False
Chin dimples,4.200980392156863,0.09347117209981515,False
Celiac disease and Rheumatoid arthritis,4.200980392156863,0.09347117209981515,False
Pneumonia,2.9121851599727706,0.0942597408487189,False
Vitiligo,2.4063116370808677,0.09526469106877171,False
Lipoprotein (a) levels,3.9795665634674924,0.10160788086675993,False
Alzheimer's disease (late onset),2.296395911780527,0.10751092986545298,False
Granulocyte percentage of myeloid white cells,1.7965913674868899,0.10787699184143981,False
Granulocyte count,1.866364168618267,0.1149434866134795,False
Sum neutrophil eosinophil counts,1.866364168618267,0.1149434866134795,False
Non-albumin protein levels,2.6404610002058035,0.11582078904865048,False
Glucose homeostasis traits,2.6404610002058035,0.11582078904865048,False
Type 2 diabetes (adjusted for BMI),2.580249396621078,0.12147756678831532,False
Medication use (thyroid preparations),1.934082238236541,0.12865749306483865,False
Inflammatory bowel disease,1.5837087087087087,0.13041197338965668,False
Immature fraction of reticulocytes,1.8951038575667656,0.13635836347967312,False
Fibrinogen levels,2.4149877612502353,0.13902900654583372,False
Rheumatoid arthritis (ACPA-positive),2.3644911504424777,0.14506087099272683,False
Monocyte percentage of white cells,1.6498377676833225,0.14600303637731799,False
Celiac disease,2.0194082840236685,0.1481134133383415,False
