,OR,p,FDR
Eosinophil counts,3.868354430379747,2.028964818580581e-05,True
Eczema,7.463890696161354,2.7073569825021573e-05,True
Multiple sclerosis,4.6706981858163825,0.0001344625131348187,False
Itch intensity from mosquito bite,10.941919191919192,0.00015757662378580213,False
Ulcerative colitis,5.578651685393258,0.0011177748600995313,False
Leprosy,15.746376811594203,0.001284612054541823,False
Psoriasis vulgaris,14.658170914542728,0.001553094668386987,False
White blood cell count,2.734313257937049,0.0021653437398705963,False
"Facial morphology (factor 17, height of vermillion upper lip)",35.0994623655914,0.002234633720226122,False
Hypothyroidism,5.797939068100359,0.002399249772418092,False
Celiac disease,7.613186813186813,0.0025325487001564917,False
Myeloid white cell count,5.571059431524548,0.0028294381711192187,False
Albumin-globulin ratio,11.178775743707094,0.003185110423297706,False
Daytime sleep phenotypes,10.111024844720497,0.004152638155842531,False
Respiratory diseases,6.266875981161696,0.004916767937935718,False
Sum eosinophil basophil counts,4.627240143369176,0.006007013240798909,False
Mosquito bite size,5.816102265081857,0.006317413758862817,False
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",4.480902777777778,0.006825464621277817,False
Chronic lymphocytic leukemia,8.320971867007673,0.006927837897738934,False
Asthma,3.316733511586453,0.007467444086929809,False
Eosinophilic esophagitis,16.506008855154967,0.00814045523544275,False
Celiac disease and Rheumatoid arthritis,15.587813620071685,0.009002722464973523,False
Psoriasis,4.993637941006362,0.010457113578565809,False
Hay fever and/or eczema,4.781974328192816,0.012040245334908167,False
Waist-to-hip ratio adjusted for BMI in non-smokers,12.749755620723363,0.012835456451918357,False
Sum neutrophil eosinophil counts,4.58738036157391,0.01376976276816671,False
Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction),12.19448340345956,0.013886628129906804,False
Asthma (adult onset),6.232576726342711,0.01462215680075296,False
Self-reported allergy,11.685483870967742,0.014973845886179987,False
Primary sclerosing cholangitis,11.217204301075268,0.016096545980132933,False
Mean corpuscular volume,3.0122574055158324,0.01900712313498426,False
Tonsillectomy,4.08759585738003,0.019877734115065566,False
"Allergic disease (asthma, hay fever or eczema)",4.058084772370487,0.020335572964411883,False
Lymphocyte counts,3.8627494954025567,0.023722862443390058,False
Eosinophil percentage of granulocytes,3.8363528363528365,0.02423306324374306,False
Asthma or allergic disease (pleiotropy),8.49266862170088,0.026289852069294413,False
Systemic lupus erythematosus,2.9562010142923008,0.03266500719356268,False
Male-pattern baldness,2.561797752808989,0.03680201285411122,False
Medication use (thyroid preparations),4.227717391304348,0.038406127137004975,False
"Medication use (adrenergics, inhalants)",6.51262815703926,0.04176539250740581,False
Non-albumin protein levels,6.364125122189638,0.043462939684536205,False
Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),6.222222222222222,0.045185904188024775,False
White matter microstructure (mode of anisotropy),6.086489013557737,0.04693383919198338,False
Primary biliary cholangitis,5.956531686113018,0.048706302874632144,False
Rheumatoid arthritis (ACPA-positive),5.712530173359666,0.05232307373666451,False
Adverse response to drug,5.712530173359666,0.05232307373666451,False
Red blood cell count,1.835413708049929,0.061217503723932774,False
Granulocyte count,3.3756521739130436,0.06531081506766016,False
Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test),4.907753254103,0.06768630106366502,False
Nevus count,15.432624113475176,0.06991113650428951,False
B-cell acute lymphoblastic leukaemia,15.432624113475176,0.06991113650428951,False
Perceived intensity of neohesperidin dihydrochalcone,15.432624113475176,0.06991113650428951,False
Waist circumference adjusted for BMI in non-smokers,4.740659741206488,0.07173490853723063,False
Response to platinum-based chemotherapy (carboplatin),13.888297872340425,0.0766304096616796,False
Sum basophil neutrophil counts,3.1231884057971016,0.07795866022298667,False
Inflammatory bowel disease,2.5546218487394956,0.07980817957939895,False
Neutrophil percentage of granulocytes,3.054584120982987,0.08194855003457349,False
Non-alcoholic fatty liver disease histology (other),12.624758220502901,0.08330164785922389,False
IgG N-glycosylation phenotypes (multivariate analysis),12.624758220502901,0.08330164785922389,False
IgE levels,12.624758220502901,0.08330164785922389,False
Triptolide cytotoxicity,12.624758220502901,0.08330164785922389,False
Irritable bowel syndrome,12.624758220502901,0.08330164785922389,False
Itch intensity from mosquito bite adjusted by bite size,2.988899167437558,0.08602549481821194,False
Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction),4.235581622678397,0.0864909904648235,False
Coronary artery disease in type 1 diabetes,11.571808510638299,0.08992519086786604,False
Systemising,11.571808510638299,0.08992519086786604,False
LDL peak particle diameter (total fat intake interaction),11.571808510638299,0.08992519086786604,False
Prostate cancer,2.9055472263868065,0.09159361046849418,False
Waist circumference adjusted for BMI (adjusted for smoking behaviour),4.050490883590463,0.0930722878484293,False
Childhood steroid-sensitive nephrotic syndrome,10.680851063829786,0.09650137607087686,False
antipsychotic drug dosage in schizophrenia or schizoaffective disorder,10.680851063829786,0.09650137607087686,False
IgA levels,10.680851063829786,0.09650137607087686,False
N-glycan levels,10.680851063829786,0.09650137607087686,False
Panic disorder,10.680851063829786,0.09650137607087686,False
Eosinophil percentage of white cells,2.788799308954794,0.10021981667585973,False
Granulocyte percentage of myeloid white cells,2.770237414187643,0.10168855934145202,False
Interstitial lung disease,9.917173252279635,0.10303053850020177,False
Toxicity response to radiotherapy in prostate cancer (decreased urine stream) (time to event),9.917173252279635,0.10303053850020177,False
Waist-to-hip ratio adjusted for body mass index,3.724731182795699,0.10664838990978073,False
Verbal declarative memory,9.25531914893617,0.10951301083199377,False
Glaucoma (multi-trait analysis),9.25531914893617,0.10951301083199377,False
Spatial memory,9.25531914893617,0.10951301083199377,False
Plasma free amino acid levels (adjusted for twenty other PFAAs),9.25531914893617,0.10951301083199377,False
Neutrophil count,2.6300951086956523,0.11374447821117084,False
Antisaccade task score,8.676196808510639,0.11594912342839965,False
QRS complex (12-leadsum),8.676196808510639,0.11594912342839965,False
Intraocular pressure,2.2170113351215712,0.116353139674622,False
Monocyte count,2.581088290210723,0.11840072934222737,False
