,OR,p,FDR
Red blood cell count,8.175408163265306,1.7784252654328734e-07,True
Eczema,18.276209677419356,4.260457507314926e-07,True
Neutrophil percentage of granulocytes,18.020833333333332,2.845642781782989e-06,True
Eosinophil percentage of granulocytes,16.648972602739725,4.398921704014291e-06,True
Eosinophil percentage of white cells,16.4214527027027,4.744156063709056e-06,True
Asthma,9.448450347881089,2.7115843116147424e-05,True
"Allergic disease (asthma, hay fever or eczema)",14.138870721604535,5.5150087171690695e-05,True
Systemic lupus erythematosus,10.0546875,6.744796942671034e-05,True
Weight,13.090909090909092,7.826483658333728e-05,True
Eosinophil counts,5.882380727444497,9.017220919182101e-05,True
Multiple sclerosis,7.375961538461539,0.0003401483737013695,True
Hay fever and/or eczema,12.84330202669303,0.0004209563750817263,True
Waist circumference,11.22318339100346,0.0006862874291937069,False
Nonatopic asthma,19.288669950738917,0.000714076293612649,False
Heel bone mineral density,3.9902506963788302,0.0007923332786492042,False
Asthma (adult onset),16.439495798319328,0.001111671894336802,False
Sum eosinophil basophil counts,9.76923076923077,0.0011295776738088478,False
Body fat percentage,15.521428571428572,0.0013029650138238788,False
Response to tocilizumab in rheumatoid arthritis,42.787581699346404,0.0013484119125111741,False
Monocyte percentage of white cells,9.286944045911047,0.0013529905857016273,False
Celiac disease and Rheumatoid arthritis,40.407407407407405,0.0014955082361430324,False
Interleukin-17 levels,38.27777777777778,0.0016499218694772104,False
Balding type 1,8.264705882352942,0.002043884544226747,False
Asthma (childhood onset),8.0,0.002291378483859407,False
Asthma (moderate or severe),29.07777777777778,0.0027277675968187904,False
Squamous cell carcinoma,26.919753086419753,0.003143736341555676,False
Leprosy,25.956349206349206,0.0033621684138017524,False
Hemoglobin concentration,10.223591087811272,0.004086503101337618,False
HDL cholesterol,6.737254901960784,0.004159214508095952,False
Hematocrit,9.685714285714285,0.004729120698891431,False
Atopic asthma,9.685714285714285,0.004729120698891431,False
"Cholesterol, total",9.050174216027875,0.0056764397723352705,False
"Medication use (adrenergics, inhalants)",16.882428940568474,0.00744618895572898,False
High light scatter reticulocyte percentage of red cells,7.998561151079136,0.00789335914966104,False
Height,2.507175843694494,0.008630576276353078,False
Fat-free mass,7.7178571428571425,0.0086770557440151,False
Myopia,15.440898345153665,0.008781253090315067,False
Primary biliary cholangitis,15.440898345153665,0.008781253090315067,False
High light scatter reticulocyte count,7.664039408866995,0.008839096792766671,False
Reticulocyte fraction of red cells,7.664039408866995,0.008839096792766671,False
Predicted visceral adipose tissue,7.664039408866995,0.008839096792766671,False
Lymphocyte counts,7.506949806949807,0.009335901816935277,False
Rheumatoid arthritis (ACPA-positive),14.808390022675736,0.009486048977041486,False
Rheumatoid arthritis,7.307142857142857,0.010023386117974323,False
Type 2 diabetes,4.074790457769181,0.011312198216284148,False
Monocyte count,6.808238387379491,0.01206360107747369,False
Menarche (age at onset),4.841687157177984,0.012569703570543562,False
Hip circumference adjusted for BMI,6.52436974789916,0.013477705229925469,False
Keratinocyte cancer (MTAG),11.505291005291005,0.015088166178078856,False
Autoimmune traits,11.505291005291005,0.015088166178078856,False
Basal cell carcinoma,11.505291005291005,0.015088166178078856,False
Allergic rhinitis,11.324652777777779,0.015531579687438356,False
Low density lipoprotein cholesterol levels,6.088540031397174,0.016114477779014758,False
Male-pattern baldness,4.459067900157096,0.016390624443422944,False
White blood cell count,3.212396265560166,0.017212824944853784,False
Insomnia,5.7066273932253315,0.019022783069872196,False
HDL cholesterol levels in current drinkers,9.921613394216134,0.019769453371841002,False
Myopia (age of diagnosis),9.403318903318903,0.02179168561155258,False
Refractive error,4.062171209947394,0.022010539747422002,False
Crohn's disease,5.3428571428571425,0.022482552267345298,False
HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df),9.04861111111111,0.0233625428123401,False
Mean corpuscular hemoglobin,2.9639423076923075,0.024015168733073782,False
HDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df),8.71954484605087,0.024978874389169674,False
Medication use (HMG CoA reductase inhibitors),8.71954484605087,0.024978874389169674,False
Craniofacial microsomia,39.34234234234234,0.028538369014024654,False
Loneliness (MTAG),39.34234234234234,0.028538369014024654,False
Physiological traits,39.34234234234234,0.028538369014024654,False
Carpal tunnel syndrome,39.34234234234234,0.028538369014024654,False
Prostate cancer (advanced),39.34234234234234,0.028538369014024654,False
Infant length,39.34234234234234,0.028538369014024654,False
High altitude adaptation,39.34234234234234,0.028538369014024654,False
Lobe attachment (rater-scored or self-reported),7.948107448107448,0.029504908114986485,False
Respiratory diseases,7.775985663082437,0.030684116214220437,False
Cognitive performance,4.696048632218845,0.031030707217489326,False
Infant head circumference (MTAG),35.4054054054054,0.031348198667196785,False
Waist-to-hip ratio adjusted for BMI (age <50),35.4054054054054,0.031348198667196785,False
Attention deficit hyperactivity disorder (time to onset),35.4054054054054,0.031348198667196785,False
Age-related cognitive decline (language) (slope of z-scores),35.4054054054054,0.031348198667196785,False
Idiopathic osteonecrosis of the femoral head,35.4054054054054,0.031348198667196785,False
Waist circumference adjusted for BMI in smokers,35.4054054054054,0.031348198667196785,False
Corneal curvature,35.4054054054054,0.031348198667196785,False
Cutaneous squamous cell carcinoma,35.4054054054054,0.031348198667196785,False
Eating disorders,35.4054054054054,0.031348198667196785,False
