,OR,p,FDR
Hypothyroidism,10.75713453698311,1.2871253814626447e-07,True
"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)",9.21,1.3843815395143475e-07,True
Eosinophil counts,3.958386533163094,2.706401055195956e-06,True
Systemic lupus erythematosus,5.997574468085106,7.108919197216251e-06,True
Multiple sclerosis,4.37525,0.0001086540638280082,True
Mouth ulcers,10.750579278384642,0.00017217415782346093,True
Itch intensity from mosquito bite,9.278158947970269,0.00032620480215922665,False
Psoriasis,6.6,0.00048184760511179697,False
Inflammatory bowel disease,4.592546194801128,0.000628867178094267,False
Rheumatoid arthritis (ACPA-positive),10.340823225293299,0.0008831824758682089,False
Myeloid white cell count,5.767857142857143,0.0009415630718805478,False
Systemic sclerosis,10.12461059190031,0.000950619731259597,False
Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies),17.23148148148148,0.0010391040168774035,False
White blood cell count,2.699142156862745,0.0011667922989123565,False
Tonsillectomy,5.385192909280501,0.0013178718920583863,False
Medication use (thyroid preparations),6.2331536388140165,0.0017723067663577834,False
Rheumatoid arthritis,4.946883988494727,0.0019868398653751663,False
Ulcerative colitis,4.722344322344322,0.0024805766092717576,False
Blood protein levels in cardiovascular risk,7.58411214953271,0.00257933245626811,False
Monocyte percentage of white cells,4.545326278659612,0.0029728286499307826,False
Atypical femoral fracture in phosphonate treatment,29.908256880733944,0.0030361021512018784,False
Bone mineral content,23.922935779816513,0.0044041644870753145,False
Celiac disease,6.466292834890965,0.004433969301828827,False
Asthma,3.245074009231259,0.004972463104592936,False
Non-albumin protein levels,8.401162790697674,0.0068138076097972395,False
Granulocyte percentage of myeloid white cells,4.055974842767296,0.01002662996231816,False
Eosinophilic esophagitis,14.064759848893686,0.010980445095085542,False
Adult asthma,13.28236493374108,0.012133849456001279,False
Allergic sensitization,12.582327378078222,0.013337887160613758,False
Eczema,3.752038201723736,0.013516435703781481,False
Nevus count or cutaneous melanoma,11.952293577981651,0.014591637930171158,False
Hypertension,4.204144656643641,0.018152251158284602,False
Alanine transaminase levels,10.390905464698843,0.018642140251015855,False
Hay fever and/or eczema,4.061572292468389,0.02023314112960933,False
Granulocyte count,3.8962918299668376,0.023033543464769678,False
Autoimmune traits (pleiotropy),9.189837685250529,0.02310803667557007,False
Primary biliary cirrhosis,9.189837685250529,0.02310803667557007,False
Systolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test),9.189837685250529,0.02310803667557007,False
Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular),9.189837685250529,0.02310803667557007,False
Fasting plasma glucose,8.848793747876316,0.024684976019425955,False
Sjögren's syndrome,8.53211009174312,0.026304675967276786,False
Sum basophil neutrophil counts,3.6027339935834846,0.029313402197050212,False
Psoriasis vulgaris,7.962079510703364,0.0296690894417764,False
Neutrophil percentage of granulocytes,3.52302339859472,0.03137677998763881,False
"Allergic disease (asthma, hay fever or eczema)",3.446728971962617,0.03352384804004328,False
Itch intensity from mosquito bite adjusted by bite size,3.446728971962617,0.03352384804004328,False
Asthma or allergic disease (pleiotropy),7.236586043925493,0.035016262643045803,False
Diastolic blood pressure (cigarette smoking interaction),7.023205612520237,0.036875678262887804,False
Scarlet fever,7.023205612520237,0.036875678262887804,False
Eosinophil percentage of granulocytes,3.2583985855013893,0.039660883832822055,False
Systolic blood pressure (cigarette smoking interaction),6.281989377112506,0.04467831327314341,False
Sum eosinophil basophil counts,3.0893841361131082,0.0463987365973958,False
Albumin-globulin ratio,6.120442248882616,0.046716547157937445,False
Medication use (beta blocking agents),6.120442248882616,0.046716547157937445,False
Neutrophil count,3.030388526420972,0.04908030179026181,False
Monocyte count,2.9735779393100263,0.05184609680502397,False
Glucose homeostasis traits,5.422852376980817,0.05739779223478864,False
Family history of Alzheimer's disease,5.422852376980817,0.05739779223478864,False
Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour),5.301936799184506,0.05962728166878828,False
Ocular sarcoidosis,5.186278420422816,0.061886301618533666,False
Infant length,13.17070707070707,0.08124869149144505,False
B-cell acute lymphoblastic leukaemia,13.17070707070707,0.08124869149144505,False
Response to methotrexate in juvenile idiopathic arthritis,13.17070707070707,0.08124869149144505,False
Alanine aminotransferase levels in low alcohol consumption,13.17070707070707,0.08124869149144505,False
Mammographic density (dense area),13.17070707070707,0.08124869149144505,False
