,OR,p,FDR
Red blood cell count,10.83795392424834,2.5698085940586447e-06,True
Body fat percentage,28.62280701754386,0.0002540669912266895,False
Interleukin-17 levels,68.97368421052632,0.0005507286139588214,False
Eosinophil counts,7.081818181818182,0.0006136565699652098,False
Systemic lupus erythematosus,11.829201101928374,0.0006712537618484883,False
Spherical equivalent or myopia (age of diagnosis),18.853211009174313,0.0008238623311085959,False
Hemoglobin concentration,18.853211009174313,0.0008238623311085959,False
Diverticular disease,18.343984962406015,0.0008895917991986351,False
Hematocrit,17.861327231121283,0.00095857088448517,False
Heel bone mineral density,5.204197530864198,0.0014598422017978684,False
Waist circumference,14.96772954283519,0.0015695424191280241,False
Monocyte count,12.555053277365191,0.0025524848148080377,False
Myopia,27.823404255319147,0.002997867329162775,False
Balding type 1,11.043243243243243,0.0036282784620817942,False
Morningness,11.043243243243243,0.0036282784620817942,False
Insomnia,10.523602821486707,0.004137296490681838,False
HDL cholesterol,9.011178388448998,0.006291105435431854,False
HDL cholesterol levels in current drinkers,17.878082191780823,0.0068905950267346295,False
Myopia (age of diagnosis),16.944155844155844,0.007619593218436709,False
HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df),16.305,0.008188306082894965,False
Medication use (HMG CoA reductase inhibitors),15.712048192771084,0.008775640177399492,False
HDL cholesterol levels x alcohol consumption (drinkers vs non-drinkers) interaction (2df),15.712048192771084,0.008775640177399492,False
Chronotype,6.842816500711238,0.013023616035968305,False
Immature fraction of reticulocytes,12.641747572815534,0.01315366555537247,False
Night sleep phenotypes,11.940366972477063,0.014618926208035397,False
Asthma,6.526655348047538,0.014722587946382065,False
Menarche (age at onset),6.483805668016195,0.014975177943117125,False
Appendicular lean mass,6.483805668016195,0.014975177943117125,False
Hair color,6.338063025903316,0.015878805078586345,False
Prostate cancer (advanced),69.39153439153439,0.016615305896810036,False
Physiological traits,69.39153439153439,0.016615305896810036,False
Loneliness (MTAG),69.39153439153439,0.016615305896810036,False
Infant length,69.39153439153439,0.016615305896810036,False
Alcohol consumption (drinks per week),11.022033898305084,0.016943134274330373,False
Multiple sclerosis,6.15982028241335,0.017085500977657885,False
Hand grip strength,10.928571428571429,0.01721056741249391,False
HDL cholesterol levels,10.836666666666666,0.017479815092447136,False
Idiopathic osteonecrosis of the femoral head,62.44761904761905,0.01826226564629346,False
Cutaneous squamous cell carcinoma,62.44761904761905,0.01826226564629346,False
Waist-to-hip ratio adjusted for BMI (age <50),62.44761904761905,0.01826226564629346,False
Attention deficit hyperactivity disorder (time to onset),62.44761904761905,0.01826226564629346,False
Infant head circumference (MTAG),62.44761904761905,0.01826226564629346,False
Eating disorders,62.44761904761905,0.01826226564629346,False
Waist circumference adjusted for BMI in smokers,62.44761904761905,0.01826226564629346,False
Male-pattern baldness,5.972905636873248,0.018485801493000886,False
"Cholesterol, total",10.483870967741936,0.018574826738685605,False
Hypothyroidism,10.233858267716535,0.019414834048592962,False
Body mass index in physically inactive individuals,56.76623376623377,0.019906592266436016,False
Social science traits (pleiotropy) (HIPO component 1),56.76623376623377,0.019906592266436016,False
Fasting blood insulin (BMI interaction),56.76623376623377,0.019906592266436016,False
Gamma glutamyl transferase levels in excessive alcohol consumption,56.76623376623377,0.019906592266436016,False
Prostate-specific antigen levels (conditioned on lead SNPs),56.76623376623377,0.019906592266436016,False
Body mass index,3.2571033210332105,0.0212140159792321,False
Stress sensitivity (neuroticism score x major depressive disorder status interaction),52.03174603174603,0.02154828976666062,False
"Facial morphology (factor 21, depth of nasal alae)",52.03174603174603,0.02154828976666062,False
Obesity (early onset extreme),52.03174603174603,0.02154828976666062,False
Broad depression or schizophrenia,52.03174603174603,0.02154828976666062,False
Surgical necrotising enterocolitis in extremely premature birth,52.03174603174603,0.02154828976666062,False
Nose morphology,52.03174603174603,0.02154828976666062,False
Macrophage Migration Inhibitory Factor levels,52.03174603174603,0.02154828976666062,False
Neutrophil percentage of granulocytes,9.341726618705035,0.022932075315185266,False
antipsychotic drug dosage in schizophrenia or schizoaffective disorder,48.02564102564103,0.02318736215119497,False
Potassium levels,48.02564102564103,0.02318736215119497,False
Proliferative diabetic retinopathy (vs no DR),48.02564102564103,0.02318736215119497,False
High light scatter reticulocyte percentage of red cells,9.274285714285714,0.023236323099149706,False
Refractive error,5.442674253200569,0.023390938344234044,False
Reticulocyte count,9.01388888888889,0.02447012023958083,False
Fat-free mass,8.95103448275862,0.02478274140797273,False
Waist circumference variance,44.59183673469388,0.024823813418247763,False
Self-rated health,44.59183673469388,0.024823813418247763,False
Reticulocyte fraction of red cells,8.889041095890411,0.02509701953109227,False
Predicted visceral adipose tissue,8.889041095890411,0.02509701953109227,False
Prostate cancer,8.889041095890411,0.02509701953109227,False
High light scatter reticulocyte count,8.889041095890411,0.02509701953109227,False
Height,2.751313374264194,0.025152346305349266,False
Eosinophil percentage of granulocytes,8.649333333333333,0.026370584235627634,False
Cerebral amyloid deposition (PET imaging),41.615873015873014,0.026457647558720737,False
Eosinophil percentage of white cells,8.534210526315789,0.027017156167057004,False
Weight,8.477777777777778,0.02734286918376521,False
Heart rate response to exercise,39.01190476190476,0.028088868560245162,False
Diabetic retinopathy,39.01190476190476,0.028088868560245162,False
Simvastatin-induced myopathy,39.01190476190476,0.028088868560245162,False
C-reactive protein levels,5.048664374504099,0.028216189988292194,False
Estimated glomerular filtration rate,4.958674463937622,0.02950040282615586,False
Waist-to-hip ratio adjusted for BMI (age >50),36.714285714285715,0.029717480404108574,False
Caudate nucleus volume,36.714285714285715,0.029717480404108574,False
Response to tocilizumab in rheumatoid arthritis,34.67195767195767,0.03134348706420751,False
Eczema,7.8539393939393936,0.031375389717528714,False
